# _root_ Slated for market by the end of the year , the paper `` could have been introduced a long time ago but the market was n't there then , '' says an Agfa spokesman .
#goldHeads=14,1,2,1,6,4,6,9,7,1,12,14,14,31,14,15,16,20,20,21,17,14,24,25,22,25,25,25,14,14,0,34,34,31,31,
#predictedHeads=14,1,2,1,6,4,6,9,7,14,12,14,14,31,14,15,16,20,20,17,17,14,24,25,22,25,25,25,31,31,0,34,34,31,31,
(0,1),-6.57881 # DEPENDENCYPART_ARC
(0,2),-6.59926 # DEPENDENCYPART_ARC
(0,3),-6.23114 # DEPENDENCYPART_ARC
(0,4),-7.20667 # DEPENDENCYPART_ARC
(0,5),-7.74689 # DEPENDENCYPART_ARC
(0,6),-6.4331 # DEPENDENCYPART_ARC
(0,7),-7.08835 # DEPENDENCYPART_ARC
(0,8),-7.95702 # DEPENDENCYPART_ARC
(0,9),-6.6035 # DEPENDENCYPART_ARC
(0,10),-7.72965 # DEPENDENCYPART_ARC
(0,11),-8.21 # DEPENDENCYPART_ARC
(0,12),-5.49921 # DEPENDENCYPART_ARC
(0,13),-7.61877 # DEPENDENCYPART_ARC
(0,14),-3.53762 # DEPENDENCYPART_ARC
(0,15),-5.46478 # DEPENDENCYPART_ARC
(0,16),-4.7249 # DEPENDENCYPART_ARC
(0,17),-6.16856 # DEPENDENCYPART_ARC
(0,18),-8.73867 # DEPENDENCYPART_ARC
(0,19),-7.1179 # DEPENDENCYPART_ARC
(0,20),-6.29549 # DEPENDENCYPART_ARC
(0,21),-8.38455 # DEPENDENCYPART_ARC
(0,22),-9.68214 # DEPENDENCYPART_ARC
(0,23),-9.72027 # DEPENDENCYPART_ARC
(0,24),-6.57862 # DEPENDENCYPART_ARC
(0,25),-3.35599 # DEPENDENCYPART_ARC
(0,26),-9.06187 # DEPENDENCYPART_ARC
(0,27),-9.06697 # DEPENDENCYPART_ARC
(0,28),-8.7328 # DEPENDENCYPART_ARC
(0,29),-10.6145 # DEPENDENCYPART_ARC
(0,30),-8.50915 # DEPENDENCYPART_ARC
(0,31),0.4214 # DEPENDENCYPART_ARC
(0,32),-10.3668 # DEPENDENCYPART_ARC
(0,33),-7.79467 # DEPENDENCYPART_ARC
(0,34),-7.73969 # DEPENDENCYPART_ARC
(0,35),-4.83422 # DEPENDENCYPART_ARC
(1,2),3.15782 # DEPENDENCYPART_ARC
(1,3),0.7514 # DEPENDENCYPART_ARC
