# _root_ In savings activity , Mr. Sandler said consumer deposits have enjoyed a steady increase throughout 1989 , and topped $ 11 billion at quarter 's end for the first time in the company 's history .
#goldHeads=7,3,1,7,6,7,0,9,10,7,10,14,14,11,11,15,10,10,18,19,20,20,19,26,24,23,19,30,30,27,30,33,35,33,31,7,
#predictedHeads=7,3,1,7,6,7,0,9,10,7,10,14,14,11,11,15,10,10,18,19,20,20,19,26,24,23,19,30,30,27,30,33,35,33,31,7,
(0,1),-6.34841 # DEPENDENCYPART_ARC
(0,2),-5.64 # DEPENDENCYPART_ARC
(0,3),-5.77629 # DEPENDENCYPART_ARC
(0,4),-6.84869 # DEPENDENCYPART_ARC
(0,5),-6.34352 # DEPENDENCYPART_ARC
(0,6),-4.79465 # DEPENDENCYPART_ARC
(0,7),-1.82042 # DEPENDENCYPART_ARC
(0,8),-6.97154 # DEPENDENCYPART_ARC
(0,9),-5.67608 # DEPENDENCYPART_ARC
(0,10),-2.84607 # DEPENDENCYPART_ARC
(0,11),-4.25712 # DEPENDENCYPART_ARC
(0,12),-7.71327 # DEPENDENCYPART_ARC
(0,13),-5.76433 # DEPENDENCYPART_ARC
(0,14),-7.55621 # DEPENDENCYPART_ARC
(0,15),-8.95249 # DEPENDENCYPART_ARC
(0,16),-8.79757 # DEPENDENCYPART_ARC
(0,17),-8.23964 # DEPENDENCYPART_ARC
(0,18),-8.68036 # DEPENDENCYPART_ARC
(0,19),-4.43869 # DEPENDENCYPART_ARC
(0,20),-9.21168 # DEPENDENCYPART_ARC
(0,21),-9.20582 # DEPENDENCYPART_ARC
(0,22),-9.53577 # DEPENDENCYPART_ARC
(0,23),-10.0121 # DEPENDENCYPART_ARC
(0,24),-7.61479 # DEPENDENCYPART_ARC
(0,25),-9.62592 # DEPENDENCYPART_ARC
(0,26),-8.14479 # DEPENDENCYPART_ARC
(0,27),-8.0541 # DEPENDENCYPART_ARC
(0,28),-10.1541 # DEPENDENCYPART_ARC
(0,29),-6.8087 # DEPENDENCYPART_ARC
(0,30),-8.15165 # DEPENDENCYPART_ARC
(0,31),-11.2679 # DEPENDENCYPART_ARC
(0,32),-10.8896 # DEPENDENCYPART_ARC
(0,33),-7.26419 # DEPENDENCYPART_ARC
(0,34),-10.3145 # DEPENDENCYPART_ARC
(0,35),-8.48427 # DEPENDENCYPART_ARC
(0,36),-6.82382 # DEPENDENCYPART_ARC
(1,2),2.93607 # DEPENDENCYPART_ARC
(1,3),3.7422 # DEPENDENCYPART_ARC
(1,4),0.90018 # DEPENDENCYPART_ARC
(1,5),-0.656627 # DEPENDENCYPART_ARC
(1,6),-0.442682 # DEPENDENCYPART_ARC
(1,7),0.614451 # DEPENDENCYPART_ARC
(1,8),-3.10522 # DEPENDENCYPART_ARC
(1,9),-2.41059 # DEPENDENCYPART_ARC
(1,10),-0.242716 # DEPENDENCYPART_ARC
(1,11),-0.541244 # DEPENDENCYPART_ARC
(1,12),-2.55011 # DEPENDENCYPART_ARC
(1,13),-2.04463 # DEPENDENCYPART_ARC
(1,14),-5.09015 # DEPENDENCYPART_ARC
(1,15),-0.850698 # DEPENDENCYPART_ARC
(1,16),-2.76067 # DEPENDENCYPART_ARC
(1,17),0.204328 # DEPENDENCYPART_ARC
(1,18),-1.37771 # DEPENDENCYPART_ARC
(1,19),-3.66444 # DEPENDENCYPART_ARC
(1,20),-5.74311 # DEPENDENCYPART_ARC
(1,21),-4.29672 # DEPENDENCYPART_ARC
(1,22),-4.21128 # DEPENDENCYPART_ARC
(1,23),-2.40941 # DEPENDENCYPART_ARC
(1,24),-11.1921 # DEPENDENCYPART_ARC
(1,25),-3.11964 # DEPENDENCYPART_ARC
(1,26),-9.76408 # DEPENDENCYPART_ARC
(1,27),-2.80202 # DEPENDENCYPART_ARC
(1,28),-5.21398 # DEPENDENCYPART_ARC
(1,29),-4.44756 # DEPENDENCYPART_ARC
(1,30),-13.3557 # DEPENDENCYPART_ARC
(1,31),-3.90272 # DEPENDENCYPART_ARC
(1,32),-5.92999 # DEPENDENCYPART_ARC
(1,33),-16.1509 # DEPENDENCYPART_ARC
(1,34),-4.29652 # DEPENDENCYPART_ARC
(1,35),-15.7257 # DEPENDENCYPART_ARC
(1,36),1.96726 # DEPENDENCYPART_ARC
(2,1),-0.398824 # DEPENDENCYPART_ARC
(2,3),0.192857 # DEPENDENCYPART_ARC
(2,4),-1.11661 # DEPENDENCYPART_ARC
(2,5),-1.377 # DEPENDENCYPART_ARC
(2,6),-1.55404 # DEPENDENCYPART_ARC
(2,7),-1.32831 # DEPENDENCYPART_ARC
(2,8),-2.01272 # DEPENDENCYPART_ARC
(2,9),-2.00308 # DEPENDENCYPART_ARC
(2,10),-1.18856 # DEPENDENCYPART_ARC
(2,11),-1.54395 # DEPENDENCYPART_ARC
(2,12),-2.46112 # DEPENDENCYPART_ARC
(2,13),-2.4352 # DEPENDENCYPART_ARC
(2,14),-2.10267 # DEPENDENCYPART_ARC
(2,15),-3.1698 # DEPENDENCYPART_ARC
(2,16),-2.64761 # DEPENDENCYPART_ARC
(2,17),-1.94867 # DEPENDENCYPART_ARC
(2,18),-3.29808 # DEPENDENCYPART_ARC
(2,19),-3.18914 # DEPENDENCYPART_ARC
(2,20),-3.8117 # DEPENDENCYPART_ARC
(2,21),-3.24354 # DEPENDENCYPART_ARC
(2,22),-3.76897 # DEPENDENCYPART_ARC
(2,23),-4.49754 # DEPENDENCYPART_ARC
(2,24),-4.85813 # DEPENDENCYPART_ARC
(2,25),-5.02921 # DEPENDENCYPART_ARC
(2,26),-4.51517 # DEPENDENCYPART_ARC
(2,27),-4.75618 # DEPENDENCYPART_ARC
(2,28),-4.22897 # DEPENDENCYPART_ARC
(2,29),-3.91759 # DEPENDENCYPART_ARC
(2,30),-4.60165 # DEPENDENCYPART_ARC
(2,31),-5.81725 # DEPENDENCYPART_ARC
(2,32),-4.37471 # DEPENDENCYPART_ARC
(2,33),-6.42783 # DEPENDENCYPART_ARC
(2,34),-7.51095 # DEPENDENCYPART_ARC
(2,35),-6.10762 # DEPENDENCYPART_ARC
(2,36),-2.30774 # DEPENDENCYPART_ARC
(3,1),0.516109 # DEPENDENCYPART_ARC
(3,2),5.17574 # DEPENDENCYPART_ARC
(3,4),1.92515 # DEPENDENCYPART_ARC
(3,5),1.16747 # DEPENDENCYPART_ARC
(3,6),0.507007 # DEPENDENCYPART_ARC
(3,7),0.392392 # DEPENDENCYPART_ARC
(3,8),-0.178143 # DEPENDENCYPART_ARC
(3,9),-0.100574 # DEPENDENCYPART_ARC
(3,10),0.764943 # DEPENDENCYPART_ARC
(3,11),0.25996 # DEPENDENCYPART_ARC
(3,12),-0.736208 # DEPENDENCYPART_ARC
