# _root_ Brokers said that as the news spread that Wall Street was moving up , traders who had called to place sell orders changed their line in mid-conversation , ordering buys instead .
#goldHeads=2,0,2,23,6,7,4,6,10,11,8,11,12,23,23,17,15,17,18,19,22,20,3,25,23,23,26,23,23,29,29,2,
#predictedHeads=2,0,2,7,6,7,3,7,10,11,8,11,12,23,12,17,15,17,18,19,22,20,20,25,23,23,26,23,23,29,29,2,
(0,1),-6.19405 # DEPENDENCYPART_ARC
(0,2),-2.2514 # DEPENDENCYPART_ARC
(0,3),-6.49915 # DEPENDENCYPART_ARC
(0,4),-6.93789 # DEPENDENCYPART_ARC
(0,5),-7.84084 # DEPENDENCYPART_ARC
(0,6),-5.84915 # DEPENDENCYPART_ARC
(0,7),-4.65512 # DEPENDENCYPART_ARC
(0,8),-6.87566 # DEPENDENCYPART_ARC
(0,9),-6.57354 # DEPENDENCYPART_ARC
(0,10),-5.73565 # DEPENDENCYPART_ARC
(0,11),-3.6395 # DEPENDENCYPART_ARC
(0,12),-6.40667 # DEPENDENCYPART_ARC
(0,13),-7.5671 # DEPENDENCYPART_ARC
(0,14),-7.98701 # DEPENDENCYPART_ARC
(0,15),-7.17866 # DEPENDENCYPART_ARC
(0,16),-7.83429 # DEPENDENCYPART_ARC
(0,17),-7.14939 # DEPENDENCYPART_ARC
(0,18),-5.18912 # DEPENDENCYPART_ARC
(0,19),-8.20552 # DEPENDENCYPART_ARC
(0,20),-7.46304 # DEPENDENCYPART_ARC
(0,21),-7.38796 # DEPENDENCYPART_ARC
(0,22),-7.41898 # DEPENDENCYPART_ARC
(0,23),-5.98118 # DEPENDENCYPART_ARC
(0,24),-8.67358 # DEPENDENCYPART_ARC
(0,25),-7.97463 # DEPENDENCYPART_ARC
(0,26),-10.5587 # DEPENDENCYPART_ARC
(0,27),-8.0354 # DEPENDENCYPART_ARC
(0,28),-10.1352 # DEPENDENCYPART_ARC
(0,29),-7.86166 # DEPENDENCYPART_ARC
(0,30),-8.67534 # DEPENDENCYPART_ARC
(0,31),-10.4095 # DEPENDENCYPART_ARC
(0,32),-7.06022 # DEPENDENCYPART_ARC
(1,2),2.21564 # DEPENDENCYPART_ARC
(1,3),0.586518 # DEPENDENCYPART_ARC
(1,4),0.805243 # DEPENDENCYPART_ARC
(1,5),-0.512859 # DEPENDENCYPART_ARC
(1,6),-0.336852 # DEPENDENCYPART_ARC
(1,7),0.163643 # DEPENDENCYPART_ARC
(1,8),-0.208952 # DEPENDENCYPART_ARC
(1,9),-0.793401 # DEPENDENCYPART_ARC
(1,10),-0.669772 # DEPENDENCYPART_ARC
(1,11),-0.900222 # DEPENDENCYPART_ARC
(1,12),-0.534338 # DEPENDENCYPART_ARC
(1,13),-0.519074 # DEPENDENCYPART_ARC
(1,14),-0.733987 # DEPENDENCYPART_ARC
(1,15),-1.21041 # DEPENDENCYPART_ARC
(1,16),-2.37925 # DEPENDENCYPART_ARC
