# _root_ But analysts , while applauding the acquisition , say Applied 's chief executive faces a tough challenge in integrating the two companies .
#goldHeads=9,9,9,9,4,7,5,9,0,13,10,13,14,9,17,17,14,17,18,22,22,19,9,
#predictedHeads=9,9,9,14,4,7,5,9,0,13,10,13,14,9,17,17,14,14,18,22,22,19,9,
(0,1),-7.05083 # DEPENDENCYPART_ARC
(0,2),-6.56851 # DEPENDENCYPART_ARC
(0,3),-6.2708 # DEPENDENCYPART_ARC
(0,4),-6.40735 # DEPENDENCYPART_ARC
(0,5),-7.08421 # DEPENDENCYPART_ARC
(0,6),-7.22606 # DEPENDENCYPART_ARC
(0,7),-6.2833 # DEPENDENCYPART_ARC
(0,8),-6.92149 # DEPENDENCYPART_ARC
(0,9),-0.366587 # DEPENDENCYPART_ARC
(0,10),-6.64458 # DEPENDENCYPART_ARC
(0,11),-7.5062 # DEPENDENCYPART_ARC
(0,12),-6.75702 # DEPENDENCYPART_ARC
(0,13),-6.56486 # DEPENDENCYPART_ARC
(0,14),-2.87899 # DEPENDENCYPART_ARC
(0,15),-7.99618 # DEPENDENCYPART_ARC
(0,16),-6.83884 # DEPENDENCYPART_ARC
(0,17),-6.93537 # DEPENDENCYPART_ARC
(0,18),-7.98282 # DEPENDENCYPART_ARC
(0,19),-7.70007 # DEPENDENCYPART_ARC
(0,20),-8.94397 # DEPENDENCYPART_ARC
(0,21),-9.14421 # DEPENDENCYPART_ARC
(0,22),-6.42785 # DEPENDENCYPART_ARC
(0,23),-4.88744 # DEPENDENCYPART_ARC
(1,2),-1.03434 # DEPENDENCYPART_ARC
(1,3),-1.48771 # DEPENDENCYPART_ARC
(1,4),-2.7381 # DEPENDENCYPART_ARC
(1,5),-2.99729 # DEPENDENCYPART_ARC
(1,6),-3.92407 # DEPENDENCYPART_ARC
(1,7),-4.83981 # DEPENDENCYPART_ARC
(1,8),-2.48949 # DEPENDENCYPART_ARC
(1,9),-1.29819 # DEPENDENCYPART_ARC
(1,10),-5.28492 # DEPENDENCYPART_ARC
(1,11),-4.58228 # DEPENDENCYPART_ARC
(1,12),-4.18656 # DEPENDENCYPART_ARC
(1,13),-5.90124 # DEPENDENCYPART_ARC
(1,14),-2.16361 # DEPENDENCYPART_ARC
(1,15),-5.08862 # DEPENDENCYPART_ARC
(1,16),-4.76005 # DEPENDENCYPART_ARC
(1,17),-6.72209 # DEPENDENCYPART_ARC
(1,18),-4.11404 # DEPENDENCYPART_ARC
(1,19),-4.78492 # DEPENDENCYPART_ARC
(1,20),-5.84725 # DEPENDENCYPART_ARC
(1,21),-5.34973 # DEPENDENCYPART_ARC
(1,22),-8.72184 # DEPENDENCYPART_ARC
(1,23),-1.89919 # DEPENDENCYPART_ARC
(2,1),-0.547991 # DEPENDENCYPART_ARC
(2,3),1.09187 # DEPENDENCYPART_ARC
(2,4),0.243164 # DEPENDENCYPART_ARC
(2,5),0.106447 # DEPENDENCYPART_ARC
(2,6),-0.315252 # DEPENDENCYPART_ARC
(2,7),0.397303 # DEPENDENCYPART_ARC
(2,8),1.98596 # DEPENDENCYPART_ARC
(2,9),-0.199024 # DEPENDENCYPART_ARC
(2,10),-0.519122 # DEPENDENCYPART_ARC
(2,11),-0.119902 # DEPENDENCYPART_ARC
(2,12),-0.672809 # DEPENDENCYPART_ARC
(2,13),-0.907984 # DEPENDENCYPART_ARC
(2,14),-0.757387 # DEPENDENCYPART_ARC
(2,15),-0.873346 # DEPENDENCYPART_ARC
(2,16),-1.37873 # DEPENDENCYPART_ARC
(2,17),-1.37473 # DEPENDENCYPART_ARC
(2,18),-2.04183 # DEPENDENCYPART_ARC
(2,19),-1.28836 # DEPENDENCYPART_ARC
(2,20),-1.52133 # DEPENDENCYPART_ARC
(2,21),-1.48783 # DEPENDENCYPART_ARC
(2,22),-2.03253 # DEPENDENCYPART_ARC
(2,23),-0.215815 # DEPENDENCYPART_ARC
(3,1),-1.12284 # DEPENDENCYPART_ARC
(3,2),-1.05764 # DEPENDENCYPART_ARC
(3,4),-0.951226 # DEPENDENCYPART_ARC
(3,5),-1.11259 # DEPENDENCYPART_ARC
(3,6),-1.88358 # DEPENDENCYPART_ARC
(3,7),-2.1546 # DEPENDENCYPART_ARC
(3,8),-0.719035 # DEPENDENCYPART_ARC
(3,9),-1.81669 # DEPENDENCYPART_ARC
(3,10),-2.43387 # DEPENDENCYPART_ARC
(3,11),-2.55231 # DEPENDENCYPART_ARC
(3,12),-2.70179 # DEPENDENCYPART_ARC
(3,13),-3.0871 # DEPENDENCYPART_ARC
(3,14),-2.34636 # DEPENDENCYPART_ARC
(3,15),-3.02418 # DEPENDENCYPART_ARC
(3,16),-3.19022 # DEPENDENCYPART_ARC
(3,17),-3.66461 # DEPENDENCYPART_ARC
(3,18),-2.67317 # DEPENDENCYPART_ARC
(3,19),-2.87482 # DEPENDENCYPART_ARC
(3,20),-3.50825 # DEPENDENCYPART_ARC
(3,21),-3.91308 # DEPENDENCYPART_ARC
(3,22),-4.02109 # DEPENDENCYPART_ARC
(3,23),-3.04716 # DEPENDENCYPART_ARC
(4,1),-1.02743 # DEPENDENCYPART_ARC
(4,2),-0.936611 # DEPENDENCYPART_ARC
(4,3),0.238758 # DEPENDENCYPART_ARC
(4,5),2.95898 # DEPENDENCYPART_ARC
(4,6),-0.825785 # DEPENDENCYPART_ARC
(4,7),-0.593092 # DEPENDENCYPART_ARC
(4,8),1.01444 # DEPENDENCYPART_ARC
(4,9),1.876 # DEPENDENCYPART_ARC
(4,10),-4.09964 # DEPENDENCYPART_ARC
(4,11),-1.14132 # DEPENDENCYPART_ARC
(4,12),-1.72376 # DEPENDENCYPART_ARC
(4,13),-3.65347 # DEPENDENCYPART_ARC
(4,14),1.60039 # DEPENDENCYPART_ARC
(4,15),-3.14293 # DEPENDENCYPART_ARC
(4,16),-2.34675 # DEPENDENCYPART_ARC
(4,17),-5.81828 # DEPENDENCYPART_ARC
(4,18),-1.91269 # DEPENDENCYPART_ARC
(4,19),-0.234614 # DEPENDENCYPART_ARC
(4,20),-4.16376 # DEPENDENCYPART_ARC
(4,21),-4.29828 # DEPENDENCYPART_ARC
(4,22),-9.39938 # DEPENDENCYPART_ARC
(4,23),0.137331 # DEPENDENCYPART_ARC
(5,1),-1.48812 # DEPENDENCYPART_ARC
(5,2),-0.103613 # DEPENDENCYPART_ARC
(5,3),-0.170319 # DEPENDENCYPART_ARC
(5,4),0.371985 # DEPENDENCYPART_ARC
(5,6),1.33127 # DEPENDENCYPART_ARC
(5,7),3.50438 # DEPENDENCYPART_ARC
(5,8),1.40022 # DEPENDENCYPART_ARC
(5,9),0.970293 # DEPENDENCYPART_ARC
(5,10),0.73233 # DEPENDENCYPART_ARC
(5,11),-0.0750392 # DEPENDENCYPART_ARC
(5,12),0.470044 # DEPENDENCYPART_ARC
(5,13),1.81026 # DEPENDENCYPART_ARC
(5,14),0.383157 # DEPENDENCYPART_ARC
(5,15),-0.488665 # DEPENDENCYPART_ARC
(5,16),-0.111186 # DEPENDENCYPART_ARC
(5,17),0.585064 # DEPENDENCYPART_ARC
(5,18),0.122129 # DEPENDENCYPART_ARC
(5,19),0.460546 # DEPENDENCYPART_ARC
(5,20),-1.1452 # DEPENDENCYPART_ARC
(5,21),-0.880622 # DEPENDENCYPART_ARC
(5,22),-0.503089 # DEPENDENCYPART_ARC
(5,23),0.249206 # DEPENDENCYPART_ARC
(6,1),-2.49387 # DEPENDENCYPART_ARC
(6,2),-1.87055 # DEPENDENCYPART_ARC
(6,3),-1.20011 # DEPENDENCYPART_ARC
