# _root_ `` It was simply overbought , '' he said , and selling by funds that are computer guided helped depress prices .
#goldHeads=3,3,9,3,3,3,3,9,0,9,3,19,12,13,16,14,16,17,11,19,20,3,
#predictedHeads=9,3,9,3,3,9,9,9,0,9,3,11,12,13,16,14,16,17,14,19,20,9,
(0,1),-6.38143 # DEPENDENCYPART_ARC
(0,2),-5.54762 # DEPENDENCYPART_ARC
(0,3),-3.31073 # DEPENDENCYPART_ARC
(0,4),-6.49752 # DEPENDENCYPART_ARC
(0,5),-5.32183 # DEPENDENCYPART_ARC
(0,6),-6.39474 # DEPENDENCYPART_ARC
(0,7),-6.23433 # DEPENDENCYPART_ARC
(0,8),-3.93065 # DEPENDENCYPART_ARC
(0,9),-0.615396 # DEPENDENCYPART_ARC
(0,10),-6.84605 # DEPENDENCYPART_ARC
(0,11),-7.72099 # DEPENDENCYPART_ARC
(0,12),-6.57912 # DEPENDENCYPART_ARC
(0,13),-6.86496 # DEPENDENCYPART_ARC
(0,14),-5.8731 # DEPENDENCYPART_ARC
(0,15),-7.14032 # DEPENDENCYPART_ARC
(0,16),-4.53626 # DEPENDENCYPART_ARC
(0,17),-6.83758 # DEPENDENCYPART_ARC
(0,18),-4.81468 # DEPENDENCYPART_ARC
(0,19),-3.12723 # DEPENDENCYPART_ARC
(0,20),-4.46059 # DEPENDENCYPART_ARC
(0,21),-5.85691 # DEPENDENCYPART_ARC
(0,22),-6.15527 # DEPENDENCYPART_ARC
(1,2),-1.54261 # DEPENDENCYPART_ARC
(1,3),-1.70831 # DEPENDENCYPART_ARC
(1,4),-2.12044 # DEPENDENCYPART_ARC
(1,5),-2.35615 # DEPENDENCYPART_ARC
(1,6),-2.20366 # DEPENDENCYPART_ARC
(1,7),-1.26747 # DEPENDENCYPART_ARC
(1,8),-2.92949 # DEPENDENCYPART_ARC
(1,9),-2.86064 # DEPENDENCYPART_ARC
(1,10),-2.36947 # DEPENDENCYPART_ARC
(1,11),-3.32362 # DEPENDENCYPART_ARC
(1,12),-3.0696 # DEPENDENCYPART_ARC
(1,13),-3.38204 # DEPENDENCYPART_ARC
(1,14),-3.97172 # DEPENDENCYPART_ARC
(1,15),-4.17536 # DEPENDENCYPART_ARC
(1,16),-4.03021 # DEPENDENCYPART_ARC
(1,17),-3.75822 # DEPENDENCYPART_ARC
(1,18),-3.6698 # DEPENDENCYPART_ARC
(1,19),-3.80831 # DEPENDENCYPART_ARC
(1,20),-4.17746 # DEPENDENCYPART_ARC
(1,21),-4.66793 # DEPENDENCYPART_ARC
(1,22),-3.1673 # DEPENDENCYPART_ARC
(2,1),0.000111246 # DEPENDENCYPART_ARC
(2,3),0.492266 # DEPENDENCYPART_ARC
(2,4),-0.724104 # DEPENDENCYPART_ARC
(2,5),-1.17653 # DEPENDENCYPART_ARC
(2,6),-0.663717 # DEPENDENCYPART_ARC
(2,7),-1.01965 # DEPENDENCYPART_ARC
(2,8),-1.17597 # DEPENDENCYPART_ARC
(2,9),-0.750116 # DEPENDENCYPART_ARC
(2,10),-0.560789 # DEPENDENCYPART_ARC
(2,11),-1.75596 # DEPENDENCYPART_ARC
(2,12),-1.60668 # DEPENDENCYPART_ARC
(2,13),-1.59653 # DEPENDENCYPART_ARC
(2,14),-2.37993 # DEPENDENCYPART_ARC
(2,15),-2.67113 # DEPENDENCYPART_ARC
(2,16),-2.04851 # DEPENDENCYPART_ARC
(2,17),-2.33743 # DEPENDENCYPART_ARC
(2,18),-2.70189 # DEPENDENCYPART_ARC
(2,19),-2.32678 # DEPENDENCYPART_ARC
(2,20),-3.24689 # DEPENDENCYPART_ARC
(2,21),-3.14593 # DEPENDENCYPART_ARC
(2,22),-2.09329 # DEPENDENCYPART_ARC
(3,1),2.40262 # DEPENDENCYPART_ARC
(3,2),3.89489 # DEPENDENCYPART_ARC
(3,4),3.32104 # DEPENDENCYPART_ARC
(3,5),3.525 # DEPENDENCYPART_ARC
(3,6),1.86617 # DEPENDENCYPART_ARC
(3,7),1.43687 # DEPENDENCYPART_ARC
(3,8),0.0726621 # DEPENDENCYPART_ARC
(3,9),0.899408 # DEPENDENCYPART_ARC
(3,10),2.65689 # DEPENDENCYPART_ARC
(3,11),0.769395 # DEPENDENCYPART_ARC
(3,12),0.807372 # DEPENDENCYPART_ARC
(3,13),-0.95102 # DEPENDENCYPART_ARC
(3,14),-1.81 # DEPENDENCYPART_ARC
(3,15),-0.93677 # DEPENDENCYPART_ARC
(3,16),-0.420926 # DEPENDENCYPART_ARC
(3,17),-1.896 # DEPENDENCYPART_ARC
(3,18),0.130547 # DEPENDENCYPART_ARC
(3,19),-0.486849 # DEPENDENCYPART_ARC
(3,20),-0.796256 # DEPENDENCYPART_ARC
(3,21),-2.91342 # DEPENDENCYPART_ARC
(3,22),4.52109 # DEPENDENCYPART_ARC
(4,1),-0.973257 # DEPENDENCYPART_ARC
(4,2),-0.556433 # DEPENDENCYPART_ARC
(4,3),-0.364998 # DEPENDENCYPART_ARC
(4,5),1.00014 # DEPENDENCYPART_ARC
(4,6),0.351259 # DEPENDENCYPART_ARC
(4,7),0.182436 # DEPENDENCYPART_ARC
(4,8),-0.452738 # DEPENDENCYPART_ARC
(4,9),-0.408303 # DEPENDENCYPART_ARC
(4,10),0.329794 # DEPENDENCYPART_ARC
(4,11),-0.536111 # DEPENDENCYPART_ARC
(4,12),-1.35872 # DEPENDENCYPART_ARC
(4,13),-1.00978 # DEPENDENCYPART_ARC
(4,14),-1.87998 # DEPENDENCYPART_ARC
(4,15),-1.27727 # DEPENDENCYPART_ARC
(4,16),-1.38735 # DEPENDENCYPART_ARC
(4,17),-2.60079 # DEPENDENCYPART_ARC
(4,18),-1.79145 # DEPENDENCYPART_ARC
(4,19),-1.26113 # DEPENDENCYPART_ARC
(4,20),-1.92098 # DEPENDENCYPART_ARC
(4,21),-2.83515 # DEPENDENCYPART_ARC
(4,22),-0.123441 # DEPENDENCYPART_ARC
(5,1),0.934284 # DEPENDENCYPART_ARC
(5,2),1.29261 # DEPENDENCYPART_ARC
(5,3),0.302686 # DEPENDENCYPART_ARC
(5,4),2.80071 # DEPENDENCYPART_ARC
(5,6),1.34075 # DEPENDENCYPART_ARC
(5,7),1.19457 # DEPENDENCYPART_ARC
(5,8),0.531006 # DEPENDENCYPART_ARC
(5,9),0.419803 # DEPENDENCYPART_ARC
(5,10),-0.000897553 # DEPENDENCYPART_ARC
(5,11),-0.151386 # DEPENDENCYPART_ARC
(5,12),-0.0947081 # DEPENDENCYPART_ARC
(5,13),0.256655 # DEPENDENCYPART_ARC
(5,14),-1.48451 # DEPENDENCYPART_ARC
(5,15),-1.3525 # DEPENDENCYPART_ARC
(5,16),-0.45784 # DEPENDENCYPART_ARC
(5,17),-2.25995 # DEPENDENCYPART_ARC
(5,18),-0.566828 # DEPENDENCYPART_ARC
(5,19),-0.777799 # DEPENDENCYPART_ARC
(5,20),-0.943412 # DEPENDENCYPART_ARC
(5,21),-2.17305 # DEPENDENCYPART_ARC
(5,22),1.26893 # DEPENDENCYPART_ARC
(6,1),-1.30953 # DEPENDENCYPART_ARC
(6,2),-1.49965 # DEPENDENCYPART_ARC
(6,3),-1.15636 # DEPENDENCYPART_ARC
(6,4),-1.26262 # DEPENDENCYPART_ARC
(6,5),-0.330729 # DEPENDENCYPART_ARC
(6,7),0.620532 # DEPENDENCYPART_ARC
(6,8),-0.506229 # DEPENDENCYPART_ARC
(6,9),-0.315107 # DEPENDENCYPART_ARC
(6,10),0.924063 # DEPENDENCYPART_ARC
(6,11),-1.06506 # DEPENDENCYPART_ARC
(6,12),-1.01154 # DEPENDENCYPART_ARC
(6,13),-0.971038 # DEPENDENCYPART_ARC
(6,14),-1.7679 # DEPENDENCYPART_ARC
(6,15),-2.15251 # DEPENDENCYPART_ARC
(6,16),-1.55767 # DEPENDENCYPART_ARC
(6,17),-2.02824 # DEPENDENCYPART_ARC
(6,18),-1.80802 # DEPENDENCYPART_ARC
(6,19),-1.5618 # DEPENDENCYPART_ARC
(6,20),-1.77498 # DEPENDENCYPART_ARC
(6,21),-2.4558 # DEPENDENCYPART_ARC
(6,22),-1.48638 # DEPENDENCYPART_ARC
(7,1),0.341492 # DEPENDENCYPART_ARC
(7,2),-1.49155 # DEPENDENCYPART_ARC
(7,3),-1.37945 # DEPENDENCYPART_ARC
(7,4),-1.0804 # DEPENDENCYPART_ARC
(7,5),-0.872161 # DEPENDENCYPART_ARC
(7,6),0.323568 # DEPENDENCYPART_ARC
(7,8),-0.00289257 # DEPENDENCYPART_ARC
(7,9),-0.0339594 # DEPENDENCYPART_ARC
(7,10),-0.353895 # DEPENDENCYPART_ARC
(7,11),-0.828533 # DEPENDENCYPART_ARC
(7,12),-1.21298 # DEPENDENCYPART_ARC
(7,13),-1.12054 # DEPENDENCYPART_ARC
(7,14),-1.58053 # DEPENDENCYPART_ARC
(7,15),-2.28269 # DEPENDENCYPART_ARC
(7,16),-1.42947 # DEPENDENCYPART_ARC
(7,17),-1.84272 # DEPENDENCYPART_ARC
(7,18),-1.78132 # DEPENDENCYPART_ARC
(7,19),-1.6702 # DEPENDENCYPART_ARC
(7,20),-2.02176 # DEPENDENCYPART_ARC
(7,21),-2.33868 # DEPENDENCYPART_ARC
(7,22),-1.40603 # DEPENDENCYPART_ARC
(8,1),-1.36507 # DEPENDENCYPART_ARC
(8,2),-1.2576 # DEPENDENCYPART_ARC
(8,3),-0.850022 # DEPENDENCYPART_ARC
(8,4),-0.996268 # DEPENDENCYPART_ARC
(8,5),-0.424124 # DEPENDENCYPART_ARC
(8,6),0.937718 # DEPENDENCYPART_ARC
(8,7),0.156174 # DEPENDENCYPART_ARC
(8,9),1.46532 # DEPENDENCYPART_ARC
(8,10),0.713027 # DEPENDENCYPART_ARC
(8,11),0.242207 # DEPENDENCYPART_ARC
(8,12),-0.461934 # DEPENDENCYPART_ARC
(8,13),-0.750901 # DEPENDENCYPART_ARC
(8,14),-1.10569 # DEPENDENCYPART_ARC
(8,15),-1.808 # DEPENDENCYPART_ARC
(8,16),-0.882662 # DEPENDENCYPART_ARC
(8,17),-1.40799 # DEPENDENCYPART_ARC
(8,18),-1.55569 # DEPENDENCYPART_ARC
(8,19),-1.26726 # DEPENDENCYPART_ARC
(8,20),-2.12384 # DEPENDENCYPART_ARC
(8,21),-2.00475 # DEPENDENCYPART_ARC
(8,22),-1.00774 # DEPENDENCYPART_ARC
(9,1),2.51614 # DEPENDENCYPART_ARC
(9,2),0.581373 # DEPENDENCYPART_ARC
(9,3),1.66414 # DEPENDENCYPART_ARC
(9,4),0.124285 # DEPENDENCYPART_ARC
(9,5),0.0915398 # DEPENDENCYPART_ARC
(9,6),2.90603 # DEPENDENCYPART_ARC
(9,7),3.1801 # DEPENDENCYPART_ARC
(9,8),4.138 # DEPENDENCYPART_ARC
(9,10),3.68734 # DEPENDENCYPART_ARC
(9,11),0.285031 # DEPENDENCYPART_ARC
(9,12),0.351342 # DEPENDENCYPART_ARC
(9,13),-1.2708 # DEPENDENCYPART_ARC
(9,14),-2.32994 # DEPENDENCYPART_ARC
(9,15),-0.567282 # DEPENDENCYPART_ARC
(9,16),1.25571 # DEPENDENCYPART_ARC
(9,17),-2.30765 # DEPENDENCYPART_ARC
(9,18),-0.244734 # DEPENDENCYPART_ARC
(9,19),1.57957 # DEPENDENCYPART_ARC
(9,20),-0.714509 # DEPENDENCYPART_ARC
(9,21),-3.70507 # DEPENDENCYPART_ARC
(9,22),4.89791 # DEPENDENCYPART_ARC
(10,1),-1.7811 # DEPENDENCYPART_ARC
(10,2),-2.16404 # DEPENDENCYPART_ARC
(10,3),-1.69177 # DEPENDENCYPART_ARC
(10,4),-2.19339 # DEPENDENCYPART_ARC
