# _root_ Says James Norman , the mayor of Ava , Mo. : `` I do n't invest in stocks .
#goldHeads=0,3,1,3,6,3,6,7,8,8,1,14,14,1,14,14,16,17,1,
#predictedHeads=0,3,1,3,6,3,6,7,8,8,1,1,14,1,14,14,16,17,1,
(0,1),-1.12465 # DEPENDENCYPART_ARC
(0,2),-6.33684 # DEPENDENCYPART_ARC
(0,3),-6.24735 # DEPENDENCYPART_ARC
(0,4),-7.24635 # DEPENDENCYPART_ARC
(0,5),-8.01626 # DEPENDENCYPART_ARC
(0,6),-7.45883 # DEPENDENCYPART_ARC
(0,7),-7.72716 # DEPENDENCYPART_ARC
(0,8),-7.8516 # DEPENDENCYPART_ARC
(0,9),-7.76233 # DEPENDENCYPART_ARC
(0,10),-8.10418 # DEPENDENCYPART_ARC
(0,11),-6.32204 # DEPENDENCYPART_ARC
(0,12),-7.95044 # DEPENDENCYPART_ARC
(0,13),-6.90832 # DEPENDENCYPART_ARC
(0,14),-5.28591 # DEPENDENCYPART_ARC
(0,15),-8.06891 # DEPENDENCYPART_ARC
(0,16),-6.06011 # DEPENDENCYPART_ARC
(0,17),-9.50262 # DEPENDENCYPART_ARC
(0,18),-6.38454 # DEPENDENCYPART_ARC
(0,19),-5.92994 # DEPENDENCYPART_ARC
(1,2),2.3028 # DEPENDENCYPART_ARC
(1,3),3.08836 # DEPENDENCYPART_ARC
(1,4),1.96583 # DEPENDENCYPART_ARC
(1,5),0.0908422 # DEPENDENCYPART_ARC
(1,6),0.435845 # DEPENDENCYPART_ARC
(1,7),-0.718319 # DEPENDENCYPART_ARC
(1,8),0.44737 # DEPENDENCYPART_ARC
(1,9),1.58689 # DEPENDENCYPART_ARC
(1,10),-0.314733 # DEPENDENCYPART_ARC
(1,11),3.09304 # DEPENDENCYPART_ARC
(1,12),3.6351 # DEPENDENCYPART_ARC
(1,13),-0.285227 # DEPENDENCYPART_ARC
(1,14),2.86067 # DEPENDENCYPART_ARC
(1,15),-0.439986 # DEPENDENCYPART_ARC
(1,16),0.720611 # DEPENDENCYPART_ARC
(1,17),-2.74214 # DEPENDENCYPART_ARC
(1,18),-2.07548 # DEPENDENCYPART_ARC
(1,19),5.8149 # DEPENDENCYPART_ARC
(2,1),-0.414508 # DEPENDENCYPART_ARC
(2,3),1.68629 # DEPENDENCYPART_ARC
(2,4),1.22758 # DEPENDENCYPART_ARC
(2,5),-0.357909 # DEPENDENCYPART_ARC
(2,6),0.337596 # DEPENDENCYPART_ARC
(2,7),-0.0384597 # DEPENDENCYPART_ARC
(2,8),-1.10361 # DEPENDENCYPART_ARC
(2,9),0.842134 # DEPENDENCYPART_ARC
(2,10),-0.831579 # DEPENDENCYPART_ARC
(2,11),0.00908981 # DEPENDENCYPART_ARC
(2,12),-0.231373 # DEPENDENCYPART_ARC
(2,13),-1.45093 # DEPENDENCYPART_ARC
(2,14),-1.15991 # DEPENDENCYPART_ARC
(2,15),-2.07097 # DEPENDENCYPART_ARC
(2,16),-2.36719 # DEPENDENCYPART_ARC
(2,17),-3.10752 # DEPENDENCYPART_ARC
(2,18),-2.20605 # DEPENDENCYPART_ARC
(2,19),0.844502 # DEPENDENCYPART_ARC
(3,1),0.194487 # DEPENDENCYPART_ARC
(3,2),4.84468 # DEPENDENCYPART_ARC
(3,4),3.32132 # DEPENDENCYPART_ARC
(3,5),0.810294 # DEPENDENCYPART_ARC
(3,6),2.12597 # DEPENDENCYPART_ARC
(3,7),0.972793 # DEPENDENCYPART_ARC
(3,8),0.672209 # DEPENDENCYPART_ARC
(3,9),1.76029 # DEPENDENCYPART_ARC
(3,10),0.481004 # DEPENDENCYPART_ARC
(3,11),1.30791 # DEPENDENCYPART_ARC
(3,12),0.779609 # DEPENDENCYPART_ARC
(3,13),-0.0132369 # DEPENDENCYPART_ARC
(3,14),0.218449 # DEPENDENCYPART_ARC
(3,15),-0.657984 # DEPENDENCYPART_ARC
(3,16),-1.08031 # DEPENDENCYPART_ARC
(3,17),-1.87232 # DEPENDENCYPART_ARC
(3,18),-0.97992 # DEPENDENCYPART_ARC
(3,19),1.71094 # DEPENDENCYPART_ARC
(4,1),-1.34145 # DEPENDENCYPART_ARC
(4,2),-1.66804 # DEPENDENCYPART_ARC
(4,3),-1.11475 # DEPENDENCYPART_ARC
(4,5),-0.424934 # DEPENDENCYPART_ARC
(4,6),-1.19651 # DEPENDENCYPART_ARC
(4,7),-0.933325 # DEPENDENCYPART_ARC
(4,8),-1.24588 # DEPENDENCYPART_ARC
(4,9),-0.156696 # DEPENDENCYPART_ARC
(4,10),-1.84661 # DEPENDENCYPART_ARC
(4,11),-0.905496 # DEPENDENCYPART_ARC
(4,12),-1.02883 # DEPENDENCYPART_ARC
(4,13),-2.0266 # DEPENDENCYPART_ARC
(4,14),-1.96467 # DEPENDENCYPART_ARC
(4,15),-2.24101 # DEPENDENCYPART_ARC
(4,16),-2.04604 # DEPENDENCYPART_ARC
(4,17),-2.04986 # DEPENDENCYPART_ARC
(4,18),-2.89896 # DEPENDENCYPART_ARC
(4,19),-1.90035 # DEPENDENCYPART_ARC
(5,1),-2.05832 # DEPENDENCYPART_ARC
(5,2),-1.61767 # DEPENDENCYPART_ARC
(5,3),-1.4966 # DEPENDENCYPART_ARC
(5,4),-0.611638 # DEPENDENCYPART_ARC
(5,6),-0.163428 # DEPENDENCYPART_ARC
(5,7),-0.63403 # DEPENDENCYPART_ARC
(5,8),-1.24046 # DEPENDENCYPART_ARC
(5,9),-1.25533 # DEPENDENCYPART_ARC
(5,10),-1.57123 # DEPENDENCYPART_ARC
(5,11),-0.691644 # DEPENDENCYPART_ARC
(5,12),-1.60544 # DEPENDENCYPART_ARC
(5,13),-2.00232 # DEPENDENCYPART_ARC
(5,14),-2.10877 # DEPENDENCYPART_ARC
(5,15),-2.02312 # DEPENDENCYPART_ARC
(5,16),-2.64 # DEPENDENCYPART_ARC
(5,17),-2.99649 # DEPENDENCYPART_ARC
(5,18),-2.3958 # DEPENDENCYPART_ARC
(5,19),-1.70436 # DEPENDENCYPART_ARC
(6,1),-1.15074 # DEPENDENCYPART_ARC
(6,2),-0.0178714 # DEPENDENCYPART_ARC
(6,3),-0.924709 # DEPENDENCYPART_ARC
(6,4),0.118678 # DEPENDENCYPART_ARC
(6,5),3.63247 # DEPENDENCYPART_ARC
(6,7),3.9128 # DEPENDENCYPART_ARC
(6,8),1.38721 # DEPENDENCYPART_ARC
(6,9),1.72343 # DEPENDENCYPART_ARC
(6,10),0.851632 # DEPENDENCYPART_ARC
(6,11),1.56192 # DEPENDENCYPART_ARC
(6,12),1.51995 # DEPENDENCYPART_ARC
(6,13),0.280046 # DEPENDENCYPART_ARC
(6,14),1.30345 # DEPENDENCYPART_ARC
(6,15),-0.374749 # DEPENDENCYPART_ARC
(6,16),0.276199 # DEPENDENCYPART_ARC
(6,17),-0.263347 # DEPENDENCYPART_ARC
(6,18),-0.159619 # DEPENDENCYPART_ARC
(6,19),2.60229 # DEPENDENCYPART_ARC
(7,1),-1.19744 # DEPENDENCYPART_ARC
(7,2),-1.1247 # DEPENDENCYPART_ARC
(7,3),-1.13412 # DEPENDENCYPART_ARC
(7,4),-0.717212 # DEPENDENCYPART_ARC
(7,5),-0.32716 # DEPENDENCYPART_ARC
(7,6),0.590289 # DEPENDENCYPART_ARC
(7,8),3.53496 # DEPENDENCYPART_ARC
(7,9),0.240567 # DEPENDENCYPART_ARC
(7,10),1.35816 # DEPENDENCYPART_ARC
(7,11),0.36509 # DEPENDENCYPART_ARC
(7,12),-0.39709 # DEPENDENCYPART_ARC
(7,13),-0.818083 # DEPENDENCYPART_ARC
(7,14),-1.06919 # DEPENDENCYPART_ARC
(7,15),-1.1385 # DEPENDENCYPART_ARC
(7,16),-1.03956 # DEPENDENCYPART_ARC
(7,17),-1.53683 # DEPENDENCYPART_ARC
(7,18),-2.53822 # DEPENDENCYPART_ARC
(7,19),-0.391792 # DEPENDENCYPART_ARC
(8,1),-2.8242 # DEPENDENCYPART_ARC
(8,2),-0.987306 # DEPENDENCYPART_ARC
(8,3),-1.65007 # DEPENDENCYPART_ARC
(8,4),-1.16668 # DEPENDENCYPART_ARC
(8,5),0.790895 # DEPENDENCYPART_ARC
(8,6),-0.908455 # DEPENDENCYPART_ARC
(8,7),0.637772 # DEPENDENCYPART_ARC
(8,9),3.88525 # DEPENDENCYPART_ARC
(8,10),2.81051 # DEPENDENCYPART_ARC
(8,11),1.18713 # DEPENDENCYPART_ARC
(8,12),1.33519 # DEPENDENCYPART_ARC
(8,13),0.500033 # DEPENDENCYPART_ARC
(8,14),0.579767 # DEPENDENCYPART_ARC
(8,15),-0.0579808 # DEPENDENCYPART_ARC
(8,16),-0.593598 # DEPENDENCYPART_ARC
(8,17),-0.625101 # DEPENDENCYPART_ARC
(8,18),-0.552869 # DEPENDENCYPART_ARC
(8,19),1.54197 # DEPENDENCYPART_ARC
(9,1),-1.92616 # DEPENDENCYPART_ARC
(9,2),-2.09115 # DEPENDENCYPART_ARC
(9,3),-2.11331 # DEPENDENCYPART_ARC
(9,4),-0.396445 # DEPENDENCYPART_ARC
(9,5),-0.989907 # DEPENDENCYPART_ARC
(9,6),-1.07794 # DEPENDENCYPART_ARC
(9,7),-1.11543 # DEPENDENCYPART_ARC
(9,8),-0.972168 # DEPENDENCYPART_ARC
(9,10),-0.266217 # DEPENDENCYPART_ARC
(9,11),-0.842023 # DEPENDENCYPART_ARC
(9,12),-0.774225 # DEPENDENCYPART_ARC
(9,13),-1.69751 # DEPENDENCYPART_ARC
(9,14),-1.54656 # DEPENDENCYPART_ARC
(9,15),-1.86768 # DEPENDENCYPART_ARC
(9,16),-1.72436 # DEPENDENCYPART_ARC
(9,17),-1.89116 # DEPENDENCYPART_ARC
(9,18),-2.47889 # DEPENDENCYPART_ARC
(9,19),-1.69745 # DEPENDENCYPART_ARC
(10,1),-2.11817 # DEPENDENCYPART_ARC
(10,2),-1.30399 # DEPENDENCYPART_ARC
(10,3),-2.25453 # DEPENDENCYPART_ARC
(10,4),-1.16875 # DEPENDENCYPART_ARC
(10,5),0.904615 # DEPENDENCYPART_ARC
(10,6),-0.556776 # DEPENDENCYPART_ARC
(10,7),0.231217 # DEPENDENCYPART_ARC
(10,8),2.33005 # DEPENDENCYPART_ARC
(10,9),1.90289 # DEPENDENCYPART_ARC
(10,11),0.624878 # DEPENDENCYPART_ARC
(10,12),0.672618 # DEPENDENCYPART_ARC
(10,13),0.350685 # DEPENDENCYPART_ARC
(10,14),0.120329 # DEPENDENCYPART_ARC
(10,15),-0.636008 # DEPENDENCYPART_ARC
(10,16),-0.923664 # DEPENDENCYPART_ARC
(10,17),-1.02191 # DEPENDENCYPART_ARC
(10,18),-1.17501 # DEPENDENCYPART_ARC
(10,19),1.78277 # DEPENDENCYPART_ARC
(11,1),-1.85222 # DEPENDENCYPART_ARC
(11,2),-0.878253 # DEPENDENCYPART_ARC
(11,3),-0.900447 # DEPENDENCYPART_ARC
(11,4),-0.65233 # DEPENDENCYPART_ARC
(11,5),-0.936694 # DEPENDENCYPART_ARC
(11,6),-1.72727 # DEPENDENCYPART_ARC
(11,7),-0.751869 # DEPENDENCYPART_ARC
(11,8),-0.5985 # DEPENDENCYPART_ARC
(11,9),-0.274045 # DEPENDENCYPART_ARC
(11,10),-0.175614 # DEPENDENCYPART_ARC
(11,12),-0.158588 # DEPENDENCYPART_ARC
(11,13),-0.585693 # DEPENDENCYPART_ARC
(11,14),-0.485849 # DEPENDENCYPART_ARC
(11,15),-0.982578 # DEPENDENCYPART_ARC
(11,16),-1.04709 # DEPENDENCYPART_ARC
(11,17),-1.24164 # DEPENDENCYPART_ARC
(11,18),-1.66975 # DEPENDENCYPART_ARC
(11,19),-0.771169 # DEPENDENCYPART_ARC
(12,1),-3.23365 # DEPENDENCYPART_ARC
(12,2),-3.05738 # DEPENDENCYPART_ARC
(12,3),-2.98959 # DEPENDENCYPART_ARC
(12,4),-2.75793 # DEPENDENCYPART_ARC
(12,5),-2.38132 # DEPENDENCYPART_ARC
(12,6),-2.62528 # DEPENDENCYPART_ARC
(12,7),-2.4054 # DEPENDENCYPART_ARC
(12,8),-2.29294 # DEPENDENCYPART_ARC
(12,9),-1.72941 # DEPENDENCYPART_ARC
(12,10),-1.86424 # DEPENDENCYPART_ARC
(12,11),-0.91461 # DEPENDENCYPART_ARC
(12,13),-0.423201 # DEPENDENCYPART_ARC
(12,14),-1.0599 # DEPENDENCYPART_ARC
(12,15),-1.024 # DEPENDENCYPART_ARC
(12,16),-1.47373 # DEPENDENCYPART_ARC
(12,17),-1.61659 # DEPENDENCYPART_ARC
(12,18),-2.11906 # DEPENDENCYPART_ARC
(12,19),-1.11813 # DEPENDENCYPART_ARC
(13,1),-2.40833 # DEPENDENCYPART_ARC
(13,2),-2.8504 # DEPENDENCYPART_ARC
(13,3),-2.58289 # DEPENDENCYPART_ARC
(13,4),-1.33027 # DEPENDENCYPART_ARC
(13,5),-1.68545 # DEPENDENCYPART_ARC
(13,6),-2.19593 # DEPENDENCYPART_ARC
(13,7),-1.38254 # DEPENDENCYPART_ARC
(13,8),-1.86949 # DEPENDENCYPART_ARC
(13,9),-0.488397 # DEPENDENCYPART_ARC
(13,10),-1.19162 # DEPENDENCYPART_ARC
(13,11),-0.573643 # DEPENDENCYPART_ARC
(13,12),-0.13935 # DEPENDENCYPART_ARC
(13,14),0.973139 # DEPENDENCYPART_ARC
(13,15),0.162048 # DEPENDENCYPART_ARC
(13,16),-0.555334 # DEPENDENCYPART_ARC
(13,17),0.354429 # DEPENDENCYPART_ARC
(13,18),-0.217741 # DEPENDENCYPART_ARC
(13,19),0.0152988 # DEPENDENCYPART_ARC
(14,1),0.000110484 # DEPENDENCYPART_ARC
(14,2),-0.262294 # DEPENDENCYPART_ARC
(14,3),-0.527561 # DEPENDENCYPART_ARC
(14,4),0.834719 # DEPENDENCYPART_ARC
(14,5),0.308994 # DEPENDENCYPART_ARC
(14,6),0.56313 # DEPENDENCYPART_ARC
(14,7),-0.0495654 # DEPENDENCYPART_ARC
(14,8),0.274368 # DEPENDENCYPART_ARC
(14,9),1.60939 # DEPENDENCYPART_ARC
(14,10),0.3032 # DEPENDENCYPART_ARC
(14,11),1.33717 # DEPENDENCYPART_ARC
(14,12),1.7415 # DEPENDENCYPART_ARC
(14,13),4.08031 # DEPENDENCYPART_ARC
(14,15),4.53462 # DEPENDENCYPART_ARC
(14,16),3.43432 # DEPENDENCYPART_ARC
(14,17),0.974086 # DEPENDENCYPART_ARC
(14,18),0.460629 # DEPENDENCYPART_ARC
(14,19),3.44245 # DEPENDENCYPART_ARC
(15,1),-2.28715 # DEPENDENCYPART_ARC
(15,2),-2.1088 # DEPENDENCYPART_ARC
(15,3),-2.08126 # DEPENDENCYPART_ARC
(15,4),-1.54975 # DEPENDENCYPART_ARC
(15,5),-0.631467 # DEPENDENCYPART_ARC
(15,6),-1.42845 # DEPENDENCYPART_ARC
(15,7),-0.978463 # DEPENDENCYPART_ARC
(15,8),-1.33188 # DEPENDENCYPART_ARC
(15,9),-0.99038 # DEPENDENCYPART_ARC
(15,10),-1.27575 # DEPENDENCYPART_ARC
(15,11),-0.0984116 # DEPENDENCYPART_ARC
(15,12),-0.390176 # DEPENDENCYPART_ARC
(15,13),0.0364383 # DEPENDENCYPART_ARC
(15,14),0.00139693 # DEPENDENCYPART_ARC
(15,16),-0.0742175 # DEPENDENCYPART_ARC
(15,17),-0.532538 # DEPENDENCYPART_ARC
(15,18),-1.11515 # DEPENDENCYPART_ARC
(15,19),-1.96477 # DEPENDENCYPART_ARC
(16,1),-1.38102 # DEPENDENCYPART_ARC
(16,2),-1.18238 # DEPENDENCYPART_ARC
(16,3),-1.31933 # DEPENDENCYPART_ARC
