# _root_ The decline in the German Stock Index of 203.56 points , or 12.8 % , to 1385.72 was the Frankfurt market 's steepest fall ever .
#goldHeads=2,18,2,7,7,7,3,2,10,8,10,10,14,12,10,2,16,0,21,21,24,21,24,18,24,18,
#predictedHeads=2,18,2,7,7,7,3,7,10,8,10,10,14,12,18,2,16,0,21,21,24,21,24,18,24,18,
(0,1),-6.22455 # DEPENDENCYPART_ARC
(0,2),-6.53593 # DEPENDENCYPART_ARC
(0,3),-6.51107 # DEPENDENCYPART_ARC
(0,4),-7.2987 # DEPENDENCYPART_ARC
(0,5),-6.52078 # DEPENDENCYPART_ARC
(0,6),-6.23601 # DEPENDENCYPART_ARC
(0,7),-6.10105 # DEPENDENCYPART_ARC
(0,8),-7.92076 # DEPENDENCYPART_ARC
(0,9),-8.12775 # DEPENDENCYPART_ARC
(0,10),-5.37573 # DEPENDENCYPART_ARC
(0,11),-7.20811 # DEPENDENCYPART_ARC
(0,12),-7.74491 # DEPENDENCYPART_ARC
(0,13),-8.37264 # DEPENDENCYPART_ARC
(0,14),-7.57207 # DEPENDENCYPART_ARC
(0,15),-7.81272 # DEPENDENCYPART_ARC
(0,16),-7.82591 # DEPENDENCYPART_ARC
(0,17),-8.83187 # DEPENDENCYPART_ARC
(0,18),-2.55393 # DEPENDENCYPART_ARC
(0,19),-8.86144 # DEPENDENCYPART_ARC
(0,20),-8.14338 # DEPENDENCYPART_ARC
(0,21),-7.33237 # DEPENDENCYPART_ARC
(0,22),-10.0921 # DEPENDENCYPART_ARC
(0,23),-8.80308 # DEPENDENCYPART_ARC
(0,24),-7.87464 # DEPENDENCYPART_ARC
(0,25),-8.74557 # DEPENDENCYPART_ARC
(0,26),-5.64793 # DEPENDENCYPART_ARC
(1,2),-0.575705 # DEPENDENCYPART_ARC
(1,3),-1.39984 # DEPENDENCYPART_ARC
(1,4),-2.28638 # DEPENDENCYPART_ARC
(1,5),-1.88857 # DEPENDENCYPART_ARC
(1,6),-2.15188 # DEPENDENCYPART_ARC
(1,7),-2.49471 # DEPENDENCYPART_ARC
(1,8),-1.86969 # DEPENDENCYPART_ARC
(1,9),-2.17413 # DEPENDENCYPART_ARC
(1,10),-2.42556 # DEPENDENCYPART_ARC
(1,11),-1.37966 # DEPENDENCYPART_ARC
(1,12),-2.24154 # DEPENDENCYPART_ARC
(1,13),-2.78041 # DEPENDENCYPART_ARC
(1,14),-3.17031 # DEPENDENCYPART_ARC
(1,15),-1.83234 # DEPENDENCYPART_ARC
(1,16),-2.80199 # DEPENDENCYPART_ARC
(1,17),-3.38958 # DEPENDENCYPART_ARC
(1,18),-4.33966 # DEPENDENCYPART_ARC
(1,19),-4.20573 # DEPENDENCYPART_ARC
(1,20),-4.04127 # DEPENDENCYPART_ARC
(1,21),-3.71136 # DEPENDENCYPART_ARC
(1,22),-4.35226 # DEPENDENCYPART_ARC
(1,23),-4.56141 # DEPENDENCYPART_ARC
(1,24),-4.08118 # DEPENDENCYPART_ARC
(1,25),-4.16926 # DEPENDENCYPART_ARC
(1,26),-3.17138 # DEPENDENCYPART_ARC
(2,1),4.72417 # DEPENDENCYPART_ARC
(2,3),3.69602 # DEPENDENCYPART_ARC
(2,4),0.757304 # DEPENDENCYPART_ARC
(2,5),0.918359 # DEPENDENCYPART_ARC
(2,6),0.818983 # DEPENDENCYPART_ARC
(2,7),0.803316 # DEPENDENCYPART_ARC
(2,8),0.93515 # DEPENDENCYPART_ARC
(2,9),0.661716 # DEPENDENCYPART_ARC
(2,10),0.671014 # DEPENDENCYPART_ARC
(2,11),1.14282 # DEPENDENCYPART_ARC
(2,12),0.934435 # DEPENDENCYPART_ARC
(2,13),-0.0949022 # DEPENDENCYPART_ARC
(2,14),-0.78968 # DEPENDENCYPART_ARC
(2,15),1.34911 # DEPENDENCYPART_ARC
(2,16),1.64548 # DEPENDENCYPART_ARC
(2,17),-0.778781 # DEPENDENCYPART_ARC
(2,18),-0.575648 # DEPENDENCYPART_ARC
(2,19),-0.975254 # DEPENDENCYPART_ARC
(2,20),-1.4291 # DEPENDENCYPART_ARC
(2,21),-0.672217 # DEPENDENCYPART_ARC
(2,22),-2.11128 # DEPENDENCYPART_ARC
(2,23),-0.680563 # DEPENDENCYPART_ARC
(2,24),-0.808955 # DEPENDENCYPART_ARC
(2,25),-1.54112 # DEPENDENCYPART_ARC
(2,26),0.228683 # DEPENDENCYPART_ARC
(3,1),0.0428201 # DEPENDENCYPART_ARC
(3,2),0.25608 # DEPENDENCYPART_ARC
(3,4),0.65657 # DEPENDENCYPART_ARC
(3,5),1.30535 # DEPENDENCYPART_ARC
(3,6),2.07215 # DEPENDENCYPART_ARC
(3,7),3.43292 # DEPENDENCYPART_ARC
(3,8),-0.619563 # DEPENDENCYPART_ARC
(3,9),-0.748938 # DEPENDENCYPART_ARC
(3,10),1.3187 # DEPENDENCYPART_ARC
(3,11),0.97396 # DEPENDENCYPART_ARC
(3,12),-0.658354 # DEPENDENCYPART_ARC
(3,13),-1.63801 # DEPENDENCYPART_ARC
(3,14),-2.9524 # DEPENDENCYPART_ARC
(3,15),0.0202758 # DEPENDENCYPART_ARC
(3,16),-4.21354 # DEPENDENCYPART_ARC
(3,17),-1.1719 # DEPENDENCYPART_ARC
(3,18),-2.08643 # DEPENDENCYPART_ARC
(3,19),-3.2231 # DEPENDENCYPART_ARC
(3,20),-7.12413 # DEPENDENCYPART_ARC
(3,21),-4.81441 # DEPENDENCYPART_ARC
(3,22),-2.22913 # DEPENDENCYPART_ARC
(3,23),-1.51505 # DEPENDENCYPART_ARC
(3,24),-5.89587 # DEPENDENCYPART_ARC
(3,25),-2.12973 # DEPENDENCYPART_ARC
(3,26),-0.340064 # DEPENDENCYPART_ARC
(4,1),-1.53068 # DEPENDENCYPART_ARC
(4,2),-2.49674 # DEPENDENCYPART_ARC
(4,3),-1.66341 # DEPENDENCYPART_ARC
(4,5),-0.0818171 # DEPENDENCYPART_ARC
(4,6),-1.20678 # DEPENDENCYPART_ARC
(4,7),-1.33967 # DEPENDENCYPART_ARC
(4,8),-0.969899 # DEPENDENCYPART_ARC
(4,9),-1.07195 # DEPENDENCYPART_ARC
(4,10),-1.86956 # DEPENDENCYPART_ARC
(4,11),-1.20512 # DEPENDENCYPART_ARC
