# _root_ The average plunged some 600 points , or 1.7 % , in the first 20 minutes of trading .
#goldHeads=2,3,0,6,4,3,6,6,10,8,6,3,16,16,16,12,16,17,3,
#predictedHeads=2,3,0,6,4,3,3,6,10,8,3,3,16,16,16,12,16,17,3,
(0,1),-6.22455 # DEPENDENCYPART_ARC
(0,2),-5.49066 # DEPENDENCYPART_ARC
(0,3),-2.89333 # DEPENDENCYPART_ARC
(0,4),-7.06586 # DEPENDENCYPART_ARC
(0,5),-7.39128 # DEPENDENCYPART_ARC
(0,6),-5.51638 # DEPENDENCYPART_ARC
(0,7),-6.68049 # DEPENDENCYPART_ARC
(0,8),-7.44813 # DEPENDENCYPART_ARC
(0,9),-8.03342 # DEPENDENCYPART_ARC
(0,10),-7.17009 # DEPENDENCYPART_ARC
(0,11),-7.14095 # DEPENDENCYPART_ARC
(0,12),-7.23627 # DEPENDENCYPART_ARC
(0,13),-8.12056 # DEPENDENCYPART_ARC
(0,14),-7.18436 # DEPENDENCYPART_ARC
(0,15),-8.53123 # DEPENDENCYPART_ARC
(0,16),-6.97093 # DEPENDENCYPART_ARC
(0,17),-8.57366 # DEPENDENCYPART_ARC
(0,18),-6.45197 # DEPENDENCYPART_ARC
(0,19),-5.68384 # DEPENDENCYPART_ARC
(1,2),-0.676065 # DEPENDENCYPART_ARC
(1,3),-0.756754 # DEPENDENCYPART_ARC
(1,4),-2.52965 # DEPENDENCYPART_ARC
(1,5),-1.57497 # DEPENDENCYPART_ARC
(1,6),-2.23723 # DEPENDENCYPART_ARC
(1,7),-1.33355 # DEPENDENCYPART_ARC
(1,8),-1.83505 # DEPENDENCYPART_ARC
(1,9),-2.4526 # DEPENDENCYPART_ARC
(1,10),-2.80775 # DEPENDENCYPART_ARC
(1,11),-1.67597 # DEPENDENCYPART_ARC
(1,12),-3.08214 # DEPENDENCYPART_ARC
(1,13),-3.84309 # DEPENDENCYPART_ARC
(1,14),-3.40571 # DEPENDENCYPART_ARC
(1,15),-3.4094 # DEPENDENCYPART_ARC
(1,16),-3.55227 # DEPENDENCYPART_ARC
(1,17),-3.51713 # DEPENDENCYPART_ARC
(1,18),-3.72425 # DEPENDENCYPART_ARC
(1,19),-2.33165 # DEPENDENCYPART_ARC
(2,1),4.19854 # DEPENDENCYPART_ARC
(2,3),0.976159 # DEPENDENCYPART_ARC
(2,4),-0.0787681 # DEPENDENCYPART_ARC
(2,5),0.279367 # DEPENDENCYPART_ARC
(2,6),-0.097094 # DEPENDENCYPART_ARC
(2,7),-0.00409544 # DEPENDENCYPART_ARC
(2,8),-0.304112 # DEPENDENCYPART_ARC
(2,9),-0.62716 # DEPENDENCYPART_ARC
(2,10),-1.7773 # DEPENDENCYPART_ARC
(2,11),-0.113299 # DEPENDENCYPART_ARC
(2,12),-0.783121 # DEPENDENCYPART_ARC
(2,13),-1.02473 # DEPENDENCYPART_ARC
(2,14),-0.512309 # DEPENDENCYPART_ARC
(2,15),-1.36415 # DEPENDENCYPART_ARC
(2,16),-1.93566 # DEPENDENCYPART_ARC
(2,17),-2.89203 # DEPENDENCYPART_ARC
(2,18),-2.22109 # DEPENDENCYPART_ARC
(2,19),0.664973 # DEPENDENCYPART_ARC
(3,1),1.00783 # DEPENDENCYPART_ARC
(3,2),3.13273 # DEPENDENCYPART_ARC
(3,4),1.78387 # DEPENDENCYPART_ARC
(3,5),1.70134 # DEPENDENCYPART_ARC
(3,6),2.7376 # DEPENDENCYPART_ARC
(3,7),2.90842 # DEPENDENCYPART_ARC
(3,8),0.661732 # DEPENDENCYPART_ARC
(3,9),0.116063 # DEPENDENCYPART_ARC
(3,10),1.44759 # DEPENDENCYPART_ARC
(3,11),2.32077 # DEPENDENCYPART_ARC
(3,12),1.91399 # DEPENDENCYPART_ARC
(3,13),-0.513251 # DEPENDENCYPART_ARC
(3,14),-0.342038 # DEPENDENCYPART_ARC
(3,15),-0.181962 # DEPENDENCYPART_ARC
(3,16),0.141382 # DEPENDENCYPART_ARC
(3,17),-0.759885 # DEPENDENCYPART_ARC
(3,18),-1.14232 # DEPENDENCYPART_ARC
(3,19),5.33618 # DEPENDENCYPART_ARC
(4,1),0.414067 # DEPENDENCYPART_ARC
(4,2),-0.622063 # DEPENDENCYPART_ARC
(4,3),0.288878 # DEPENDENCYPART_ARC
(4,5),5.01989 # DEPENDENCYPART_ARC
(4,6),1.57426 # DEPENDENCYPART_ARC
(4,7),1.75881 # DEPENDENCYPART_ARC
(4,8),1.51294 # DEPENDENCYPART_ARC
(4,9),2.88476 # DEPENDENCYPART_ARC
(4,10),0.427809 # DEPENDENCYPART_ARC
(4,11),1.47812 # DEPENDENCYPART_ARC
(4,12),1.06131 # DEPENDENCYPART_ARC
(4,13),-0.165814 # DEPENDENCYPART_ARC
(4,14),0.148754 # DEPENDENCYPART_ARC
(4,15),1.73119 # DEPENDENCYPART_ARC
(4,16),-0.0913031 # DEPENDENCYPART_ARC
(4,17),0.496424 # DEPENDENCYPART_ARC
(4,18),-0.396558 # DEPENDENCYPART_ARC
(4,19),1.32964 # DEPENDENCYPART_ARC
(5,1),0.592689 # DEPENDENCYPART_ARC
(5,2),-0.476721 # DEPENDENCYPART_ARC
(5,3),0.0308001 # DEPENDENCYPART_ARC
(5,4),1.85198 # DEPENDENCYPART_ARC
(5,6),0.418881 # DEPENDENCYPART_ARC
(5,7),-0.0975902 # DEPENDENCYPART_ARC
(5,8),0.439908 # DEPENDENCYPART_ARC
(5,9),-0.846059 # DEPENDENCYPART_ARC
(5,10),-1.17334 # DEPENDENCYPART_ARC
(5,11),0.205837 # DEPENDENCYPART_ARC
(5,12),-0.426353 # DEPENDENCYPART_ARC
(5,13),-1.49339 # DEPENDENCYPART_ARC
(5,14),-1.25164 # DEPENDENCYPART_ARC
(5,15),-1.43624 # DEPENDENCYPART_ARC
(5,16),-1.5532 # DEPENDENCYPART_ARC
(5,17),-1.49165 # DEPENDENCYPART_ARC
