# _root_ NASA should now sue for fines against all three politico-plaintiffs , foreign and domestic , for bringing this mischievous case .
#goldHeads=2,0,2,2,4,5,6,10,10,7,10,10,12,13,10,6,16,20,20,17,2,
#predictedHeads=2,0,2,2,4,5,6,10,10,7,10,10,12,13,10,4,16,20,20,17,2,
(0,1),-6.03499 # DEPENDENCYPART_ARC
(0,2),-3.43663 # DEPENDENCYPART_ARC
(0,3),-6.4755 # DEPENDENCYPART_ARC
(0,4),-5.28154 # DEPENDENCYPART_ARC
(0,5),-7.19207 # DEPENDENCYPART_ARC
(0,6),-6.75535 # DEPENDENCYPART_ARC
(0,7),-7.42681 # DEPENDENCYPART_ARC
(0,8),-7.72774 # DEPENDENCYPART_ARC
(0,9),-8.54095 # DEPENDENCYPART_ARC
(0,10),-6.80185 # DEPENDENCYPART_ARC
(0,11),-7.36109 # DEPENDENCYPART_ARC
(0,12),-7.09093 # DEPENDENCYPART_ARC
(0,13),-8.26733 # DEPENDENCYPART_ARC
(0,14),-7.14454 # DEPENDENCYPART_ARC
(0,15),-7.94875 # DEPENDENCYPART_ARC
(0,16),-7.94205 # DEPENDENCYPART_ARC
(0,17),-7.67096 # DEPENDENCYPART_ARC
(0,18),-8.67508 # DEPENDENCYPART_ARC
(0,19),-7.61618 # DEPENDENCYPART_ARC
(0,20),-6.5614 # DEPENDENCYPART_ARC
(0,21),-6.15422 # DEPENDENCYPART_ARC
(1,2),0.790644 # DEPENDENCYPART_ARC
(1,3),-0.183021 # DEPENDENCYPART_ARC
(1,4),-0.455731 # DEPENDENCYPART_ARC
(1,5),0.0648795 # DEPENDENCYPART_ARC
(1,6),-0.691073 # DEPENDENCYPART_ARC
(1,7),-0.862127 # DEPENDENCYPART_ARC
(1,8),-0.964627 # DEPENDENCYPART_ARC
(1,9),-1.28499 # DEPENDENCYPART_ARC
(1,10),-1.19569 # DEPENDENCYPART_ARC
(1,11),-0.241774 # DEPENDENCYPART_ARC
(1,12),-1.25077 # DEPENDENCYPART_ARC
(1,13),-0.480094 # DEPENDENCYPART_ARC
(1,14),-1.25547 # DEPENDENCYPART_ARC
(1,15),-0.982418 # DEPENDENCYPART_ARC
(1,16),-1.98924 # DEPENDENCYPART_ARC
(1,17),-1.46519 # DEPENDENCYPART_ARC
(1,18),-2.10933 # DEPENDENCYPART_ARC
(1,19),-1.8704 # DEPENDENCYPART_ARC
(1,20),-2.78497 # DEPENDENCYPART_ARC
(1,21),0.660496 # DEPENDENCYPART_ARC
(2,1),3.33476 # DEPENDENCYPART_ARC
(2,3),3.98854 # DEPENDENCYPART_ARC
(2,4),4.03794 # DEPENDENCYPART_ARC
(2,5),1.09597 # DEPENDENCYPART_ARC
(2,6),1.03722 # DEPENDENCYPART_ARC
(2,7),0.936153 # DEPENDENCYPART_ARC
(2,8),0.538318 # DEPENDENCYPART_ARC
(2,9),-0.181611 # DEPENDENCYPART_ARC
(2,10),0.118163 # DEPENDENCYPART_ARC
(2,11),1.57655 # DEPENDENCYPART_ARC
(2,12),-0.0487269 # DEPENDENCYPART_ARC
(2,13),0.401347 # DEPENDENCYPART_ARC
(2,14),-0.290416 # DEPENDENCYPART_ARC
(2,15),0.618729 # DEPENDENCYPART_ARC
(2,16),0.90984 # DEPENDENCYPART_ARC
(2,17),0.554149 # DEPENDENCYPART_ARC
