# _root_ He said the third-quarter estimate indicates profit for the nine months of $ 4.65 a share , `` almost equal to the full-year 1988 earnings '' of $ 108.6 million , or $ 4.81 a share .
#goldHeads=2,0,5,5,6,2,6,7,11,11,8,7,12,13,16,13,7,20,20,7,20,25,25,25,21,25,25,27,28,28,28,28,32,33,36,33,2,
#predictedHeads=2,0,5,5,6,2,6,7,11,11,8,11,12,13,16,13,13,20,20,13,20,25,25,25,21,25,25,27,28,28,28,28,32,33,36,33,2,
(0,1),-4.82566 # DEPENDENCYPART_ARC
(0,2),-1.18521 # DEPENDENCYPART_ARC
(0,3),-6.82803 # DEPENDENCYPART_ARC
(0,4),-6.50498 # DEPENDENCYPART_ARC
(0,5),-5.94828 # DEPENDENCYPART_ARC
(0,6),-3.26929 # DEPENDENCYPART_ARC
(0,7),-6.72571 # DEPENDENCYPART_ARC
(0,8),-5.80979 # DEPENDENCYPART_ARC
(0,9),-7.66082 # DEPENDENCYPART_ARC
(0,10),-8.06787 # DEPENDENCYPART_ARC
(0,11),-6.65718 # DEPENDENCYPART_ARC
(0,12),-7.45459 # DEPENDENCYPART_ARC
(0,13),-8.16493 # DEPENDENCYPART_ARC
(0,14),-8.47604 # DEPENDENCYPART_ARC
(0,15),-7.95832 # DEPENDENCYPART_ARC
(0,16),-6.08496 # DEPENDENCYPART_ARC
(0,17),-8.08134 # DEPENDENCYPART_ARC
(0,18),-7.83833 # DEPENDENCYPART_ARC
(0,19),-8.37545 # DEPENDENCYPART_ARC
(0,20),-6.97657 # DEPENDENCYPART_ARC
(0,21),-8.66158 # DEPENDENCYPART_ARC
(0,22),-9.1025 # DEPENDENCYPART_ARC
(0,23),-7.44657 # DEPENDENCYPART_ARC
(0,24),-9.52205 # DEPENDENCYPART_ARC
(0,25),-5.90891 # DEPENDENCYPART_ARC
(0,26),-7.80269 # DEPENDENCYPART_ARC
(0,27),-9.38579 # DEPENDENCYPART_ARC
(0,28),-10.1671 # DEPENDENCYPART_ARC
(0,29),-10.1446 # DEPENDENCYPART_ARC
(0,30),-10.2515 # DEPENDENCYPART_ARC
(0,31),-10.3791 # DEPENDENCYPART_ARC
(0,32),-10.4423 # DEPENDENCYPART_ARC
(0,33),-10.8441 # DEPENDENCYPART_ARC
(0,34),-10.736 # DEPENDENCYPART_ARC
(0,35),-10.4394 # DEPENDENCYPART_ARC
(0,36),-7.03639 # DEPENDENCYPART_ARC
(0,37),-4.85068 # DEPENDENCYPART_ARC
(1,2),1.52298 # DEPENDENCYPART_ARC
(1,3),0.402311 # DEPENDENCYPART_ARC
(1,4),-0.375478 # DEPENDENCYPART_ARC
(1,5),-0.0274417 # DEPENDENCYPART_ARC
(1,6),-0.13206 # DEPENDENCYPART_ARC
(1,7),-0.489982 # DEPENDENCYPART_ARC
(1,8),-0.320868 # DEPENDENCYPART_ARC
(1,9),-0.563699 # DEPENDENCYPART_ARC
(1,10),-1.38086 # DEPENDENCYPART_ARC
(1,11),-1.25368 # DEPENDENCYPART_ARC
(1,12),-0.936596 # DEPENDENCYPART_ARC
(1,13),-1.7963 # DEPENDENCYPART_ARC
(1,14),-1.82762 # DEPENDENCYPART_ARC
(1,15),-1.34712 # DEPENDENCYPART_ARC
(1,16),-0.794024 # DEPENDENCYPART_ARC
(1,17),-1.3788 # DEPENDENCYPART_ARC
(1,18),-1.58011 # DEPENDENCYPART_ARC
(1,19),-1.77286 # DEPENDENCYPART_ARC
(1,20),-2.57537 # DEPENDENCYPART_ARC
(1,21),-1.65852 # DEPENDENCYPART_ARC
(1,22),-1.91211 # DEPENDENCYPART_ARC
(1,23),-2.80768 # DEPENDENCYPART_ARC
(1,24),-2.79606 # DEPENDENCYPART_ARC
(1,25),-2.75973 # DEPENDENCYPART_ARC
(1,26),-1.60069 # DEPENDENCYPART_ARC
(1,27),-2.90546 # DEPENDENCYPART_ARC
(1,28),-3.31312 # DEPENDENCYPART_ARC
(1,29),-3.3124 # DEPENDENCYPART_ARC
(1,30),-3.40972 # DEPENDENCYPART_ARC
(1,31),-3.05458 # DEPENDENCYPART_ARC
(1,32),-4.56693 # DEPENDENCYPART_ARC
(1,33),-3.81209 # DEPENDENCYPART_ARC
(1,34),-3.79197 # DEPENDENCYPART_ARC
(1,35),-3.3166 # DEPENDENCYPART_ARC
(1,36),-2.43271 # DEPENDENCYPART_ARC
(1,37),-2.57459 # DEPENDENCYPART_ARC
(2,1),3.80075 # DEPENDENCYPART_ARC
(2,3),0.269885 # DEPENDENCYPART_ARC
(2,4),0.408852 # DEPENDENCYPART_ARC
(2,5),-0.251333 # DEPENDENCYPART_ARC
(2,6),2.41199 # DEPENDENCYPART_ARC
(2,7),0.137632 # DEPENDENCYPART_ARC
(2,8),-0.0296001 # DEPENDENCYPART_ARC
(2,9),-1.32159 # DEPENDENCYPART_ARC
(2,10),-0.935603 # DEPENDENCYPART_ARC
(2,11),-2.36009 # DEPENDENCYPART_ARC
(2,12),-1.54277 # DEPENDENCYPART_ARC
(2,13),-1.59244 # DEPENDENCYPART_ARC
(2,14),-1.0147 # DEPENDENCYPART_ARC
(2,15),-1.72377 # DEPENDENCYPART_ARC
(2,16),-2.50323 # DEPENDENCYPART_ARC
(2,17),0.614865 # DEPENDENCYPART_ARC
(2,18),0.236784 # DEPENDENCYPART_ARC
(2,19),-1.4674 # DEPENDENCYPART_ARC
(2,20),-1.14776 # DEPENDENCYPART_ARC
(2,21),-4.48317 # DEPENDENCYPART_ARC
(2,22),-2.71705 # DEPENDENCYPART_ARC
(2,23),-2.95818 # DEPENDENCYPART_ARC
(2,24),-1.92153 # DEPENDENCYPART_ARC
(2,25),-5.4117 # DEPENDENCYPART_ARC
(2,26),1.18322 # DEPENDENCYPART_ARC
(2,27),-5.06913 # DEPENDENCYPART_ARC
(2,28),-4.17604 # DEPENDENCYPART_ARC
(2,29),-2.40002 # DEPENDENCYPART_ARC
(2,30),-1.88377 # DEPENDENCYPART_ARC
(2,31),-0.713219 # DEPENDENCYPART_ARC
(2,32),-4.95684 # DEPENDENCYPART_ARC
(2,33),-4.94756 # DEPENDENCYPART_ARC
(2,34),-2.88245 # DEPENDENCYPART_ARC
(2,35),-3.91598 # DEPENDENCYPART_ARC
(2,36),-5.67777 # DEPENDENCYPART_ARC
(2,37),8.38141 # DEPENDENCYPART_ARC
(3,1),-0.488865 # DEPENDENCYPART_ARC
(3,2),-0.674991 # DEPENDENCYPART_ARC
(3,4),-0.0010087 # DEPENDENCYPART_ARC
(3,5),-0.430728 # DEPENDENCYPART_ARC
(3,6),0.34942 # DEPENDENCYPART_ARC
(3,7),-1.04787 # DEPENDENCYPART_ARC
(3,8),-1.16635 # DEPENDENCYPART_ARC
(3,9),-1.91332 # DEPENDENCYPART_ARC
(3,10),-1.3786 # DEPENDENCYPART_ARC
(3,11),-1.70124 # DEPENDENCYPART_ARC
(3,12),-1.77195 # DEPENDENCYPART_ARC
(3,13),-2.80706 # DEPENDENCYPART_ARC
(3,14),-2.13385 # DEPENDENCYPART_ARC
(3,15),-2.81397 # DEPENDENCYPART_ARC
(3,16),-2.3382 # DEPENDENCYPART_ARC
(3,17),-1.77343 # DEPENDENCYPART_ARC
(3,18),-2.15606 # DEPENDENCYPART_ARC
(3,19),-2.51789 # DEPENDENCYPART_ARC
(3,20),-2.89386 # DEPENDENCYPART_ARC
(3,21),-2.45781 # DEPENDENCYPART_ARC
(3,22),-3.52259 # DEPENDENCYPART_ARC
(3,23),-3.34462 # DEPENDENCYPART_ARC
(3,24),-3.23376 # DEPENDENCYPART_ARC
(3,25),-3.2605 # DEPENDENCYPART_ARC
(3,26),-2.31049 # DEPENDENCYPART_ARC
(3,27),-4.40217 # DEPENDENCYPART_ARC
(3,28),-4.45036 # DEPENDENCYPART_ARC
(3,29),-3.8509 # DEPENDENCYPART_ARC
(3,30),-3.83871 # DEPENDENCYPART_ARC
(3,31),-3.2162 # DEPENDENCYPART_ARC
(3,32),-3.545 # DEPENDENCYPART_ARC
(3,33),-4.95097 # DEPENDENCYPART_ARC
(3,34),-4.31125 # DEPENDENCYPART_ARC
(3,35),-5.0072 # DEPENDENCYPART_ARC
(3,36),-4.70724 # DEPENDENCYPART_ARC
(3,37),-2.73828 # DEPENDENCYPART_ARC
(4,1),-0.95815 # DEPENDENCYPART_ARC
(4,2),-1.01328 # DEPENDENCYPART_ARC
(4,3),1.36053 # DEPENDENCYPART_ARC
(4,5),0.641254 # DEPENDENCYPART_ARC
(4,6),0.393546 # DEPENDENCYPART_ARC
(4,7),-0.517972 # DEPENDENCYPART_ARC
(4,8),-0.71454 # DEPENDENCYPART_ARC
(4,9),-1.78643 # DEPENDENCYPART_ARC
(4,10),-1.79252 # DEPENDENCYPART_ARC
(4,11),-1.27995 # DEPENDENCYPART_ARC
(4,12),-1.62856 # DEPENDENCYPART_ARC
(4,13),-2.13 # DEPENDENCYPART_ARC
(4,14),-2.61359 # DEPENDENCYPART_ARC
(4,15),-2.15168 # DEPENDENCYPART_ARC
(4,16),-2.10211 # DEPENDENCYPART_ARC
(4,17),-1.3065 # DEPENDENCYPART_ARC
(4,18),-2.00328 # DEPENDENCYPART_ARC
(4,19),-2.36627 # DEPENDENCYPART_ARC
(4,20),-1.93238 # DEPENDENCYPART_ARC
(4,21),-2.23685 # DEPENDENCYPART_ARC
(4,22),-3.34426 # DEPENDENCYPART_ARC
(4,23),-2.41576 # DEPENDENCYPART_ARC
(4,24),-4.03578 # DEPENDENCYPART_ARC
(4,25),-2.46714 # DEPENDENCYPART_ARC
(4,26),-1.76787 # DEPENDENCYPART_ARC
(4,27),-3.98259 # DEPENDENCYPART_ARC
(4,28),-3.60258 # DEPENDENCYPART_ARC
(4,29),-4.49567 # DEPENDENCYPART_ARC
(4,30),-4.05276 # DEPENDENCYPART_ARC
