# _root_ The New York Stock Exchange , under its own rules , remained open .
#goldHeads=5,5,5,5,12,12,12,10,10,7,12,0,12,12,
#predictedHeads=5,5,5,5,12,12,12,10,10,7,12,0,12,12,
(0,1),-6.20509 # DEPENDENCYPART_ARC
(0,2),-5.85349 # DEPENDENCYPART_ARC
(0,3),-5.49586 # DEPENDENCYPART_ARC
(0,4),-5.89482 # DEPENDENCYPART_ARC
(0,5),-6.6058 # DEPENDENCYPART_ARC
(0,6),-6.52827 # DEPENDENCYPART_ARC
(0,7),-7.87179 # DEPENDENCYPART_ARC
(0,8),-6.91496 # DEPENDENCYPART_ARC
(0,9),-6.62602 # DEPENDENCYPART_ARC
(0,10),-6.84788 # DEPENDENCYPART_ARC
(0,11),-7.0474 # DEPENDENCYPART_ARC
(0,12),-0.989702 # DEPENDENCYPART_ARC
(0,13),-6.1279 # DEPENDENCYPART_ARC
(0,14),-6.61181 # DEPENDENCYPART_ARC
(1,2),-0.567738 # DEPENDENCYPART_ARC
(1,3),-0.955753 # DEPENDENCYPART_ARC
(1,4),-1.10928 # DEPENDENCYPART_ARC
(1,5),-1.2547 # DEPENDENCYPART_ARC
(1,6),-0.990245 # DEPENDENCYPART_ARC
(1,7),-1.82008 # DEPENDENCYPART_ARC
(1,8),-2.18769 # DEPENDENCYPART_ARC
(1,9),-1.77322 # DEPENDENCYPART_ARC
(1,10),-1.75684 # DEPENDENCYPART_ARC
(1,11),-0.703137 # DEPENDENCYPART_ARC
(1,12),-2.50523 # DEPENDENCYPART_ARC
(1,13),-2.45079 # DEPENDENCYPART_ARC
(1,14),-1.9431 # DEPENDENCYPART_ARC
(2,1),0.903016 # DEPENDENCYPART_ARC
(2,3),0.542452 # DEPENDENCYPART_ARC
(2,4),0.232248 # DEPENDENCYPART_ARC
(2,5),-0.100709 # DEPENDENCYPART_ARC
(2,6),-0.585368 # DEPENDENCYPART_ARC
(2,7),-2.20247 # DEPENDENCYPART_ARC
