# _root_ In London , a midday rally left the market 's major index off 3.2 % , and Tokyo 's leading stock index fell only 1.8 % in surprisingly lackluster trading .
#goldHeads=7,1,7,6,6,7,0,9,12,9,12,7,7,15,13,7,7,22,18,22,22,23,17,26,24,23,23,30,30,27,7,
#predictedHeads=7,1,7,6,6,7,0,9,12,9,12,7,7,15,13,7,7,22,18,22,22,23,17,26,24,23,23,30,30,27,7,
(0,1),-6.4278 # DEPENDENCYPART_ARC
(0,2),-5.99133 # DEPENDENCYPART_ARC
(0,3),-6.3076 # DEPENDENCYPART_ARC
(0,4),-7.01567 # DEPENDENCYPART_ARC
(0,5),-5.97228 # DEPENDENCYPART_ARC
(0,6),-5.66246 # DEPENDENCYPART_ARC
(0,7),-3.08849 # DEPENDENCYPART_ARC
(0,8),-7.64812 # DEPENDENCYPART_ARC
(0,9),-6.58546 # DEPENDENCYPART_ARC
(0,10),-7.61965 # DEPENDENCYPART_ARC
(0,11),-6.15204 # DEPENDENCYPART_ARC
(0,12),-6.92409 # DEPENDENCYPART_ARC
(0,13),-8.07677 # DEPENDENCYPART_ARC
(0,14),-8.54033 # DEPENDENCYPART_ARC
(0,15),-7.43255 # DEPENDENCYPART_ARC
(0,16),-8.27435 # DEPENDENCYPART_ARC
(0,17),-8.5448 # DEPENDENCYPART_ARC
(0,18),-7.23908 # DEPENDENCYPART_ARC
(0,19),-8.92996 # DEPENDENCYPART_ARC
(0,20),-7.11319 # DEPENDENCYPART_ARC
(0,21),-7.83039 # DEPENDENCYPART_ARC
(0,22),-7.37229 # DEPENDENCYPART_ARC
(0,23),-2.7586 # DEPENDENCYPART_ARC
(0,24),-9.006 # DEPENDENCYPART_ARC
(0,25),-9.56329 # DEPENDENCYPART_ARC
(0,26),-9.82309 # DEPENDENCYPART_ARC
(0,27),-10.061 # DEPENDENCYPART_ARC
(0,28),-9.05744 # DEPENDENCYPART_ARC
(0,29),-8.36258 # DEPENDENCYPART_ARC
(0,30),-8.78078 # DEPENDENCYPART_ARC
(0,31),-6.28915 # DEPENDENCYPART_ARC
(1,2),4.12047 # DEPENDENCYPART_ARC
(1,3),0.395349 # DEPENDENCYPART_ARC
(1,4),-1.22424 # DEPENDENCYPART_ARC
