# _root_ It points to the pernicious impact of local government regulation , particularly zoning and building fees , which pushes the price of housing out of the reach of low- and middle-income people .
#goldHeads=2,0,2,6,6,3,6,10,10,7,10,13,10,13,16,14,10,19,10,21,19,21,22,19,24,27,25,27,32,29,30,28,2,
#predictedHeads=2,0,2,6,6,3,6,10,10,7,6,13,10,13,16,14,10,19,13,21,19,21,22,19,24,27,25,27,32,29,30,28,2,
(0,1),-5.5844 # DEPENDENCYPART_ARC
(0,2),-2.54962 # DEPENDENCYPART_ARC
(0,3),-6.35062 # DEPENDENCYPART_ARC
(0,4),-7.10661 # DEPENDENCYPART_ARC
(0,5),-6.71189 # DEPENDENCYPART_ARC
(0,6),-6.36266 # DEPENDENCYPART_ARC
(0,7),-6.10215 # DEPENDENCYPART_ARC
(0,8),-6.57433 # DEPENDENCYPART_ARC
(0,9),-6.71874 # DEPENDENCYPART_ARC
(0,10),-6.50899 # DEPENDENCYPART_ARC
(0,11),-7.38233 # DEPENDENCYPART_ARC
(0,12),-7.31311 # DEPENDENCYPART_ARC
(0,13),-6.86244 # DEPENDENCYPART_ARC
(0,14),-8.18893 # DEPENDENCYPART_ARC
(0,15),-6.89149 # DEPENDENCYPART_ARC
(0,16),-5.90749 # DEPENDENCYPART_ARC
(0,17),-8.35428 # DEPENDENCYPART_ARC
(0,18),-7.95268 # DEPENDENCYPART_ARC
(0,19),-4.7758 # DEPENDENCYPART_ARC
(0,20),-9.0114 # DEPENDENCYPART_ARC
(0,21),-8.07174 # DEPENDENCYPART_ARC
(0,22),-7.828 # DEPENDENCYPART_ARC
(0,23),-7.62312 # DEPENDENCYPART_ARC
(0,24),-7.68275 # DEPENDENCYPART_ARC
(0,25),-8.01449 # DEPENDENCYPART_ARC
(0,26),-9.99114 # DEPENDENCYPART_ARC
(0,27),-8.78384 # DEPENDENCYPART_ARC
(0,28),-8.51471 # DEPENDENCYPART_ARC
(0,29),-6.32505 # DEPENDENCYPART_ARC
(0,30),-10.2352 # DEPENDENCYPART_ARC
(0,31),-6.33089 # DEPENDENCYPART_ARC
(0,32),-7.40904 # DEPENDENCYPART_ARC
(0,33),-5.589 # DEPENDENCYPART_ARC
(1,2),0.85858 # DEPENDENCYPART_ARC
(1,3),0.52341 # DEPENDENCYPART_ARC
(1,4),-0.257495 # DEPENDENCYPART_ARC
(1,5),-1.13252 # DEPENDENCYPART_ARC
(1,6),-0.246262 # DEPENDENCYPART_ARC
(1,7),-0.418561 # DEPENDENCYPART_ARC
(1,8),-1.61167 # DEPENDENCYPART_ARC
(1,9),-0.411846 # DEPENDENCYPART_ARC
(1,10),-0.399058 # DEPENDENCYPART_ARC
(1,11),-0.984116 # DEPENDENCYPART_ARC
(1,12),-1.33267 # DEPENDENCYPART_ARC
(1,13),-0.669674 # DEPENDENCYPART_ARC
(1,14),-1.99279 # DEPENDENCYPART_ARC
(1,15),-0.797078 # DEPENDENCYPART_ARC
(1,16),-2.15133 # DEPENDENCYPART_ARC
(1,17),-1.22496 # DEPENDENCYPART_ARC
(1,18),-2.8191 # DEPENDENCYPART_ARC
(1,19),-1.60816 # DEPENDENCYPART_ARC
(1,20),-2.13549 # DEPENDENCYPART_ARC
(1,21),-1.01131 # DEPENDENCYPART_ARC
(1,22),-2.69298 # DEPENDENCYPART_ARC
(1,23),-1.2175 # DEPENDENCYPART_ARC
(1,24),-2.80912 # DEPENDENCYPART_ARC
(1,25),-2.99585 # DEPENDENCYPART_ARC
(1,26),-2.66594 # DEPENDENCYPART_ARC
(1,27),-1.40391 # DEPENDENCYPART_ARC
(1,28),-3.61537 # DEPENDENCYPART_ARC
(1,29),-3.90761 # DEPENDENCYPART_ARC
(1,30),-5.05119 # DEPENDENCYPART_ARC
(1,31),-4.04942 # DEPENDENCYPART_ARC
(1,32),-4.00363 # DEPENDENCYPART_ARC
(1,33),-2.73537 # DEPENDENCYPART_ARC
(2,1),4.31035 # DEPENDENCYPART_ARC
(2,3),3.21538 # DEPENDENCYPART_ARC
(2,4),0.498983 # DEPENDENCYPART_ARC
(2,5),0.321556 # DEPENDENCYPART_ARC
(2,6),0.847585 # DEPENDENCYPART_ARC
(2,7),0.754131 # DEPENDENCYPART_ARC
(2,8),-0.817089 # DEPENDENCYPART_ARC
(2,9),-0.535485 # DEPENDENCYPART_ARC
(2,10),-0.0947944 # DEPENDENCYPART_ARC
(2,11),0.866981 # DEPENDENCYPART_ARC
(2,12),0.215674 # DEPENDENCYPART_ARC
(2,13),-1.04352 # DEPENDENCYPART_ARC
(2,14),0.597439 # DEPENDENCYPART_ARC
(2,15),-1.60841 # DEPENDENCYPART_ARC
(2,16),-0.614435 # DEPENDENCYPART_ARC
(2,17),-0.258527 # DEPENDENCYPART_ARC
(2,18),-2.04258 # DEPENDENCYPART_ARC
(2,19),-0.29027 # DEPENDENCYPART_ARC
(2,20),-1.60314 # DEPENDENCYPART_ARC
(2,21),-3.16183 # DEPENDENCYPART_ARC
(2,22),-1.12612 # DEPENDENCYPART_ARC
(2,23),-3.382 # DEPENDENCYPART_ARC
(2,24),-0.00454781 # DEPENDENCYPART_ARC
(2,25),-2.37047 # DEPENDENCYPART_ARC
(2,26),-2.21615 # DEPENDENCYPART_ARC
(2,27),-4.98702 # DEPENDENCYPART_ARC
(2,28),-2.70535 # DEPENDENCYPART_ARC
