# _root_ But in another dramatic burst , the Dow tacked on 42 points in five minutes , and at 10:25 the index showed a gain of 5.74 .
#goldHeads=9,9,5,5,2,9,8,9,0,9,12,10,9,15,13,9,9,22,18,21,22,17,24,22,24,25,9,
#predictedHeads=9,9,5,5,2,9,8,9,0,9,12,9,9,15,13,9,9,22,18,21,22,17,24,22,24,25,9,
(0,1),-7.12844 # DEPENDENCYPART_ARC
(0,2),-5.95084 # DEPENDENCYPART_ARC
(0,3),-6.8374 # DEPENDENCYPART_ARC
(0,4),-6.66516 # DEPENDENCYPART_ARC
(0,5),-6.58305 # DEPENDENCYPART_ARC
(0,6),-6.71495 # DEPENDENCYPART_ARC
(0,7),-7.45321 # DEPENDENCYPART_ARC
(0,8),-5.77222 # DEPENDENCYPART_ARC
(0,9),-3.25272 # DEPENDENCYPART_ARC
(0,10),-7.11354 # DEPENDENCYPART_ARC
(0,11),-8.06155 # DEPENDENCYPART_ARC
(0,12),-5.96333 # DEPENDENCYPART_ARC
(0,13),-8.32657 # DEPENDENCYPART_ARC
(0,14),-8.60299 # DEPENDENCYPART_ARC
(0,15),-6.82442 # DEPENDENCYPART_ARC
(0,16),-7.7969 # DEPENDENCYPART_ARC
(0,17),-8.61589 # DEPENDENCYPART_ARC
(0,18),-8.85437 # DEPENDENCYPART_ARC
(0,19),-9.22921 # DEPENDENCYPART_ARC
(0,20),-8.93819 # DEPENDENCYPART_ARC
(0,21),-6.58414 # DEPENDENCYPART_ARC
(0,22),-1.94933 # DEPENDENCYPART_ARC
(0,23),-8.9686 # DEPENDENCYPART_ARC
(0,24),-7.02361 # DEPENDENCYPART_ARC
(0,25),-9.99891 # DEPENDENCYPART_ARC
(0,26),-10.1116 # DEPENDENCYPART_ARC
(0,27),-4.93951 # DEPENDENCYPART_ARC
(1,2),-0.465727 # DEPENDENCYPART_ARC
(1,3),-1.91629 # DEPENDENCYPART_ARC
(1,4),-1.59504 # DEPENDENCYPART_ARC
(1,5),-2.39333 # DEPENDENCYPART_ARC
(1,6),-1.73936 # DEPENDENCYPART_ARC
(1,7),-3.64647 # DEPENDENCYPART_ARC
(1,8),-4.31979 # DEPENDENCYPART_ARC
(1,9),-1.32711 # DEPENDENCYPART_ARC
(1,10),-3.0002 # DEPENDENCYPART_ARC
(1,11),-3.34952 # DEPENDENCYPART_ARC
(1,12),-5.95184 # DEPENDENCYPART_ARC
(1,13),-2.8303 # DEPENDENCYPART_ARC
(1,14),-3.64793 # DEPENDENCYPART_ARC
(1,15),-6.91647 # DEPENDENCYPART_ARC
(1,16),-2.56029 # DEPENDENCYPART_ARC
(1,17),-2.77281 # DEPENDENCYPART_ARC
(1,18),-3.2867 # DEPENDENCYPART_ARC
(1,19),-4.40376 # DEPENDENCYPART_ARC
(1,20),-5.26319 # DEPENDENCYPART_ARC
(1,21),-7.27249 # DEPENDENCYPART_ARC
(1,22),-3.05887 # DEPENDENCYPART_ARC
(1,23),-5.36753 # DEPENDENCYPART_ARC
(1,24),-8.5365 # DEPENDENCYPART_ARC
(1,25),-4.98198 # DEPENDENCYPART_ARC
(1,26),-5.30282 # DEPENDENCYPART_ARC
(1,27),-1.5238 # DEPENDENCYPART_ARC
(2,1),-0.181648 # DEPENDENCYPART_ARC
(2,3),1.58828 # DEPENDENCYPART_ARC
(2,4),1.74093 # DEPENDENCYPART_ARC
(2,5),3.65333 # DEPENDENCYPART_ARC
(2,6),0.867673 # DEPENDENCYPART_ARC
(2,7),-1.27274 # DEPENDENCYPART_ARC
(2,8),-0.58711 # DEPENDENCYPART_ARC
(2,9),-0.197024 # DEPENDENCYPART_ARC
(2,10),0.32087 # DEPENDENCYPART_ARC
(2,11),-0.83641 # DEPENDENCYPART_ARC
(2,12),-1.75147 # DEPENDENCYPART_ARC
(2,13),-0.351196 # DEPENDENCYPART_ARC
(2,14),-1.55457 # DEPENDENCYPART_ARC
(2,15),-3.69699 # DEPENDENCYPART_ARC
(2,16),0.246389 # DEPENDENCYPART_ARC
(2,17),0.530258 # DEPENDENCYPART_ARC
(2,18),-0.650616 # DEPENDENCYPART_ARC
(2,19),-1.74392 # DEPENDENCYPART_ARC
(2,20),-3.36125 # DEPENDENCYPART_ARC
(2,21),-7.10563 # DEPENDENCYPART_ARC
(2,22),-1.7173 # DEPENDENCYPART_ARC
(2,23),-4.20303 # DEPENDENCYPART_ARC
(2,24),-9.93847 # DEPENDENCYPART_ARC
(2,25),-4.4538 # DEPENDENCYPART_ARC
(2,26),-3.76314 # DEPENDENCYPART_ARC
(2,27),2.17293 # DEPENDENCYPART_ARC
(3,1),-1.23337 # DEPENDENCYPART_ARC
(3,2),-0.201019 # DEPENDENCYPART_ARC
(3,4),1.16452 # DEPENDENCYPART_ARC
(3,5),0.419482 # DEPENDENCYPART_ARC
(3,6),-0.182929 # DEPENDENCYPART_ARC
