# _root_ Boeing has declined to say how many employees are working at its giant Renton , Wash. , plant .
#goldHeads=2,0,2,3,4,8,6,9,5,9,10,18,18,16,16,18,16,11,2,
#predictedHeads=2,0,2,3,4,8,6,9,5,9,10,18,18,16,16,18,16,11,2,
(0,1),-5.71041 # DEPENDENCYPART_ARC
(0,2),-2.89666 # DEPENDENCYPART_ARC
(0,3),-4.70882 # DEPENDENCYPART_ARC
(0,4),-6.86701 # DEPENDENCYPART_ARC
(0,5),-5.20811 # DEPENDENCYPART_ARC
(0,6),-6.16547 # DEPENDENCYPART_ARC
(0,7),-7.16087 # DEPENDENCYPART_ARC
(0,8),-6.33022 # DEPENDENCYPART_ARC
(0,9),-4.32236 # DEPENDENCYPART_ARC
(0,10),-7.01445 # DEPENDENCYPART_ARC
(0,11),-8.18865 # DEPENDENCYPART_ARC
(0,12),-7.50309 # DEPENDENCYPART_ARC
(0,13),-7.13961 # DEPENDENCYPART_ARC
(0,14),-7.99888 # DEPENDENCYPART_ARC
(0,15),-7.82599 # DEPENDENCYPART_ARC
(0,16),-9.02543 # DEPENDENCYPART_ARC
(0,17),-8.07876 # DEPENDENCYPART_ARC
(0,18),-7.66026 # DEPENDENCYPART_ARC
(0,19),-6.7723 # DEPENDENCYPART_ARC
(1,2),1.12872 # DEPENDENCYPART_ARC
(1,3),0.466236 # DEPENDENCYPART_ARC
(1,4),-0.018949 # DEPENDENCYPART_ARC
(1,5),-0.69913 # DEPENDENCYPART_ARC
(1,6),-1.08354 # DEPENDENCYPART_ARC
(1,7),-0.501252 # DEPENDENCYPART_ARC
(1,8),-0.909223 # DEPENDENCYPART_ARC
(1,9),0.195344 # DEPENDENCYPART_ARC
(1,10),-0.346406 # DEPENDENCYPART_ARC
(1,11),-0.83753 # DEPENDENCYPART_ARC
(1,12),-1.63758 # DEPENDENCYPART_ARC
(1,13),-1.3399 # DEPENDENCYPART_ARC
(1,14),-1.42718 # DEPENDENCYPART_ARC
(1,15),-0.523211 # DEPENDENCYPART_ARC
(1,16),-1.16709 # DEPENDENCYPART_ARC
(1,17),-0.593591 # DEPENDENCYPART_ARC
(1,18),-4.07725 # DEPENDENCYPART_ARC
(1,19),-0.324187 # DEPENDENCYPART_ARC
(2,1),3.45992 # DEPENDENCYPART_ARC
(2,3),4.5841 # DEPENDENCYPART_ARC
(2,4),1.21732 # DEPENDENCYPART_ARC
(2,5),0.664219 # DEPENDENCYPART_ARC
(2,6),-1.02974 # DEPENDENCYPART_ARC
(2,7),-1.20795 # DEPENDENCYPART_ARC
(2,8),-0.273307 # DEPENDENCYPART_ARC
(2,9),0.804973 # DEPENDENCYPART_ARC
(2,10),0.169689 # DEPENDENCYPART_ARC
(2,11),-0.0214131 # DEPENDENCYPART_ARC
(2,12),-1.3142 # DEPENDENCYPART_ARC
(2,13),-2.36267 # DEPENDENCYPART_ARC
(2,14),-1.83575 # DEPENDENCYPART_ARC
(2,15),0.630059 # DEPENDENCYPART_ARC
(2,16),-2.29807 # DEPENDENCYPART_ARC
(2,17),0.0838983 # DEPENDENCYPART_ARC
(2,18),-2.6737 # DEPENDENCYPART_ARC
(2,19),4.41392 # DEPENDENCYPART_ARC
(3,1),0.5921 # DEPENDENCYPART_ARC
(3,2),0.69548 # DEPENDENCYPART_ARC
(3,4),4.23769 # DEPENDENCYPART_ARC
(3,5),1.38596 # DEPENDENCYPART_ARC
(3,6),0.0313933 # DEPENDENCYPART_ARC
(3,7),0.118569 # DEPENDENCYPART_ARC
(3,8),0.892134 # DEPENDENCYPART_ARC
(3,9),1.18412 # DEPENDENCYPART_ARC
(3,10),0.924027 # DEPENDENCYPART_ARC
(3,11),0.883927 # DEPENDENCYPART_ARC
(3,12),-1.04706 # DEPENDENCYPART_ARC
(3,13),-0.740353 # DEPENDENCYPART_ARC
(3,14),-0.0732002 # DEPENDENCYPART_ARC
(3,15),0.402065 # DEPENDENCYPART_ARC
(3,16),-0.680187 # DEPENDENCYPART_ARC
(3,17),-0.187898 # DEPENDENCYPART_ARC
(3,18),-1.56271 # DEPENDENCYPART_ARC
(3,19),1.26127 # DEPENDENCYPART_ARC
(4,1),0.443023 # DEPENDENCYPART_ARC
(4,2),0.223047 # DEPENDENCYPART_ARC
(4,3),0.421556 # DEPENDENCYPART_ARC
(4,5),3.84736 # DEPENDENCYPART_ARC
(4,6),0.298651 # DEPENDENCYPART_ARC
(4,7),0.412997 # DEPENDENCYPART_ARC
(4,8),1.18996 # DEPENDENCYPART_ARC
(4,9),0.791614 # DEPENDENCYPART_ARC
(4,10),0.239023 # DEPENDENCYPART_ARC
(4,11),0.496958 # DEPENDENCYPART_ARC
(4,12),-1.31691 # DEPENDENCYPART_ARC
(4,13),-1.07068 # DEPENDENCYPART_ARC
(4,14),-1.56276 # DEPENDENCYPART_ARC
(4,15),0.438495 # DEPENDENCYPART_ARC
(4,16),-2.51534 # DEPENDENCYPART_ARC
(4,17),0.280635 # DEPENDENCYPART_ARC
(4,18),-3.05201 # DEPENDENCYPART_ARC
(4,19),-0.245534 # DEPENDENCYPART_ARC
(5,1),0.0260049 # DEPENDENCYPART_ARC
(5,2),0.744432 # DEPENDENCYPART_ARC
(5,3),0.402739 # DEPENDENCYPART_ARC
(5,4),1.36059 # DEPENDENCYPART_ARC
(5,6),0.901887 # DEPENDENCYPART_ARC
(5,7),1.01683 # DEPENDENCYPART_ARC
(5,8),0.971923 # DEPENDENCYPART_ARC
(5,9),3.51472 # DEPENDENCYPART_ARC
(5,10),1.01401 # DEPENDENCYPART_ARC
(5,11),0.719681 # DEPENDENCYPART_ARC
(5,12),-0.882212 # DEPENDENCYPART_ARC
(5,13),-0.393242 # DEPENDENCYPART_ARC
(5,14),-0.530672 # DEPENDENCYPART_ARC
(5,15),0.148804 # DEPENDENCYPART_ARC
(5,16),-1.22278 # DEPENDENCYPART_ARC
(5,17),0.131867 # DEPENDENCYPART_ARC
(5,18),-2.21989 # DEPENDENCYPART_ARC
(5,19),0.793181 # DEPENDENCYPART_ARC
(6,1),-1.03109 # DEPENDENCYPART_ARC
(6,2),-1.13668 # DEPENDENCYPART_ARC
(6,3),-0.63772 # DEPENDENCYPART_ARC
(6,4),-0.510807 # DEPENDENCYPART_ARC
(6,5),0.139779 # DEPENDENCYPART_ARC
(6,7),4.47275 # DEPENDENCYPART_ARC
(6,8),0.990959 # DEPENDENCYPART_ARC
(6,9),0.559117 # DEPENDENCYPART_ARC
(6,10),0.344732 # DEPENDENCYPART_ARC
(6,11),0.82726 # DEPENDENCYPART_ARC
(6,12),-0.443601 # DEPENDENCYPART_ARC
(6,13),0.615859 # DEPENDENCYPART_ARC
(6,14),-0.574122 # DEPENDENCYPART_ARC
(6,15),0.185981 # DEPENDENCYPART_ARC
(6,16),-0.746821 # DEPENDENCYPART_ARC
(6,17),-0.00739837 # DEPENDENCYPART_ARC
