# _root_ Isao Ushikubo , general manager of the investment research department at Toyo Trust & Banking Co. , also was optimistic .
#goldHeads=2,19,2,5,2,5,10,10,10,6,10,13,11,13,14,15,2,19,0,19,19,
#predictedHeads=2,19,2,5,2,5,10,10,10,6,5,13,11,13,14,15,2,19,0,19,19,
(0,1),-6.03779 # DEPENDENCYPART_ARC
(0,2),-6.70792 # DEPENDENCYPART_ARC
(0,3),-6.66867 # DEPENDENCYPART_ARC
(0,4),-6.57512 # DEPENDENCYPART_ARC
(0,5),-7.56445 # DEPENDENCYPART_ARC
(0,6),-7.53533 # DEPENDENCYPART_ARC
(0,7),-7.77736 # DEPENDENCYPART_ARC
(0,8),-7.09884 # DEPENDENCYPART_ARC
(0,9),-6.73791 # DEPENDENCYPART_ARC
(0,10),-7.5903 # DEPENDENCYPART_ARC
(0,11),-8.66671 # DEPENDENCYPART_ARC
(0,12),-7.35146 # DEPENDENCYPART_ARC
(0,13),-6.71405 # DEPENDENCYPART_ARC
(0,14),-8.35117 # DEPENDENCYPART_ARC
(0,15),-7.99525 # DEPENDENCYPART_ARC
(0,16),-8.52481 # DEPENDENCYPART_ARC
(0,17),-8.79831 # DEPENDENCYPART_ARC
(0,18),-7.79804 # DEPENDENCYPART_ARC
(0,19),-3.27843 # DEPENDENCYPART_ARC
(0,20),-6.26916 # DEPENDENCYPART_ARC
(0,21),-6.92733 # DEPENDENCYPART_ARC
(1,2),1.40651 # DEPENDENCYPART_ARC
(1,3),1.3451 # DEPENDENCYPART_ARC
(1,4),0.393937 # DEPENDENCYPART_ARC
(1,5),1.24635 # DEPENDENCYPART_ARC
(1,6),-0.22266 # DEPENDENCYPART_ARC
(1,7),-0.346116 # DEPENDENCYPART_ARC
(1,8),-0.430003 # DEPENDENCYPART_ARC
(1,9),-0.612107 # DEPENDENCYPART_ARC
(1,10),-0.773114 # DEPENDENCYPART_ARC
(1,11),-1.1077 # DEPENDENCYPART_ARC
(1,12),-1.99664 # DEPENDENCYPART_ARC
(1,13),-1.10258 # DEPENDENCYPART_ARC
(1,14),0.306204 # DEPENDENCYPART_ARC
(1,15),-2.68516 # DEPENDENCYPART_ARC
