# _root_ The French group has an agreement giving it the right to buy all the shares outstanding , and this could be completed within a few months , a BSN spokeswoman said .
#goldHeads=3,3,4,31,6,4,6,7,10,7,10,11,15,15,12,15,4,4,20,18,20,21,22,26,26,23,4,30,30,31,0,31,
#predictedHeads=3,3,4,31,6,4,6,7,10,7,10,11,15,15,12,15,4,4,20,18,20,21,22,26,26,23,31,30,30,31,0,31,
(0,1),-6.21005 # DEPENDENCYPART_ARC
(0,2),-6.24814 # DEPENDENCYPART_ARC
(0,3),-6.53097 # DEPENDENCYPART_ARC
(0,4),-2.75134 # DEPENDENCYPART_ARC
(0,5),-7.23302 # DEPENDENCYPART_ARC
(0,6),-6.70423 # DEPENDENCYPART_ARC
(0,7),-6.49901 # DEPENDENCYPART_ARC
(0,8),-6.51606 # DEPENDENCYPART_ARC
(0,9),-7.66188 # DEPENDENCYPART_ARC
(0,10),-6.39418 # DEPENDENCYPART_ARC
(0,11),-7.18358 # DEPENDENCYPART_ARC
(0,12),-6.06209 # DEPENDENCYPART_ARC
(0,13),-7.86301 # DEPENDENCYPART_ARC
(0,14),-8.16651 # DEPENDENCYPART_ARC
(0,15),-6.1866 # DEPENDENCYPART_ARC
(0,16),-6.56868 # DEPENDENCYPART_ARC
(0,17),-8.06818 # DEPENDENCYPART_ARC
(0,18),-8.63775 # DEPENDENCYPART_ARC
(0,19),-8.53 # DEPENDENCYPART_ARC
(0,20),-3.81247 # DEPENDENCYPART_ARC
(0,21),-5.72105 # DEPENDENCYPART_ARC
(0,22),-5.38572 # DEPENDENCYPART_ARC
(0,23),-8.20106 # DEPENDENCYPART_ARC
(0,24),-9.02778 # DEPENDENCYPART_ARC
(0,25),-7.36185 # DEPENDENCYPART_ARC
(0,26),-5.76237 # DEPENDENCYPART_ARC
(0,27),-9.58148 # DEPENDENCYPART_ARC
(0,28),-9.48408 # DEPENDENCYPART_ARC
(0,29),-7.15579 # DEPENDENCYPART_ARC
(0,30),-5.99151 # DEPENDENCYPART_ARC
(0,31),3.47662 # DEPENDENCYPART_ARC
(0,32),-3.07443 # DEPENDENCYPART_ARC
(1,2),-0.373182 # DEPENDENCYPART_ARC
(1,3),-0.949893 # DEPENDENCYPART_ARC
(1,4),-0.527498 # DEPENDENCYPART_ARC
(1,5),-2.28674 # DEPENDENCYPART_ARC
(1,6),-1.67003 # DEPENDENCYPART_ARC
(1,7),-1.64615 # DEPENDENCYPART_ARC
(1,8),-1.84392 # DEPENDENCYPART_ARC
(1,9),-2.68218 # DEPENDENCYPART_ARC
(1,10),-2.28545 # DEPENDENCYPART_ARC
(1,11),-2.26344 # DEPENDENCYPART_ARC
(1,12),-2.78433 # DEPENDENCYPART_ARC
(1,13),-3.36876 # DEPENDENCYPART_ARC
(1,14),-3.43245 # DEPENDENCYPART_ARC
(1,15),-3.19712 # DEPENDENCYPART_ARC
(1,16),-3.36064 # DEPENDENCYPART_ARC
(1,17),-2.85325 # DEPENDENCYPART_ARC
(1,18),-2.34925 # DEPENDENCYPART_ARC
(1,19),-3.98465 # DEPENDENCYPART_ARC
(1,20),-4.25034 # DEPENDENCYPART_ARC
(1,21),-3.49669 # DEPENDENCYPART_ARC
(1,22),-3.15036 # DEPENDENCYPART_ARC
(1,23),-3.96068 # DEPENDENCYPART_ARC
(1,24),-4.48532 # DEPENDENCYPART_ARC
(1,25),-4.35657 # DEPENDENCYPART_ARC
(1,26),-4.0636 # DEPENDENCYPART_ARC
(1,27),-3.49063 # DEPENDENCYPART_ARC
(1,28),-4.95563 # DEPENDENCYPART_ARC
(1,29),-4.88237 # DEPENDENCYPART_ARC
(1,30),-4.27648 # DEPENDENCYPART_ARC
(1,31),-6.4472 # DEPENDENCYPART_ARC
(1,32),-1.99642 # DEPENDENCYPART_ARC
(2,1),1.29736 # DEPENDENCYPART_ARC
(2,3),0.787117 # DEPENDENCYPART_ARC
(2,4),0.380441 # DEPENDENCYPART_ARC
(2,5),-0.91097 # DEPENDENCYPART_ARC
(2,6),-0.79925 # DEPENDENCYPART_ARC
(2,7),-0.830006 # DEPENDENCYPART_ARC
(2,8),-1.06779 # DEPENDENCYPART_ARC
(2,9),-1.56574 # DEPENDENCYPART_ARC
(2,10),-1.44318 # DEPENDENCYPART_ARC
(2,11),-1.1942 # DEPENDENCYPART_ARC
(2,12),-1.92184 # DEPENDENCYPART_ARC
(2,13),-2.21131 # DEPENDENCYPART_ARC
(2,14),-2.28476 # DEPENDENCYPART_ARC
(2,15),-1.56714 # DEPENDENCYPART_ARC
(2,16),-1.44813 # DEPENDENCYPART_ARC
(2,17),-0.951689 # DEPENDENCYPART_ARC
(2,18),-1.92076 # DEPENDENCYPART_ARC
(2,19),-2.83053 # DEPENDENCYPART_ARC
(2,20),-1.83092 # DEPENDENCYPART_ARC
(2,21),-2.77568 # DEPENDENCYPART_ARC
(2,22),-2.18299 # DEPENDENCYPART_ARC
(2,23),-3.02695 # DEPENDENCYPART_ARC
(2,24),-3.36424 # DEPENDENCYPART_ARC
(2,25),-2.4073 # DEPENDENCYPART_ARC
(2,26),-2.94489 # DEPENDENCYPART_ARC
(2,27),-1.44135 # DEPENDENCYPART_ARC
(2,28),-3.87457 # DEPENDENCYPART_ARC
(2,29),-3.59087 # DEPENDENCYPART_ARC
(2,30),-3.67507 # DEPENDENCYPART_ARC
(2,31),-2.3933 # DEPENDENCYPART_ARC
(2,32),-1.62814 # DEPENDENCYPART_ARC
(3,1),4.63178 # DEPENDENCYPART_ARC
(3,2),3.8381 # DEPENDENCYPART_ARC
(3,4),0.654478 # DEPENDENCYPART_ARC
(3,5),-0.486084 # DEPENDENCYPART_ARC
(3,6),-0.540537 # DEPENDENCYPART_ARC
(3,7),0.27409 # DEPENDENCYPART_ARC
(3,8),-1.10887 # DEPENDENCYPART_ARC
(3,9),-1.04857 # DEPENDENCYPART_ARC
(3,10),-1.10695 # DEPENDENCYPART_ARC
(3,11),-0.938676 # DEPENDENCYPART_ARC
(3,12),-0.860654 # DEPENDENCYPART_ARC
(3,13),-1.35447 # DEPENDENCYPART_ARC
(3,14),-1.68472 # DEPENDENCYPART_ARC
(3,15),-1.94724 # DEPENDENCYPART_ARC
(3,16),-2.28608 # DEPENDENCYPART_ARC
(3,17),-0.583667 # DEPENDENCYPART_ARC
(3,18),-1.58514 # DEPENDENCYPART_ARC
(3,19),-2.18577 # DEPENDENCYPART_ARC
(3,20),-1.52391 # DEPENDENCYPART_ARC
(3,21),-1.73973 # DEPENDENCYPART_ARC
(3,22),-2.76342 # DEPENDENCYPART_ARC
(3,23),-3.27054 # DEPENDENCYPART_ARC
(3,24),-2.69335 # DEPENDENCYPART_ARC
(3,25),-3.7248 # DEPENDENCYPART_ARC
(3,26),-1.78371 # DEPENDENCYPART_ARC
(3,27),-1.21188 # DEPENDENCYPART_ARC
(3,28),-3.10022 # DEPENDENCYPART_ARC
(3,29),-3.58638 # DEPENDENCYPART_ARC
(3,30),-3.36267 # DEPENDENCYPART_ARC
(3,31),-4.72881 # DEPENDENCYPART_ARC
(3,32),-0.662307 # DEPENDENCYPART_ARC
(4,1),0.763897 # DEPENDENCYPART_ARC
(4,2),1.28795 # DEPENDENCYPART_ARC
(4,3),2.49476 # DEPENDENCYPART_ARC
(4,5),1.38199 # DEPENDENCYPART_ARC
(4,6),3.00489 # DEPENDENCYPART_ARC
(4,7),1.14945 # DEPENDENCYPART_ARC
(4,8),0.90914 # DEPENDENCYPART_ARC
(4,9),-0.416887 # DEPENDENCYPART_ARC
(4,10),1.18455 # DEPENDENCYPART_ARC
(4,11),-0.972816 # DEPENDENCYPART_ARC
(4,12),0.185228 # DEPENDENCYPART_ARC
(4,13),-0.640407 # DEPENDENCYPART_ARC
(4,14),-0.980445 # DEPENDENCYPART_ARC
(4,15),-0.133605 # DEPENDENCYPART_ARC
(4,16),-0.250092 # DEPENDENCYPART_ARC
(4,17),1.57008 # DEPENDENCYPART_ARC
(4,18),1.62393 # DEPENDENCYPART_ARC
(4,19),-0.769799 # DEPENDENCYPART_ARC
(4,20),0.317469 # DEPENDENCYPART_ARC
(4,21),-1.01261 # DEPENDENCYPART_ARC
(4,22),-1.00624 # DEPENDENCYPART_ARC
(4,23),-0.623007 # DEPENDENCYPART_ARC
(4,24),-2.0402 # DEPENDENCYPART_ARC
(4,25),-2.87501 # DEPENDENCYPART_ARC
(4,26),-1.36678 # DEPENDENCYPART_ARC
(4,27),-1.3632 # DEPENDENCYPART_ARC
(4,28),-1.85731 # DEPENDENCYPART_ARC
