# _root_ The market seems to be straightening out ; we 're taking a wait-and-see attitude , '' says Cathleen B. Stewart , executive vice president of marketing .
#goldHeads=2,3,17,3,4,5,6,3,10,3,10,14,14,11,17,17,0,20,20,17,20,24,24,20,24,25,17,
#predictedHeads=2,3,17,3,4,5,6,3,10,6,10,14,14,11,17,17,0,20,20,17,20,24,24,20,24,25,17,
(0,1),-6.22455 # DEPENDENCYPART_ARC
(0,2),-5.99015 # DEPENDENCYPART_ARC
(0,3),-2.67542 # DEPENDENCYPART_ARC
(0,4),-6.6719 # DEPENDENCYPART_ARC
(0,5),-5.778 # DEPENDENCYPART_ARC
(0,6),-6.3828 # DEPENDENCYPART_ARC
(0,7),-6.44059 # DEPENDENCYPART_ARC
(0,8),-6.24385 # DEPENDENCYPART_ARC
(0,9),-6.1047 # DEPENDENCYPART_ARC
(0,10),-3.88487 # DEPENDENCYPART_ARC
(0,11),-6.87919 # DEPENDENCYPART_ARC
(0,12),-7.56532 # DEPENDENCYPART_ARC
(0,13),-7.33149 # DEPENDENCYPART_ARC
(0,14),-7.04528 # DEPENDENCYPART_ARC
(0,15),-7.52947 # DEPENDENCYPART_ARC
(0,16),-6.72626 # DEPENDENCYPART_ARC
(0,17),0.737099 # DEPENDENCYPART_ARC
(0,18),-7.01405 # DEPENDENCYPART_ARC
(0,19),-6.92172 # DEPENDENCYPART_ARC
(0,20),-7.33525 # DEPENDENCYPART_ARC
(0,21),-8.351 # DEPENDENCYPART_ARC
(0,22),-7.31278 # DEPENDENCYPART_ARC
(0,23),-8.09838 # DEPENDENCYPART_ARC
(0,24),-8.77223 # DEPENDENCYPART_ARC
(0,25),-8.88991 # DEPENDENCYPART_ARC
(0,26),-8.51971 # DEPENDENCYPART_ARC
(0,27),-4.67826 # DEPENDENCYPART_ARC
(1,2),-0.548293 # DEPENDENCYPART_ARC
(1,3),-0.516349 # DEPENDENCYPART_ARC
(1,4),-1.5868 # DEPENDENCYPART_ARC
(1,5),-1.76225 # DEPENDENCYPART_ARC
(1,6),-2.01403 # DEPENDENCYPART_ARC
(1,7),-2.15041 # DEPENDENCYPART_ARC
(1,8),-1.50703 # DEPENDENCYPART_ARC
(1,9),-2.42194 # DEPENDENCYPART_ARC
(1,10),-2.18024 # DEPENDENCYPART_ARC
(1,11),-2.34881 # DEPENDENCYPART_ARC
(1,12),-3.55377 # DEPENDENCYPART_ARC
(1,13),-3.24309 # DEPENDENCYPART_ARC
(1,14),-3.13899 # DEPENDENCYPART_ARC
(1,15),-2.85284 # DEPENDENCYPART_ARC
(1,16),-2.20571 # DEPENDENCYPART_ARC
(1,17),-3.94 # DEPENDENCYPART_ARC
(1,18),-3.92937 # DEPENDENCYPART_ARC
