# _root_ `` It further reinforces the concept that Blue Arrow is a thing of the past , '' said Doug Arthur , an analyst at Kidder Peabody & Co. in New York .
#goldHeads=4,4,4,18,6,4,6,9,10,7,12,10,12,15,13,4,4,0,20,18,20,23,20,23,26,24,26,27,26,31,29,18,
#predictedHeads=18,4,4,18,6,4,6,9,10,7,12,10,12,15,13,18,18,0,20,18,20,23,20,23,26,24,26,27,26,31,29,18,
(0,1),-6.38143 # DEPENDENCYPART_ARC
(0,2),-5.83284 # DEPENDENCYPART_ARC
(0,3),-5.61988 # DEPENDENCYPART_ARC
(0,4),-3.86004 # DEPENDENCYPART_ARC
(0,5),-7.30283 # DEPENDENCYPART_ARC
(0,6),-6.29094 # DEPENDENCYPART_ARC
(0,7),-6.03333 # DEPENDENCYPART_ARC
(0,8),-6.57039 # DEPENDENCYPART_ARC
(0,9),-5.93504 # DEPENDENCYPART_ARC
(0,10),-3.96014 # DEPENDENCYPART_ARC
(0,11),-7.46259 # DEPENDENCYPART_ARC
(0,12),-6.7218 # DEPENDENCYPART_ARC
(0,13),-7.61343 # DEPENDENCYPART_ARC
(0,14),-8.18463 # DEPENDENCYPART_ARC
(0,15),-6.58603 # DEPENDENCYPART_ARC
(0,16),-7.97246 # DEPENDENCYPART_ARC
(0,17),-6.96725 # DEPENDENCYPART_ARC
(0,18),1.24752 # DEPENDENCYPART_ARC
(0,19),-7.52471 # DEPENDENCYPART_ARC
(0,20),-7.5562 # DEPENDENCYPART_ARC
(0,21),-8.64525 # DEPENDENCYPART_ARC
(0,22),-8.72707 # DEPENDENCYPART_ARC
(0,23),-7.54891 # DEPENDENCYPART_ARC
(0,24),-9.72761 # DEPENDENCYPART_ARC
(0,25),-8.39022 # DEPENDENCYPART_ARC
(0,26),-8.61666 # DEPENDENCYPART_ARC
(0,27),-9.69665 # DEPENDENCYPART_ARC
(0,28),-9.34517 # DEPENDENCYPART_ARC
(0,29),-11.2898 # DEPENDENCYPART_ARC
(0,30),-9.64839 # DEPENDENCYPART_ARC
(0,31),-10.7376 # DEPENDENCYPART_ARC
(0,32),-4.22585 # DEPENDENCYPART_ARC
(1,2),-1.53191 # DEPENDENCYPART_ARC
(1,3),-1.99153 # DEPENDENCYPART_ARC
(1,4),-2.06169 # DEPENDENCYPART_ARC
(1,5),-3.01851 # DEPENDENCYPART_ARC
(1,6),-2.91654 # DEPENDENCYPART_ARC
(1,7),-2.6829 # DEPENDENCYPART_ARC
(1,8),-2.99599 # DEPENDENCYPART_ARC
(1,9),-3.13586 # DEPENDENCYPART_ARC
(1,10),-2.95582 # DEPENDENCYPART_ARC
(1,11),-3.56147 # DEPENDENCYPART_ARC
(1,12),-3.48841 # DEPENDENCYPART_ARC
(1,13),-3.40135 # DEPENDENCYPART_ARC
(1,14),-3.91656 # DEPENDENCYPART_ARC
(1,15),-3.72218 # DEPENDENCYPART_ARC
(1,16),-2.95 # DEPENDENCYPART_ARC
(1,17),-1.98079 # DEPENDENCYPART_ARC
(1,18),-3.64853 # DEPENDENCYPART_ARC
(1,19),-4.17478 # DEPENDENCYPART_ARC
(1,20),-4.28651 # DEPENDENCYPART_ARC
(1,21),-3.46157 # DEPENDENCYPART_ARC
(1,22),-4.63801 # DEPENDENCYPART_ARC
(1,23),-4.33197 # DEPENDENCYPART_ARC
(1,24),-4.60831 # DEPENDENCYPART_ARC
(1,25),-4.78426 # DEPENDENCYPART_ARC
(1,26),-4.84463 # DEPENDENCYPART_ARC
(1,27),-5.02827 # DEPENDENCYPART_ARC
(1,28),-5.15359 # DEPENDENCYPART_ARC
(1,29),-5.10014 # DEPENDENCYPART_ARC
(1,30),-5.29694 # DEPENDENCYPART_ARC
(1,31),-5.35102 # DEPENDENCYPART_ARC
(1,32),-4.05991 # DEPENDENCYPART_ARC
(2,1),0.0833808 # DEPENDENCYPART_ARC
(2,3),0.705079 # DEPENDENCYPART_ARC
(2,4),0.769358 # DEPENDENCYPART_ARC
(2,5),0.297016 # DEPENDENCYPART_ARC
(2,6),0.453396 # DEPENDENCYPART_ARC
(2,7),0.344019 # DEPENDENCYPART_ARC
(2,8),-0.21779 # DEPENDENCYPART_ARC
(2,9),-0.289591 # DEPENDENCYPART_ARC
(2,10),0.0479498 # DEPENDENCYPART_ARC
(2,11),-0.509542 # DEPENDENCYPART_ARC
(2,12),-0.0763893 # DEPENDENCYPART_ARC
(2,13),-0.723889 # DEPENDENCYPART_ARC
(2,14),-0.890024 # DEPENDENCYPART_ARC
(2,15),-0.0987208 # DEPENDENCYPART_ARC
(2,16),-0.90291 # DEPENDENCYPART_ARC
(2,17),-0.616446 # DEPENDENCYPART_ARC
(2,18),-0.702401 # DEPENDENCYPART_ARC
(2,19),-1.39811 # DEPENDENCYPART_ARC
(2,20),-1.48041 # DEPENDENCYPART_ARC
(2,21),-1.27577 # DEPENDENCYPART_ARC
(2,22),-1.6736 # DEPENDENCYPART_ARC
(2,23),-0.675724 # DEPENDENCYPART_ARC
(2,24),-2.53507 # DEPENDENCYPART_ARC
(2,25),-1.97696 # DEPENDENCYPART_ARC
(2,26),-2.03918 # DEPENDENCYPART_ARC
(2,27),-2.82528 # DEPENDENCYPART_ARC
(2,28),-2.32144 # DEPENDENCYPART_ARC
(2,29),-3.19219 # DEPENDENCYPART_ARC
(2,30),-2.45111 # DEPENDENCYPART_ARC
(2,31),-2.52782 # DEPENDENCYPART_ARC
(2,32),-1.84497 # DEPENDENCYPART_ARC
(3,1),0.293652 # DEPENDENCYPART_ARC
(3,2),0.787641 # DEPENDENCYPART_ARC
(3,4),0.899467 # DEPENDENCYPART_ARC
(3,5),-0.386012 # DEPENDENCYPART_ARC
(3,6),-0.233685 # DEPENDENCYPART_ARC
(3,7),-0.415575 # DEPENDENCYPART_ARC
(3,8),-0.605737 # DEPENDENCYPART_ARC
