# _root_ Also , a UAL group tried to get financing for a lower bid , possibly $ 250 a share .
#goldHeads=6,6,5,5,6,0,6,7,8,8,13,13,10,13,16,13,16,19,16,6,
#predictedHeads=6,6,5,5,6,0,6,7,8,9,13,13,10,13,13,15,16,19,16,6,
(0,1),-4.84273 # DEPENDENCYPART_ARC
(0,2),-6.66612 # DEPENDENCYPART_ARC
(0,3),-6.74655 # DEPENDENCYPART_ARC
(0,4),-5.56782 # DEPENDENCYPART_ARC
(0,5),-6.49607 # DEPENDENCYPART_ARC
(0,6),-3.36257 # DEPENDENCYPART_ARC
(0,7),-6.65292 # DEPENDENCYPART_ARC
(0,8),-5.7555 # DEPENDENCYPART_ARC
(0,9),-6.65196 # DEPENDENCYPART_ARC
(0,10),-6.43184 # DEPENDENCYPART_ARC
(0,11),-7.53324 # DEPENDENCYPART_ARC
(0,12),-7.21879 # DEPENDENCYPART_ARC
(0,13),-6.11041 # DEPENDENCYPART_ARC
(0,14),-7.81289 # DEPENDENCYPART_ARC
(0,15),-7.59228 # DEPENDENCYPART_ARC
(0,16),-8.64474 # DEPENDENCYPART_ARC
(0,17),-8.74835 # DEPENDENCYPART_ARC
(0,18),-8.40106 # DEPENDENCYPART_ARC
(0,19),-6.24373 # DEPENDENCYPART_ARC
(0,20),-4.85218 # DEPENDENCYPART_ARC
(1,2),0.467578 # DEPENDENCYPART_ARC
(1,3),0.000533648 # DEPENDENCYPART_ARC
(1,4),-0.952737 # DEPENDENCYPART_ARC
(1,5),-1.43473 # DEPENDENCYPART_ARC
(1,6),-0.276819 # DEPENDENCYPART_ARC
(1,7),-1.22254 # DEPENDENCYPART_ARC
(1,8),-1.40059 # DEPENDENCYPART_ARC
(1,9),-2.67426 # DEPENDENCYPART_ARC
(1,10),-1.64703 # DEPENDENCYPART_ARC
(1,11),-1.25871 # DEPENDENCYPART_ARC
(1,12),-1.67998 # DEPENDENCYPART_ARC
(1,13),-3.18496 # DEPENDENCYPART_ARC
(1,14),-0.52095 # DEPENDENCYPART_ARC
(1,15),-2.67285 # DEPENDENCYPART_ARC
(1,16),-2.33551 # DEPENDENCYPART_ARC
(1,17),-3.7043 # DEPENDENCYPART_ARC
(1,18),-2.09495 # DEPENDENCYPART_ARC
(1,19),-4.05606 # DEPENDENCYPART_ARC
(1,20),1.07511 # DEPENDENCYPART_ARC
(2,1),-1.31654 # DEPENDENCYPART_ARC
(2,3),-0.523434 # DEPENDENCYPART_ARC
(2,4),-0.832113 # DEPENDENCYPART_ARC
(2,5),-1.59052 # DEPENDENCYPART_ARC
(2,6),-1.14481 # DEPENDENCYPART_ARC
(2,7),-1.67013 # DEPENDENCYPART_ARC
(2,8),-1.56197 # DEPENDENCYPART_ARC
(2,9),-2.5296 # DEPENDENCYPART_ARC
(2,10),-1.66952 # DEPENDENCYPART_ARC
(2,11),-2.24377 # DEPENDENCYPART_ARC
(2,12),-2.2686 # DEPENDENCYPART_ARC
(2,13),-2.8455 # DEPENDENCYPART_ARC
(2,14),-1.10073 # DEPENDENCYPART_ARC
(2,15),-2.60817 # DEPENDENCYPART_ARC
(2,16),-3.0962 # DEPENDENCYPART_ARC
(2,17),-3.19513 # DEPENDENCYPART_ARC
(2,18),-3.0062 # DEPENDENCYPART_ARC
(2,19),-3.65715 # DEPENDENCYPART_ARC
(2,20),-2.58594 # DEPENDENCYPART_ARC
(3,1),-0.979185 # DEPENDENCYPART_ARC
(3,2),-0.176721 # DEPENDENCYPART_ARC
(3,4),0.728029 # DEPENDENCYPART_ARC
(3,5),0.60442 # DEPENDENCYPART_ARC
