# _root_ But with so many shares now held in the U.S. , Blue Arrow reports its earnings two ways , based on both U.K. and U.S. accounting standards .
#goldHeads=14,14,4,5,2,7,5,7,10,8,14,13,14,0,16,14,18,14,14,14,20,23,21,23,27,27,24,14,
#predictedHeads=14,14,4,5,2,7,5,7,10,8,14,13,14,0,16,14,18,14,18,18,20,23,21,23,27,27,24,14,
(0,1),-7.12844 # DEPENDENCYPART_ARC
(0,2),-6.20746 # DEPENDENCYPART_ARC
(0,3),-5.74882 # DEPENDENCYPART_ARC
(0,4),-6.81485 # DEPENDENCYPART_ARC
(0,5),-7.25453 # DEPENDENCYPART_ARC
(0,6),-6.83046 # DEPENDENCYPART_ARC
(0,7),-5.63002 # DEPENDENCYPART_ARC
(0,8),-6.40659 # DEPENDENCYPART_ARC
(0,9),-7.61565 # DEPENDENCYPART_ARC
(0,10),-6.76009 # DEPENDENCYPART_ARC
(0,11),-7.22954 # DEPENDENCYPART_ARC
(0,12),-6.8128 # DEPENDENCYPART_ARC
(0,13),-5.68106 # DEPENDENCYPART_ARC
(0,14),-2.37224 # DEPENDENCYPART_ARC
(0,15),-7.42619 # DEPENDENCYPART_ARC
(0,16),-5.80643 # DEPENDENCYPART_ARC
(0,17),-8.96612 # DEPENDENCYPART_ARC
(0,18),-6.75677 # DEPENDENCYPART_ARC
(0,19),-8.27659 # DEPENDENCYPART_ARC
(0,20),-4.91474 # DEPENDENCYPART_ARC
(0,21),-8.30197 # DEPENDENCYPART_ARC
(0,22),-8.68336 # DEPENDENCYPART_ARC
(0,23),-8.25288 # DEPENDENCYPART_ARC
(0,24),-9.52664 # DEPENDENCYPART_ARC
(0,25),-9.54841 # DEPENDENCYPART_ARC
(0,26),-7.84588 # DEPENDENCYPART_ARC
(0,27),-6.32435 # DEPENDENCYPART_ARC
(0,28),-6.52367 # DEPENDENCYPART_ARC
(1,2),-0.974641 # DEPENDENCYPART_ARC
(1,3),-1.66006 # DEPENDENCYPART_ARC
(1,4),-1.77446 # DEPENDENCYPART_ARC
(1,5),-3.11441 # DEPENDENCYPART_ARC
(1,6),-2.79718 # DEPENDENCYPART_ARC
(1,7),-1.77577 # DEPENDENCYPART_ARC
(1,8),-1.83863 # DEPENDENCYPART_ARC
(1,9),-4.09944 # DEPENDENCYPART_ARC
(1,10),-4.68139 # DEPENDENCYPART_ARC
(1,11),-2.12888 # DEPENDENCYPART_ARC
(1,12),-6.00009 # DEPENDENCYPART_ARC
(1,13),-6.20955 # DEPENDENCYPART_ARC
(1,14),-1.73718 # DEPENDENCYPART_ARC
(1,15),-4.51963 # DEPENDENCYPART_ARC
(1,16),-6.46541 # DEPENDENCYPART_ARC
(1,17),-4.18434 # DEPENDENCYPART_ARC
(1,18),-6.52832 # DEPENDENCYPART_ARC
(1,19),-2.67031 # DEPENDENCYPART_ARC
(1,20),-2.82411 # DEPENDENCYPART_ARC
(1,21),-4.72749 # DEPENDENCYPART_ARC
(1,22),-5.2836 # DEPENDENCYPART_ARC
(1,23),-9.67336 # DEPENDENCYPART_ARC
(1,24),-3.73932 # DEPENDENCYPART_ARC
(1,25),-10.3919 # DEPENDENCYPART_ARC
(1,26),-7.68751 # DEPENDENCYPART_ARC
(1,27),-9.85068 # DEPENDENCYPART_ARC
(1,28),-1.66418 # DEPENDENCYPART_ARC
(2,1),0.0187529 # DEPENDENCYPART_ARC
(2,3),1.37298 # DEPENDENCYPART_ARC
(2,4),1.50628 # DEPENDENCYPART_ARC
(2,5),2.19497 # DEPENDENCYPART_ARC
(2,6),0.819611 # DEPENDENCYPART_ARC
(2,7),1.22193 # DEPENDENCYPART_ARC
(2,8),1.15931 # DEPENDENCYPART_ARC
(2,9),-1.71942 # DEPENDENCYPART_ARC
(2,10),-0.662713 # DEPENDENCYPART_ARC
(2,11),0.0505514 # DEPENDENCYPART_ARC
(2,12),-1.86197 # DEPENDENCYPART_ARC
(2,13),-1.50047 # DEPENDENCYPART_ARC
(2,14),-0.954487 # DEPENDENCYPART_ARC
(2,15),-1.29121 # DEPENDENCYPART_ARC
(2,16),-3.84266 # DEPENDENCYPART_ARC
(2,17),-1.96313 # DEPENDENCYPART_ARC
(2,18),-3.60938 # DEPENDENCYPART_ARC
(2,19),-0.427614 # DEPENDENCYPART_ARC
(2,20),0.215139 # DEPENDENCYPART_ARC
(2,21),0.803665 # DEPENDENCYPART_ARC
(2,22),-3.30343 # DEPENDENCYPART_ARC
(2,23),-5.79528 # DEPENDENCYPART_ARC
(2,24),-1.27351 # DEPENDENCYPART_ARC
(2,25),-7.39666 # DEPENDENCYPART_ARC
(2,26),-7.64884 # DEPENDENCYPART_ARC
(2,27),-8.53577 # DEPENDENCYPART_ARC
(2,28),-0.156625 # DEPENDENCYPART_ARC
(3,1),-0.26856 # DEPENDENCYPART_ARC
(3,2),0.657313 # DEPENDENCYPART_ARC
(3,4),1.75485 # DEPENDENCYPART_ARC
(3,5),0.0790297 # DEPENDENCYPART_ARC
(3,6),-0.191703 # DEPENDENCYPART_ARC
(3,7),-0.338374 # DEPENDENCYPART_ARC
(3,8),0.186365 # DEPENDENCYPART_ARC
(3,9),-0.913333 # DEPENDENCYPART_ARC
(3,10),-1.37952 # DEPENDENCYPART_ARC
(3,11),-0.345732 # DEPENDENCYPART_ARC
(3,12),-1.90613 # DEPENDENCYPART_ARC
(3,13),-1.94666 # DEPENDENCYPART_ARC
(3,14),-1.11281 # DEPENDENCYPART_ARC
(3,15),-1.85708 # DEPENDENCYPART_ARC
(3,16),-2.58119 # DEPENDENCYPART_ARC
(3,17),-2.76956 # DEPENDENCYPART_ARC
(3,18),-2.68783 # DEPENDENCYPART_ARC
(3,19),-0.740487 # DEPENDENCYPART_ARC
(3,20),-2.16654 # DEPENDENCYPART_ARC
(3,21),-1.15027 # DEPENDENCYPART_ARC
(3,22),-2.40981 # DEPENDENCYPART_ARC
(3,23),-3.03409 # DEPENDENCYPART_ARC
(3,24),-0.782539 # DEPENDENCYPART_ARC
(3,25),-3.23912 # DEPENDENCYPART_ARC
(3,26),-4.15962 # DEPENDENCYPART_ARC
(3,27),-4.38162 # DEPENDENCYPART_ARC
(3,28),-1.44056 # DEPENDENCYPART_ARC
(4,1),-0.979624 # DEPENDENCYPART_ARC
(4,2),0.943681 # DEPENDENCYPART_ARC
(4,3),3.30127 # DEPENDENCYPART_ARC
(4,5),1.33653 # DEPENDENCYPART_ARC
(4,6),-0.0203825 # DEPENDENCYPART_ARC
(4,7),0.415747 # DEPENDENCYPART_ARC
(4,8),0.151743 # DEPENDENCYPART_ARC
(4,9),-1.13139 # DEPENDENCYPART_ARC
(4,10),-0.807501 # DEPENDENCYPART_ARC
(4,11),1.08257 # DEPENDENCYPART_ARC
(4,12),-0.900202 # DEPENDENCYPART_ARC
(4,13),-1.02151 # DEPENDENCYPART_ARC
(4,14),-0.514952 # DEPENDENCYPART_ARC
(4,15),-1.48312 # DEPENDENCYPART_ARC
(4,16),-0.88821 # DEPENDENCYPART_ARC
(4,17),-0.687201 # DEPENDENCYPART_ARC
(4,18),-0.861215 # DEPENDENCYPART_ARC
(4,19),0.67487 # DEPENDENCYPART_ARC
(4,20),-1.22791 # DEPENDENCYPART_ARC
(4,21),-2.74587 # DEPENDENCYPART_ARC
(4,22),-2.6678 # DEPENDENCYPART_ARC
(4,23),-2.30777 # DEPENDENCYPART_ARC
(4,24),-2.33269 # DEPENDENCYPART_ARC
(4,25),-2.1604 # DEPENDENCYPART_ARC
(4,26),-2.27349 # DEPENDENCYPART_ARC
(4,27),-2.00958 # DEPENDENCYPART_ARC
(4,28),0.289516 # DEPENDENCYPART_ARC
(5,1),-0.66019 # DEPENDENCYPART_ARC
(5,2),0.757997 # DEPENDENCYPART_ARC
(5,3),2.16536 # DEPENDENCYPART_ARC
(5,4),4.2564 # DEPENDENCYPART_ARC
(5,6),1.06696 # DEPENDENCYPART_ARC
(5,7),2.03511 # DEPENDENCYPART_ARC
(5,8),1.40181 # DEPENDENCYPART_ARC
(5,9),-0.0409518 # DEPENDENCYPART_ARC
(5,10),0.681824 # DEPENDENCYPART_ARC
(5,11),1.27116 # DEPENDENCYPART_ARC
