# _root_ Mr. Jarrell , former top economist at the Securities and Exchange Commission , teaches at the University of Rochester 's Simon Business School .
#goldHeads=2,14,2,6,6,2,6,9,7,9,12,10,2,0,14,17,23,17,18,17,23,23,15,14,
#predictedHeads=2,14,2,6,6,2,6,9,7,9,12,10,2,0,14,23,23,17,23,17,23,23,15,14,
(0,1),-5.94768 # DEPENDENCYPART_ARC
(0,2),-6.60067 # DEPENDENCYPART_ARC
(0,3),-6.56142 # DEPENDENCYPART_ARC
(0,4),-6.76722 # DEPENDENCYPART_ARC
(0,5),-6.41904 # DEPENDENCYPART_ARC
(0,6),-7.73674 # DEPENDENCYPART_ARC
(0,7),-7.98389 # DEPENDENCYPART_ARC
(0,8),-7.82953 # DEPENDENCYPART_ARC
(0,9),-7.57033 # DEPENDENCYPART_ARC
(0,10),-8.15873 # DEPENDENCYPART_ARC
(0,11),-7.50627 # DEPENDENCYPART_ARC
(0,12),-7.89269 # DEPENDENCYPART_ARC
(0,13),-7.83196 # DEPENDENCYPART_ARC
(0,14),-1.9517 # DEPENDENCYPART_ARC
(0,15),-8.95376 # DEPENDENCYPART_ARC
(0,16),-8.61506 # DEPENDENCYPART_ARC
(0,17),-9.94433 # DEPENDENCYPART_ARC
(0,18),-9.61849 # DEPENDENCYPART_ARC
(0,19),-8.55249 # DEPENDENCYPART_ARC
(0,20),-11.8393 # DEPENDENCYPART_ARC
(0,21),-8.59336 # DEPENDENCYPART_ARC
(0,22),-8.91911 # DEPENDENCYPART_ARC
(0,23),-8.1611 # DEPENDENCYPART_ARC
(0,24),-5.82067 # DEPENDENCYPART_ARC
(1,2),0.73463 # DEPENDENCYPART_ARC
(1,3),0.857222 # DEPENDENCYPART_ARC
(1,4),-0.0880814 # DEPENDENCYPART_ARC
(1,5),-0.225896 # DEPENDENCYPART_ARC
(1,6),0.858418 # DEPENDENCYPART_ARC
(1,7),-1.46792 # DEPENDENCYPART_ARC
(1,8),-0.960209 # DEPENDENCYPART_ARC
(1,9),-1.67062 # DEPENDENCYPART_ARC
(1,10),1.70059 # DEPENDENCYPART_ARC
(1,11),-2.2912 # DEPENDENCYPART_ARC
(1,12),-1.73928 # DEPENDENCYPART_ARC
(1,13),1.14807 # DEPENDENCYPART_ARC
(1,14),-1.36814 # DEPENDENCYPART_ARC
(1,15),-2.3129 # DEPENDENCYPART_ARC
(1,16),-1.75687 # DEPENDENCYPART_ARC
(1,17),-3.25486 # DEPENDENCYPART_ARC
(1,18),-0.938024 # DEPENDENCYPART_ARC
(1,19),-4.79612 # DEPENDENCYPART_ARC
(1,20),-3.42934 # DEPENDENCYPART_ARC
(1,21),-3.63723 # DEPENDENCYPART_ARC
(1,22),-3.88425 # DEPENDENCYPART_ARC
(1,23),-3.5771 # DEPENDENCYPART_ARC
(1,24),-0.771769 # DEPENDENCYPART_ARC
(2,1),5.3632 # DEPENDENCYPART_ARC
(2,3),3.13503 # DEPENDENCYPART_ARC
(2,4),1.56092 # DEPENDENCYPART_ARC
(2,5),1.21598 # DEPENDENCYPART_ARC
(2,6),2.61294 # DEPENDENCYPART_ARC
(2,7),0.297678 # DEPENDENCYPART_ARC
(2,8),0.181174 # DEPENDENCYPART_ARC
(2,9),0.373415 # DEPENDENCYPART_ARC
(2,10),2.50411 # DEPENDENCYPART_ARC
(2,11),-1.27459 # DEPENDENCYPART_ARC
(2,12),0.253576 # DEPENDENCYPART_ARC
(2,13),3.34272 # DEPENDENCYPART_ARC
(2,14),-0.210539 # DEPENDENCYPART_ARC
(2,15),-0.906996 # DEPENDENCYPART_ARC
(2,16),-0.569605 # DEPENDENCYPART_ARC
(2,17),-1.76026 # DEPENDENCYPART_ARC
(2,18),-1.31497 # DEPENDENCYPART_ARC
(2,19),-2.90667 # DEPENDENCYPART_ARC
(2,20),-1.27933 # DEPENDENCYPART_ARC
(2,21),-2.32675 # DEPENDENCYPART_ARC
(2,22),-2.31757 # DEPENDENCYPART_ARC
(2,23),-1.7918 # DEPENDENCYPART_ARC
(2,24),0.752733 # DEPENDENCYPART_ARC
(3,1),-1.71074 # DEPENDENCYPART_ARC
(3,2),-1.15002 # DEPENDENCYPART_ARC
(3,4),-0.339478 # DEPENDENCYPART_ARC
(3,5),-0.928826 # DEPENDENCYPART_ARC
(3,6),-1.63516 # DEPENDENCYPART_ARC
(3,7),-1.30717 # DEPENDENCYPART_ARC
