# _root_ So any bearish indicator , such as Friday 's precipitous drop in the stock market , sends shivers through the oil markets as well .
#goldHeads=17,4,4,17,4,7,4,11,8,11,7,11,15,15,12,4,0,17,17,22,22,19,17,23,17,
#predictedHeads=17,4,4,1,4,7,4,11,8,11,7,11,15,15,12,11,0,17,17,22,22,19,17,23,17,
(0,1),-7.56073 # DEPENDENCYPART_ARC
(0,2),-7.26803 # DEPENDENCYPART_ARC
(0,3),-6.80307 # DEPENDENCYPART_ARC
(0,4),-6.69515 # DEPENDENCYPART_ARC
(0,5),-7.59189 # DEPENDENCYPART_ARC
(0,6),-7.29429 # DEPENDENCYPART_ARC
(0,7),-7.10886 # DEPENDENCYPART_ARC
(0,8),-6.24825 # DEPENDENCYPART_ARC
(0,9),-8.36299 # DEPENDENCYPART_ARC
(0,10),-7.10826 # DEPENDENCYPART_ARC
(0,11),-7.76935 # DEPENDENCYPART_ARC
(0,12),-8.35677 # DEPENDENCYPART_ARC
(0,13),-8.71626 # DEPENDENCYPART_ARC
(0,14),-7.59528 # DEPENDENCYPART_ARC
(0,15),-7.30717 # DEPENDENCYPART_ARC
(0,16),-8.93528 # DEPENDENCYPART_ARC
(0,17),-3.05876 # DEPENDENCYPART_ARC
(0,18),-6.87345 # DEPENDENCYPART_ARC
(0,19),-9.30501 # DEPENDENCYPART_ARC
(0,20),-9.6956 # DEPENDENCYPART_ARC
(0,21),-7.55079 # DEPENDENCYPART_ARC
(0,22),-6.91093 # DEPENDENCYPART_ARC
(0,23),-10.1055 # DEPENDENCYPART_ARC
(0,24),-9.66789 # DEPENDENCYPART_ARC
(0,25),-6.17783 # DEPENDENCYPART_ARC
(1,2),0.613011 # DEPENDENCYPART_ARC
(1,3),0.806169 # DEPENDENCYPART_ARC
(1,4),1.60377 # DEPENDENCYPART_ARC
(1,5),-0.147533 # DEPENDENCYPART_ARC
(1,6),-0.638257 # DEPENDENCYPART_ARC
(1,7),0.0183558 # DEPENDENCYPART_ARC
(1,8),-3.20603 # DEPENDENCYPART_ARC
(1,9),-1.12004 # DEPENDENCYPART_ARC
(1,10),-1.54656 # DEPENDENCYPART_ARC
(1,11),-0.677154 # DEPENDENCYPART_ARC
(1,12),-1.42539 # DEPENDENCYPART_ARC
(1,13),-3.34462 # DEPENDENCYPART_ARC
(1,14),-4.12491 # DEPENDENCYPART_ARC
(1,15),-2.8789 # DEPENDENCYPART_ARC
(1,16),-0.457086 # DEPENDENCYPART_ARC
(1,17),0.814645 # DEPENDENCYPART_ARC
(1,18),-6.45509 # DEPENDENCYPART_ARC
(1,19),-1.93769 # DEPENDENCYPART_ARC
(1,20),-4.48593 # DEPENDENCYPART_ARC
