# _root_ Still , the market had n't yet crossed into positive territory , and traders were glum .
#goldHeads=0,1,4,5,1,5,5,5,8,11,9,5,5,15,13,15,1,
#predictedHeads=5,5,4,5,0,5,5,5,8,11,9,5,5,15,13,15,5,
(0,1),-5.14551 # DEPENDENCYPART_ARC
(0,2),-6.42844 # DEPENDENCYPART_ARC
(0,3),-6.65741 # DEPENDENCYPART_ARC
(0,4),-5.55951 # DEPENDENCYPART_ARC
(0,5),-3.10527 # DEPENDENCYPART_ARC
(0,6),-6.64566 # DEPENDENCYPART_ARC
(0,7),-6.41056 # DEPENDENCYPART_ARC
(0,8),-5.15874 # DEPENDENCYPART_ARC
(0,9),-5.79096 # DEPENDENCYPART_ARC
(0,10),-6.4803 # DEPENDENCYPART_ARC
(0,11),-6.2306 # DEPENDENCYPART_ARC
(0,12),-7.38629 # DEPENDENCYPART_ARC
(0,13),-7.74494 # DEPENDENCYPART_ARC
(0,14),-5.45995 # DEPENDENCYPART_ARC
(0,15),-2.86779 # DEPENDENCYPART_ARC
(0,16),-6.61004 # DEPENDENCYPART_ARC
(0,17),-6.1387 # DEPENDENCYPART_ARC
(1,2),-0.0867364 # DEPENDENCYPART_ARC
(1,3),-0.315557 # DEPENDENCYPART_ARC
(1,4),-1.54178 # DEPENDENCYPART_ARC
(1,5),-0.12951 # DEPENDENCYPART_ARC
(1,6),-1.50426 # DEPENDENCYPART_ARC
(1,7),-1.60098 # DEPENDENCYPART_ARC
(1,8),-1.28782 # DEPENDENCYPART_ARC
(1,9),-1.19018 # DEPENDENCYPART_ARC
(1,10),-1.49758 # DEPENDENCYPART_ARC
(1,11),-3.10575 # DEPENDENCYPART_ARC
(1,12),-0.833774 # DEPENDENCYPART_ARC
(1,13),-1.08756 # DEPENDENCYPART_ARC
(1,14),-3.00138 # DEPENDENCYPART_ARC
(1,15),-1.25439 # DEPENDENCYPART_ARC
(1,16),-2.31061 # DEPENDENCYPART_ARC
(1,17),1.46275 # DEPENDENCYPART_ARC
(2,1),-1.17427 # DEPENDENCYPART_ARC
(2,3),-0.374748 # DEPENDENCYPART_ARC
(2,4),-1.07976 # DEPENDENCYPART_ARC
(2,5),-0.740269 # DEPENDENCYPART_ARC
(2,6),-1.45829 # DEPENDENCYPART_ARC
(2,7),-1.62562 # DEPENDENCYPART_ARC
(2,8),-1.59898 # DEPENDENCYPART_ARC
(2,9),-1.24588 # DEPENDENCYPART_ARC
(2,10),-2.10208 # DEPENDENCYPART_ARC
(2,11),-2.62497 # DEPENDENCYPART_ARC
(2,12),-0.223736 # DEPENDENCYPART_ARC
(2,13),-1.94145 # DEPENDENCYPART_ARC
(2,14),-2.69339 # DEPENDENCYPART_ARC
(2,15),-1.97397 # DEPENDENCYPART_ARC
(2,16),-2.78508 # DEPENDENCYPART_ARC
(2,17),-1.90227 # DEPENDENCYPART_ARC
(3,1),-1.49221 # DEPENDENCYPART_ARC
(3,2),-0.907537 # DEPENDENCYPART_ARC
(3,4),-0.304404 # DEPENDENCYPART_ARC
(3,5),-0.331212 # DEPENDENCYPART_ARC
(3,6),-1.56548 # DEPENDENCYPART_ARC
(3,7),-1.81436 # DEPENDENCYPART_ARC
(3,8),-1.53801 # DEPENDENCYPART_ARC
(3,9),-2.26678 # DEPENDENCYPART_ARC
(3,10),-2.25778 # DEPENDENCYPART_ARC
(3,11),-2.38255 # DEPENDENCYPART_ARC
(3,12),-2.05954 # DEPENDENCYPART_ARC
(3,13),-1.95951 # DEPENDENCYPART_ARC
(3,14),-2.55911 # DEPENDENCYPART_ARC
(3,15),-3.25075 # DEPENDENCYPART_ARC
(3,16),-3.12198 # DEPENDENCYPART_ARC
(3,17),-1.72924 # DEPENDENCYPART_ARC
(4,1),-0.713615 # DEPENDENCYPART_ARC
(4,2),0.587598 # DEPENDENCYPART_ARC
(4,3),4.62339 # DEPENDENCYPART_ARC
(4,5),0.987612 # DEPENDENCYPART_ARC
(4,6),-0.381902 # DEPENDENCYPART_ARC
(4,7),-0.107674 # DEPENDENCYPART_ARC
(4,8),-0.216557 # DEPENDENCYPART_ARC
(4,9),-0.288141 # DEPENDENCYPART_ARC
(4,10),-0.964867 # DEPENDENCYPART_ARC
(4,11),-0.850317 # DEPENDENCYPART_ARC
(4,12),-0.155257 # DEPENDENCYPART_ARC
(4,13),-1.05845 # DEPENDENCYPART_ARC
(4,14),-1.57327 # DEPENDENCYPART_ARC
(4,15),-1.43063 # DEPENDENCYPART_ARC
(4,16),-2.00764 # DEPENDENCYPART_ARC
(4,17),0.58515 # DEPENDENCYPART_ARC
(5,1),1.55995 # DEPENDENCYPART_ARC
(5,2),3.43095 # DEPENDENCYPART_ARC
(5,3),1.11774 # DEPENDENCYPART_ARC
(5,4),3.47624 # DEPENDENCYPART_ARC
(5,6),4.07712 # DEPENDENCYPART_ARC
(5,7),2.77205 # DEPENDENCYPART_ARC
(5,8),2.95346 # DEPENDENCYPART_ARC
(5,9),1.70945 # DEPENDENCYPART_ARC
(5,10),0.487216 # DEPENDENCYPART_ARC
(5,11),1.05485 # DEPENDENCYPART_ARC
(5,12),1.99848 # DEPENDENCYPART_ARC
(5,13),2.27637 # DEPENDENCYPART_ARC
(5,14),-0.601868 # DEPENDENCYPART_ARC
(5,15),-0.0994708 # DEPENDENCYPART_ARC
(5,16),-0.412963 # DEPENDENCYPART_ARC
(5,17),4.99549 # DEPENDENCYPART_ARC
(6,1),-0.909501 # DEPENDENCYPART_ARC
(6,2),-0.44454 # DEPENDENCYPART_ARC
(6,3),0.232592 # DEPENDENCYPART_ARC
(6,4),-0.450613 # DEPENDENCYPART_ARC
(6,5),0.145332 # DEPENDENCYPART_ARC
(6,7),0.744627 # DEPENDENCYPART_ARC
(6,8),0.172709 # DEPENDENCYPART_ARC
(6,9),0.223094 # DEPENDENCYPART_ARC
(6,10),0.213077 # DEPENDENCYPART_ARC
(6,11),-0.358581 # DEPENDENCYPART_ARC
(6,12),-0.0779087 # DEPENDENCYPART_ARC
(6,13),-0.540633 # DEPENDENCYPART_ARC
(6,14),-1.32873 # DEPENDENCYPART_ARC
(6,15),-0.68772 # DEPENDENCYPART_ARC
(6,16),-1.05124 # DEPENDENCYPART_ARC
(6,17),0.633933 # DEPENDENCYPART_ARC
(7,1),-2.0931 # DEPENDENCYPART_ARC
(7,2),-1.83807 # DEPENDENCYPART_ARC
(7,3),-1.01211 # DEPENDENCYPART_ARC
(7,4),-1.66631 # DEPENDENCYPART_ARC
(7,5),-1.32144 # DEPENDENCYPART_ARC
(7,6),0.286578 # DEPENDENCYPART_ARC
(7,8),0.235128 # DEPENDENCYPART_ARC
(7,9),0.265958 # DEPENDENCYPART_ARC
(7,10),-0.0803754 # DEPENDENCYPART_ARC
(7,11),-0.863801 # DEPENDENCYPART_ARC
(7,12),-0.371762 # DEPENDENCYPART_ARC
(7,13),-0.534025 # DEPENDENCYPART_ARC
(7,14),-2.08625 # DEPENDENCYPART_ARC
(7,15),-1.06948 # DEPENDENCYPART_ARC
(7,16),-1.51805 # DEPENDENCYPART_ARC
(7,17),-0.731365 # DEPENDENCYPART_ARC
(8,1),-0.596353 # DEPENDENCYPART_ARC
(8,2),-0.322669 # DEPENDENCYPART_ARC
(8,3),0.00838524 # DEPENDENCYPART_ARC
(8,4),0.0960716 # DEPENDENCYPART_ARC
(8,5),-0.296951 # DEPENDENCYPART_ARC
(8,6),1.36339 # DEPENDENCYPART_ARC
(8,7),1.68575 # DEPENDENCYPART_ARC
(8,9),3.27316 # DEPENDENCYPART_ARC
(8,10),0.703456 # DEPENDENCYPART_ARC
(8,11),1.52759 # DEPENDENCYPART_ARC
(8,12),1.32023 # DEPENDENCYPART_ARC
(8,13),0.765533 # DEPENDENCYPART_ARC
(8,14),-0.29924 # DEPENDENCYPART_ARC
(8,15),0.139313 # DEPENDENCYPART_ARC
(8,16),-0.389779 # DEPENDENCYPART_ARC
(8,17),1.63808 # DEPENDENCYPART_ARC
(9,1),-1.70046 # DEPENDENCYPART_ARC
(9,2),-1.13502 # DEPENDENCYPART_ARC
(9,3),-0.472418 # DEPENDENCYPART_ARC
(9,4),-0.844089 # DEPENDENCYPART_ARC
(9,5),-0.464099 # DEPENDENCYPART_ARC
(9,6),-0.402456 # DEPENDENCYPART_ARC
(9,7),-0.163516 # DEPENDENCYPART_ARC
(9,8),0.478155 # DEPENDENCYPART_ARC
(9,10),1.09036 # DEPENDENCYPART_ARC
(9,11),3.65608 # DEPENDENCYPART_ARC
(9,12),0.975093 # DEPENDENCYPART_ARC
(9,13),-0.177777 # DEPENDENCYPART_ARC
(9,14),1.10368 # DEPENDENCYPART_ARC
(9,15),0.105996 # DEPENDENCYPART_ARC
(9,16),-0.724458 # DEPENDENCYPART_ARC
(9,17),0.716532 # DEPENDENCYPART_ARC
(10,1),-2.97081 # DEPENDENCYPART_ARC
(10,2),-1.3295 # DEPENDENCYPART_ARC
(10,3),-0.764505 # DEPENDENCYPART_ARC
(10,4),-1.31121 # DEPENDENCYPART_ARC
(10,5),-1.98052 # DEPENDENCYPART_ARC
(10,6),-0.94292 # DEPENDENCYPART_ARC
(10,7),-0.304228 # DEPENDENCYPART_ARC
(10,8),-0.480189 # DEPENDENCYPART_ARC
(10,9),0.936573 # DEPENDENCYPART_ARC
(10,11),1.14014 # DEPENDENCYPART_ARC
(10,12),-0.650848 # DEPENDENCYPART_ARC
(10,13),-0.713505 # DEPENDENCYPART_ARC
(10,14),-0.53109 # DEPENDENCYPART_ARC
(10,15),-0.848382 # DEPENDENCYPART_ARC
(10,16),-1.26869 # DEPENDENCYPART_ARC
(10,17),-0.768852 # DEPENDENCYPART_ARC
(11,1),-2.43494 # DEPENDENCYPART_ARC
(11,2),-1.24875 # DEPENDENCYPART_ARC
(11,3),0.482327 # DEPENDENCYPART_ARC
(11,4),-1.42649 # DEPENDENCYPART_ARC
(11,5),-1.0232 # DEPENDENCYPART_ARC
(11,6),0.122986 # DEPENDENCYPART_ARC
(11,7),0.319282 # DEPENDENCYPART_ARC
(11,8),0.461197 # DEPENDENCYPART_ARC
(11,9),1.1602 # DEPENDENCYPART_ARC
(11,10),4.13265 # DEPENDENCYPART_ARC
(11,12),1.61609 # DEPENDENCYPART_ARC
(11,13),1.43775 # DEPENDENCYPART_ARC
(11,14),0.514914 # DEPENDENCYPART_ARC
(11,15),0.869822 # DEPENDENCYPART_ARC
(11,16),-0.0628291 # DEPENDENCYPART_ARC
(11,17),0.598932 # DEPENDENCYPART_ARC
(12,1),-2.60435 # DEPENDENCYPART_ARC
(12,2),-0.468233 # DEPENDENCYPART_ARC
(12,3),-1.35249 # DEPENDENCYPART_ARC
(12,4),-1.79222 # DEPENDENCYPART_ARC
(12,5),-1.46544 # DEPENDENCYPART_ARC
(12,6),-1.92383 # DEPENDENCYPART_ARC
(12,7),-1.85728 # DEPENDENCYPART_ARC
(12,8),-0.869595 # DEPENDENCYPART_ARC
(12,9),-0.82904 # DEPENDENCYPART_ARC
(12,10),-1.02695 # DEPENDENCYPART_ARC
(12,11),-0.728083 # DEPENDENCYPART_ARC
(12,13),-0.270155 # DEPENDENCYPART_ARC
(12,14),-0.612961 # DEPENDENCYPART_ARC
(12,15),-0.545415 # DEPENDENCYPART_ARC
(12,16),-1.25509 # DEPENDENCYPART_ARC
(12,17),-1.12511 # DEPENDENCYPART_ARC
(13,1),-2.54676 # DEPENDENCYPART_ARC
(13,2),-2.20975 # DEPENDENCYPART_ARC
(13,3),-1.5404 # DEPENDENCYPART_ARC
(13,4),-1.39283 # DEPENDENCYPART_ARC
(13,5),-0.77174 # DEPENDENCYPART_ARC
(13,6),-1.94084 # DEPENDENCYPART_ARC
(13,7),-1.79755 # DEPENDENCYPART_ARC
(13,8),-1.48448 # DEPENDENCYPART_ARC
(13,9),-0.754164 # DEPENDENCYPART_ARC
(13,10),-0.707609 # DEPENDENCYPART_ARC
(13,11),-0.178936 # DEPENDENCYPART_ARC
(13,12),-0.510523 # DEPENDENCYPART_ARC
(13,14),1.50908 # DEPENDENCYPART_ARC
(13,15),3.52131 # DEPENDENCYPART_ARC
(13,16),-0.186417 # DEPENDENCYPART_ARC
(13,17),-0.626173 # DEPENDENCYPART_ARC
(14,1),-4.3525 # DEPENDENCYPART_ARC
(14,2),-3.03652 # DEPENDENCYPART_ARC
(14,3),-2.42103 # DEPENDENCYPART_ARC
(14,4),-2.80727 # DEPENDENCYPART_ARC
(14,5),-2.21269 # DEPENDENCYPART_ARC
(14,6),-2.72755 # DEPENDENCYPART_ARC
(14,7),-2.55368 # DEPENDENCYPART_ARC
(14,8),-1.68559 # DEPENDENCYPART_ARC
(14,9),-1.50519 # DEPENDENCYPART_ARC
(14,10),0.916608 # DEPENDENCYPART_ARC
(14,11),-0.710048 # DEPENDENCYPART_ARC
(14,12),-1.05398 # DEPENDENCYPART_ARC
(14,13),-0.0210915 # DEPENDENCYPART_ARC
(14,15),1.03931 # DEPENDENCYPART_ARC
(14,16),-0.0251441 # DEPENDENCYPART_ARC
(14,17),0.396385 # DEPENDENCYPART_ARC
(15,1),1.31472 # DEPENDENCYPART_ARC
(15,2),1.06579 # DEPENDENCYPART_ARC
