# _root_ `` The first thing that caught my eye that was encouraging was Treasury bonds were off , '' says Austin George , head of stock trading at T. Rowe Price .
#goldHeads=12,4,4,12,6,4,8,6,10,4,10,19,14,15,12,15,12,12,0,21,19,21,21,23,24,25,23,30,30,27,19,
#predictedHeads=19,4,4,12,6,4,8,6,10,4,10,15,14,15,19,15,19,19,0,21,19,21,21,23,24,25,26,30,30,27,19,
(0,1),-6.40372 # DEPENDENCYPART_ARC
(0,2),-6.74051 # DEPENDENCYPART_ARC
(0,3),-6.27007 # DEPENDENCYPART_ARC
(0,4),-6.3673 # DEPENDENCYPART_ARC
(0,5),-6.89394 # DEPENDENCYPART_ARC
(0,6),-5.47562 # DEPENDENCYPART_ARC
(0,7),-6.81568 # DEPENDENCYPART_ARC
(0,8),-7.12886 # DEPENDENCYPART_ARC
(0,9),-7.12127 # DEPENDENCYPART_ARC
(0,10),-5.25825 # DEPENDENCYPART_ARC
(0,11),-6.50063 # DEPENDENCYPART_ARC
(0,12),-3.81694 # DEPENDENCYPART_ARC
(0,13),-7.16165 # DEPENDENCYPART_ARC
(0,14),-7.43452 # DEPENDENCYPART_ARC
(0,15),-4.73595 # DEPENDENCYPART_ARC
(0,16),-7.58738 # DEPENDENCYPART_ARC
(0,17),-7.86844 # DEPENDENCYPART_ARC
(0,18),-7.07408 # DEPENDENCYPART_ARC
(0,19),0.0432301 # DEPENDENCYPART_ARC
(0,20),-7.46164 # DEPENDENCYPART_ARC
(0,21),-7.47924 # DEPENDENCYPART_ARC
(0,22),-8.60904 # DEPENDENCYPART_ARC
(0,23),-8.76686 # DEPENDENCYPART_ARC
(0,24),-9.30359 # DEPENDENCYPART_ARC
(0,25),-9.09376 # DEPENDENCYPART_ARC
(0,26),-7.81696 # DEPENDENCYPART_ARC
(0,27),-9.7691 # DEPENDENCYPART_ARC
(0,28),-8.57388 # DEPENDENCYPART_ARC
(0,29),-8.19348 # DEPENDENCYPART_ARC
(0,30),-8.95329 # DEPENDENCYPART_ARC
(0,31),-6.04967 # DEPENDENCYPART_ARC
(1,2),-1.8066 # DEPENDENCYPART_ARC
(1,3),-1.44822 # DEPENDENCYPART_ARC
(1,4),-2.32418 # DEPENDENCYPART_ARC
(1,5),-3.12056 # DEPENDENCYPART_ARC
(1,6),-2.38556 # DEPENDENCYPART_ARC
(1,7),-3.11904 # DEPENDENCYPART_ARC
(1,8),-2.92 # DEPENDENCYPART_ARC
(1,9),-3.56314 # DEPENDENCYPART_ARC
(1,10),-2.79024 # DEPENDENCYPART_ARC
(1,11),-2.97147 # DEPENDENCYPART_ARC
(1,12),-2.94658 # DEPENDENCYPART_ARC
(1,13),-3.50573 # DEPENDENCYPART_ARC
(1,14),-3.9785 # DEPENDENCYPART_ARC
(1,15),-3.31825 # DEPENDENCYPART_ARC
(1,16),-3.41861 # DEPENDENCYPART_ARC
(1,17),-2.99179 # DEPENDENCYPART_ARC
(1,18),-1.85117 # DEPENDENCYPART_ARC
(1,19),-3.71539 # DEPENDENCYPART_ARC
(1,20),-4.21434 # DEPENDENCYPART_ARC
(1,21),-4.28109 # DEPENDENCYPART_ARC
(1,22),-3.5854 # DEPENDENCYPART_ARC
(1,23),-4.14191 # DEPENDENCYPART_ARC
(1,24),-4.53521 # DEPENDENCYPART_ARC
(1,25),-4.1866 # DEPENDENCYPART_ARC
(1,26),-4.4621 # DEPENDENCYPART_ARC
(1,27),-4.92006 # DEPENDENCYPART_ARC
(1,28),-5.08785 # DEPENDENCYPART_ARC
(1,29),-5.13387 # DEPENDENCYPART_ARC
(1,30),-5.23119 # DEPENDENCYPART_ARC
(1,31),-4.01947 # DEPENDENCYPART_ARC
(2,1),-1.05334 # DEPENDENCYPART_ARC
(2,3),-0.179159 # DEPENDENCYPART_ARC
(2,4),-0.785448 # DEPENDENCYPART_ARC
(2,5),-2.10846 # DEPENDENCYPART_ARC
(2,6),-0.669158 # DEPENDENCYPART_ARC
(2,7),-2.1912 # DEPENDENCYPART_ARC
(2,8),-1.83717 # DEPENDENCYPART_ARC
(2,9),-2.7857 # DEPENDENCYPART_ARC
(2,10),-1.35119 # DEPENDENCYPART_ARC
(2,11),-1.96244 # DEPENDENCYPART_ARC
(2,12),-1.87053 # DEPENDENCYPART_ARC
(2,13),-2.85572 # DEPENDENCYPART_ARC
(2,14),-2.71784 # DEPENDENCYPART_ARC
(2,15),-2.59097 # DEPENDENCYPART_ARC
(2,16),-2.78432 # DEPENDENCYPART_ARC
(2,17),-2.13083 # DEPENDENCYPART_ARC
(2,18),-1.97186 # DEPENDENCYPART_ARC
(2,19),-3.15059 # DEPENDENCYPART_ARC
(2,20),-3.45469 # DEPENDENCYPART_ARC
(2,21),-3.46834 # DEPENDENCYPART_ARC
(2,22),-2.43479 # DEPENDENCYPART_ARC
(2,23),-3.43631 # DEPENDENCYPART_ARC
(2,24),-4.63281 # DEPENDENCYPART_ARC
(2,25),-3.69001 # DEPENDENCYPART_ARC
(2,26),-3.96959 # DEPENDENCYPART_ARC
(2,27),-5.14571 # DEPENDENCYPART_ARC
(2,28),-4.31335 # DEPENDENCYPART_ARC
(2,29),-4.34491 # DEPENDENCYPART_ARC
(2,30),-4.36173 # DEPENDENCYPART_ARC
(2,31),-3.63058 # DEPENDENCYPART_ARC
(3,1),0.174509 # DEPENDENCYPART_ARC
(3,2),1.75996 # DEPENDENCYPART_ARC
(3,4),1.23523 # DEPENDENCYPART_ARC
(3,5),-0.176031 # DEPENDENCYPART_ARC
(3,6),0.660204 # DEPENDENCYPART_ARC
(3,7),-1.01636 # DEPENDENCYPART_ARC
(3,8),-0.442513 # DEPENDENCYPART_ARC
(3,9),-1.34841 # DEPENDENCYPART_ARC
(3,10),0.263562 # DEPENDENCYPART_ARC
(3,11),-0.526322 # DEPENDENCYPART_ARC
(3,12),-0.0973601 # DEPENDENCYPART_ARC
(3,13),-1.55524 # DEPENDENCYPART_ARC
(3,14),-1.0167 # DEPENDENCYPART_ARC
(3,15),-0.278717 # DEPENDENCYPART_ARC
(3,16),-1.00145 # DEPENDENCYPART_ARC
(3,17),-1.68983 # DEPENDENCYPART_ARC
(3,18),-1.00815 # DEPENDENCYPART_ARC
(3,19),-0.849345 # DEPENDENCYPART_ARC
(3,20),-2.1982 # DEPENDENCYPART_ARC
(3,21),-2.38812 # DEPENDENCYPART_ARC
(3,22),-1.54037 # DEPENDENCYPART_ARC
(3,23),-1.84301 # DEPENDENCYPART_ARC
(3,24),-2.94344 # DEPENDENCYPART_ARC
(3,25),-2.45548 # DEPENDENCYPART_ARC
(3,26),-2.1249 # DEPENDENCYPART_ARC
(3,27),-2.3005 # DEPENDENCYPART_ARC
(3,28),-3.01782 # DEPENDENCYPART_ARC
(3,29),-3.094 # DEPENDENCYPART_ARC
(3,30),-3.47367 # DEPENDENCYPART_ARC
(3,31),-1.15258 # DEPENDENCYPART_ARC
(4,1),1.27222 # DEPENDENCYPART_ARC
(4,2),5.53068 # DEPENDENCYPART_ARC
(4,3),5.32217 # DEPENDENCYPART_ARC
(4,5),0.865395 # DEPENDENCYPART_ARC
(4,6),3.35006 # DEPENDENCYPART_ARC
(4,7),0.123595 # DEPENDENCYPART_ARC
(4,8),0.380949 # DEPENDENCYPART_ARC
(4,9),-0.479224 # DEPENDENCYPART_ARC
(4,10),3.07331 # DEPENDENCYPART_ARC
(4,11),0.722888 # DEPENDENCYPART_ARC
(4,12),1.99189 # DEPENDENCYPART_ARC
(4,13),-1.08401 # DEPENDENCYPART_ARC
(4,14),-0.527095 # DEPENDENCYPART_ARC
(4,15),0.536602 # DEPENDENCYPART_ARC
(4,16),-0.58291 # DEPENDENCYPART_ARC
(4,17),-0.198079 # DEPENDENCYPART_ARC
(4,18),0.258215 # DEPENDENCYPART_ARC
(4,19),0.831966 # DEPENDENCYPART_ARC
(4,20),-2.44604 # DEPENDENCYPART_ARC
(4,21),-1.8307 # DEPENDENCYPART_ARC
(4,22),-1.0742 # DEPENDENCYPART_ARC
(4,23),-2.12901 # DEPENDENCYPART_ARC
(4,24),-4.93805 # DEPENDENCYPART_ARC
(4,25),-3.68305 # DEPENDENCYPART_ARC
(4,26),-1.56183 # DEPENDENCYPART_ARC
(4,27),-4.47291 # DEPENDENCYPART_ARC
(4,28),-3.70327 # DEPENDENCYPART_ARC
(4,29),-3.38084 # DEPENDENCYPART_ARC
(4,30),-3.91094 # DEPENDENCYPART_ARC
(4,31),2.64535 # DEPENDENCYPART_ARC
(5,1),-1.03937 # DEPENDENCYPART_ARC
(5,2),-0.41869 # DEPENDENCYPART_ARC
(5,3),-0.665181 # DEPENDENCYPART_ARC
