# _root_ Emanuel Goldman , a PaineWebber Inc. analyst , predicts Kentucky Fried Chicken will post an 11 % drop in 1989 net income .
#goldHeads=2,9,2,7,7,7,2,2,0,12,12,13,9,13,18,17,18,14,18,22,22,19,9,
#predictedHeads=2,9,2,7,7,7,2,2,0,12,12,13,9,13,18,17,18,14,18,22,22,19,9,
(0,1),-6.03779 # DEPENDENCYPART_ARC
(0,2),-6.70792 # DEPENDENCYPART_ARC
(0,3),-6.68191 # DEPENDENCYPART_ARC
(0,4),-7.36894 # DEPENDENCYPART_ARC
(0,5),-7.01812 # DEPENDENCYPART_ARC
(0,6),-6.51557 # DEPENDENCYPART_ARC
(0,7),-7.57272 # DEPENDENCYPART_ARC
(0,8),-7.39446 # DEPENDENCYPART_ARC
(0,9),-0.732929 # DEPENDENCYPART_ARC
(0,10),-8.15517 # DEPENDENCYPART_ARC
(0,11),-7.65951 # DEPENDENCYPART_ARC
(0,12),-8.01226 # DEPENDENCYPART_ARC
(0,13),-3.72211 # DEPENDENCYPART_ARC
(0,14),-5.74601 # DEPENDENCYPART_ARC
(0,15),-8.2503 # DEPENDENCYPART_ARC
(0,16),-8.94179 # DEPENDENCYPART_ARC
(0,17),-8.55072 # DEPENDENCYPART_ARC
(0,18),-8.58302 # DEPENDENCYPART_ARC
(0,19),-11.3571 # DEPENDENCYPART_ARC
(0,20),-9.53967 # DEPENDENCYPART_ARC
(0,21),-6.65292 # DEPENDENCYPART_ARC
(0,22),-8.7865 # DEPENDENCYPART_ARC
(0,23),-5.83404 # DEPENDENCYPART_ARC
(1,2),1.41705 # DEPENDENCYPART_ARC
(1,3),1.96286 # DEPENDENCYPART_ARC
(1,4),-0.309668 # DEPENDENCYPART_ARC
(1,5),-0.162979 # DEPENDENCYPART_ARC
(1,6),0.497868 # DEPENDENCYPART_ARC
(1,7),1.58435 # DEPENDENCYPART_ARC
(1,8),1.72673 # DEPENDENCYPART_ARC
(1,9),-0.480818 # DEPENDENCYPART_ARC
(1,10),-1.5394 # DEPENDENCYPART_ARC
(1,11),-1.32768 # DEPENDENCYPART_ARC
(1,12),-0.932209 # DEPENDENCYPART_ARC
