# _root_ Now in its 13th day , the strike has idled about 55,000 machinists and has started to delay delivery of some jetliners .
#goldHeads=2,9,5,5,2,9,8,9,0,9,13,11,10,9,14,15,16,17,18,19,22,20,9,
#predictedHeads=9,9,5,5,2,9,8,9,0,9,13,11,10,9,14,15,16,17,18,19,22,20,9,
(0,1),-6.16033 # DEPENDENCYPART_ARC
(0,2),-6.34951 # DEPENDENCYPART_ARC
(0,3),-6.339 # DEPENDENCYPART_ARC
(0,4),-6.21199 # DEPENDENCYPART_ARC
(0,5),-6.65776 # DEPENDENCYPART_ARC
(0,6),-6.66107 # DEPENDENCYPART_ARC
(0,7),-7.28173 # DEPENDENCYPART_ARC
(0,8),-6.65021 # DEPENDENCYPART_ARC
(0,9),-3.10519 # DEPENDENCYPART_ARC
(0,10),-4.75564 # DEPENDENCYPART_ARC
(0,11),-6.87151 # DEPENDENCYPART_ARC
(0,12),-8.15486 # DEPENDENCYPART_ARC
(0,13),-6.0244 # DEPENDENCYPART_ARC
(0,14),-7.98246 # DEPENDENCYPART_ARC
(0,15),-3.15687 # DEPENDENCYPART_ARC
(0,16),-4.41571 # DEPENDENCYPART_ARC
(0,17),-7.64591 # DEPENDENCYPART_ARC
(0,18),-5.92053 # DEPENDENCYPART_ARC
(0,19),-6.96032 # DEPENDENCYPART_ARC
(0,20),-7.39142 # DEPENDENCYPART_ARC
(0,21),-8.44846 # DEPENDENCYPART_ARC
(0,22),-5.85349 # DEPENDENCYPART_ARC
(0,23),-4.77974 # DEPENDENCYPART_ARC
(1,2),1.02015 # DEPENDENCYPART_ARC
(1,3),-0.263141 # DEPENDENCYPART_ARC
(1,4),0.378328 # DEPENDENCYPART_ARC
(1,5),-0.965582 # DEPENDENCYPART_ARC
(1,6),-0.41564 # DEPENDENCYPART_ARC
(1,7),-0.72313 # DEPENDENCYPART_ARC
(1,8),-2.29082 # DEPENDENCYPART_ARC
(1,9),-0.557454 # DEPENDENCYPART_ARC
(1,10),-1.23391 # DEPENDENCYPART_ARC
(1,11),-1.96467 # DEPENDENCYPART_ARC
(1,12),-1.85806 # DEPENDENCYPART_ARC
(1,13),-1.95512 # DEPENDENCYPART_ARC
(1,14),0.10534 # DEPENDENCYPART_ARC
(1,15),-1.36412 # DEPENDENCYPART_ARC
(1,16),-1.53829 # DEPENDENCYPART_ARC
(1,17),-1.87427 # DEPENDENCYPART_ARC
(1,18),-1.61031 # DEPENDENCYPART_ARC
(1,19),-3.52557 # DEPENDENCYPART_ARC
(1,20),-2.2481 # DEPENDENCYPART_ARC
(1,21),-2.55184 # DEPENDENCYPART_ARC
(1,22),-3.20664 # DEPENDENCYPART_ARC
(1,23),1.30345 # DEPENDENCYPART_ARC
(2,1),1.20466 # DEPENDENCYPART_ARC
(2,3),0.959636 # DEPENDENCYPART_ARC
(2,4),1.51814 # DEPENDENCYPART_ARC
(2,5),3.81524 # DEPENDENCYPART_ARC
(2,6),1.33291 # DEPENDENCYPART_ARC
(2,7),-1.13093 # DEPENDENCYPART_ARC
(2,8),-0.194732 # DEPENDENCYPART_ARC
(2,9),-0.544475 # DEPENDENCYPART_ARC
(2,10),0.084865 # DEPENDENCYPART_ARC
(2,11),-0.751748 # DEPENDENCYPART_ARC
(2,12),-0.85675 # DEPENDENCYPART_ARC
(2,13),-2.4334 # DEPENDENCYPART_ARC
(2,14),0.0398292 # DEPENDENCYPART_ARC
(2,15),-3.58536 # DEPENDENCYPART_ARC
(2,16),-0.285533 # DEPENDENCYPART_ARC
(2,17),-2.73737 # DEPENDENCYPART_ARC
(2,18),-0.966044 # DEPENDENCYPART_ARC
(2,19),-4.09842 # DEPENDENCYPART_ARC
(2,20),-1.32501 # DEPENDENCYPART_ARC
(2,21),-2.50415 # DEPENDENCYPART_ARC
(2,22),-7.52719 # DEPENDENCYPART_ARC
(2,23),1.93786 # DEPENDENCYPART_ARC
(3,1),-1.58962 # DEPENDENCYPART_ARC
(3,2),-0.907443 # DEPENDENCYPART_ARC
(3,4),0.391233 # DEPENDENCYPART_ARC
(3,5),-0.287981 # DEPENDENCYPART_ARC
(3,6),-0.211587 # DEPENDENCYPART_ARC
(3,7),-1.31917 # DEPENDENCYPART_ARC
(3,8),-1.16998 # DEPENDENCYPART_ARC
(3,9),-0.828733 # DEPENDENCYPART_ARC
(3,10),-1.17783 # DEPENDENCYPART_ARC
(3,11),-1.42446 # DEPENDENCYPART_ARC
(3,12),-1.95215 # DEPENDENCYPART_ARC
(3,13),-1.41174 # DEPENDENCYPART_ARC
(3,14),-0.988566 # DEPENDENCYPART_ARC
(3,15),-1.48929 # DEPENDENCYPART_ARC
(3,16),-1.7752 # DEPENDENCYPART_ARC
(3,17),-1.72732 # DEPENDENCYPART_ARC
(3,18),-2.07495 # DEPENDENCYPART_ARC
(3,19),-2.45392 # DEPENDENCYPART_ARC
(3,20),-2.17773 # DEPENDENCYPART_ARC
(3,21),-2.82124 # DEPENDENCYPART_ARC
(3,22),-2.26936 # DEPENDENCYPART_ARC
(3,23),-2.21293 # DEPENDENCYPART_ARC
(4,1),-1.18571 # DEPENDENCYPART_ARC
(4,2),-0.492407 # DEPENDENCYPART_ARC
(4,3),1.23025 # DEPENDENCYPART_ARC
(4,5),0.507246 # DEPENDENCYPART_ARC
(4,6),-0.972027 # DEPENDENCYPART_ARC
(4,7),-1.55823 # DEPENDENCYPART_ARC
(4,8),-1.3415 # DEPENDENCYPART_ARC
(4,9),-0.993949 # DEPENDENCYPART_ARC
(4,10),-1.365 # DEPENDENCYPART_ARC
(4,11),-1.62407 # DEPENDENCYPART_ARC
(4,12),-2.21252 # DEPENDENCYPART_ARC
(4,13),-1.43373 # DEPENDENCYPART_ARC
(4,14),-1.94152 # DEPENDENCYPART_ARC
(4,15),-1.69349 # DEPENDENCYPART_ARC
(4,16),-1.85847 # DEPENDENCYPART_ARC
