# _root_ Laidlaw is 47%-controlled by Canadian Pacific Ltd. , a Montreal transportation , resources and industrial holding concern .
#goldHeads=2,0,4,2,6,4,6,6,11,11,6,11,11,13,17,17,14,2,
#predictedHeads=2,0,2,2,6,4,6,6,11,11,6,11,11,13,17,17,14,2,
(0,1),-5.69174 # DEPENDENCYPART_ARC
(0,2),-2.55744 # DEPENDENCYPART_ARC
(0,3),-7.50905 # DEPENDENCYPART_ARC
(0,4),-7.30325 # DEPENDENCYPART_ARC
(0,5),-6.77144 # DEPENDENCYPART_ARC
(0,6),-6.59833 # DEPENDENCYPART_ARC
(0,7),-7.8966 # DEPENDENCYPART_ARC
(0,8),-7.19925 # DEPENDENCYPART_ARC
(0,9),-7.67271 # DEPENDENCYPART_ARC
(0,10),-8.34166 # DEPENDENCYPART_ARC
(0,11),-7.79379 # DEPENDENCYPART_ARC
(0,12),-7.70254 # DEPENDENCYPART_ARC
(0,13),-6.04127 # DEPENDENCYPART_ARC
(0,14),-8.47526 # DEPENDENCYPART_ARC
(0,15),-6.68907 # DEPENDENCYPART_ARC
(0,16),-6.43545 # DEPENDENCYPART_ARC
(0,17),-8.09973 # DEPENDENCYPART_ARC
(0,18),-6.17069 # DEPENDENCYPART_ARC
(1,2),1.19816 # DEPENDENCYPART_ARC
(1,3),0.787638 # DEPENDENCYPART_ARC
(1,4),0.231297 # DEPENDENCYPART_ARC
(1,5),-0.478972 # DEPENDENCYPART_ARC
(1,6),-0.216156 # DEPENDENCYPART_ARC
(1,7),0.280052 # DEPENDENCYPART_ARC
(1,8),0.709934 # DEPENDENCYPART_ARC
(1,9),-0.784088 # DEPENDENCYPART_ARC
(1,10),-1.47478 # DEPENDENCYPART_ARC
(1,11),-0.329555 # DEPENDENCYPART_ARC
(1,12),0.142387 # DEPENDENCYPART_ARC
(1,13),-1.14403 # DEPENDENCYPART_ARC
(1,14),-1.07487 # DEPENDENCYPART_ARC
(1,15),-1.36678 # DEPENDENCYPART_ARC
(1,16),-1.83869 # DEPENDENCYPART_ARC
(1,17),-2.07167 # DEPENDENCYPART_ARC
(1,18),0.280208 # DEPENDENCYPART_ARC
(2,1),3.03568 # DEPENDENCYPART_ARC
(2,3),2.1322 # DEPENDENCYPART_ARC
(2,4),1.89179 # DEPENDENCYPART_ARC
(2,5),0.473027 # DEPENDENCYPART_ARC
(2,6),0.583777 # DEPENDENCYPART_ARC
(2,7),0.929987 # DEPENDENCYPART_ARC
(2,8),1.19553 # DEPENDENCYPART_ARC
(2,9),0.0148703 # DEPENDENCYPART_ARC
(2,10),-0.677245 # DEPENDENCYPART_ARC
(2,11),0.164549 # DEPENDENCYPART_ARC
(2,12),0.918091 # DEPENDENCYPART_ARC
(2,13),-0.00404019 # DEPENDENCYPART_ARC
(2,14),0.0122461 # DEPENDENCYPART_ARC
(2,15),0.159574 # DEPENDENCYPART_ARC
(2,16),0.0396449 # DEPENDENCYPART_ARC
(2,17),-0.20057 # DEPENDENCYPART_ARC
(2,18),4.79089 # DEPENDENCYPART_ARC
(3,1),-0.117688 # DEPENDENCYPART_ARC
(3,2),0.115221 # DEPENDENCYPART_ARC
(3,4),1.28255 # DEPENDENCYPART_ARC
(3,5),1.09893 # DEPENDENCYPART_ARC
(3,6),0.856672 # DEPENDENCYPART_ARC
(3,7),0.660471 # DEPENDENCYPART_ARC
(3,8),1.13007 # DEPENDENCYPART_ARC
(3,9),-0.00291305 # DEPENDENCYPART_ARC
(3,10),0.163837 # DEPENDENCYPART_ARC
(3,11),0.0842137 # DEPENDENCYPART_ARC
(3,12),0.823562 # DEPENDENCYPART_ARC
(3,13),-0.333789 # DEPENDENCYPART_ARC
(3,14),-0.325975 # DEPENDENCYPART_ARC
(3,15),-0.606142 # DEPENDENCYPART_ARC
(3,16),-0.236827 # DEPENDENCYPART_ARC
