# _root_ But prices of junk bonds , which were battered Friday in near standstill trading , rebounded to post small gains after a volatile trading session .
#goldHeads=16,16,2,5,3,5,8,5,8,9,9,13,14,11,5,0,16,17,20,18,18,25,25,25,21,16,
#predictedHeads=16,16,2,5,3,5,8,5,8,9,9,14,14,11,5,0,16,17,20,18,16,25,25,25,21,16,
(0,1),-7.05083 # DEPENDENCYPART_ARC
(0,2),-7.15702 # DEPENDENCYPART_ARC
(0,3),-6.36528 # DEPENDENCYPART_ARC
(0,4),-6.02669 # DEPENDENCYPART_ARC
(0,5),-7.1327 # DEPENDENCYPART_ARC
(0,6),-6.60783 # DEPENDENCYPART_ARC
(0,7),-7.10983 # DEPENDENCYPART_ARC
(0,8),-4.64567 # DEPENDENCYPART_ARC
(0,9),-4.48697 # DEPENDENCYPART_ARC
(0,10),-6.9067 # DEPENDENCYPART_ARC
(0,11),-7.52916 # DEPENDENCYPART_ARC
(0,12),-6.34967 # DEPENDENCYPART_ARC
(0,13),-6.17022 # DEPENDENCYPART_ARC
(0,14),-7.55469 # DEPENDENCYPART_ARC
(0,15),-7.81868 # DEPENDENCYPART_ARC
(0,16),-3.23749 # DEPENDENCYPART_ARC
(0,17),-7.81633 # DEPENDENCYPART_ARC
(0,18),-6.06863 # DEPENDENCYPART_ARC
(0,19),-6.46728 # DEPENDENCYPART_ARC
(0,20),-7.91869 # DEPENDENCYPART_ARC
(0,21),-8.75676 # DEPENDENCYPART_ARC
(0,22),-8.75687 # DEPENDENCYPART_ARC
(0,23),-6.5811 # DEPENDENCYPART_ARC
(0,24),-7.89964 # DEPENDENCYPART_ARC
(0,25),-7.15644 # DEPENDENCYPART_ARC
(0,26),-7.54626 # DEPENDENCYPART_ARC
(1,2),-0.983155 # DEPENDENCYPART_ARC
(1,3),-2.08395 # DEPENDENCYPART_ARC
(1,4),-2.87109 # DEPENDENCYPART_ARC
(1,5),-3.16827 # DEPENDENCYPART_ARC
(1,6),-1.83625 # DEPENDENCYPART_ARC
(1,7),-4.22434 # DEPENDENCYPART_ARC
(1,8),-0.76425 # DEPENDENCYPART_ARC
(1,9),-2.01086 # DEPENDENCYPART_ARC
(1,10),-4.90368 # DEPENDENCYPART_ARC
(1,11),-3.34099 # DEPENDENCYPART_ARC
(1,12),-4.02923 # DEPENDENCYPART_ARC
(1,13),-4.01663 # DEPENDENCYPART_ARC
(1,14),-5.1511 # DEPENDENCYPART_ARC
(1,15),-2.78988 # DEPENDENCYPART_ARC
(1,16),-2.46135 # DEPENDENCYPART_ARC
(1,17),-4.12865 # DEPENDENCYPART_ARC
(1,18),-3.76026 # DEPENDENCYPART_ARC
(1,19),-5.13859 # DEPENDENCYPART_ARC
(1,20),-8.71915 # DEPENDENCYPART_ARC
(1,21),-4.99802 # DEPENDENCYPART_ARC
(1,22),-5.56198 # DEPENDENCYPART_ARC
(1,23),-5.86124 # DEPENDENCYPART_ARC
(1,24),-7.85009 # DEPENDENCYPART_ARC
(1,25),-7.63526 # DEPENDENCYPART_ARC
(1,26),-1.9315 # DEPENDENCYPART_ARC
(2,1),-0.509186 # DEPENDENCYPART_ARC
(2,3),3.43887 # DEPENDENCYPART_ARC
(2,4),1.59935 # DEPENDENCYPART_ARC
(2,5),1.26629 # DEPENDENCYPART_ARC
(2,6),1.72822 # DEPENDENCYPART_ARC
(2,7),-1.23606 # DEPENDENCYPART_ARC
(2,8),2.36244 # DEPENDENCYPART_ARC
(2,9),0.297583 # DEPENDENCYPART_ARC
(2,10),-0.0365994 # DEPENDENCYPART_ARC
(2,11),-0.101923 # DEPENDENCYPART_ARC
(2,12),-0.0536557 # DEPENDENCYPART_ARC
(2,13),-0.480559 # DEPENDENCYPART_ARC
(2,14),-0.464755 # DEPENDENCYPART_ARC
