# _root_ The carnage on the Chicago Board Options Exchange , the nation 's major options market , was heavy after the trading in S&P 100 stock-index options was halted Friday .
#goldHeads=2,17,2,8,8,8,8,3,8,11,15,11,15,15,8,8,0,17,17,21,27,21,26,26,26,22,19,27,28,17,
#predictedHeads=2,17,2,8,8,8,8,3,8,11,15,11,15,15,8,8,0,17,17,21,27,21,22,26,26,22,19,27,28,17,
(0,1),-6.22455 # DEPENDENCYPART_ARC
(0,2),-6.42397 # DEPENDENCYPART_ARC
(0,3),-6.48677 # DEPENDENCYPART_ARC
(0,4),-7.30823 # DEPENDENCYPART_ARC
(0,5),-5.86642 # DEPENDENCYPART_ARC
(0,6),-6.00091 # DEPENDENCYPART_ARC
(0,7),-6.23599 # DEPENDENCYPART_ARC
(0,8),-7.02972 # DEPENDENCYPART_ARC
(0,9),-7.113 # DEPENDENCYPART_ARC
(0,10),-7.77622 # DEPENDENCYPART_ARC
(0,11),-6.89564 # DEPENDENCYPART_ARC
(0,12),-9.1884 # DEPENDENCYPART_ARC
(0,13),-6.0583 # DEPENDENCYPART_ARC
(0,14),-5.98534 # DEPENDENCYPART_ARC
(0,15),-7.37746 # DEPENDENCYPART_ARC
(0,16),-8.136 # DEPENDENCYPART_ARC
(0,17),-1.198 # DEPENDENCYPART_ARC
(0,18),-6.40902 # DEPENDENCYPART_ARC
(0,19),-9.12679 # DEPENDENCYPART_ARC
(0,20),-9.01193 # DEPENDENCYPART_ARC
(0,21),-8.60367 # DEPENDENCYPART_ARC
(0,22),-10.3822 # DEPENDENCYPART_ARC
(0,23),-7.68808 # DEPENDENCYPART_ARC
(0,24),-9.56878 # DEPENDENCYPART_ARC
(0,25),-6.06549 # DEPENDENCYPART_ARC
(0,26),-6.73126 # DEPENDENCYPART_ARC
(0,27),-2.46404 # DEPENDENCYPART_ARC
(0,28),-5.573 # DEPENDENCYPART_ARC
(0,29),-8.15792 # DEPENDENCYPART_ARC
(0,30),-6.01152 # DEPENDENCYPART_ARC
(1,2),-0.489813 # DEPENDENCYPART_ARC
(1,3),-1.31524 # DEPENDENCYPART_ARC
(1,4),-2.20049 # DEPENDENCYPART_ARC
(1,5),-2.01224 # DEPENDENCYPART_ARC
(1,6),-2.034 # DEPENDENCYPART_ARC
(1,7),-2.37327 # DEPENDENCYPART_ARC
(1,8),-2.412 # DEPENDENCYPART_ARC
(1,9),-1.36808 # DEPENDENCYPART_ARC
(1,10),-2.9378 # DEPENDENCYPART_ARC
(1,11),-2.36445 # DEPENDENCYPART_ARC
(1,12),-3.22074 # DEPENDENCYPART_ARC
(1,13),-2.9562 # DEPENDENCYPART_ARC
(1,14),-2.93838 # DEPENDENCYPART_ARC
(1,15),-2.919 # DEPENDENCYPART_ARC
(1,16),-1.8515 # DEPENDENCYPART_ARC
(1,17),-4.26749 # DEPENDENCYPART_ARC
(1,18),-3.3725 # DEPENDENCYPART_ARC
(1,19),-3.98839 # DEPENDENCYPART_ARC
(1,20),-4.21771 # DEPENDENCYPART_ARC
(1,21),-3.55822 # DEPENDENCYPART_ARC
(1,22),-4.77171 # DEPENDENCYPART_ARC
(1,23),-4.15829 # DEPENDENCYPART_ARC
(1,24),-4.37169 # DEPENDENCYPART_ARC
(1,25),-4.21606 # DEPENDENCYPART_ARC
(1,26),-4.08344 # DEPENDENCYPART_ARC
(1,27),-6.46778 # DEPENDENCYPART_ARC
(1,28),-4.3184 # DEPENDENCYPART_ARC
(1,29),-4.70878 # DEPENDENCYPART_ARC
(1,30),-3.47735 # DEPENDENCYPART_ARC
(2,1),4.46514 # DEPENDENCYPART_ARC
(2,3),2.94154 # DEPENDENCYPART_ARC
(2,4),0.429471 # DEPENDENCYPART_ARC
(2,5),0.564346 # DEPENDENCYPART_ARC
(2,6),0.527398 # DEPENDENCYPART_ARC
(2,7),0.491302 # DEPENDENCYPART_ARC
(2,8),0.982389 # DEPENDENCYPART_ARC
(2,9),1.3886 # DEPENDENCYPART_ARC
(2,10),-0.399886 # DEPENDENCYPART_ARC
(2,11),0.230115 # DEPENDENCYPART_ARC
(2,12),-0.169539 # DEPENDENCYPART_ARC
(2,13),0.287982 # DEPENDENCYPART_ARC
(2,14),-0.480831 # DEPENDENCYPART_ARC
(2,15),0.276595 # DEPENDENCYPART_ARC
(2,16),1.44795 # DEPENDENCYPART_ARC
(2,17),-0.263488 # DEPENDENCYPART_ARC
(2,18),-0.487451 # DEPENDENCYPART_ARC
(2,19),-0.721983 # DEPENDENCYPART_ARC
(2,20),-1.37235 # DEPENDENCYPART_ARC
(2,21),-1.47498 # DEPENDENCYPART_ARC
(2,22),-1.47578 # DEPENDENCYPART_ARC
(2,23),-1.10097 # DEPENDENCYPART_ARC
(2,24),-2.03854 # DEPENDENCYPART_ARC
(2,25),-1.43589 # DEPENDENCYPART_ARC
(2,26),-2.16221 # DEPENDENCYPART_ARC
(2,27),-1.71315 # DEPENDENCYPART_ARC
(2,28),-2.05744 # DEPENDENCYPART_ARC
(2,29),-1.5601 # DEPENDENCYPART_ARC
(2,30),0.206996 # DEPENDENCYPART_ARC
(3,1),0.0397518 # DEPENDENCYPART_ARC
(3,2),0.235259 # DEPENDENCYPART_ARC
(3,4),0.311078 # DEPENDENCYPART_ARC
(3,5),2.0064 # DEPENDENCYPART_ARC
(3,6),2.95874 # DEPENDENCYPART_ARC
(3,7),1.76753 # DEPENDENCYPART_ARC
(3,8),4.23772 # DEPENDENCYPART_ARC
(3,9),0.120407 # DEPENDENCYPART_ARC
(3,10),-2.02488 # DEPENDENCYPART_ARC
(3,11),-2.23924 # DEPENDENCYPART_ARC
(3,12),-1.25538 # DEPENDENCYPART_ARC
(3,13),-1.28698 # DEPENDENCYPART_ARC
(3,14),-1.11837 # DEPENDENCYPART_ARC
