# _root_ `` Markets in this region are n't so geared to leveraged buy-outs , and their economies generally are in good shape , but there 's no doubt that Asia is still following America 's lead . ''
#goldHeads=6,6,2,5,3,0,6,9,6,9,12,10,6,6,16,18,18,14,18,21,19,18,18,25,23,27,25,27,30,28,30,30,35,33,32,6,6,
#predictedHeads=6,6,2,5,3,0,6,9,6,9,12,10,6,6,16,18,18,14,18,21,19,18,18,25,23,27,25,27,30,28,30,30,35,33,32,6,6,
(0,1),-6.35437 # DEPENDENCYPART_ARC
(0,2),-6.77076 # DEPENDENCYPART_ARC
(0,3),-6.86731 # DEPENDENCYPART_ARC
(0,4),-7.11268 # DEPENDENCYPART_ARC
(0,5),-6.03378 # DEPENDENCYPART_ARC
(0,6),-3.55945 # DEPENDENCYPART_ARC
(0,7),-7.08361 # DEPENDENCYPART_ARC
(0,8),-6.89735 # DEPENDENCYPART_ARC
(0,9),-5.49232 # DEPENDENCYPART_ARC
(0,10),-6.87935 # DEPENDENCYPART_ARC
(0,11),-5.28448 # DEPENDENCYPART_ARC
(0,12),-5.88594 # DEPENDENCYPART_ARC
(0,13),-7.35443 # DEPENDENCYPART_ARC
(0,14),-8.17414 # DEPENDENCYPART_ARC
(0,15),-7.35863 # DEPENDENCYPART_ARC
(0,16),-6.48349 # DEPENDENCYPART_ARC
(0,17),-7.99106 # DEPENDENCYPART_ARC
(0,18),-4.15504 # DEPENDENCYPART_ARC
(0,19),-8.06935 # DEPENDENCYPART_ARC
(0,20),-6.45509 # DEPENDENCYPART_ARC
(0,21),-6.86533 # DEPENDENCYPART_ARC
(0,22),-8.85401 # DEPENDENCYPART_ARC
(0,23),-9.3731 # DEPENDENCYPART_ARC
(0,24),-8.1277 # DEPENDENCYPART_ARC
(0,25),-4.33551 # DEPENDENCYPART_ARC
(0,26),-9.11211 # DEPENDENCYPART_ARC
(0,27),-6.37459 # DEPENDENCYPART_ARC
(0,28),-8.56872 # DEPENDENCYPART_ARC
(0,29),-7.07421 # DEPENDENCYPART_ARC
(0,30),-3.48341 # DEPENDENCYPART_ARC
(0,31),-9.66711 # DEPENDENCYPART_ARC
(0,32),-8.95817 # DEPENDENCYPART_ARC
(0,33),-7.89729 # DEPENDENCYPART_ARC
(0,34),-10.7557 # DEPENDENCYPART_ARC
(0,35),-7.53954 # DEPENDENCYPART_ARC
(0,36),-5.74622 # DEPENDENCYPART_ARC
(0,37),-8.85176 # DEPENDENCYPART_ARC
(1,2),-2.20341 # DEPENDENCYPART_ARC
(1,3),-2.73042 # DEPENDENCYPART_ARC
(1,4),-3.27951 # DEPENDENCYPART_ARC
(1,5),-3.22564 # DEPENDENCYPART_ARC
(1,6),-3.35707 # DEPENDENCYPART_ARC
(1,7),-3.07946 # DEPENDENCYPART_ARC
(1,8),-3.18819 # DEPENDENCYPART_ARC
(1,9),-3.33255 # DEPENDENCYPART_ARC
(1,10),-3.54642 # DEPENDENCYPART_ARC
(1,11),-3.50525 # DEPENDENCYPART_ARC
(1,12),-4.34784 # DEPENDENCYPART_ARC
(1,13),-3.22023 # DEPENDENCYPART_ARC
(1,14),-4.13784 # DEPENDENCYPART_ARC
(1,15),-4.50346 # DEPENDENCYPART_ARC
(1,16),-4.73136 # DEPENDENCYPART_ARC
(1,17),-4.11414 # DEPENDENCYPART_ARC
(1,18),-4.51166 # DEPENDENCYPART_ARC
(1,19),-4.52327 # DEPENDENCYPART_ARC
(1,20),-4.29207 # DEPENDENCYPART_ARC
(1,21),-4.47903 # DEPENDENCYPART_ARC
(1,22),-4.17875 # DEPENDENCYPART_ARC
(1,23),-5.22025 # DEPENDENCYPART_ARC
(1,24),-5.05874 # DEPENDENCYPART_ARC
(1,25),-4.91003 # DEPENDENCYPART_ARC
(1,26),-5.58849 # DEPENDENCYPART_ARC
(1,27),-5.0916 # DEPENDENCYPART_ARC
(1,28),-5.89679 # DEPENDENCYPART_ARC
(1,29),-5.72722 # DEPENDENCYPART_ARC
(1,30),-5.37621 # DEPENDENCYPART_ARC
(1,31),-5.52498 # DEPENDENCYPART_ARC
(1,32),-5.70786 # DEPENDENCYPART_ARC
(1,33),-6.20253 # DEPENDENCYPART_ARC
(1,34),-6.11578 # DEPENDENCYPART_ARC
(1,35),-5.55656 # DEPENDENCYPART_ARC
(1,36),-5.22914 # DEPENDENCYPART_ARC
(1,37),-2.93153 # DEPENDENCYPART_ARC
(2,1),0.62197 # DEPENDENCYPART_ARC
(2,3),2.39854 # DEPENDENCYPART_ARC
(2,4),0.576544 # DEPENDENCYPART_ARC
(2,5),1.09722 # DEPENDENCYPART_ARC
(2,6),0.699171 # DEPENDENCYPART_ARC
(2,7),0.524223 # DEPENDENCYPART_ARC
(2,8),0.762779 # DEPENDENCYPART_ARC
(2,9),0.345238 # DEPENDENCYPART_ARC
