# _root_ Many also use recruiting bonuses , tuition reimbursement , loan repayment or child-care help .
#goldHeads=3,3,0,5,3,5,8,5,8,11,8,11,14,12,3,
#predictedHeads=3,3,0,3,4,5,8,5,8,11,8,11,14,12,3,
(0,1),-6.31083 # DEPENDENCYPART_ARC
(0,2),-5.40514 # DEPENDENCYPART_ARC
(0,3),-4.37764 # DEPENDENCYPART_ARC
(0,4),-6.35032 # DEPENDENCYPART_ARC
(0,5),-6.06384 # DEPENDENCYPART_ARC
(0,6),-6.60297 # DEPENDENCYPART_ARC
(0,7),-5.93604 # DEPENDENCYPART_ARC
(0,8),-6.0895 # DEPENDENCYPART_ARC
(0,9),-7.25286 # DEPENDENCYPART_ARC
(0,10),-6.23684 # DEPENDENCYPART_ARC
(0,11),-6.35815 # DEPENDENCYPART_ARC
(0,12),-7.82864 # DEPENDENCYPART_ARC
(0,13),-5.92003 # DEPENDENCYPART_ARC
(0,14),-6.51037 # DEPENDENCYPART_ARC
(0,15),-6.40701 # DEPENDENCYPART_ARC
(1,2),1.33545 # DEPENDENCYPART_ARC
(1,3),0.631158 # DEPENDENCYPART_ARC
(1,4),0.253161 # DEPENDENCYPART_ARC
(1,5),0.107183 # DEPENDENCYPART_ARC
(1,6),0.140106 # DEPENDENCYPART_ARC
(1,7),-1.14637 # DEPENDENCYPART_ARC
(1,8),-1.31294 # DEPENDENCYPART_ARC
(1,9),0.115092 # DEPENDENCYPART_ARC
(1,10),-1.98892 # DEPENDENCYPART_ARC
(1,11),-2.1061 # DEPENDENCYPART_ARC
(1,12),-0.398323 # DEPENDENCYPART_ARC
(1,13),-0.722417 # DEPENDENCYPART_ARC
(1,14),-2.70638 # DEPENDENCYPART_ARC
(1,15),-0.195705 # DEPENDENCYPART_ARC
(2,1),0.297093 # DEPENDENCYPART_ARC
(2,3),-0.113518 # DEPENDENCYPART_ARC
(2,4),-0.650938 # DEPENDENCYPART_ARC
(2,5),-1.28451 # DEPENDENCYPART_ARC
(2,6),-0.511844 # DEPENDENCYPART_ARC
(2,7),-1.59087 # DEPENDENCYPART_ARC
(2,8),-2.21377 # DEPENDENCYPART_ARC
(2,9),-0.684731 # DEPENDENCYPART_ARC
(2,10),-2.87055 # DEPENDENCYPART_ARC
(2,11),-2.98152 # DEPENDENCYPART_ARC
(2,12),-1.49628 # DEPENDENCYPART_ARC
(2,13),-2.20023 # DEPENDENCYPART_ARC
(2,14),-3.37619 # DEPENDENCYPART_ARC
(2,15),-1.8847 # DEPENDENCYPART_ARC
(3,1),1.47306 # DEPENDENCYPART_ARC
(3,2),1.6508 # DEPENDENCYPART_ARC
(3,4),3.38483 # DEPENDENCYPART_ARC
(3,5),2.28645 # DEPENDENCYPART_ARC
(3,6),1.35967 # DEPENDENCYPART_ARC
(3,7),0.366625 # DEPENDENCYPART_ARC
(3,8),0.9128 # DEPENDENCYPART_ARC
(3,9),0.725383 # DEPENDENCYPART_ARC
(3,10),-1.32816 # DEPENDENCYPART_ARC
(3,11),-0.987519 # DEPENDENCYPART_ARC
(3,12),-0.392541 # DEPENDENCYPART_ARC
(3,13),-0.166479 # DEPENDENCYPART_ARC
(3,14),-2.04187 # DEPENDENCYPART_ARC
(3,15),1.24468 # DEPENDENCYPART_ARC
(4,1),0.51054 # DEPENDENCYPART_ARC
(4,2),0.537146 # DEPENDENCYPART_ARC
(4,3),0.939625 # DEPENDENCYPART_ARC
(4,5),3.04209 # DEPENDENCYPART_ARC
(4,6),1.23927 # DEPENDENCYPART_ARC
(4,7),0.527563 # DEPENDENCYPART_ARC
(4,8),1.15713 # DEPENDENCYPART_ARC
(4,9),0.737924 # DEPENDENCYPART_ARC
(4,10),-1.17283 # DEPENDENCYPART_ARC
(4,11),-0.663395 # DEPENDENCYPART_ARC
(4,12),0.157218 # DEPENDENCYPART_ARC
(4,13),-0.10757 # DEPENDENCYPART_ARC
(4,14),-1.39641 # DEPENDENCYPART_ARC
(4,15),0.137408 # DEPENDENCYPART_ARC
(5,1),0.533645 # DEPENDENCYPART_ARC
(5,2),0.589841 # DEPENDENCYPART_ARC
(5,3),1.24207 # DEPENDENCYPART_ARC
(5,4),3.33708 # DEPENDENCYPART_ARC
(5,6),2.31796 # DEPENDENCYPART_ARC
(5,7),1.58231 # DEPENDENCYPART_ARC
(5,8),1.37976 # DEPENDENCYPART_ARC
(5,9),1.39196 # DEPENDENCYPART_ARC
(5,10),0.601022 # DEPENDENCYPART_ARC
(5,11),0.703534 # DEPENDENCYPART_ARC
(5,12),0.749573 # DEPENDENCYPART_ARC
(5,13),-0.26451 # DEPENDENCYPART_ARC
(5,14),-0.313227 # DEPENDENCYPART_ARC
(5,15),0.248353 # DEPENDENCYPART_ARC
(6,1),-2.44334 # DEPENDENCYPART_ARC
(6,2),-2.19665 # DEPENDENCYPART_ARC
(6,3),-1.54488 # DEPENDENCYPART_ARC
(6,4),-1.28983 # DEPENDENCYPART_ARC
(6,5),-1.42131 # DEPENDENCYPART_ARC
(6,7),-0.647353 # DEPENDENCYPART_ARC
(6,8),-1.24465 # DEPENDENCYPART_ARC
(6,9),-0.168406 # DEPENDENCYPART_ARC
(6,10),-1.93835 # DEPENDENCYPART_ARC
(6,11),-2.0823 # DEPENDENCYPART_ARC
(6,12),-1.69324 # DEPENDENCYPART_ARC
(6,13),-2.3217 # DEPENDENCYPART_ARC
(6,14),-2.7037 # DEPENDENCYPART_ARC
(6,15),-1.97069 # DEPENDENCYPART_ARC
(7,1),-2.68202 # DEPENDENCYPART_ARC
(7,2),-2.15288 # DEPENDENCYPART_ARC
(7,3),-1.25742 # DEPENDENCYPART_ARC
(7,4),-0.430149 # DEPENDENCYPART_ARC
(7,5),-0.0993762 # DEPENDENCYPART_ARC
(7,6),0.274744 # DEPENDENCYPART_ARC
(7,8),1.19313 # DEPENDENCYPART_ARC
(7,9),0.47546 # DEPENDENCYPART_ARC
(7,10),0.508975 # DEPENDENCYPART_ARC
(7,11),0.0896967 # DEPENDENCYPART_ARC
(7,12),-0.259403 # DEPENDENCYPART_ARC
(7,13),-0.500072 # DEPENDENCYPART_ARC
(7,14),-1.04832 # DEPENDENCYPART_ARC
(7,15),-0.846915 # DEPENDENCYPART_ARC
(8,1),-1.13866 # DEPENDENCYPART_ARC
(8,2),-1.16412 # DEPENDENCYPART_ARC
(8,3),0.175316 # DEPENDENCYPART_ARC
(8,4),1.32132 # DEPENDENCYPART_ARC
(8,5),1.16099 # DEPENDENCYPART_ARC
(8,6),0.936651 # DEPENDENCYPART_ARC
(8,7),4.05818 # DEPENDENCYPART_ARC
(8,9),3.12828 # DEPENDENCYPART_ARC
(8,10),2.35988 # DEPENDENCYPART_ARC
(8,11),2.13968 # DEPENDENCYPART_ARC
(8,12),1.67862 # DEPENDENCYPART_ARC
(8,13),1.04426 # DEPENDENCYPART_ARC
(8,14),0.579773 # DEPENDENCYPART_ARC
(8,15),1.13253 # DEPENDENCYPART_ARC
(9,1),-2.7097 # DEPENDENCYPART_ARC
(9,2),-2.54983 # DEPENDENCYPART_ARC
(9,3),-1.89072 # DEPENDENCYPART_ARC
(9,4),-1.62075 # DEPENDENCYPART_ARC
(9,5),-1.95764 # DEPENDENCYPART_ARC
(9,6),-0.241691 # DEPENDENCYPART_ARC
(9,7),-1.73417 # DEPENDENCYPART_ARC
(9,8),-1.16847 # DEPENDENCYPART_ARC
(9,10),-0.637554 # DEPENDENCYPART_ARC
(9,11),-1.23396 # DEPENDENCYPART_ARC
(9,12),-1.37374 # DEPENDENCYPART_ARC
(9,13),-1.815 # DEPENDENCYPART_ARC
(9,14),-2.17306 # DEPENDENCYPART_ARC
(9,15),-1.60258 # DEPENDENCYPART_ARC
(10,1),-3.35328 # DEPENDENCYPART_ARC
(10,2),-3.74242 # DEPENDENCYPART_ARC
(10,3),-2.06502 # DEPENDENCYPART_ARC
(10,4),-0.722482 # DEPENDENCYPART_ARC
(10,5),-0.990625 # DEPENDENCYPART_ARC
(10,6),-0.337779 # DEPENDENCYPART_ARC
(10,7),0.674817 # DEPENDENCYPART_ARC
(10,8),-0.0396431 # DEPENDENCYPART_ARC
(10,9),0.748337 # DEPENDENCYPART_ARC
(10,11),1.46017 # DEPENDENCYPART_ARC
(10,12),0.671586 # DEPENDENCYPART_ARC
(10,13),-0.107218 # DEPENDENCYPART_ARC
(10,14),-0.54008 # DEPENDENCYPART_ARC
(10,15),-0.57481 # DEPENDENCYPART_ARC
(11,1),-2.25404 # DEPENDENCYPART_ARC
(11,2),-2.63782 # DEPENDENCYPART_ARC
(11,3),-1.03771 # DEPENDENCYPART_ARC
(11,4),0.797251 # DEPENDENCYPART_ARC
(11,5),-0.00605874 # DEPENDENCYPART_ARC
(11,6),0.120543 # DEPENDENCYPART_ARC
(11,7),2.53318 # DEPENDENCYPART_ARC
(11,8),1.03623 # DEPENDENCYPART_ARC
(11,9),1.09625 # DEPENDENCYPART_ARC
(11,10),4.12016 # DEPENDENCYPART_ARC
(11,12),3.76086 # DEPENDENCYPART_ARC
(11,13),1.51707 # DEPENDENCYPART_ARC
(11,14),0.803628 # DEPENDENCYPART_ARC
(11,15),1.04641 # DEPENDENCYPART_ARC
(12,1),-2.31834 # DEPENDENCYPART_ARC
(12,2),-2.13462 # DEPENDENCYPART_ARC
(12,3),-1.71757 # DEPENDENCYPART_ARC
(12,4),-0.739439 # DEPENDENCYPART_ARC
(12,5),-1.19251 # DEPENDENCYPART_ARC
(12,6),-1.54703 # DEPENDENCYPART_ARC
(12,7),-1.3175 # DEPENDENCYPART_ARC
(12,8),-0.888993 # DEPENDENCYPART_ARC
(12,9),-0.876855 # DEPENDENCYPART_ARC
(12,10),-0.86031 # DEPENDENCYPART_ARC
(12,11),-0.183765 # DEPENDENCYPART_ARC
(12,13),2.26706 # DEPENDENCYPART_ARC
(12,14),2.96459 # DEPENDENCYPART_ARC
(12,15),0.166551 # DEPENDENCYPART_ARC
(13,1),-2.9832 # DEPENDENCYPART_ARC
(13,2),-3.46743 # DEPENDENCYPART_ARC
(13,3),-1.87276 # DEPENDENCYPART_ARC
(13,4),-1.84158 # DEPENDENCYPART_ARC
(13,5),-2.01842 # DEPENDENCYPART_ARC
(13,6),-1.41582 # DEPENDENCYPART_ARC
(13,7),-0.947257 # DEPENDENCYPART_ARC
(13,8),-0.787426 # DEPENDENCYPART_ARC
(13,9),-0.72611 # DEPENDENCYPART_ARC
(13,10),-0.217477 # DEPENDENCYPART_ARC
