# _root_ In New York Stock Exchange composite trading yesterday , Bear Stearns shares closed at $ 13.625 , down 25 cents .
#goldHeads=13,7,7,7,7,7,1,13,13,12,12,13,0,13,14,15,13,13,20,18,13,
#predictedHeads=13,7,7,7,7,7,1,13,13,12,12,13,0,13,14,15,13,13,20,18,13,
(0,1),-6.4278 # DEPENDENCYPART_ARC
(0,2),-5.66887 # DEPENDENCYPART_ARC
(0,3),-5.26442 # DEPENDENCYPART_ARC
(0,4),-5.63367 # DEPENDENCYPART_ARC
(0,5),-6.15526 # DEPENDENCYPART_ARC
(0,6),-7.02554 # DEPENDENCYPART_ARC
(0,7),-7.14565 # DEPENDENCYPART_ARC
(0,8),-6.70851 # DEPENDENCYPART_ARC
(0,9),-7.40331 # DEPENDENCYPART_ARC
(0,10),-8.33591 # DEPENDENCYPART_ARC
(0,11),-7.26314 # DEPENDENCYPART_ARC
(0,12),-7.10064 # DEPENDENCYPART_ARC
(0,13),-2.39308 # DEPENDENCYPART_ARC
(0,14),-10.0236 # DEPENDENCYPART_ARC
(0,15),-9.26868 # DEPENDENCYPART_ARC
(0,16),-8.79603 # DEPENDENCYPART_ARC
(0,17),-8.19745 # DEPENDENCYPART_ARC
(0,18),-8.3827 # DEPENDENCYPART_ARC
(0,19),-9.21608 # DEPENDENCYPART_ARC
(0,20),-6.92073 # DEPENDENCYPART_ARC
(0,21),-7.09452 # DEPENDENCYPART_ARC
(1,2),2.16105 # DEPENDENCYPART_ARC
(1,3),2.60967 # DEPENDENCYPART_ARC
(1,4),1.70515 # DEPENDENCYPART_ARC
(1,5),1.77491 # DEPENDENCYPART_ARC
(1,6),2.07883 # DEPENDENCYPART_ARC
(1,7),2.27102 # DEPENDENCYPART_ARC
(1,8),-3.06876 # DEPENDENCYPART_ARC
(1,9),0.664915 # DEPENDENCYPART_ARC
(1,10),-2.39542 # DEPENDENCYPART_ARC
(1,11),-1.9827 # DEPENDENCYPART_ARC
(1,12),-3.42603 # DEPENDENCYPART_ARC
(1,13),-0.322163 # DEPENDENCYPART_ARC
(1,14),-1.68339 # DEPENDENCYPART_ARC
(1,15),-4.89304 # DEPENDENCYPART_ARC
(1,16),-4.09562 # DEPENDENCYPART_ARC
(1,17),-0.182744 # DEPENDENCYPART_ARC
(1,18),-1.95764 # DEPENDENCYPART_ARC
(1,19),-4.97108 # DEPENDENCYPART_ARC
(1,20),-8.82479 # DEPENDENCYPART_ARC
(1,21),-0.174263 # DEPENDENCYPART_ARC
(2,1),-2.57575 # DEPENDENCYPART_ARC
(2,3),0.223697 # DEPENDENCYPART_ARC
(2,4),-0.475189 # DEPENDENCYPART_ARC
(2,5),-1.30106 # DEPENDENCYPART_ARC
(2,6),-1.5181 # DEPENDENCYPART_ARC
(2,7),-1.52262 # DEPENDENCYPART_ARC
(2,8),-1.60645 # DEPENDENCYPART_ARC
(2,9),-0.215266 # DEPENDENCYPART_ARC
(2,10),-2.49259 # DEPENDENCYPART_ARC
(2,11),-3.13907 # DEPENDENCYPART_ARC
(2,12),-2.48112 # DEPENDENCYPART_ARC
(2,13),-2.69513 # DEPENDENCYPART_ARC
(2,14),-4.02194 # DEPENDENCYPART_ARC
(2,15),-3.28698 # DEPENDENCYPART_ARC
(2,16),-3.5302 # DEPENDENCYPART_ARC
(2,17),-2.24602 # DEPENDENCYPART_ARC
(2,18),-3.66533 # DEPENDENCYPART_ARC
(2,19),-4.82804 # DEPENDENCYPART_ARC
(2,20),-4.04846 # DEPENDENCYPART_ARC
(2,21),-3.09674 # DEPENDENCYPART_ARC
(3,1),-2.35622 # DEPENDENCYPART_ARC
(3,2),2.77704 # DEPENDENCYPART_ARC
(3,4),0.184854 # DEPENDENCYPART_ARC
