# _root_ `` That secrecy leads to a proposal like the one from Ways and Means , which seems to me sort of draconian , '' he said .
#goldHeads=26,3,4,26,4,7,5,7,10,8,10,11,12,13,10,17,10,17,18,21,17,21,26,26,26,0,26,
#predictedHeads=26,3,4,26,4,7,5,7,10,8,10,11,12,13,12,17,7,17,18,18,20,21,26,26,26,0,26,
(0,1),-6.40372 # DEPENDENCYPART_ARC
(0,2),-6.29474 # DEPENDENCYPART_ARC
(0,3),-5.87042 # DEPENDENCYPART_ARC
(0,4),-4.28101 # DEPENDENCYPART_ARC
(0,5),-7.0671 # DEPENDENCYPART_ARC
(0,6),-7.02513 # DEPENDENCYPART_ARC
(0,7),-6.65702 # DEPENDENCYPART_ARC
(0,8),-6.8796 # DEPENDENCYPART_ARC
(0,9),-7.68805 # DEPENDENCYPART_ARC
(0,10),-8.04643 # DEPENDENCYPART_ARC
(0,11),-7.34699 # DEPENDENCYPART_ARC
(0,12),-7.17861 # DEPENDENCYPART_ARC
(0,13),-8.08408 # DEPENDENCYPART_ARC
(0,14),-7.56412 # DEPENDENCYPART_ARC
(0,15),-7.69467 # DEPENDENCYPART_ARC
(0,16),-7.70546 # DEPENDENCYPART_ARC
(0,17),-5.71126 # DEPENDENCYPART_ARC
(0,18),-8.06292 # DEPENDENCYPART_ARC
(0,19),-6.75098 # DEPENDENCYPART_ARC
(0,20),-7.11378 # DEPENDENCYPART_ARC
(0,21),-8.20182 # DEPENDENCYPART_ARC
(0,22),-7.34539 # DEPENDENCYPART_ARC
(0,23),-8.91857 # DEPENDENCYPART_ARC
(0,24),-7.48254 # DEPENDENCYPART_ARC
(0,25),-5.96622 # DEPENDENCYPART_ARC
(0,26),0.194782 # DEPENDENCYPART_ARC
(0,27),-4.02369 # DEPENDENCYPART_ARC
(1,2),-2.0155 # DEPENDENCYPART_ARC
(1,3),-2.33242 # DEPENDENCYPART_ARC
(1,4),-2.12762 # DEPENDENCYPART_ARC
(1,5),-2.70571 # DEPENDENCYPART_ARC
(1,6),-3.34882 # DEPENDENCYPART_ARC
(1,7),-3.30347 # DEPENDENCYPART_ARC
(1,8),-2.96788 # DEPENDENCYPART_ARC
(1,9),-3.54753 # DEPENDENCYPART_ARC
(1,10),-3.63453 # DEPENDENCYPART_ARC
(1,11),-3.26588 # DEPENDENCYPART_ARC
(1,12),-3.5741 # DEPENDENCYPART_ARC
(1,13),-3.68224 # DEPENDENCYPART_ARC
(1,14),-3.79218 # DEPENDENCYPART_ARC
(1,15),-3.02625 # DEPENDENCYPART_ARC
(1,16),-4.37472 # DEPENDENCYPART_ARC
(1,17),-3.68587 # DEPENDENCYPART_ARC
(1,18),-4.03327 # DEPENDENCYPART_ARC
(1,19),-4.13422 # DEPENDENCYPART_ARC
(1,20),-4.4078 # DEPENDENCYPART_ARC
(1,21),-4.30685 # DEPENDENCYPART_ARC
(1,22),-4.2625 # DEPENDENCYPART_ARC
(1,23),-3.9519 # DEPENDENCYPART_ARC
(1,24),-2.40397 # DEPENDENCYPART_ARC
(1,25),-4.69001 # DEPENDENCYPART_ARC
(1,26),-4.53137 # DEPENDENCYPART_ARC
(1,27),-3.93811 # DEPENDENCYPART_ARC
(2,1),-0.700314 # DEPENDENCYPART_ARC
(2,3),0.086634 # DEPENDENCYPART_ARC
(2,4),1.99911 # DEPENDENCYPART_ARC
(2,5),-0.293825 # DEPENDENCYPART_ARC
(2,6),-1.55019 # DEPENDENCYPART_ARC
(2,7),-1.47077 # DEPENDENCYPART_ARC
(2,8),-0.745942 # DEPENDENCYPART_ARC
(2,9),-1.83839 # DEPENDENCYPART_ARC
(2,10),-2.03879 # DEPENDENCYPART_ARC
(2,11),-0.82847 # DEPENDENCYPART_ARC
(2,12),-2.5864 # DEPENDENCYPART_ARC
(2,13),-0.081197 # DEPENDENCYPART_ARC
(2,14),-3.09562 # DEPENDENCYPART_ARC
(2,15),-0.133352 # DEPENDENCYPART_ARC
(2,16),-2.54927 # DEPENDENCYPART_ARC
(2,17),-0.320396 # DEPENDENCYPART_ARC
(2,18),-1.87858 # DEPENDENCYPART_ARC
(2,19),-2.27007 # DEPENDENCYPART_ARC
(2,20),-2.6663 # DEPENDENCYPART_ARC
(2,21),-1.19505 # DEPENDENCYPART_ARC
(2,22),-1.69891 # DEPENDENCYPART_ARC
(2,23),-1.21326 # DEPENDENCYPART_ARC
(2,24),-0.984654 # DEPENDENCYPART_ARC
(2,25),-2.93777 # DEPENDENCYPART_ARC
(2,26),-0.688071 # DEPENDENCYPART_ARC
(2,27),-0.994444 # DEPENDENCYPART_ARC
(3,1),0.233204 # DEPENDENCYPART_ARC
(3,2),2.52007 # DEPENDENCYPART_ARC
(3,4),1.56006 # DEPENDENCYPART_ARC
(3,5),1.22344 # DEPENDENCYPART_ARC
(3,6),0.200744 # DEPENDENCYPART_ARC
(3,7),0.170949 # DEPENDENCYPART_ARC
(3,8),1.25648 # DEPENDENCYPART_ARC
(3,9),-0.366029 # DEPENDENCYPART_ARC
(3,10),-0.280331 # DEPENDENCYPART_ARC
(3,11),0.585668 # DEPENDENCYPART_ARC
(3,12),-0.920623 # DEPENDENCYPART_ARC
