# _root_ In 1989 , Regatta will have sales `` in excess of $ 10 million '' and will show a profit , Mr. Parker said .
#goldHeads=5,1,5,5,24,5,6,9,6,9,10,11,12,12,9,5,16,17,20,18,24,23,24,0,24,
#predictedHeads=5,1,5,5,24,5,6,6,6,9,10,11,12,12,6,5,16,17,20,18,24,23,24,0,24,
(0,1),-6.89983 # DEPENDENCYPART_ARC
(0,2),-6.85325 # DEPENDENCYPART_ARC
(0,3),-6.27834 # DEPENDENCYPART_ARC
(0,4),-6.29917 # DEPENDENCYPART_ARC
(0,5),-3.09382 # DEPENDENCYPART_ARC
(0,6),-4.5865 # DEPENDENCYPART_ARC
(0,7),-5.66758 # DEPENDENCYPART_ARC
(0,8),-7.17421 # DEPENDENCYPART_ARC
(0,9),-7.91359 # DEPENDENCYPART_ARC
(0,10),-6.37458 # DEPENDENCYPART_ARC
(0,11),-7.86321 # DEPENDENCYPART_ARC
(0,12),-8.08195 # DEPENDENCYPART_ARC
(0,13),-8.58498 # DEPENDENCYPART_ARC
(0,14),-8.75875 # DEPENDENCYPART_ARC
(0,15),-6.69555 # DEPENDENCYPART_ARC
(0,16),-8.34256 # DEPENDENCYPART_ARC
(0,17),-3.78283 # DEPENDENCYPART_ARC
(0,18),-5.16839 # DEPENDENCYPART_ARC
(0,19),-8.39951 # DEPENDENCYPART_ARC
(0,20),-6.4985 # DEPENDENCYPART_ARC
(0,21),-8.46792 # DEPENDENCYPART_ARC
(0,22),-8.93993 # DEPENDENCYPART_ARC
(0,23),-7.13486 # DEPENDENCYPART_ARC
(0,24),0.851417 # DEPENDENCYPART_ARC
(0,25),-6.08905 # DEPENDENCYPART_ARC
(1,2),3.74947 # DEPENDENCYPART_ARC
(1,3),0.147393 # DEPENDENCYPART_ARC
(1,4),0.0979813 # DEPENDENCYPART_ARC
(1,5),0.377831 # DEPENDENCYPART_ARC
(1,6),-0.460528 # DEPENDENCYPART_ARC
(1,7),-0.914232 # DEPENDENCYPART_ARC
(1,8),-0.473606 # DEPENDENCYPART_ARC
(1,9),-0.265067 # DEPENDENCYPART_ARC
(1,10),-3.10032 # DEPENDENCYPART_ARC
(1,11),-0.542581 # DEPENDENCYPART_ARC
(1,12),-3.45061 # DEPENDENCYPART_ARC
(1,13),-3.03459 # DEPENDENCYPART_ARC
