# _root_ Hughes Aircraft Co. , a unit of General Motors Corp. , said it agreed to purchase the Electro-Optics Technology division of Perkin-Elmer Corp .
#goldHeads=2,12,2,2,6,2,6,9,7,9,2,0,14,12,14,15,20,20,20,16,20,21,22,12,
#predictedHeads=2,12,2,2,6,2,6,9,7,9,2,0,14,12,14,15,20,20,20,16,20,21,22,12,
(0,1),-6.07802 # DEPENDENCYPART_ARC
(0,2),-5.98923 # DEPENDENCYPART_ARC
(0,3),-6.71664 # DEPENDENCYPART_ARC
(0,4),-7.04431 # DEPENDENCYPART_ARC
(0,5),-7.5904 # DEPENDENCYPART_ARC
(0,6),-7.74108 # DEPENDENCYPART_ARC
(0,7),-8.13833 # DEPENDENCYPART_ARC
(0,8),-7.85737 # DEPENDENCYPART_ARC
(0,9),-7.54675 # DEPENDENCYPART_ARC
(0,10),-7.77579 # DEPENDENCYPART_ARC
(0,11),-7.6449 # DEPENDENCYPART_ARC
(0,12),-0.608647 # DEPENDENCYPART_ARC
(0,13),-6.85835 # DEPENDENCYPART_ARC
(0,14),-3.60119 # DEPENDENCYPART_ARC
(0,15),-7.62926 # DEPENDENCYPART_ARC
(0,16),-6.5916 # DEPENDENCYPART_ARC
(0,17),-8.81925 # DEPENDENCYPART_ARC
(0,18),-9.33937 # DEPENDENCYPART_ARC
(0,19),-8.90734 # DEPENDENCYPART_ARC
(0,20),-8.58223 # DEPENDENCYPART_ARC
(0,21),-11.0227 # DEPENDENCYPART_ARC
(0,22),-10.1642 # DEPENDENCYPART_ARC
(0,23),-5.55372 # DEPENDENCYPART_ARC
(0,24),-5.71078 # DEPENDENCYPART_ARC
(1,2),0.253507 # DEPENDENCYPART_ARC
(1,3),2.04972 # DEPENDENCYPART_ARC
(1,4),0.83713 # DEPENDENCYPART_ARC
(1,5),-1.26964 # DEPENDENCYPART_ARC
(1,6),0.367945 # DEPENDENCYPART_ARC
(1,7),-0.611417 # DEPENDENCYPART_ARC
(1,8),-1.86223 # DEPENDENCYPART_ARC
(1,9),-1.64701 # DEPENDENCYPART_ARC
(1,10),-1.53952 # DEPENDENCYPART_ARC
(1,11),0.0565799 # DEPENDENCYPART_ARC
(1,12),-1.60533 # DEPENDENCYPART_ARC
(1,13),-2.6449 # DEPENDENCYPART_ARC
(1,14),-2.039 # DEPENDENCYPART_ARC
(1,15),-2.76096 # DEPENDENCYPART_ARC
(1,16),-2.97046 # DEPENDENCYPART_ARC
(1,17),-2.0838 # DEPENDENCYPART_ARC
(1,18),-3.67854 # DEPENDENCYPART_ARC
(1,19),-3.66246 # DEPENDENCYPART_ARC
(1,20),-3.72758 # DEPENDENCYPART_ARC
(1,21),-3.4611 # DEPENDENCYPART_ARC
(1,22),-4.38361 # DEPENDENCYPART_ARC
(1,23),-4.43331 # DEPENDENCYPART_ARC
(1,24),-0.822139 # DEPENDENCYPART_ARC
(2,1),4.04374 # DEPENDENCYPART_ARC
(2,3),5.00926 # DEPENDENCYPART_ARC
(2,4),3.78815 # DEPENDENCYPART_ARC
(2,5),0.989182 # DEPENDENCYPART_ARC
(2,6),2.77958 # DEPENDENCYPART_ARC
(2,7),1.36631 # DEPENDENCYPART_ARC
(2,8),0.398076 # DEPENDENCYPART_ARC
(2,9),1.08369 # DEPENDENCYPART_ARC
(2,10),1.52868 # DEPENDENCYPART_ARC
(2,11),3.40441 # DEPENDENCYPART_ARC
(2,12),1.06127 # DEPENDENCYPART_ARC
(2,13),-0.190285 # DEPENDENCYPART_ARC
(2,14),0.709069 # DEPENDENCYPART_ARC
(2,15),-0.527072 # DEPENDENCYPART_ARC
(2,16),-0.664352 # DEPENDENCYPART_ARC
(2,17),0.0666389 # DEPENDENCYPART_ARC
(2,18),-1.43989 # DEPENDENCYPART_ARC
(2,19),-1.51984 # DEPENDENCYPART_ARC
(2,20),-1.03506 # DEPENDENCYPART_ARC
(2,21),-1.62843 # DEPENDENCYPART_ARC
(2,22),-2.23858 # DEPENDENCYPART_ARC
(2,23),-1.79563 # DEPENDENCYPART_ARC
(2,24),1.78268 # DEPENDENCYPART_ARC
(3,1),2.11707 # DEPENDENCYPART_ARC
(3,2),2.07467 # DEPENDENCYPART_ARC
(3,4),2.15749 # DEPENDENCYPART_ARC
(3,5),-0.120189 # DEPENDENCYPART_ARC
(3,6),1.17421 # DEPENDENCYPART_ARC
(3,7),-0.654414 # DEPENDENCYPART_ARC
(3,8),-0.440805 # DEPENDENCYPART_ARC
(3,9),-0.170593 # DEPENDENCYPART_ARC
(3,10),1.08979 # DEPENDENCYPART_ARC
(3,11),2.1499 # DEPENDENCYPART_ARC
(3,12),-0.955704 # DEPENDENCYPART_ARC
(3,13),-1.16392 # DEPENDENCYPART_ARC
(3,14),-0.751672 # DEPENDENCYPART_ARC
(3,15),-1.60582 # DEPENDENCYPART_ARC
(3,16),-1.8033 # DEPENDENCYPART_ARC
(3,17),-1.2181 # DEPENDENCYPART_ARC
(3,18),-2.14621 # DEPENDENCYPART_ARC
(3,19),-1.98823 # DEPENDENCYPART_ARC
(3,20),-3.0855 # DEPENDENCYPART_ARC
(3,21),-3.71539 # DEPENDENCYPART_ARC
(3,22),-3.01522 # DEPENDENCYPART_ARC
(3,23),-2.22324 # DEPENDENCYPART_ARC
(3,24),-0.351978 # DEPENDENCYPART_ARC
(4,1),-1.57785 # DEPENDENCYPART_ARC
(4,2),-1.7146 # DEPENDENCYPART_ARC
(4,3),-1.12356 # DEPENDENCYPART_ARC
(4,5),-0.39867 # DEPENDENCYPART_ARC
(4,6),-1.17657 # DEPENDENCYPART_ARC
(4,7),-0.913381 # DEPENDENCYPART_ARC
(4,8),-1.20871 # DEPENDENCYPART_ARC
(4,9),-1.39644 # DEPENDENCYPART_ARC
(4,10),-1.8436 # DEPENDENCYPART_ARC
(4,11),-0.348377 # DEPENDENCYPART_ARC
(4,12),-1.57307 # DEPENDENCYPART_ARC
(4,13),-2.03099 # DEPENDENCYPART_ARC
(4,14),-1.74568 # DEPENDENCYPART_ARC
(4,15),-2.13876 # DEPENDENCYPART_ARC
(4,16),-2.0291 # DEPENDENCYPART_ARC
(4,17),-2.59325 # DEPENDENCYPART_ARC
(4,18),-2.73343 # DEPENDENCYPART_ARC
(4,19),-2.81624 # DEPENDENCYPART_ARC
(4,20),-3.31145 # DEPENDENCYPART_ARC
(4,21),-2.36528 # DEPENDENCYPART_ARC
(4,22),-3.16824 # DEPENDENCYPART_ARC
(4,23),-3.30694 # DEPENDENCYPART_ARC
(4,24),-2.47397 # DEPENDENCYPART_ARC
(5,1),-1.49535 # DEPENDENCYPART_ARC
(5,2),-1.24493 # DEPENDENCYPART_ARC
(5,3),-1.21099 # DEPENDENCYPART_ARC
(5,4),-0.30121 # DEPENDENCYPART_ARC
(5,6),0.461649 # DEPENDENCYPART_ARC
(5,7),0.0661062 # DEPENDENCYPART_ARC
(5,8),-0.56226 # DEPENDENCYPART_ARC
(5,9),-0.68282 # DEPENDENCYPART_ARC
(5,10),-0.646511 # DEPENDENCYPART_ARC
(5,11),0.0800555 # DEPENDENCYPART_ARC
(5,12),-0.92153 # DEPENDENCYPART_ARC
(5,13),-1.40096 # DEPENDENCYPART_ARC
(5,14),-1.70724 # DEPENDENCYPART_ARC
(5,15),-1.33521 # DEPENDENCYPART_ARC
(5,16),-2.10987 # DEPENDENCYPART_ARC
(5,17),-2.64964 # DEPENDENCYPART_ARC
(5,18),-1.97626 # DEPENDENCYPART_ARC
(5,19),-1.85987 # DEPENDENCYPART_ARC
(5,20),-2.15423 # DEPENDENCYPART_ARC
(5,21),-2.66304 # DEPENDENCYPART_ARC
(5,22),-2.0436 # DEPENDENCYPART_ARC
(5,23),-2.03707 # DEPENDENCYPART_ARC
(5,24),-2.03291 # DEPENDENCYPART_ARC
(6,1),0.117783 # DEPENDENCYPART_ARC
(6,2),0.444312 # DEPENDENCYPART_ARC
(6,3),0.412555 # DEPENDENCYPART_ARC
(6,4),0.937068 # DEPENDENCYPART_ARC
(6,5),4.43353 # DEPENDENCYPART_ARC
(6,7),3.75706 # DEPENDENCYPART_ARC
(6,8),0.996827 # DEPENDENCYPART_ARC
(6,9),0.949476 # DEPENDENCYPART_ARC
