# _root_ Una altra de les novetats d' aquest any ha estat l' excés d' oferta per a Roma , Londres i París , destins per als quals ha estat possible trobar bitllet fins a última hora .
#goldHeads=3,1,10,5,3,3,8,6,10,0,12,10,12,13,12,15,16,17,17,17,17,23,17,28,24,25,28,23,28,28,30,30,32,35,33,10,
#predictedHeads=2,10,2,5,3,5,8,6,10,0,12,10,12,13,10,15,16,17,17,17,17,23,17,23,24,25,28,23,28,28,30,30,32,35,33,10,
(0,1),-7.7129 # DEPENDENCYPART_ARC
(0,2),-6.08597 # DEPENDENCYPART_ARC
(0,3),-6.99189 # DEPENDENCYPART_ARC
(0,4),-8.4734 # DEPENDENCYPART_ARC
(0,5),-7.5705 # DEPENDENCYPART_ARC
(0,6),-7.75524 # DEPENDENCYPART_ARC
(0,7),-9.10133 # DEPENDENCYPART_ARC
(0,8),-7.63291 # DEPENDENCYPART_ARC
(0,9),-2.43803 # DEPENDENCYPART_ARC
(0,10),-3.55865 # DEPENDENCYPART_ARC
(0,11),-9.60055 # DEPENDENCYPART_ARC
(0,12),-8.48357 # DEPENDENCYPART_ARC
(0,13),-8.53578 # DEPENDENCYPART_ARC
(0,14),-7.79237 # DEPENDENCYPART_ARC
(0,15),-8.51746 # DEPENDENCYPART_ARC
(0,16),-8.98407 # DEPENDENCYPART_ARC
(0,17),-7.74767 # DEPENDENCYPART_ARC
(0,18),-8.46816 # DEPENDENCYPART_ARC
(0,19),-8.08779 # DEPENDENCYPART_ARC
(0,20),-7.99357 # DEPENDENCYPART_ARC
(0,21),-7.75471 # DEPENDENCYPART_ARC
(0,22),-8.64167 # DEPENDENCYPART_ARC
(0,23),-8.14305 # DEPENDENCYPART_ARC
(0,24),-9.28588 # DEPENDENCYPART_ARC
(0,25),-9.48427 # DEPENDENCYPART_ARC
(0,26),-6.36877 # DEPENDENCYPART_ARC
(0,27),-3.78875 # DEPENDENCYPART_ARC
(0,28),-3.87655 # DEPENDENCYPART_ARC
(0,29),-8.0473 # DEPENDENCYPART_ARC
(0,30),-6.57864 # DEPENDENCYPART_ARC
(0,31),-8.02136 # DEPENDENCYPART_ARC
(0,32),-9.78178 # DEPENDENCYPART_ARC
(0,33),-10.4515 # DEPENDENCYPART_ARC
(0,34),-8.17573 # DEPENDENCYPART_ARC
(0,35),-7.2834 # DEPENDENCYPART_ARC
(0,36),-9.92446 # DEPENDENCYPART_ARC
(1,2),1.78484 # DEPENDENCYPART_ARC
(1,3),0.736338 # DEPENDENCYPART_ARC
(1,4),1.0146 # DEPENDENCYPART_ARC
(1,5),-1.24705 # DEPENDENCYPART_ARC
(1,6),-1.24197 # DEPENDENCYPART_ARC
(1,7),-1.5293 # DEPENDENCYPART_ARC
(1,8),-2.64402 # DEPENDENCYPART_ARC
(1,9),-2.06291 # DEPENDENCYPART_ARC
(1,10),-2.52961 # DEPENDENCYPART_ARC
(1,11),-2.51647 # DEPENDENCYPART_ARC
(1,12),-3.63812 # DEPENDENCYPART_ARC
(1,13),-3.5658 # DEPENDENCYPART_ARC
(1,14),-3.24732 # DEPENDENCYPART_ARC
(1,15),-5.46653 # DEPENDENCYPART_ARC
(1,16),-5.47941 # DEPENDENCYPART_ARC
(1,17),-4.30097 # DEPENDENCYPART_ARC
(1,18),-3.15634 # DEPENDENCYPART_ARC
(1,19),-4.10391 # DEPENDENCYPART_ARC
(1,20),-2.59068 # DEPENDENCYPART_ARC
(1,21),-4.71644 # DEPENDENCYPART_ARC
(1,22),-3.53874 # DEPENDENCYPART_ARC
(1,23),-5.13947 # DEPENDENCYPART_ARC
(1,24),-8.45939 # DEPENDENCYPART_ARC
(1,25),-7.71286 # DEPENDENCYPART_ARC
(1,26),-3.50284 # DEPENDENCYPART_ARC
(1,27),-3.14983 # DEPENDENCYPART_ARC
(1,28),-3.5553 # DEPENDENCYPART_ARC
(1,29),-2.58002 # DEPENDENCYPART_ARC
(1,30),-3.25188 # DEPENDENCYPART_ARC
(1,31),-5.48014 # DEPENDENCYPART_ARC
(1,32),-9.14775 # DEPENDENCYPART_ARC
(1,33),-10.6223 # DEPENDENCYPART_ARC
(1,34),-2.40671 # DEPENDENCYPART_ARC
(1,35),-5.71315 # DEPENDENCYPART_ARC
(1,36),-5.07011 # DEPENDENCYPART_ARC
(2,1),4.18952 # DEPENDENCYPART_ARC
(2,3),2.93055 # DEPENDENCYPART_ARC
(2,4),0.572833 # DEPENDENCYPART_ARC
(2,5),2.10985 # DEPENDENCYPART_ARC
(2,6),2.04422 # DEPENDENCYPART_ARC
(2,7),0.214622 # DEPENDENCYPART_ARC
(2,8),1.17654 # DEPENDENCYPART_ARC
(2,9),1.95136 # DEPENDENCYPART_ARC
(2,10),0.792449 # DEPENDENCYPART_ARC
(2,11),-0.647511 # DEPENDENCYPART_ARC
(2,12),0.436873 # DEPENDENCYPART_ARC
(2,13),0.363734 # DEPENDENCYPART_ARC
(2,14),0.0570212 # DEPENDENCYPART_ARC
(2,15),-0.72393 # DEPENDENCYPART_ARC
(2,16),-0.37025 # DEPENDENCYPART_ARC
(2,17),0.262187 # DEPENDENCYPART_ARC
(2,18),0.404112 # DEPENDENCYPART_ARC
(2,19),0.883683 # DEPENDENCYPART_ARC
(2,20),-0.326071 # DEPENDENCYPART_ARC
