# _root_ Una altra de les marques de tabac negre , Gitanes , fixarà el_seu preu en 310 pessetes tant en la varietat amb filtre com sense filtre .
#goldHeads=2,12,2,5,3,5,6,7,10,2,10,0,14,12,12,17,15,19,12,21,19,21,22,19,19,25,12,
#predictedHeads=2,12,2,5,3,5,6,7,10,5,10,0,14,12,12,17,15,19,12,21,19,21,22,19,19,25,12,
(0,1),-7.7129 # DEPENDENCYPART_ARC
(0,2),-6.08597 # DEPENDENCYPART_ARC
(0,3),-6.99189 # DEPENDENCYPART_ARC
(0,4),-8.4734 # DEPENDENCYPART_ARC
(0,5),-7.57504 # DEPENDENCYPART_ARC
(0,6),-7.63541 # DEPENDENCYPART_ARC
(0,7),-7.33097 # DEPENDENCYPART_ARC
(0,8),-7.73799 # DEPENDENCYPART_ARC
(0,9),-7.44654 # DEPENDENCYPART_ARC
(0,10),-6.8529 # DEPENDENCYPART_ARC
(0,11),-7.4859 # DEPENDENCYPART_ARC
(0,12),-1.18004 # DEPENDENCYPART_ARC
(0,13),-9.44418 # DEPENDENCYPART_ARC
(0,14),-7.44569 # DEPENDENCYPART_ARC
(0,15),-8.20743 # DEPENDENCYPART_ARC
(0,16),-7.73785 # DEPENDENCYPART_ARC
(0,17),-7.20667 # DEPENDENCYPART_ARC
(0,18),-8.12268 # DEPENDENCYPART_ARC
(0,19),-8.07891 # DEPENDENCYPART_ARC
(0,20),-9.8779 # DEPENDENCYPART_ARC
(0,21),-7.85375 # DEPENDENCYPART_ARC
(0,22),-7.85305 # DEPENDENCYPART_ARC
(0,23),-7.69722 # DEPENDENCYPART_ARC
(0,24),-7.95917 # DEPENDENCYPART_ARC
(0,25),-8.11892 # DEPENDENCYPART_ARC
(0,26),-7.41022 # DEPENDENCYPART_ARC
(0,27),-9.11249 # DEPENDENCYPART_ARC
(1,2),1.78484 # DEPENDENCYPART_ARC
(1,3),0.736338 # DEPENDENCYPART_ARC
(1,4),1.0146 # DEPENDENCYPART_ARC
(1,5),-1.24705 # DEPENDENCYPART_ARC
(1,6),-0.375489 # DEPENDENCYPART_ARC
(1,7),-2.51523 # DEPENDENCYPART_ARC
(1,8),-2.85738 # DEPENDENCYPART_ARC
(1,9),-1.72877 # DEPENDENCYPART_ARC
(1,10),-2.87012 # DEPENDENCYPART_ARC
(1,11),-1.97778 # DEPENDENCYPART_ARC
(1,12),-2.06359 # DEPENDENCYPART_ARC
(1,13),-3.3285 # DEPENDENCYPART_ARC
(1,14),-3.70845 # DEPENDENCYPART_ARC
(1,15),-5.01079 # DEPENDENCYPART_ARC
(1,16),-2.29426 # DEPENDENCYPART_ARC
(1,17),-2.74098 # DEPENDENCYPART_ARC
(1,18),-2.14229 # DEPENDENCYPART_ARC
(1,19),-5.95611 # DEPENDENCYPART_ARC
(1,20),-4.5237 # DEPENDENCYPART_ARC
(1,21),-3.73789 # DEPENDENCYPART_ARC
(1,22),-6.584 # DEPENDENCYPART_ARC
(1,23),-4.72173 # DEPENDENCYPART_ARC
(1,24),-3.10597 # DEPENDENCYPART_ARC
(1,25),-6.70876 # DEPENDENCYPART_ARC
(1,26),-5.24586 # DEPENDENCYPART_ARC
(1,27),-3.76259 # DEPENDENCYPART_ARC
(2,1),4.18952 # DEPENDENCYPART_ARC
(2,3),2.93055 # DEPENDENCYPART_ARC
(2,4),0.572833 # DEPENDENCYPART_ARC
(2,5),2.10985 # DEPENDENCYPART_ARC
(2,6),2.48235 # DEPENDENCYPART_ARC
(2,7),1.43807 # DEPENDENCYPART_ARC
(2,8),-0.0365758 # DEPENDENCYPART_ARC
(2,9),1.60507 # DEPENDENCYPART_ARC
(2,10),1.59121 # DEPENDENCYPART_ARC
(2,11),1.60422 # DEPENDENCYPART_ARC
(2,12),1.1897 # DEPENDENCYPART_ARC
(2,13),-0.471614 # DEPENDENCYPART_ARC
(2,14),-0.0177167 # DEPENDENCYPART_ARC
(2,15),-0.92662 # DEPENDENCYPART_ARC
(2,16),-0.0139924 # DEPENDENCYPART_ARC
(2,17),0.39862 # DEPENDENCYPART_ARC
(2,18),-0.944464 # DEPENDENCYPART_ARC
(2,19),-1.57501 # DEPENDENCYPART_ARC
(2,20),-1.02403 # DEPENDENCYPART_ARC
(2,21),-0.168598 # DEPENDENCYPART_ARC
(2,22),-0.131924 # DEPENDENCYPART_ARC
(2,23),-0.749632 # DEPENDENCYPART_ARC
(2,24),-0.474956 # DEPENDENCYPART_ARC
(2,25),-1.70111 # DEPENDENCYPART_ARC
(2,26),-0.538253 # DEPENDENCYPART_ARC
(2,27),1.96005 # DEPENDENCYPART_ARC
(3,1),1.10388 # DEPENDENCYPART_ARC
(3,2),0.310406 # DEPENDENCYPART_ARC
(3,4),0.957491 # DEPENDENCYPART_ARC
(3,5),5.11864 # DEPENDENCYPART_ARC
(3,6),0.789864 # DEPENDENCYPART_ARC
(3,7),1.84544 # DEPENDENCYPART_ARC
(3,8),-0.0200703 # DEPENDENCYPART_ARC
(3,9),0.757231 # DEPENDENCYPART_ARC
(3,10),-1.05052 # DEPENDENCYPART_ARC
(3,11),0.190273 # DEPENDENCYPART_ARC
(3,12),-1.72974 # DEPENDENCYPART_ARC
(3,13),-1.7566 # DEPENDENCYPART_ARC
(3,14),-4.52343 # DEPENDENCYPART_ARC
