# _root_ En aquests moments hi ha una discriminació de la balança fiscal envers Catalunya i l' Estat , per moltes voltes que hi vulgui donar , no ens deixarà a tots contents .
#goldHeads=5,3,1,5,0,7,5,7,10,8,10,7,12,13,16,13,18,5,20,18,23,23,20,23,5,28,28,5,28,29,28,5,
#predictedHeads=5,3,1,5,0,7,5,7,10,8,10,10,12,7,16,13,18,23,20,18,23,23,28,23,18,28,28,16,28,29,30,5,
(0,1),-7.72506 # DEPENDENCYPART_ARC
(0,3),-5.8479 # DEPENDENCYPART_ARC
(0,4),-6.51286 # DEPENDENCYPART_ARC
(0,5),-3.1511 # DEPENDENCYPART_ARC
(0,7),-7.14414 # DEPENDENCYPART_ARC
(0,8),-8.88385 # DEPENDENCYPART_ARC
(0,10),-7.28021 # DEPENDENCYPART_ARC
(0,11),-8.24571 # DEPENDENCYPART_ARC
(0,12),-8.38867 # DEPENDENCYPART_ARC
(0,13),-7.68237 # DEPENDENCYPART_ARC
(0,16),-7.52705 # DEPENDENCYPART_ARC
(0,18),-8.91295 # DEPENDENCYPART_ARC
(0,20),-7.33924 # DEPENDENCYPART_ARC
(0,22),-6.23495 # DEPENDENCYPART_ARC
(0,23),-6.52601 # DEPENDENCYPART_ARC
(0,24),-6.91985 # DEPENDENCYPART_ARC
(0,26),-8.87122 # DEPENDENCYPART_ARC
(0,27),-6.48743 # DEPENDENCYPART_ARC
(0,28),-6.12211 # DEPENDENCYPART_ARC
(0,29),-10.0068 # DEPENDENCYPART_ARC
(0,30),-7.04616 # DEPENDENCYPART_ARC
(0,31),-8.52635 # DEPENDENCYPART_ARC
(1,3),4.96036 # DEPENDENCYPART_ARC
(1,4),-0.0893401 # DEPENDENCYPART_ARC
(1,5),0.491388 # DEPENDENCYPART_ARC
(1,6),-1.91172 # DEPENDENCYPART_ARC
(1,7),-2.61549 # DEPENDENCYPART_ARC
(1,8),-2.09384 # DEPENDENCYPART_ARC
(1,9),-2.79946 # DEPENDENCYPART_ARC
(1,10),-4.52447 # DEPENDENCYPART_ARC
(1,11),-2.41085 # DEPENDENCYPART_ARC
(1,12),-2.26792 # DEPENDENCYPART_ARC
(1,13),-7.48255 # DEPENDENCYPART_ARC
(1,14),-0.926703 # DEPENDENCYPART_ARC
(1,15),-1.73887 # DEPENDENCYPART_ARC
(1,16),-9.10821 # DEPENDENCYPART_ARC
(1,17),0.499347 # DEPENDENCYPART_ARC
(1,18),-3.43969 # DEPENDENCYPART_ARC
(1,19),-2.33568 # DEPENDENCYPART_ARC
(1,20),-11.8425 # DEPENDENCYPART_ARC
(1,21),-5.77864 # DEPENDENCYPART_ARC
(1,22),-5.25054 # DEPENDENCYPART_ARC
(1,23),-2.31317 # DEPENDENCYPART_ARC
(1,24),-3.82299 # DEPENDENCYPART_ARC
(1,25),-0.78102 # DEPENDENCYPART_ARC
(1,26),-2.30963 # DEPENDENCYPART_ARC
(1,27),-5.25598 # DEPENDENCYPART_ARC
(1,28),-5.31318 # DEPENDENCYPART_ARC
(1,29),-3.45828 # DEPENDENCYPART_ARC
(1,30),-5.5545 # DEPENDENCYPART_ARC
(1,31),-4.7072 # DEPENDENCYPART_ARC
(1,32),0.0129936 # DEPENDENCYPART_ARC
(2,6),-1.6745 # DEPENDENCYPART_ARC
(2,11),-3.24812 # DEPENDENCYPART_ARC
