# _root_ Més de 200 grups de cristians de base promouen la celebració d' un sínode alternatiu , l' Assemblea_del_Poble_de_Déu , que se celebrarà del 4 al 7_d'_octubre a la Universitat_Protestant_de_Teologia_de_Roma .
#goldHeads=2,4,2,9,4,5,4,7,0,11,9,11,14,12,14,18,18,14,18,22,22,11,24,22,24,24,22,29,27,9,
#predictedHeads=2,4,2,9,4,5,6,7,0,11,9,11,14,12,14,18,18,14,22,22,22,18,24,22,24,25,22,29,27,9,
(0,1),-6.81543 # DEPENDENCYPART_ARC
(0,2),-6.51439 # DEPENDENCYPART_ARC
(0,3),-6.87452 # DEPENDENCYPART_ARC
(0,4),-6.41453 # DEPENDENCYPART_ARC
(0,5),-7.26344 # DEPENDENCYPART_ARC
(0,6),-6.62062 # DEPENDENCYPART_ARC
(0,7),-7.64001 # DEPENDENCYPART_ARC
(0,8),-5.94123 # DEPENDENCYPART_ARC
(0,9),-1.84788 # DEPENDENCYPART_ARC
(0,11),-6.92558 # DEPENDENCYPART_ARC
(0,12),-8.36747 # DEPENDENCYPART_ARC
(0,14),-7.03737 # DEPENDENCYPART_ARC
(0,15),-8.4508 # DEPENDENCYPART_ARC
(0,18),-7.0474 # DEPENDENCYPART_ARC
(0,22),-1.46652 # DEPENDENCYPART_ARC
(0,23),-9.10349 # DEPENDENCYPART_ARC
(0,24),-8.73826 # DEPENDENCYPART_ARC
(0,25),-9.72053 # DEPENDENCYPART_ARC
(0,26),-8.80383 # DEPENDENCYPART_ARC
(0,27),-9.67524 # DEPENDENCYPART_ARC
(0,29),-7.3631 # DEPENDENCYPART_ARC
(1,2),1.30219 # DEPENDENCYPART_ARC
(1,3),1.38824 # DEPENDENCYPART_ARC
(1,4),-0.0477828 # DEPENDENCYPART_ARC
(1,5),-0.841959 # DEPENDENCYPART_ARC
(1,6),-0.386273 # DEPENDENCYPART_ARC
(1,7),-1.04809 # DEPENDENCYPART_ARC
(1,8),-0.682441 # DEPENDENCYPART_ARC
(1,9),-0.406572 # DEPENDENCYPART_ARC
(1,10),-1.42284 # DEPENDENCYPART_ARC
(1,11),-1.10438 # DEPENDENCYPART_ARC
(1,12),-2.11528 # DEPENDENCYPART_ARC
(1,13),-1.72917 # DEPENDENCYPART_ARC
(1,14),-0.990295 # DEPENDENCYPART_ARC
(1,15),-1.15215 # DEPENDENCYPART_ARC
(1,16),0.145619 # DEPENDENCYPART_ARC
(1,17),-1.63448 # DEPENDENCYPART_ARC
(1,18),-0.828113 # DEPENDENCYPART_ARC
(1,19),-0.54455 # DEPENDENCYPART_ARC
(1,22),-2.14146 # DEPENDENCYPART_ARC
(1,23),-2.37067 # DEPENDENCYPART_ARC
(1,24),-1.27411 # DEPENDENCYPART_ARC
(1,25),-2.84639 # DEPENDENCYPART_ARC
(1,26),-1.40437 # DEPENDENCYPART_ARC
(1,27),-2.28748 # DEPENDENCYPART_ARC
(1,28),-2.4537 # DEPENDENCYPART_ARC
(1,29),-1.75864 # DEPENDENCYPART_ARC
(1,30),-2.42456 # DEPENDENCYPART_ARC
(2,1),2.19854 # DEPENDENCYPART_ARC
(2,3),3.4693 # DEPENDENCYPART_ARC
(2,4),2.38843 # DEPENDENCYPART_ARC
(2,5),0.470449 # DEPENDENCYPART_ARC
(2,6),0.469124 # DEPENDENCYPART_ARC
(2,7),0.245911 # DEPENDENCYPART_ARC
(2,8),-1.07126 # DEPENDENCYPART_ARC
(2,9),-0.579411 # DEPENDENCYPART_ARC
(2,10),-2.99302 # DEPENDENCYPART_ARC
(2,11),-4.71508 # DEPENDENCYPART_ARC
(2,12),-0.924593 # DEPENDENCYPART_ARC
(2,13),-3.06963 # DEPENDENCYPART_ARC
(2,14),-6.59037 # DEPENDENCYPART_ARC
(2,15),-3.49366 # DEPENDENCYPART_ARC
(2,16),-1.00025 # DEPENDENCYPART_ARC
(2,17),-2.39724 # DEPENDENCYPART_ARC
(2,18),-9.51634 # DEPENDENCYPART_ARC
(2,19),-1.11418 # DEPENDENCYPART_ARC
(2,20),-7.86772 # DEPENDENCYPART_ARC
(2,21),-7.22977 # DEPENDENCYPART_ARC
(2,22),-2.19027 # DEPENDENCYPART_ARC
(2,23),-1.92637 # DEPENDENCYPART_ARC
(2,24),-5.20488 # DEPENDENCYPART_ARC
(2,25),-5.11318 # DEPENDENCYPART_ARC
(2,26),-5.42648 # DEPENDENCYPART_ARC
(2,27),-4.50834 # DEPENDENCYPART_ARC
