# _root_ El port de Tarragona rebrà , durant tot el mes_de_juny , fins_a cinc creuers de luxe i vora mil passatgers .
#goldHeads=2,5,2,3,0,7,5,9,10,7,7,13,14,5,14,15,14,19,20,14,5,
#predictedHeads=2,5,2,3,0,7,5,9,10,7,7,13,14,5,14,15,14,19,20,14,5,
(0,1),-8.05641 # DEPENDENCYPART_ARC
(0,2),-6.9402 # DEPENDENCYPART_ARC
(0,3),-7.31003 # DEPENDENCYPART_ARC
(0,4),-7.11031 # DEPENDENCYPART_ARC
(0,5),-1.59355 # DEPENDENCYPART_ARC
(0,6),-7.64524 # DEPENDENCYPART_ARC
(0,7),-7.21008 # DEPENDENCYPART_ARC
(0,8),-9.58888 # DEPENDENCYPART_ARC
(0,9),-9.6165 # DEPENDENCYPART_ARC
(0,10),-7.98696 # DEPENDENCYPART_ARC
(0,11),-7.85559 # DEPENDENCYPART_ARC
(0,12),-7.72581 # DEPENDENCYPART_ARC
(0,13),-9.38716 # DEPENDENCYPART_ARC
(0,14),-8.20307 # DEPENDENCYPART_ARC
(0,15),-8.3088 # DEPENDENCYPART_ARC
(0,16),-7.80843 # DEPENDENCYPART_ARC
(0,17),-7.92537 # DEPENDENCYPART_ARC
(0,18),-8.04553 # DEPENDENCYPART_ARC
(0,19),-7.99769 # DEPENDENCYPART_ARC
(0,20),-7.38728 # DEPENDENCYPART_ARC
(0,21),-8.55259 # DEPENDENCYPART_ARC
(1,2),1.17311 # DEPENDENCYPART_ARC
(1,3),0.837313 # DEPENDENCYPART_ARC
(1,4),-1.5907 # DEPENDENCYPART_ARC
(1,5),-1.78393 # DEPENDENCYPART_ARC
(1,6),-2.20022 # DEPENDENCYPART_ARC
(1,7),-3.06159 # DEPENDENCYPART_ARC
(1,8),-2.38564 # DEPENDENCYPART_ARC
(1,9),-2.98781 # DEPENDENCYPART_ARC
(1,10),-2.38639 # DEPENDENCYPART_ARC
(1,11),-2.66171 # DEPENDENCYPART_ARC
(1,12),-2.31538 # DEPENDENCYPART_ARC
(1,13),-2.86612 # DEPENDENCYPART_ARC
(1,14),-4.0554 # DEPENDENCYPART_ARC
(1,15),-2.81019 # DEPENDENCYPART_ARC
(1,16),-4.13416 # DEPENDENCYPART_ARC
(1,17),-3.14882 # DEPENDENCYPART_ARC
(1,18),-2.37066 # DEPENDENCYPART_ARC
(1,19),-2.61801 # DEPENDENCYPART_ARC
(1,20),-5.01531 # DEPENDENCYPART_ARC
(1,21),-3.22933 # DEPENDENCYPART_ARC
(2,1),4.39712 # DEPENDENCYPART_ARC
(2,3),4.22515 # DEPENDENCYPART_ARC
(2,4),1.66634 # DEPENDENCYPART_ARC
(2,5),2.07004 # DEPENDENCYPART_ARC
(2,6),0.174692 # DEPENDENCYPART_ARC
(2,7),-0.127647 # DEPENDENCYPART_ARC
(2,8),-1.21059 # DEPENDENCYPART_ARC
(2,9),-1.21025 # DEPENDENCYPART_ARC
(2,10),0.0471127 # DEPENDENCYPART_ARC
(2,11),-0.181297 # DEPENDENCYPART_ARC
(2,12),0.152679 # DEPENDENCYPART_ARC
(2,13),-2.08445 # DEPENDENCYPART_ARC
(2,14),-0.451167 # DEPENDENCYPART_ARC
(2,15),-0.601891 # DEPENDENCYPART_ARC
(2,16),-0.86205 # DEPENDENCYPART_ARC
(2,17),-0.315495 # DEPENDENCYPART_ARC
(2,18),-1.01352 # DEPENDENCYPART_ARC
(2,19),-0.734277 # DEPENDENCYPART_ARC
(2,20),0.00303879 # DEPENDENCYPART_ARC
(2,21),1.77897 # DEPENDENCYPART_ARC
(3,1),0.520661 # DEPENDENCYPART_ARC
(3,2),0.318541 # DEPENDENCYPART_ARC
(3,4),4.30281 # DEPENDENCYPART_ARC
(3,5),-0.508675 # DEPENDENCYPART_ARC
(3,6),-0.0110478 # DEPENDENCYPART_ARC
