# _root_ De_fet , la noia presentava fractura de pelvis , turmell i cama i va ser atesa a un centre hospitalari .
#goldHeads=5,1,4,5,0,5,6,7,8,8,8,8,5,16,16,5,16,19,17,19,5,
#predictedHeads=5,1,4,5,0,5,6,7,8,8,8,8,5,16,16,5,16,19,17,19,5,
(0,1),-5.89411 # DEPENDENCYPART_ARC
(0,2),-7.05115 # DEPENDENCYPART_ARC
(0,3),-8.47138 # DEPENDENCYPART_ARC
(0,4),-5.97618 # DEPENDENCYPART_ARC
(0,5),-2.14206 # DEPENDENCYPART_ARC
(0,6),-6.55873 # DEPENDENCYPART_ARC
(0,7),-7.15413 # DEPENDENCYPART_ARC
(0,8),-6.05856 # DEPENDENCYPART_ARC
(0,9),-7.64857 # DEPENDENCYPART_ARC
(0,10),-6.44184 # DEPENDENCYPART_ARC
(0,11),-7.3602 # DEPENDENCYPART_ARC
(0,12),-6.58567 # DEPENDENCYPART_ARC
(0,13),-7.19617 # DEPENDENCYPART_ARC
(0,14),-3.57631 # DEPENDENCYPART_ARC
(0,15),-4.41905 # DEPENDENCYPART_ARC
(0,16),-3.75053 # DEPENDENCYPART_ARC
(0,17),-7.4585 # DEPENDENCYPART_ARC
(0,18),-9.53168 # DEPENDENCYPART_ARC
(0,19),-6.89428 # DEPENDENCYPART_ARC
(0,20),-7.81923 # DEPENDENCYPART_ARC
(0,21),-8.17701 # DEPENDENCYPART_ARC
(1,2),3.4393 # DEPENDENCYPART_ARC
(1,3),0.0840202 # DEPENDENCYPART_ARC
(1,4),-0.693319 # DEPENDENCYPART_ARC
(1,5),0.367337 # DEPENDENCYPART_ARC
(1,6),-1.19728 # DEPENDENCYPART_ARC
(1,7),-1.51201 # DEPENDENCYPART_ARC
(1,8),-1.3434 # DEPENDENCYPART_ARC
(1,9),0.0773561 # DEPENDENCYPART_ARC
(1,10),-1.90997 # DEPENDENCYPART_ARC
(1,11),-0.103367 # DEPENDENCYPART_ARC
(1,12),-1.70567 # DEPENDENCYPART_ARC
(1,13),-0.385298 # DEPENDENCYPART_ARC
(1,14),-0.646933 # DEPENDENCYPART_ARC
(1,15),-0.954858 # DEPENDENCYPART_ARC
(1,16),-1.32999 # DEPENDENCYPART_ARC
(1,17),-1.81787 # DEPENDENCYPART_ARC
