# _root_ Quan ens movem al_voltant_del 3% , ¿ qui es recorda de l' època dels Pactes_de_la_Moncloa , amb un IPC que gairebé arribava al 30% ?
#goldHeads=3,3,10,3,4,3,10,10,10,0,10,13,11,13,14,17,13,19,17,22,22,19,22,23,10,
#predictedHeads=3,3,0,3,4,3,10,10,10,3,10,13,11,13,14,17,10,19,17,22,22,19,22,23,10,
(0,1),-5.65263 # DEPENDENCYPART_ARC
(0,3),-4.41075 # DEPENDENCYPART_ARC
(0,4),-7.98939 # DEPENDENCYPART_ARC
(0,10),-3.94088 # DEPENDENCYPART_ARC
(0,11),-7.46786 # DEPENDENCYPART_ARC
(0,13),-7.11463 # DEPENDENCYPART_ARC
(0,14),-8.29128 # DEPENDENCYPART_ARC
(0,15),-6.78193 # DEPENDENCYPART_ARC
(0,17),-7.40941 # DEPENDENCYPART_ARC
(0,19),-6.84269 # DEPENDENCYPART_ARC
(0,21),-8.74566 # DEPENDENCYPART_ARC
(0,22),-5.28038 # DEPENDENCYPART_ARC
(0,23),-9.01215 # DEPENDENCYPART_ARC
(1,3),-0.473927 # DEPENDENCYPART_ARC
(1,4),-1.88471 # DEPENDENCYPART_ARC
(1,6),-1.65264 # DEPENDENCYPART_ARC
(1,10),-2.16001 # DEPENDENCYPART_ARC
(1,11),-3.23309 # DEPENDENCYPART_ARC
(1,13),-4.0936 # DEPENDENCYPART_ARC
(1,14),-3.09383 # DEPENDENCYPART_ARC
(1,15),-4.15165 # DEPENDENCYPART_ARC
(1,16),-2.07247 # DEPENDENCYPART_ARC
(1,17),-3.78111 # DEPENDENCYPART_ARC
(1,18),-3.98986 # DEPENDENCYPART_ARC
(1,19),-5.06212 # DEPENDENCYPART_ARC
(1,21),-3.80974 # DEPENDENCYPART_ARC
(1,22),-3.22269 # DEPENDENCYPART_ARC
(1,23),-3.59475 # DEPENDENCYPART_ARC
(3,1),4.61335 # DEPENDENCYPART_ARC
(3,2),4.34248 # DEPENDENCYPART_ARC
(3,4),3.18916 # DEPENDENCYPART_ARC
(3,5),0.905299 # DEPENDENCYPART_ARC
(3,6),1.44005 # DEPENDENCYPART_ARC
(3,7),0.984028 # DEPENDENCYPART_ARC
(3,8),-1.1243 # DEPENDENCYPART_ARC
(3,9),-0.831018 # DEPENDENCYPART_ARC
(3,10),1.60003 # DEPENDENCYPART_ARC
(3,11),-1.08033 # DEPENDENCYPART_ARC
(3,12),-2.70392 # DEPENDENCYPART_ARC
(3,13),-0.740784 # DEPENDENCYPART_ARC
(3,14),-1.68344 # DEPENDENCYPART_ARC
(3,15),-1.31485 # DEPENDENCYPART_ARC
(3,16),-0.0498813 # DEPENDENCYPART_ARC
(3,17),-0.298151 # DEPENDENCYPART_ARC
(3,19),-0.618545 # DEPENDENCYPART_ARC
(3,20),-2.08443 # DEPENDENCYPART_ARC
(3,21),-2.02163 # DEPENDENCYPART_ARC
(3,22),-0.280711 # DEPENDENCYPART_ARC
(3,23),-0.913741 # DEPENDENCYPART_ARC
(3,24),-1.77012 # DEPENDENCYPART_ARC
(3,25),1.43725 # DEPENDENCYPART_ARC
(4,1),-1.02004 # DEPENDENCYPART_ARC
(4,2),-2.14252 # DEPENDENCYPART_ARC
(4,3),-1.70309 # DEPENDENCYPART_ARC
(4,5),2.46392 # DEPENDENCYPART_ARC
(4,6),0.990739 # DEPENDENCYPART_ARC
(4,7),-0.229628 # DEPENDENCYPART_ARC
(4,8),-1.03686 # DEPENDENCYPART_ARC
(4,9),-2.78601 # DEPENDENCYPART_ARC
(4,10),0.359048 # DEPENDENCYPART_ARC
(4,11),-1.89512 # DEPENDENCYPART_ARC
(4,12),-2.44799 # DEPENDENCYPART_ARC
(4,13),-3.76339 # DEPENDENCYPART_ARC
(4,14),-1.06409 # DEPENDENCYPART_ARC
(4,15),-4.26954 # DEPENDENCYPART_ARC
(4,16),-0.239057 # DEPENDENCYPART_ARC
(4,17),-1.82069 # DEPENDENCYPART_ARC
(4,18),-3.27774 # DEPENDENCYPART_ARC
(4,19),-6.68497 # DEPENDENCYPART_ARC
(4,20),-8.84395 # DEPENDENCYPART_ARC
(4,21),-2.04029 # DEPENDENCYPART_ARC
(4,22),-0.732083 # DEPENDENCYPART_ARC
(4,23),-3.25898 # DEPENDENCYPART_ARC
(4,24),-3.50075 # DEPENDENCYPART_ARC
(4,25),-2.28796 # DEPENDENCYPART_ARC
(5,1),-1.25468 # DEPENDENCYPART_ARC
(5,3),-0.4916 # DEPENDENCYPART_ARC
(5,4),1.13154 # DEPENDENCYPART_ARC
(5,6),0.68329 # DEPENDENCYPART_ARC
(5,10),1.19869 # DEPENDENCYPART_ARC
(5,11),-1.40152 # DEPENDENCYPART_ARC
(5,12),-1.78673 # DEPENDENCYPART_ARC
(5,13),-0.54304 # DEPENDENCYPART_ARC
(5,14),-1.10131 # DEPENDENCYPART_ARC
(5,16),-0.750173 # DEPENDENCYPART_ARC
(5,17),-2.48425 # DEPENDENCYPART_ARC
(5,18),-2.20404 # DEPENDENCYPART_ARC
(5,21),-2.32245 # DEPENDENCYPART_ARC
(5,22),-0.11574 # DEPENDENCYPART_ARC
(5,23),-2.6242 # DEPENDENCYPART_ARC
(5,24),-0.814909 # DEPENDENCYPART_ARC
(6,13),-2.04936 # DEPENDENCYPART_ARC
(6,16),-1.41189 # DEPENDENCYPART_ARC
(8,3),-1.83943 # DEPENDENCYPART_ARC
(8,4),-1.41327 # DEPENDENCYPART_ARC
(8,7),0.623232 # DEPENDENCYPART_ARC
(8,10),1.07129 # DEPENDENCYPART_ARC
(8,11),-1.16682 # DEPENDENCYPART_ARC
(8,13),-2.21096 # DEPENDENCYPART_ARC
(8,14),-1.56623 # DEPENDENCYPART_ARC
(8,17),-2.18766 # DEPENDENCYPART_ARC
(8,21),-3.34678 # DEPENDENCYPART_ARC
(8,22),-1.21349 # DEPENDENCYPART_ARC
(8,23),-4.23859 # DEPENDENCYPART_ARC
(8,25),-1.87032 # DEPENDENCYPART_ARC
(10,1),2.54739 # DEPENDENCYPART_ARC
(10,2),0.108556 # DEPENDENCYPART_ARC
(10,3),0.440062 # DEPENDENCYPART_ARC
(10,4),-0.239302 # DEPENDENCYPART_ARC
(10,5),-0.112231 # DEPENDENCYPART_ARC
(10,6),0.87015 # DEPENDENCYPART_ARC
(10,7),2.78362 # DEPENDENCYPART_ARC
(10,8),2.87756 # DEPENDENCYPART_ARC
(10,9),4.1509 # DEPENDENCYPART_ARC
(10,11),1.84732 # DEPENDENCYPART_ARC
(10,12),-0.36189 # DEPENDENCYPART_ARC
(10,13),2.19981 # DEPENDENCYPART_ARC
(10,14),-0.00910768 # DEPENDENCYPART_ARC
(10,15),0.69189 # DEPENDENCYPART_ARC
(10,16),0.873121 # DEPENDENCYPART_ARC
(10,17),1.02375 # DEPENDENCYPART_ARC
(10,19),1.03377 # DEPENDENCYPART_ARC
(10,20),-1.55787 # DEPENDENCYPART_ARC
(10,21),-0.582165 # DEPENDENCYPART_ARC
(10,22),0.972283 # DEPENDENCYPART_ARC
(10,23),0.409298 # DEPENDENCYPART_ARC
(10,24),-0.846163 # DEPENDENCYPART_ARC
(10,25),1.93577 # DEPENDENCYPART_ARC
(11,1),-2.31589 # DEPENDENCYPART_ARC
(11,2),-3.33478 # DEPENDENCYPART_ARC
(11,3),-2.97998 # DEPENDENCYPART_ARC
(11,4),-1.92495 # DEPENDENCYPART_ARC
(11,5),-2.67795 # DEPENDENCYPART_ARC
(11,6),-2.36388 # DEPENDENCYPART_ARC
(11,7),-2.32734 # DEPENDENCYPART_ARC
(11,8),-2.31877 # DEPENDENCYPART_ARC
(11,9),-1.20038 # DEPENDENCYPART_ARC
(11,10),-0.161372 # DEPENDENCYPART_ARC
(11,12),0.573451 # DEPENDENCYPART_ARC
(11,13),4.65327 # DEPENDENCYPART_ARC
(11,14),0.399128 # DEPENDENCYPART_ARC
(11,15),1.54405 # DEPENDENCYPART_ARC
(11,16),0.276918 # DEPENDENCYPART_ARC
(11,17),-0.194969 # DEPENDENCYPART_ARC
(11,18),-2.6769 # DEPENDENCYPART_ARC
(11,19),-0.866513 # DEPENDENCYPART_ARC
(11,20),-4.2058 # DEPENDENCYPART_ARC
(11,21),-1.55156 # DEPENDENCYPART_ARC
(11,22),-0.561569 # DEPENDENCYPART_ARC
(11,23),-3.21659 # DEPENDENCYPART_ARC
(11,24),-2.11744 # DEPENDENCYPART_ARC
(11,25),-1.50668 # DEPENDENCYPART_ARC
(12,4),-2.05948 # DEPENDENCYPART_ARC
(12,5),-1.78277 # DEPENDENCYPART_ARC
(12,11),0.25347 # DEPENDENCYPART_ARC
(12,13),2.80627 # DEPENDENCYPART_ARC
(12,14),-0.112269 # DEPENDENCYPART_ARC
(12,15),-1.69191 # DEPENDENCYPART_ARC
(12,17),-2.55363 # DEPENDENCYPART_ARC
(12,18),-2.12109 # DEPENDENCYPART_ARC
(12,19),-2.74413 # DEPENDENCYPART_ARC
(12,20),-2.82918 # DEPENDENCYPART_ARC
(12,21),-2.24089 # DEPENDENCYPART_ARC
(12,23),-4.11048 # DEPENDENCYPART_ARC
(12,24),-2.82316 # DEPENDENCYPART_ARC
(13,1),-2.01322 # DEPENDENCYPART_ARC
(13,3),-3.43385 # DEPENDENCYPART_ARC
(13,4),-1.32602 # DEPENDENCYPART_ARC
(13,5),-2.00278 # DEPENDENCYPART_ARC
(13,6),-1.3052 # DEPENDENCYPART_ARC
(13,7),-1.31445 # DEPENDENCYPART_ARC
(13,10),-1.15995 # DEPENDENCYPART_ARC
(13,11),0.393054 # DEPENDENCYPART_ARC
(13,12),3.45259 # DEPENDENCYPART_ARC
(13,14),2.96141 # DEPENDENCYPART_ARC
(13,15),0.71332 # DEPENDENCYPART_ARC
(13,16),0.0700502 # DEPENDENCYPART_ARC
(13,17),0.401636 # DEPENDENCYPART_ARC
(13,18),-2.36064 # DEPENDENCYPART_ARC
(13,19),0.185012 # DEPENDENCYPART_ARC
(13,20),-2.96333 # DEPENDENCYPART_ARC
(13,21),-0.863135 # DEPENDENCYPART_ARC
(13,22),1.66824 # DEPENDENCYPART_ARC
(13,23),-1.53101 # DEPENDENCYPART_ARC
(13,24),-1.43239 # DEPENDENCYPART_ARC
(13,25),-0.204118 # DEPENDENCYPART_ARC
(14,1),-2.05386 # DEPENDENCYPART_ARC
(14,2),-3.33059 # DEPENDENCYPART_ARC
(14,3),-2.74264 # DEPENDENCYPART_ARC
(14,4),-2.89386 # DEPENDENCYPART_ARC
(14,5),-2.45063 # DEPENDENCYPART_ARC
(14,6),-2.10208 # DEPENDENCYPART_ARC
(14,7),-1.72045 # DEPENDENCYPART_ARC
(14,8),-3.29114 # DEPENDENCYPART_ARC
(14,9),-2.02365 # DEPENDENCYPART_ARC
(14,10),-1.44249 # DEPENDENCYPART_ARC
(14,11),-0.803272 # DEPENDENCYPART_ARC
(14,12),-0.333439 # DEPENDENCYPART_ARC
(14,13),0.0925126 # DEPENDENCYPART_ARC
(14,15),3.52995 # DEPENDENCYPART_ARC
(14,16),0.786445 # DEPENDENCYPART_ARC
(14,17),0.0119063 # DEPENDENCYPART_ARC
(14,18),-3.20572 # DEPENDENCYPART_ARC
(14,19),-0.887073 # DEPENDENCYPART_ARC
(14,20),-5.44255 # DEPENDENCYPART_ARC
(14,21),-1.89114 # DEPENDENCYPART_ARC
(14,22),-1.48696 # DEPENDENCYPART_ARC
(14,23),-2.7702 # DEPENDENCYPART_ARC
(14,24),-3.16454 # DEPENDENCYPART_ARC
(14,25),-1.79787 # DEPENDENCYPART_ARC
(15,1),-2.24801 # DEPENDENCYPART_ARC
(15,3),-3.49262 # DEPENDENCYPART_ARC
(15,4),-1.62173 # DEPENDENCYPART_ARC
(15,5),-2.18846 # DEPENDENCYPART_ARC
(15,6),-1.95911 # DEPENDENCYPART_ARC
(15,10),-2.35048 # DEPENDENCYPART_ARC
(15,11),-0.720392 # DEPENDENCYPART_ARC
(15,12),0.684834 # DEPENDENCYPART_ARC
(15,13),-0.676895 # DEPENDENCYPART_ARC
(15,14),1.15101 # DEPENDENCYPART_ARC
(15,16),0.0304548 # DEPENDENCYPART_ARC
(15,17),0.0819523 # DEPENDENCYPART_ARC
(15,18),-1.35689 # DEPENDENCYPART_ARC
(15,19),0.0752127 # DEPENDENCYPART_ARC
(15,20),-1.75462 # DEPENDENCYPART_ARC
(15,21),-0.893952 # DEPENDENCYPART_ARC
(15,22),1.19574 # DEPENDENCYPART_ARC
(15,23),-2.9637 # DEPENDENCYPART_ARC
(15,24),-1.40853 # DEPENDENCYPART_ARC
(16,6),-1.91763 # DEPENDENCYPART_ARC
(16,13),-2.37813 # DEPENDENCYPART_ARC
(17,1),-1.24014 # DEPENDENCYPART_ARC
(17,2),-2.54648 # DEPENDENCYPART_ARC
(17,3),-1.37624 # DEPENDENCYPART_ARC
(17,4),-1.78069 # DEPENDENCYPART_ARC
(17,5),-1.49049 # DEPENDENCYPART_ARC
(17,6),-1.24942 # DEPENDENCYPART_ARC
(17,7),-0.881866 # DEPENDENCYPART_ARC
(17,8),-2.40395 # DEPENDENCYPART_ARC
(17,9),-1.72228 # DEPENDENCYPART_ARC
(17,10),-0.748481 # DEPENDENCYPART_ARC
(17,11),-1.10844 # DEPENDENCYPART_ARC
(17,12),-1.13293 # DEPENDENCYPART_ARC
(17,13),-1.55453 # DEPENDENCYPART_ARC
(17,14),-0.474518 # DEPENDENCYPART_ARC
(17,15),-1.01255 # DEPENDENCYPART_ARC
(17,16),2.19087 # DEPENDENCYPART_ARC
(17,18),-0.339956 # DEPENDENCYPART_ARC
(17,19),4.21391 # DEPENDENCYPART_ARC
(17,20),-0.694019 # DEPENDENCYPART_ARC
(17,21),-1.07034 # DEPENDENCYPART_ARC
(17,22),0.0519932 # DEPENDENCYPART_ARC
(17,23),-1.30211 # DEPENDENCYPART_ARC
(17,24),-0.950912 # DEPENDENCYPART_ARC
(17,25),0.229499 # DEPENDENCYPART_ARC
(18,4),-3.21344 # DEPENDENCYPART_ARC
(18,5),-2.87683 # DEPENDENCYPART_ARC
(18,11),-2.68858 # DEPENDENCYPART_ARC
(18,13),-2.78964 # DEPENDENCYPART_ARC
(18,14),-2.08719 # DEPENDENCYPART_ARC
(18,17),-0.030113 # DEPENDENCYPART_ARC
(18,21),-1.11306 # DEPENDENCYPART_ARC
(18,23),-1.7551 # DEPENDENCYPART_ARC
(18,24),-1.55509 # DEPENDENCYPART_ARC
(19,1),-1.49158 # DEPENDENCYPART_ARC
(19,3),-2.44242 # DEPENDENCYPART_ARC
(19,4),-0.92885 # DEPENDENCYPART_ARC
(19,5),-2.60943 # DEPENDENCYPART_ARC
(19,6),-1.42511 # DEPENDENCYPART_ARC
(19,10),-1.56087 # DEPENDENCYPART_ARC
(19,11),-0.416056 # DEPENDENCYPART_ARC
(19,12),-0.769107 # DEPENDENCYPART_ARC
(19,13),-1.05159 # DEPENDENCYPART_ARC
(19,14),-0.101246 # DEPENDENCYPART_ARC
