# _root_ Mas i Duran van anar ahir , per_separat , al festival de Justo_Molinero al recinte de Can_Zam de Santa_Coloma_de_Gramenet .
#goldHeads=5,1,1,5,0,5,8,5,8,5,10,11,12,5,14,15,16,15,18,5,
#predictedHeads=5,1,1,5,0,5,8,5,8,5,10,11,12,11,14,15,16,17,18,5,
(0,1),-6.78724 # DEPENDENCYPART_ARC
(0,3),-7.56362 # DEPENDENCYPART_ARC
(0,4),-3.82783 # DEPENDENCYPART_ARC
(0,5),-4.43973 # DEPENDENCYPART_ARC
(0,6),-8.46993 # DEPENDENCYPART_ARC
(0,8),-8.34957 # DEPENDENCYPART_ARC
(0,10),-8.11584 # DEPENDENCYPART_ARC
(0,11),-7.40318 # DEPENDENCYPART_ARC
(0,12),-8.47903 # DEPENDENCYPART_ARC
(0,13),-7.64817 # DEPENDENCYPART_ARC
(0,14),-8.92671 # DEPENDENCYPART_ARC
(0,15),-7.43322 # DEPENDENCYPART_ARC
(0,16),-9.23691 # DEPENDENCYPART_ARC
(0,17),-7.61136 # DEPENDENCYPART_ARC
(0,18),-9.64324 # DEPENDENCYPART_ARC
(0,19),-7.21474 # DEPENDENCYPART_ARC
(1,2),3.71966 # DEPENDENCYPART_ARC
(1,3),4.17264 # DEPENDENCYPART_ARC
(1,4),1.38624 # DEPENDENCYPART_ARC
(1,5),0.538285 # DEPENDENCYPART_ARC
(1,6),0.75151 # DEPENDENCYPART_ARC
(1,7),0.282064 # DEPENDENCYPART_ARC
(1,8),0.724041 # DEPENDENCYPART_ARC
(1,9),0.00844702 # DEPENDENCYPART_ARC
(1,10),-0.797754 # DEPENDENCYPART_ARC
(1,11),0.154069 # DEPENDENCYPART_ARC
(1,12),-1.14451 # DEPENDENCYPART_ARC
(1,13),-0.0505208 # DEPENDENCYPART_ARC
(1,14),-1.22317 # DEPENDENCYPART_ARC
(1,15),-0.103362 # DEPENDENCYPART_ARC
(1,16),-2.21377 # DEPENDENCYPART_ARC
(1,17),-0.182824 # DEPENDENCYPART_ARC
(1,18),-2.68975 # DEPENDENCYPART_ARC
(1,19),-0.249882 # DEPENDENCYPART_ARC
(1,20),1.88001 # DEPENDENCYPART_ARC
(2,1),-1.4135 # DEPENDENCYPART_ARC
(2,3),-0.107415 # DEPENDENCYPART_ARC
(2,7),-1.56084 # DEPENDENCYPART_ARC
(2,9),-1.45357 # DEPENDENCYPART_ARC
(2,13),-3.44855 # DEPENDENCYPART_ARC
(2,17),-4.02198 # DEPENDENCYPART_ARC
(2,19),-4.17875 # DEPENDENCYPART_ARC
(3,1),0.171365 # DEPENDENCYPART_ARC
(3,2),0.955298 # DEPENDENCYPART_ARC
(3,4),-0.926183 # DEPENDENCYPART_ARC
(3,5),-1.95209 # DEPENDENCYPART_ARC
(3,6),-1.54877 # DEPENDENCYPART_ARC
(3,7),-2.15381 # DEPENDENCYPART_ARC
(3,8),-1.88338 # DEPENDENCYPART_ARC
(3,9),-2.0357 # DEPENDENCYPART_ARC
(3,10),-3.63545 # DEPENDENCYPART_ARC
(3,11),-2.73578 # DEPENDENCYPART_ARC
(3,12),-3.78999 # DEPENDENCYPART_ARC
(3,13),-2.79287 # DEPENDENCYPART_ARC
(3,14),-4.0277 # DEPENDENCYPART_ARC
(3,15),-2.99348 # DEPENDENCYPART_ARC
(3,16),-4.95943 # DEPENDENCYPART_ARC
(3,17),-3.04235 # DEPENDENCYPART_ARC
(3,18),-5.48587 # DEPENDENCYPART_ARC
(3,19),-2.84397 # DEPENDENCYPART_ARC
(3,20),-1.39442 # DEPENDENCYPART_ARC
(4,1),-0.962707 # DEPENDENCYPART_ARC
(4,2),-1.73269 # DEPENDENCYPART_ARC
(4,3),-0.51665 # DEPENDENCYPART_ARC
(4,5),0.512105 # DEPENDENCYPART_ARC
(4,6),0.133771 # DEPENDENCYPART_ARC
(4,7),-0.962371 # DEPENDENCYPART_ARC
(4,8),-1.09938 # DEPENDENCYPART_ARC
(4,9),-1.88291 # DEPENDENCYPART_ARC
(4,10),-1.03964 # DEPENDENCYPART_ARC
(4,11),-2.6882 # DEPENDENCYPART_ARC
(4,12),-2.72763 # DEPENDENCYPART_ARC
(4,13),-2.52648 # DEPENDENCYPART_ARC
(4,14),-1.23275 # DEPENDENCYPART_ARC
(4,15),-2.79181 # DEPENDENCYPART_ARC
(4,16),-2.98501 # DEPENDENCYPART_ARC
(4,17),-2.61013 # DEPENDENCYPART_ARC
(4,18),-3.06952 # DEPENDENCYPART_ARC
(4,19),-2.64745 # DEPENDENCYPART_ARC
(4,20),0.411087 # DEPENDENCYPART_ARC
(5,1),2.30616 # DEPENDENCYPART_ARC
(5,2),0.198498 # DEPENDENCYPART_ARC
(5,3),2.22197 # DEPENDENCYPART_ARC
(5,4),5.79519 # DEPENDENCYPART_ARC
(5,6),3.61476 # DEPENDENCYPART_ARC
(5,7),1.1987 # DEPENDENCYPART_ARC
(5,8),1.47265 # DEPENDENCYPART_ARC
(5,9),0.19424 # DEPENDENCYPART_ARC
(5,10),2.0697 # DEPENDENCYPART_ARC
(5,11),0.376777 # DEPENDENCYPART_ARC
(5,12),-0.0549048 # DEPENDENCYPART_ARC
(5,13),-0.224573 # DEPENDENCYPART_ARC
(5,14),1.49687 # DEPENDENCYPART_ARC
(5,15),0.152694 # DEPENDENCYPART_ARC
(5,16),-0.404297 # DEPENDENCYPART_ARC
(5,17),-0.228364 # DEPENDENCYPART_ARC
(5,18),-0.58554 # DEPENDENCYPART_ARC
(5,19),-0.106607 # DEPENDENCYPART_ARC
(5,20),3.63485 # DEPENDENCYPART_ARC
(6,1),-0.990785 # DEPENDENCYPART_ARC
(6,2),-0.428818 # DEPENDENCYPART_ARC
(6,3),-0.738984 # DEPENDENCYPART_ARC
(6,4),-0.105622 # DEPENDENCYPART_ARC
(6,5),0.83873 # DEPENDENCYPART_ARC
(6,7),0.872178 # DEPENDENCYPART_ARC
(6,8),0.00485724 # DEPENDENCYPART_ARC
(6,9),0.0744204 # DEPENDENCYPART_ARC
(6,10),-0.748928 # DEPENDENCYPART_ARC
(6,11),-1.03849 # DEPENDENCYPART_ARC
(6,12),-1.06398 # DEPENDENCYPART_ARC
(6,13),-1.39799 # DEPENDENCYPART_ARC
(6,14),-1.53715 # DEPENDENCYPART_ARC
(6,15),-1.49399 # DEPENDENCYPART_ARC
(6,16),-1.7136 # DEPENDENCYPART_ARC
(6,17),-1.58489 # DEPENDENCYPART_ARC
(6,18),-2.07574 # DEPENDENCYPART_ARC
(6,19),-1.24852 # DEPENDENCYPART_ARC
(6,20),-2.62185 # DEPENDENCYPART_ARC
(7,9),-0.727028 # DEPENDENCYPART_ARC
(7,11),-1.30841 # DEPENDENCYPART_ARC
(7,15),-1.69287 # DEPENDENCYPART_ARC
(8,1),-1.73799 # DEPENDENCYPART_ARC
(8,2),-1.01036 # DEPENDENCYPART_ARC
(8,3),-1.79887 # DEPENDENCYPART_ARC
(8,4),-1.44741 # DEPENDENCYPART_ARC
(8,5),-1.04403 # DEPENDENCYPART_ARC
(8,6),-0.0309487 # DEPENDENCYPART_ARC
(8,7),2.6868 # DEPENDENCYPART_ARC
(8,9),3.20932 # DEPENDENCYPART_ARC
(8,10),-0.327512 # DEPENDENCYPART_ARC
(8,11),-0.624017 # DEPENDENCYPART_ARC
(8,12),-0.75085 # DEPENDENCYPART_ARC
