# _root_ No els en deixa passar ni una i , si hi ha dubtes sobre la sonoritat d' una nota , fa que la repeteixin tots .
#goldHeads=5,5,5,5,0,7,5,5,12,12,12,21,12,13,16,14,16,19,17,12,5,24,24,21,24,5,
#predictedHeads=5,5,5,5,0,7,5,7,12,12,12,7,12,13,16,14,16,19,17,12,19,24,24,21,24,5,
(0,1),-6.31222 # DEPENDENCYPART_ARC
(0,2),-5.60854 # DEPENDENCYPART_ARC
(0,3),-6.22264 # DEPENDENCYPART_ARC
(0,4),-2.85169 # DEPENDENCYPART_ARC
(0,5),-3.89301 # DEPENDENCYPART_ARC
(0,6),-7.57389 # DEPENDENCYPART_ARC
(0,7),-7.3584 # DEPENDENCYPART_ARC
(0,8),-7.54823 # DEPENDENCYPART_ARC
(0,9),-7.22523 # DEPENDENCYPART_ARC
(0,10),-6.938 # DEPENDENCYPART_ARC
(0,11),-6.52025 # DEPENDENCYPART_ARC
(0,12),-4.24242 # DEPENDENCYPART_ARC
(0,13),-7.1276 # DEPENDENCYPART_ARC
(0,14),-6.31987 # DEPENDENCYPART_ARC
(0,15),-9.56233 # DEPENDENCYPART_ARC
(0,16),-7.37818 # DEPENDENCYPART_ARC
(0,17),-7.6742 # DEPENDENCYPART_ARC
(0,18),-9.75853 # DEPENDENCYPART_ARC
(0,19),-7.02288 # DEPENDENCYPART_ARC
(0,20),-8.01117 # DEPENDENCYPART_ARC
(0,21),-4.75481 # DEPENDENCYPART_ARC
(0,22),-7.42996 # DEPENDENCYPART_ARC
(0,23),-6.9308 # DEPENDENCYPART_ARC
(0,24),-8.60487 # DEPENDENCYPART_ARC
(0,25),-6.84645 # DEPENDENCYPART_ARC
(0,26),-8.39647 # DEPENDENCYPART_ARC
(1,2),-0.0989499 # DEPENDENCYPART_ARC
(1,3),-0.876978 # DEPENDENCYPART_ARC
(1,4),-0.374108 # DEPENDENCYPART_ARC
(1,5),-1.41996 # DEPENDENCYPART_ARC
(1,6),-2.06265 # DEPENDENCYPART_ARC
(1,7),-2.16427 # DEPENDENCYPART_ARC
(1,8),-1.2038 # DEPENDENCYPART_ARC
(1,9),-0.170837 # DEPENDENCYPART_ARC
(1,10),-1.62906 # DEPENDENCYPART_ARC
(1,11),-1.98796 # DEPENDENCYPART_ARC
(1,12),-2.26516 # DEPENDENCYPART_ARC
(1,13),-3.1492 # DEPENDENCYPART_ARC
(1,14),-2.54857 # DEPENDENCYPART_ARC
(1,15),-2.83597 # DEPENDENCYPART_ARC
(1,16),-3.31925 # DEPENDENCYPART_ARC
(1,17),-2.73046 # DEPENDENCYPART_ARC
