# _root_ En aquesta ocasió es va dir que , a_causa_dels temporals , no hi havia pressupost per tirar_endavant aquest projecte .
#goldHeads=6,3,1,6,6,0,14,9,14,9,9,14,14,6,14,15,16,19,17,6,
#predictedHeads=6,3,1,6,6,0,14,9,14,9,9,14,14,6,14,14,16,19,17,6,
(0,1),-7.44216 # DEPENDENCYPART_ARC
(0,2),-8.15522 # DEPENDENCYPART_ARC
(0,3),-5.3294 # DEPENDENCYPART_ARC
(0,4),-6.47015 # DEPENDENCYPART_ARC
(0,5),-3.32459 # DEPENDENCYPART_ARC
(0,6),-3.22855 # DEPENDENCYPART_ARC
(0,7),-7.2068 # DEPENDENCYPART_ARC
(0,8),-7.52429 # DEPENDENCYPART_ARC
(0,9),-7.84678 # DEPENDENCYPART_ARC
(0,10),-6.38695 # DEPENDENCYPART_ARC
(0,11),-7.66568 # DEPENDENCYPART_ARC
(0,12),-7.28828 # DEPENDENCYPART_ARC
(0,13),-6.35425 # DEPENDENCYPART_ARC
(0,14),-3.97378 # DEPENDENCYPART_ARC
(0,15),-6.75051 # DEPENDENCYPART_ARC
(0,16),-7.60761 # DEPENDENCYPART_ARC
(0,17),-5.29162 # DEPENDENCYPART_ARC
(0,18),-9.69886 # DEPENDENCYPART_ARC
(0,19),-6.33299 # DEPENDENCYPART_ARC
(0,20),-8.27056 # DEPENDENCYPART_ARC
(1,2),0.678795 # DEPENDENCYPART_ARC
(1,3),5.18586 # DEPENDENCYPART_ARC
(1,4),-0.086136 # DEPENDENCYPART_ARC
(1,5),0.966714 # DEPENDENCYPART_ARC
(1,6),0.632828 # DEPENDENCYPART_ARC
(1,7),-0.318601 # DEPENDENCYPART_ARC
(1,8),1.11514 # DEPENDENCYPART_ARC
(1,9),-0.666963 # DEPENDENCYPART_ARC
(1,10),-2.69585 # DEPENDENCYPART_ARC
(1,11),1.21361 # DEPENDENCYPART_ARC
(1,12),-1.13159 # DEPENDENCYPART_ARC
(1,13),-2.39627 # DEPENDENCYPART_ARC
(1,14),-2.44999 # DEPENDENCYPART_ARC
(1,15),-7.55777 # DEPENDENCYPART_ARC
(1,16),-2.85514 # DEPENDENCYPART_ARC
(1,17),-2.68533 # DEPENDENCYPART_ARC
(1,18),-2.21193 # DEPENDENCYPART_ARC
(1,19),-9.1688 # DEPENDENCYPART_ARC
(1,20),0.875706 # DEPENDENCYPART_ARC
(2,1),-1.31435 # DEPENDENCYPART_ARC
(2,3),1.2248 # DEPENDENCYPART_ARC
(2,4),-0.199385 # DEPENDENCYPART_ARC
(2,5),-1.70154 # DEPENDENCYPART_ARC
(2,6),-1.74354 # DEPENDENCYPART_ARC
(2,7),-1.47757 # DEPENDENCYPART_ARC
(2,8),-2.26083 # DEPENDENCYPART_ARC
(2,9),-2.46759 # DEPENDENCYPART_ARC
(2,10),-3.95446 # DEPENDENCYPART_ARC
(2,11),-2.81116 # DEPENDENCYPART_ARC
(2,12),-2.70194 # DEPENDENCYPART_ARC
(2,13),-4.04531 # DEPENDENCYPART_ARC
(2,14),-3.57496 # DEPENDENCYPART_ARC
(2,15),-3.10065 # DEPENDENCYPART_ARC
(2,16),-4.55362 # DEPENDENCYPART_ARC
(2,17),-3.24143 # DEPENDENCYPART_ARC
(2,18),-4.37097 # DEPENDENCYPART_ARC
(2,19),-4.11067 # DEPENDENCYPART_ARC
(2,20),-3.25913 # DEPENDENCYPART_ARC
(3,1),0.119163 # DEPENDENCYPART_ARC
(3,2),4.10092 # DEPENDENCYPART_ARC
(3,4),-1.12795 # DEPENDENCYPART_ARC
(3,5),-0.567031 # DEPENDENCYPART_ARC
(3,6),-0.964638 # DEPENDENCYPART_ARC
(3,7),-4.59651 # DEPENDENCYPART_ARC
(3,8),-4.19664 # DEPENDENCYPART_ARC
(3,9),-3.65079 # DEPENDENCYPART_ARC
(3,10),-4.37578 # DEPENDENCYPART_ARC
(3,11),-3.671 # DEPENDENCYPART_ARC
(3,12),-4.17061 # DEPENDENCYPART_ARC
(3,13),-6.47914 # DEPENDENCYPART_ARC
(3,14),-3.62525 # DEPENDENCYPART_ARC
(3,15),-5.17349 # DEPENDENCYPART_ARC
(3,16),-4.05414 # DEPENDENCYPART_ARC
(3,17),-4.25205 # DEPENDENCYPART_ARC
(3,18),-5.6969 # DEPENDENCYPART_ARC
(3,19),-4.6334 # DEPENDENCYPART_ARC
(3,20),-0.930303 # DEPENDENCYPART_ARC
(4,1),-0.0534936 # DEPENDENCYPART_ARC
(4,2),0.57364 # DEPENDENCYPART_ARC
(4,3),-0.43162 # DEPENDENCYPART_ARC
(4,5),0.358455 # DEPENDENCYPART_ARC
(4,6),-0.760243 # DEPENDENCYPART_ARC
(4,7),-0.795266 # DEPENDENCYPART_ARC
(4,8),-1.28379 # DEPENDENCYPART_ARC
(4,9),-1.65788 # DEPENDENCYPART_ARC
(4,10),-1.18797 # DEPENDENCYPART_ARC
(4,11),-1.62915 # DEPENDENCYPART_ARC
