# _root_ El Congrés s' havia plantejat de consens a l' entorn_de Preses , que ha iniciat el tercer mandat al_capdavant_de Comissions , si_bé una hora abans d' acabar -se el termini Àngel_González ha presentat la_seva candidatura .
#goldHeads=2,5,5,5,0,5,6,7,10,8,10,15,15,15,11,18,18,15,15,19,15,33,24,25,33,25,26,27,30,27,33,33,5,35,33,5,
#predictedHeads=2,5,5,5,0,5,6,5,10,8,10,15,15,15,11,18,18,15,15,19,33,33,24,25,15,25,26,27,30,33,30,33,15,35,33,15,
(0,2),-6.4054 # DEPENDENCYPART_ARC
(0,4),-3.96462 # DEPENDENCYPART_ARC
(0,5),-3.15328 # DEPENDENCYPART_ARC
(0,6),-7.73465 # DEPENDENCYPART_ARC
(0,7),-7.97548 # DEPENDENCYPART_ARC
(0,8),-8.65517 # DEPENDENCYPART_ARC
(0,10),-8.0891 # DEPENDENCYPART_ARC
(0,11),-7.50885 # DEPENDENCYPART_ARC
(0,14),-2.87427 # DEPENDENCYPART_ARC
(0,15),-4.57687 # DEPENDENCYPART_ARC
(0,18),-8.30121 # DEPENDENCYPART_ARC
(0,19),-8.38443 # DEPENDENCYPART_ARC
(0,20),-7.71158 # DEPENDENCYPART_ARC
(0,22),-8.1791 # DEPENDENCYPART_ARC
(0,24),-8.11132 # DEPENDENCYPART_ARC
(0,25),-9.85592 # DEPENDENCYPART_ARC
(0,26),-9.04854 # DEPENDENCYPART_ARC
(0,27),-7.50917 # DEPENDENCYPART_ARC
(0,30),-8.49009 # DEPENDENCYPART_ARC
(0,31),-8.71263 # DEPENDENCYPART_ARC
(0,32),-3.24685 # DEPENDENCYPART_ARC
(0,33),-3.95284 # DEPENDENCYPART_ARC
(0,35),-8.42154 # DEPENDENCYPART_ARC
(1,2),-0.617948 # DEPENDENCYPART_ARC
(1,6),-2.03255 # DEPENDENCYPART_ARC
(1,7),-3.34783 # DEPENDENCYPART_ARC
(1,8),-4.18784 # DEPENDENCYPART_ARC
(1,9),-4.08581 # DEPENDENCYPART_ARC
(1,10),-3.73112 # DEPENDENCYPART_ARC
(1,11),-4.63381 # DEPENDENCYPART_ARC
(1,13),-4.94368 # DEPENDENCYPART_ARC
(1,16),-6.26335 # DEPENDENCYPART_ARC
(1,17),-3.83638 # DEPENDENCYPART_ARC
(1,18),-4.60143 # DEPENDENCYPART_ARC
(1,19),-4.68922 # DEPENDENCYPART_ARC
(1,20),-5.57346 # DEPENDENCYPART_ARC
(1,23),-7.91413 # DEPENDENCYPART_ARC
(1,24),-5.4549 # DEPENDENCYPART_ARC
(1,25),-4.14986 # DEPENDENCYPART_ARC
(1,26),-5.93018 # DEPENDENCYPART_ARC
(1,29),-9.39089 # DEPENDENCYPART_ARC
(1,30),-6.23235 # DEPENDENCYPART_ARC
(1,31),-6.2384 # DEPENDENCYPART_ARC
(1,34),-10.44 # DEPENDENCYPART_ARC
(1,35),-7.11563 # DEPENDENCYPART_ARC
(2,1),3.5714 # DEPENDENCYPART_ARC
(2,4),0.121665 # DEPENDENCYPART_ARC
(2,5),0.273847 # DEPENDENCYPART_ARC
(2,6),-2.33959 # DEPENDENCYPART_ARC
(2,7),-2.74485 # DEPENDENCYPART_ARC
(2,8),-2.44346 # DEPENDENCYPART_ARC
(2,9),-3.83997 # DEPENDENCYPART_ARC
(2,10),-3.19722 # DEPENDENCYPART_ARC
(2,11),-3.0407 # DEPENDENCYPART_ARC
(2,12),-3.22816 # DEPENDENCYPART_ARC
(2,13),-4.29741 # DEPENDENCYPART_ARC
(2,14),-2.60244 # DEPENDENCYPART_ARC
(2,15),-1.67041 # DEPENDENCYPART_ARC
(2,16),-4.53328 # DEPENDENCYPART_ARC
(2,17),-3.17267 # DEPENDENCYPART_ARC
(2,18),-3.93723 # DEPENDENCYPART_ARC
