# _root_ El conductor del turisme , Antonio_R._S de 51 anys i veí de L'_Escala , ha resultat mort .
#goldHeads=2,16,2,3,6,2,11,9,7,11,6,11,12,6,16,0,16,16,
#predictedHeads=2,16,2,3,6,4,6,9,7,4,4,11,12,2,16,0,16,16,
(0,1),-8.05641 # DEPENDENCYPART_ARC
(0,2),-6.9402 # DEPENDENCYPART_ARC
(0,3),-7.77432 # DEPENDENCYPART_ARC
(0,4),-6.62128 # DEPENDENCYPART_ARC
(0,5),-7.69942 # DEPENDENCYPART_ARC
(0,6),-7.27956 # DEPENDENCYPART_ARC
(0,7),-8.08924 # DEPENDENCYPART_ARC
(0,8),-7.48432 # DEPENDENCYPART_ARC
(0,9),-7.16624 # DEPENDENCYPART_ARC
(0,10),-7.40303 # DEPENDENCYPART_ARC
(0,11),-7.30748 # DEPENDENCYPART_ARC
(0,12),-8.40599 # DEPENDENCYPART_ARC
(0,13),-7.0027 # DEPENDENCYPART_ARC
(0,14),-7.85027 # DEPENDENCYPART_ARC
(0,15),-1.95555 # DEPENDENCYPART_ARC
(0,16),-3.04865 # DEPENDENCYPART_ARC
(0,17),-8.93306 # DEPENDENCYPART_ARC
(0,18),-8.377 # DEPENDENCYPART_ARC
(1,2),1.10933 # DEPENDENCYPART_ARC
(1,3),0.253247 # DEPENDENCYPART_ARC
(1,4),-1.79606 # DEPENDENCYPART_ARC
(1,5),-1.81379 # DEPENDENCYPART_ARC
(1,6),-1.98854 # DEPENDENCYPART_ARC
(1,7),-1.46117 # DEPENDENCYPART_ARC
(1,8),-0.991216 # DEPENDENCYPART_ARC
(1,9),-3.5593 # DEPENDENCYPART_ARC
(1,10),-2.19454 # DEPENDENCYPART_ARC
(1,11),-2.63466 # DEPENDENCYPART_ARC
(1,12),-2.20598 # DEPENDENCYPART_ARC
(1,13),-3.7667 # DEPENDENCYPART_ARC
(1,14),-3.25824 # DEPENDENCYPART_ARC
(1,15),-3.29176 # DEPENDENCYPART_ARC
(1,16),-3.46806 # DEPENDENCYPART_ARC
(1,17),-3.68826 # DEPENDENCYPART_ARC
(1,18),-3.30383 # DEPENDENCYPART_ARC
(2,1),4.51105 # DEPENDENCYPART_ARC
(2,3),3.96472 # DEPENDENCYPART_ARC
(2,4),1.82767 # DEPENDENCYPART_ARC
(2,5),1.59799 # DEPENDENCYPART_ARC
(2,6),1.98185 # DEPENDENCYPART_ARC
(2,7),2.49661 # DEPENDENCYPART_ARC
(2,8),0.132292 # DEPENDENCYPART_ARC
(2,9),1.60073 # DEPENDENCYPART_ARC
(2,10),2.36566 # DEPENDENCYPART_ARC
(2,11),2.22809 # DEPENDENCYPART_ARC
(2,12),1.94448 # DEPENDENCYPART_ARC
(2,13),1.56315 # DEPENDENCYPART_ARC
(2,14),1.97709 # DEPENDENCYPART_ARC
(2,15),-0.768905 # DEPENDENCYPART_ARC
(2,16),-0.121411 # DEPENDENCYPART_ARC
(2,17),-0.0485403 # DEPENDENCYPART_ARC
(2,18),1.74637 # DEPENDENCYPART_ARC
(3,1),0.630796 # DEPENDENCYPART_ARC
(3,2),-0.0123086 # DEPENDENCYPART_ARC
(3,4),4.79191 # DEPENDENCYPART_ARC
(3,5),0.738705 # DEPENDENCYPART_ARC
(3,6),0.198165 # DEPENDENCYPART_ARC
(3,7),-0.245997 # DEPENDENCYPART_ARC
(3,8),-1.2045 # DEPENDENCYPART_ARC
(3,9),-2.01452 # DEPENDENCYPART_ARC
(3,10),0.643775 # DEPENDENCYPART_ARC
(3,11),-4.05859 # DEPENDENCYPART_ARC
(3,12),0.17999 # DEPENDENCYPART_ARC
(3,13),-4.97454 # DEPENDENCYPART_ARC
(3,14),-0.39653 # DEPENDENCYPART_ARC
(3,15),-3.4458 # DEPENDENCYPART_ARC
(3,16),-2.89216 # DEPENDENCYPART_ARC
