# _root_ Una de les víctimes , xofer , va morir dins d' una limusina .
#goldHeads=9,1,4,2,6,1,6,9,0,9,10,13,11,9,
#predictedHeads=9,1,4,2,6,1,6,9,0,9,10,13,11,9,
(0,1),-6.31722 # DEPENDENCYPART_ARC
(0,2),-7.40023 # DEPENDENCYPART_ARC
(0,4),-6.75064 # DEPENDENCYPART_ARC
(0,6),-6.50114 # DEPENDENCYPART_ARC
(0,8),-2.7236 # DEPENDENCYPART_ARC
(0,9),-3.67331 # DEPENDENCYPART_ARC
(0,10),-8.53197 # DEPENDENCYPART_ARC
(0,11),-7.77457 # DEPENDENCYPART_ARC
(0,13),-6.63904 # DEPENDENCYPART_ARC
(1,2),4.08542 # DEPENDENCYPART_ARC
(1,3),0.742179 # DEPENDENCYPART_ARC
(1,4),2.6932 # DEPENDENCYPART_ARC
(1,5),1.72008 # DEPENDENCYPART_ARC
(1,6),2.31751 # DEPENDENCYPART_ARC
(1,7),1.89146 # DEPENDENCYPART_ARC
(1,8),2.25033 # DEPENDENCYPART_ARC
(1,9),1.03664 # DEPENDENCYPART_ARC
(1,10),0.0927227 # DEPENDENCYPART_ARC
(1,11),0.143939 # DEPENDENCYPART_ARC
(1,12),-1.16995 # DEPENDENCYPART_ARC
(1,13),0.665468 # DEPENDENCYPART_ARC
(1,14),1.93736 # DEPENDENCYPART_ARC
(2,1),0.0717307 # DEPENDENCYPART_ARC
(2,3),0.602811 # DEPENDENCYPART_ARC
(2,4),5.45938 # DEPENDENCYPART_ARC
(2,5),0.588032 # DEPENDENCYPART_ARC
(2,6),1.00294 # DEPENDENCYPART_ARC
(2,7),0.0129869 # DEPENDENCYPART_ARC
(2,8),-1.55611 # DEPENDENCYPART_ARC
(2,9),-1.29493 # DEPENDENCYPART_ARC
(2,10),-0.80885 # DEPENDENCYPART_ARC
(2,11),-0.160267 # DEPENDENCYPART_ARC
(2,12),-2.57971 # DEPENDENCYPART_ARC
(2,13),-2.472 # DEPENDENCYPART_ARC
(2,14),-1.0894 # DEPENDENCYPART_ARC
(3,1),-0.533016 # DEPENDENCYPART_ARC
(3,2),0.344386 # DEPENDENCYPART_ARC
(3,4),0.559215 # DEPENDENCYPART_ARC
(3,6),-2.68377 # DEPENDENCYPART_ARC
(3,10),-2.62856 # DEPENDENCYPART_ARC
(3,11),-3.50003 # DEPENDENCYPART_ARC
(3,12),-3.21272 # DEPENDENCYPART_ARC
(3,13),-3.82735 # DEPENDENCYPART_ARC
(4,1),-2.62433 # DEPENDENCYPART_ARC
(4,2),-0.957402 # DEPENDENCYPART_ARC
(4,3),3.71913 # DEPENDENCYPART_ARC
(4,5),0.41904 # DEPENDENCYPART_ARC
(4,6),1.23361 # DEPENDENCYPART_ARC
(4,7),0.114689 # DEPENDENCYPART_ARC
(4,8),0.224839 # DEPENDENCYPART_ARC
(4,9),0.344639 # DEPENDENCYPART_ARC
(4,10),-0.954465 # DEPENDENCYPART_ARC
(4,11),-1.10256 # DEPENDENCYPART_ARC
(4,12),-2.88347 # DEPENDENCYPART_ARC
(4,13),-0.549151 # DEPENDENCYPART_ARC
(4,14),0.0400517 # DEPENDENCYPART_ARC
(5,4),-1.55466 # DEPENDENCYPART_ARC
(5,6),-0.906126 # DEPENDENCYPART_ARC
(5,7),-1.5425 # DEPENDENCYPART_ARC
(5,13),-2.79057 # DEPENDENCYPART_ARC
(6,1),-1.33191 # DEPENDENCYPART_ARC
(6,2),0.217148 # DEPENDENCYPART_ARC
(6,3),0.163396 # DEPENDENCYPART_ARC
