# _root_ En la fase final del premi , que es desenvoluparà entre el 7_de_juny i el 2_de_juliol , els equips disposaran de tres milions de pessetes reals cadascun que podran invertir .
#goldHeads=20,3,1,3,3,5,10,10,10,3,13,13,10,13,16,13,10,19,20,0,20,23,21,23,24,23,20,30,30,23,20,
#predictedHeads=20,3,1,3,3,5,1,10,10,6,13,13,10,13,16,13,16,19,20,0,20,23,21,23,24,23,30,30,30,23,10,
(0,1),-7.72506 # DEPENDENCYPART_ARC
(0,3),-6.15977 # DEPENDENCYPART_ARC
(0,4),-7.79263 # DEPENDENCYPART_ARC
(0,5),-8.38922 # DEPENDENCYPART_ARC
(0,6),-6.12459 # DEPENDENCYPART_ARC
(0,10),-3.36651 # DEPENDENCYPART_ARC
(0,11),-7.77055 # DEPENDENCYPART_ARC
(0,13),-8.08948 # DEPENDENCYPART_ARC
(0,16),-8.13104 # DEPENDENCYPART_ARC
(0,19),-7.40537 # DEPENDENCYPART_ARC
(0,20),-3.17619 # DEPENDENCYPART_ARC
(0,21),-9.21092 # DEPENDENCYPART_ARC
(0,23),-7.93736 # DEPENDENCYPART_ARC
(0,24),-9.80801 # DEPENDENCYPART_ARC
(0,25),-7.9396 # DEPENDENCYPART_ARC
(0,26),-8.03311 # DEPENDENCYPART_ARC
(0,27),-7.35816 # DEPENDENCYPART_ARC
(0,29),-6.03959 # DEPENDENCYPART_ARC
(0,30),-7.24289 # DEPENDENCYPART_ARC
(1,2),0.0950503 # DEPENDENCYPART_ARC
(1,3),4.89752 # DEPENDENCYPART_ARC
(1,4),0.29235 # DEPENDENCYPART_ARC
(1,5),-0.732366 # DEPENDENCYPART_ARC
(1,6),1.06078 # DEPENDENCYPART_ARC
(1,7),2.47555 # DEPENDENCYPART_ARC
(1,8),-1.60965 # DEPENDENCYPART_ARC
(1,9),-2.37196 # DEPENDENCYPART_ARC
(1,10),-0.644269 # DEPENDENCYPART_ARC
(1,11),-1.40821 # DEPENDENCYPART_ARC
(1,12),-2.96851 # DEPENDENCYPART_ARC
