# _root_ A_través_d' aquest programa , que pretén promoure els intercanvis i la cooperació entre França i l' estat espanyol , les dues cambres de comerç volen fomentar l' intercanvi entre empreses catalanes i franceses .
#goldHeads=26,3,1,6,6,3,6,9,7,9,12,9,9,13,14,17,14,17,6,22,20,26,22,23,26,0,28,26,28,29,30,31,31,26,
#predictedHeads=6,3,1,1,6,0,6,9,7,9,12,9,9,13,12,17,14,17,9,22,20,25,22,23,7,25,28,26,9,29,30,31,31,6,
(0,1),-7.46399 # DEPENDENCYPART_ARC
(0,2),-8.50112 # DEPENDENCYPART_ARC
(0,3),-5.77204 # DEPENDENCYPART_ARC
(0,4),-7.46104 # DEPENDENCYPART_ARC
(0,5),-6.79251 # DEPENDENCYPART_ARC
(0,6),-2.24903 # DEPENDENCYPART_ARC
(0,7),-3.82468 # DEPENDENCYPART_ARC
(0,8),-9.39394 # DEPENDENCYPART_ARC
(0,9),-7.34178 # DEPENDENCYPART_ARC
(0,10),-7.66651 # DEPENDENCYPART_ARC
(0,11),-9.54381 # DEPENDENCYPART_ARC
(0,12),-7.52967 # DEPENDENCYPART_ARC
(0,13),-7.81824 # DEPENDENCYPART_ARC
(0,14),-7.97657 # DEPENDENCYPART_ARC
(0,15),-7.5762 # DEPENDENCYPART_ARC
(0,16),-9.63501 # DEPENDENCYPART_ARC
(0,17),-8.31105 # DEPENDENCYPART_ARC
(0,18),-7.92065 # DEPENDENCYPART_ARC
(0,19),-8.30859 # DEPENDENCYPART_ARC
(0,20),-9.27499 # DEPENDENCYPART_ARC
(0,21),-9.51598 # DEPENDENCYPART_ARC
(0,22),-8.63513 # DEPENDENCYPART_ARC
(0,23),-9.75914 # DEPENDENCYPART_ARC
(0,24),-8.81879 # DEPENDENCYPART_ARC
(0,25),-2.99915 # DEPENDENCYPART_ARC
(0,26),-4.52401 # DEPENDENCYPART_ARC
(0,27),-10.1738 # DEPENDENCYPART_ARC
(0,28),-8.93878 # DEPENDENCYPART_ARC
(0,29),-9.20409 # DEPENDENCYPART_ARC
(0,30),-9.25383 # DEPENDENCYPART_ARC
(0,31),-7.51403 # DEPENDENCYPART_ARC
(0,32),-8.73102 # DEPENDENCYPART_ARC
(0,33),-7.43367 # DEPENDENCYPART_ARC
(0,34),-9.7568 # DEPENDENCYPART_ARC
(1,2),0.586002 # DEPENDENCYPART_ARC
(1,3),4.72746 # DEPENDENCYPART_ARC
(1,4),3.28306 # DEPENDENCYPART_ARC
(1,5),0.106409 # DEPENDENCYPART_ARC
(1,6),0.855298 # DEPENDENCYPART_ARC
(1,7),0.0454988 # DEPENDENCYPART_ARC
(1,8),-1.93814 # DEPENDENCYPART_ARC
(1,9),-2.45454 # DEPENDENCYPART_ARC
(1,10),0.666619 # DEPENDENCYPART_ARC
(1,11),-1.60214 # DEPENDENCYPART_ARC
(1,12),-4.82092 # DEPENDENCYPART_ARC
(1,13),-1.37659 # DEPENDENCYPART_ARC
(1,14),-6.60867 # DEPENDENCYPART_ARC
(1,15),0.483874 # DEPENDENCYPART_ARC
(1,16),-0.911937 # DEPENDENCYPART_ARC
(1,17),-7.72394 # DEPENDENCYPART_ARC
(1,18),-2.33772 # DEPENDENCYPART_ARC
(1,19),0.357992 # DEPENDENCYPART_ARC
(1,20),-1.52464 # DEPENDENCYPART_ARC
(1,21),-0.918865 # DEPENDENCYPART_ARC
(1,22),-11.3755 # DEPENDENCYPART_ARC
(1,23),-1.95539 # DEPENDENCYPART_ARC
(1,24),-12.4926 # DEPENDENCYPART_ARC
(1,25),-3.31841 # DEPENDENCYPART_ARC
(1,26),-3.69071 # DEPENDENCYPART_ARC
(1,27),-1.03849 # DEPENDENCYPART_ARC
(1,28),-15.3668 # DEPENDENCYPART_ARC
(1,29),-3.77047 # DEPENDENCYPART_ARC
(1,30),-15.9578 # DEPENDENCYPART_ARC
(1,31),-3.48656 # DEPENDENCYPART_ARC
(1,32),-0.0617885 # DEPENDENCYPART_ARC
(1,33),-3.83021 # DEPENDENCYPART_ARC
(1,34),1.66052 # DEPENDENCYPART_ARC
(2,1),0.221535 # DEPENDENCYPART_ARC
(2,3),0.90954 # DEPENDENCYPART_ARC
(2,4),-1.09936 # DEPENDENCYPART_ARC
(2,5),-2.21337 # DEPENDENCYPART_ARC
(2,6),-1.92983 # DEPENDENCYPART_ARC
(2,7),-1.88108 # DEPENDENCYPART_ARC
(2,8),-2.04819 # DEPENDENCYPART_ARC
(2,9),-3.04643 # DEPENDENCYPART_ARC
(2,10),-2.02748 # DEPENDENCYPART_ARC
(2,11),-2.6528 # DEPENDENCYPART_ARC
(2,12),-1.90115 # DEPENDENCYPART_ARC
(2,13),-3.28482 # DEPENDENCYPART_ARC
(2,14),-3.52049 # DEPENDENCYPART_ARC
(2,15),-2.51048 # DEPENDENCYPART_ARC
(2,16),-3.10232 # DEPENDENCYPART_ARC
(2,17),-3.28403 # DEPENDENCYPART_ARC
(2,18),-2.80014 # DEPENDENCYPART_ARC
(2,19),-3.22739 # DEPENDENCYPART_ARC
(2,20),-4.87695 # DEPENDENCYPART_ARC
(2,21),-3.31321 # DEPENDENCYPART_ARC
(2,22),-3.55198 # DEPENDENCYPART_ARC
(2,23),-3.79611 # DEPENDENCYPART_ARC
