# _root_ A_partir_de dilluns_,_dia_5 , també es podrà adquirir a les llibreries de la Generalitat a un preu de 2.500 pessetes .
#goldHeads=7,1,1,7,7,7,0,7,10,8,10,13,11,7,16,14,16,19,17,7,
#predictedHeads=7,1,1,7,7,7,0,7,10,8,10,13,11,7,16,14,16,19,17,7,
(0,1),-7.15176 # DEPENDENCYPART_ARC
(0,2),-6.52638 # DEPENDENCYPART_ARC
(0,4),-7.23072 # DEPENDENCYPART_ARC
(0,6),-3.37517 # DEPENDENCYPART_ARC
(0,7),-3.75712 # DEPENDENCYPART_ARC
(0,8),-7.77427 # DEPENDENCYPART_ARC
(0,10),-6.76086 # DEPENDENCYPART_ARC
(0,11),-8.47305 # DEPENDENCYPART_ARC
(0,13),-7.12686 # DEPENDENCYPART_ARC
(0,14),-8.83312 # DEPENDENCYPART_ARC
(0,16),-6.73946 # DEPENDENCYPART_ARC
(0,17),-9.31933 # DEPENDENCYPART_ARC
(0,18),-8.3225 # DEPENDENCYPART_ARC
(0,19),-7.17549 # DEPENDENCYPART_ARC
(1,2),3.72749 # DEPENDENCYPART_ARC
(1,3),2.15596 # DEPENDENCYPART_ARC
(1,4),0.272633 # DEPENDENCYPART_ARC
(1,5),-0.992297 # DEPENDENCYPART_ARC
(1,6),-0.26163 # DEPENDENCYPART_ARC
(1,7),-0.161827 # DEPENDENCYPART_ARC
(1,8),-1.01309 # DEPENDENCYPART_ARC
(1,9),-2.97503 # DEPENDENCYPART_ARC
(1,10),-2.26101 # DEPENDENCYPART_ARC
(1,11),-1.65773 # DEPENDENCYPART_ARC
(1,12),-3.17793 # DEPENDENCYPART_ARC
(1,13),-4.36445 # DEPENDENCYPART_ARC
(1,14),-1.79507 # DEPENDENCYPART_ARC
(1,15),-3.2533 # DEPENDENCYPART_ARC
(1,16),-5.8842 # DEPENDENCYPART_ARC
(1,17),-2.23957 # DEPENDENCYPART_ARC
(1,18),-3.13369 # DEPENDENCYPART_ARC
(1,19),-2.37291 # DEPENDENCYPART_ARC
(1,20),-0.458171 # DEPENDENCYPART_ARC
(2,1),0.582307 # DEPENDENCYPART_ARC
(2,3),0.500525 # DEPENDENCYPART_ARC
(2,4),-0.31608 # DEPENDENCYPART_ARC
(2,6),0.975711 # DEPENDENCYPART_ARC
(2,7),0.0266782 # DEPENDENCYPART_ARC
(2,8),-0.92782 # DEPENDENCYPART_ARC
(2,9),-1.84254 # DEPENDENCYPART_ARC
(2,10),-0.776968 # DEPENDENCYPART_ARC
(2,11),-1.23307 # DEPENDENCYPART_ARC
(2,12),-1.95854 # DEPENDENCYPART_ARC
(2,13),-0.957195 # DEPENDENCYPART_ARC
(2,14),-1.8714 # DEPENDENCYPART_ARC
(2,16),-1.12491 # DEPENDENCYPART_ARC
(2,17),-2.00859 # DEPENDENCYPART_ARC
(2,20),-1.22638 # DEPENDENCYPART_ARC
(3,10),-1.85722 # DEPENDENCYPART_ARC
(3,16),-2.0537 # DEPENDENCYPART_ARC
(4,1),-1.36495 # DEPENDENCYPART_ARC
(4,2),-1.51458 # DEPENDENCYPART_ARC
(4,3),-0.0643772 # DEPENDENCYPART_ARC
(4,6),-1.65071 # DEPENDENCYPART_ARC
(4,7),-2.55278 # DEPENDENCYPART_ARC
(4,8),-4.38582 # DEPENDENCYPART_ARC
(4,9),-4.11353 # DEPENDENCYPART_ARC
(4,10),-3.88818 # DEPENDENCYPART_ARC
(4,11),-5.15043 # DEPENDENCYPART_ARC
(4,12),-4.52291 # DEPENDENCYPART_ARC
(4,13),-4.01885 # DEPENDENCYPART_ARC
(4,14),-5.22241 # DEPENDENCYPART_ARC
(4,15),-4.66086 # DEPENDENCYPART_ARC
(4,16),-4.14775 # DEPENDENCYPART_ARC
(4,17),-6.12402 # DEPENDENCYPART_ARC
(4,18),-4.01523 # DEPENDENCYPART_ARC
(4,20),-3.55503 # DEPENDENCYPART_ARC
(6,1),-0.519285 # DEPENDENCYPART_ARC
(6,2),-1.69546 # DEPENDENCYPART_ARC
(6,3),-1.26887 # DEPENDENCYPART_ARC
(6,4),0.771473 # DEPENDENCYPART_ARC
(6,5),1.86912 # DEPENDENCYPART_ARC
(6,7),1.77162 # DEPENDENCYPART_ARC
(6,8),0.154628 # DEPENDENCYPART_ARC
(6,9),-4.79242 # DEPENDENCYPART_ARC
(6,10),-0.618889 # DEPENDENCYPART_ARC
(6,11),-2.13152 # DEPENDENCYPART_ARC
(6,12),-5.19636 # DEPENDENCYPART_ARC
(6,13),-1.86168 # DEPENDENCYPART_ARC
(6,14),-1.15163 # DEPENDENCYPART_ARC
(6,16),-1.93331 # DEPENDENCYPART_ARC
(6,17),-2.74995 # DEPENDENCYPART_ARC
(6,18),-2.43528 # DEPENDENCYPART_ARC
(6,19),-2.23286 # DEPENDENCYPART_ARC
(6,20),0.989853 # DEPENDENCYPART_ARC
(7,1),1.65102 # DEPENDENCYPART_ARC
(7,2),0.114247 # DEPENDENCYPART_ARC
(7,3),0.231785 # DEPENDENCYPART_ARC
(7,4),2.67064 # DEPENDENCYPART_ARC
(7,5),3.76534 # DEPENDENCYPART_ARC
(7,6),5.01228 # DEPENDENCYPART_ARC
(7,8),4.15124 # DEPENDENCYPART_ARC
(7,9),-0.692013 # DEPENDENCYPART_ARC
(7,10),3.11733 # DEPENDENCYPART_ARC
(7,11),0.7962 # DEPENDENCYPART_ARC
(7,12),-2.09222 # DEPENDENCYPART_ARC
(7,13),1.22334 # DEPENDENCYPART_ARC
(7,14),1.84265 # DEPENDENCYPART_ARC
(7,16),1.52294 # DEPENDENCYPART_ARC
(7,17),-0.016657 # DEPENDENCYPART_ARC
(7,18),-0.546413 # DEPENDENCYPART_ARC
(7,19),-0.14241 # DEPENDENCYPART_ARC
(7,20),3.91288 # DEPENDENCYPART_ARC
(8,1),-2.0857 # DEPENDENCYPART_ARC
(8,2),-2.36245 # DEPENDENCYPART_ARC
(8,3),-1.91747 # DEPENDENCYPART_ARC
(8,4),-0.952063 # DEPENDENCYPART_ARC
(8,5),-1.80005 # DEPENDENCYPART_ARC
(8,6),-1.06204 # DEPENDENCYPART_ARC
(8,7),-0.473004 # DEPENDENCYPART_ARC
(8,9),-0.0650732 # DEPENDENCYPART_ARC
(8,10),5.00964 # DEPENDENCYPART_ARC
(8,11),-0.499758 # DEPENDENCYPART_ARC
(8,12),-2.37225 # DEPENDENCYPART_ARC
(8,13),1.24297 # DEPENDENCYPART_ARC
(8,14),0.0537385 # DEPENDENCYPART_ARC
(8,15),-2.81958 # DEPENDENCYPART_ARC
(8,16),-0.832969 # DEPENDENCYPART_ARC
(8,17),-2.30644 # DEPENDENCYPART_ARC
(8,18),-2.13947 # DEPENDENCYPART_ARC
(8,19),-1.01637 # DEPENDENCYPART_ARC
(8,20),-1.30559 # DEPENDENCYPART_ARC
(9,1),-2.61035 # DEPENDENCYPART_ARC
(9,2),-2.50226 # DEPENDENCYPART_ARC
(9,4),-2.05229 # DEPENDENCYPART_ARC
(9,8),-0.465178 # DEPENDENCYPART_ARC
(9,10),3.02419 # DEPENDENCYPART_ARC
(9,11),0.0754661 # DEPENDENCYPART_ARC
(9,12),0.327085 # DEPENDENCYPART_ARC
(9,13),-0.222205 # DEPENDENCYPART_ARC
(9,14),-2.31648 # DEPENDENCYPART_ARC
(9,15),-2.77671 # DEPENDENCYPART_ARC
(9,16),-2.16359 # DEPENDENCYPART_ARC
(9,17),-2.14298 # DEPENDENCYPART_ARC
(9,18),-0.614013 # DEPENDENCYPART_ARC
(10,1),-2.01465 # DEPENDENCYPART_ARC
(10,2),-2.02588 # DEPENDENCYPART_ARC
(10,3),-1.193 # DEPENDENCYPART_ARC
(10,4),-1.17224 # DEPENDENCYPART_ARC
(10,6),-1.0823 # DEPENDENCYPART_ARC
(10,7),-1.02218 # DEPENDENCYPART_ARC
(10,8),0.301372 # DEPENDENCYPART_ARC
(10,9),4.3359 # DEPENDENCYPART_ARC
(10,11),2.45149 # DEPENDENCYPART_ARC
(10,12),-1.4549 # DEPENDENCYPART_ARC
(10,13),0.795 # DEPENDENCYPART_ARC
(10,14),1.07362 # DEPENDENCYPART_ARC
(10,15),-2.94754 # DEPENDENCYPART_ARC
(10,16),0.309726 # DEPENDENCYPART_ARC
(10,17),0.509126 # DEPENDENCYPART_ARC
(10,18),-0.981884 # DEPENDENCYPART_ARC
(10,19),-0.167504 # DEPENDENCYPART_ARC
(10,20),0.672636 # DEPENDENCYPART_ARC
(11,1),-1.87154 # DEPENDENCYPART_ARC
(11,2),-2.13837 # DEPENDENCYPART_ARC
(11,3),-1.65637 # DEPENDENCYPART_ARC
(11,4),-1.14173 # DEPENDENCYPART_ARC
(11,5),-1.85326 # DEPENDENCYPART_ARC
(11,6),-1.57867 # DEPENDENCYPART_ARC
(11,7),-1.50501 # DEPENDENCYPART_ARC
(11,8),-0.607783 # DEPENDENCYPART_ARC
(11,9),0.56852 # DEPENDENCYPART_ARC
(11,10),-0.275972 # DEPENDENCYPART_ARC
(11,12),-0.296259 # DEPENDENCYPART_ARC
(11,13),4.38881 # DEPENDENCYPART_ARC
(11,14),-0.693375 # DEPENDENCYPART_ARC
(11,15),-2.2838 # DEPENDENCYPART_ARC
(11,16),1.11673 # DEPENDENCYPART_ARC
(11,17),-0.430485 # DEPENDENCYPART_ARC
(11,18),-1.16124 # DEPENDENCYPART_ARC
(11,19),0.0384296 # DEPENDENCYPART_ARC
(11,20),-1.28335 # DEPENDENCYPART_ARC
(12,1),-2.52026 # DEPENDENCYPART_ARC
(12,2),-2.24998 # DEPENDENCYPART_ARC
(12,4),-2.29834 # DEPENDENCYPART_ARC
(12,8),-1.47358 # DEPENDENCYPART_ARC
(12,9),-0.804472 # DEPENDENCYPART_ARC
(12,10),-0.957641 # DEPENDENCYPART_ARC
(12,11),0.241686 # DEPENDENCYPART_ARC
(12,13),2.39724 # DEPENDENCYPART_ARC
(12,14),-0.906853 # DEPENDENCYPART_ARC
(12,15),-0.101624 # DEPENDENCYPART_ARC
(12,16),-0.993993 # DEPENDENCYPART_ARC
(12,17),-0.854287 # DEPENDENCYPART_ARC
(12,18),-1.07949 # DEPENDENCYPART_ARC
(13,1),-2.05401 # DEPENDENCYPART_ARC
(13,2),-2.17708 # DEPENDENCYPART_ARC
(13,3),-1.423 # DEPENDENCYPART_ARC
(13,4),-1.28617 # DEPENDENCYPART_ARC
(13,6),-2.24275 # DEPENDENCYPART_ARC
(13,7),-1.64245 # DEPENDENCYPART_ARC
(13,8),-0.533756 # DEPENDENCYPART_ARC
(13,9),0.691288 # DEPENDENCYPART_ARC
(13,10),-1.15095 # DEPENDENCYPART_ARC
(13,11),0.451209 # DEPENDENCYPART_ARC
(13,12),3.82943 # DEPENDENCYPART_ARC
(13,14),0.485714 # DEPENDENCYPART_ARC
(13,15),-1.36901 # DEPENDENCYPART_ARC
(13,16),0.837707 # DEPENDENCYPART_ARC
(13,17),0.260371 # DEPENDENCYPART_ARC
(13,18),-0.979935 # DEPENDENCYPART_ARC
(13,19),-0.327052 # DEPENDENCYPART_ARC
(13,20),0.51865 # DEPENDENCYPART_ARC
(14,1),-2.5169 # DEPENDENCYPART_ARC
(14,2),-1.78178 # DEPENDENCYPART_ARC
(14,3),-1.35618 # DEPENDENCYPART_ARC
(14,4),-0.995323 # DEPENDENCYPART_ARC
(14,5),-1.96644 # DEPENDENCYPART_ARC
(14,6),-1.13586 # DEPENDENCYPART_ARC
(14,7),-1.22558 # DEPENDENCYPART_ARC
(14,8),-1.56837 # DEPENDENCYPART_ARC
(14,9),-0.879473 # DEPENDENCYPART_ARC
(14,10),-1.687 # DEPENDENCYPART_ARC
(14,11),-0.467659 # DEPENDENCYPART_ARC
(14,12),0.48512 # DEPENDENCYPART_ARC
(14,13),-0.308098 # DEPENDENCYPART_ARC
(14,15),-0.160625 # DEPENDENCYPART_ARC
(14,16),4.7481 # DEPENDENCYPART_ARC
(14,17),-0.723843 # DEPENDENCYPART_ARC
(14,18),-0.415981 # DEPENDENCYPART_ARC
(14,19),0.829122 # DEPENDENCYPART_ARC
(14,20),-0.728296 # DEPENDENCYPART_ARC
(15,1),-2.08727 # DEPENDENCYPART_ARC
(15,4),-1.76322 # DEPENDENCYPART_ARC
(15,6),-2.14208 # DEPENDENCYPART_ARC
(15,7),-1.68704 # DEPENDENCYPART_ARC
(15,8),-1.38199 # DEPENDENCYPART_ARC
(15,10),-1.96997 # DEPENDENCYPART_ARC
(15,11),-0.668412 # DEPENDENCYPART_ARC
(15,14),0.826506 # DEPENDENCYPART_ARC
(15,16),3.2224 # DEPENDENCYPART_ARC
(15,17),1.30303 # DEPENDENCYPART_ARC
(15,18),0.757297 # DEPENDENCYPART_ARC
(16,1),-1.9216 # DEPENDENCYPART_ARC
(16,2),-2.02702 # DEPENDENCYPART_ARC
(16,3),-1.3949 # DEPENDENCYPART_ARC
(16,4),-1.25715 # DEPENDENCYPART_ARC
(16,6),-1.8724 # DEPENDENCYPART_ARC
(16,7),-1.64659 # DEPENDENCYPART_ARC
(16,8),-0.557504 # DEPENDENCYPART_ARC
(16,9),-1.9315 # DEPENDENCYPART_ARC
(16,10),-2.0746 # DEPENDENCYPART_ARC
(16,11),-0.251635 # DEPENDENCYPART_ARC
