# _root_ El líder , Eli_Ishai , va assegurar que no ha mantingut cap contacte amb Barak .
#goldHeads=2,7,4,2,4,7,0,11,11,11,7,13,11,11,14,7,
#predictedHeads=2,7,4,2,4,7,0,11,11,11,7,13,11,11,14,7,
(0,2),-6.76071 # DEPENDENCYPART_ARC
(0,4),-6.97756 # DEPENDENCYPART_ARC
(0,6),-1.85415 # DEPENDENCYPART_ARC
(0,7),-1.68943 # DEPENDENCYPART_ARC
(0,8),-7.46067 # DEPENDENCYPART_ARC
(0,9),-8.05574 # DEPENDENCYPART_ARC
(0,10),-3.03959 # DEPENDENCYPART_ARC
(0,11),-3.8502 # DEPENDENCYPART_ARC
(0,13),-8.00999 # DEPENDENCYPART_ARC
(0,14),-7.27223 # DEPENDENCYPART_ARC
(0,15),-7.38429 # DEPENDENCYPART_ARC
(1,2),-0.596868 # DEPENDENCYPART_ARC
(1,4),-2.63331 # DEPENDENCYPART_ARC
(1,12),-3.95917 # DEPENDENCYPART_ARC
(1,13),-3.91696 # DEPENDENCYPART_ARC
(1,14),-3.94409 # DEPENDENCYPART_ARC
(1,15),-4.86999 # DEPENDENCYPART_ARC
(2,1),2.86643 # DEPENDENCYPART_ARC
(2,3),1.82311 # DEPENDENCYPART_ARC
(2,4),3.07544 # DEPENDENCYPART_ARC
(2,5),1.5263 # DEPENDENCYPART_ARC
(2,6),1.24874 # DEPENDENCYPART_ARC
(2,7),1.31261 # DEPENDENCYPART_ARC
(2,8),-1.16542 # DEPENDENCYPART_ARC
(2,9),-0.431915 # DEPENDENCYPART_ARC
(2,10),-1.77831 # DEPENDENCYPART_ARC
(2,11),-1.63046 # DEPENDENCYPART_ARC
(2,12),-1.64999 # DEPENDENCYPART_ARC
(2,13),-0.655164 # DEPENDENCYPART_ARC
(2,14),-0.502084 # DEPENDENCYPART_ARC
(2,15),-0.519677 # DEPENDENCYPART_ARC
(2,16),1.68663 # DEPENDENCYPART_ARC
(3,2),-1.58158 # DEPENDENCYPART_ARC
(3,5),-1.35997 # DEPENDENCYPART_ARC
(3,13),-2.54492 # DEPENDENCYPART_ARC
(4,1),0.578354 # DEPENDENCYPART_ARC
(4,2),0.0951931 # DEPENDENCYPART_ARC
(4,3),2.99903 # DEPENDENCYPART_ARC
(4,5),2.81128 # DEPENDENCYPART_ARC
(4,6),-0.0722956 # DEPENDENCYPART_ARC
(4,7),-0.0967848 # DEPENDENCYPART_ARC
(4,8),-2.46185 # DEPENDENCYPART_ARC
(4,9),-1.63578 # DEPENDENCYPART_ARC
(4,10),-3.08224 # DEPENDENCYPART_ARC
(4,11),-3.39552 # DEPENDENCYPART_ARC
(4,12),-2.54785 # DEPENDENCYPART_ARC
(4,13),-2.52358 # DEPENDENCYPART_ARC
(4,14),-2.34408 # DEPENDENCYPART_ARC
(4,15),-2.59308 # DEPENDENCYPART_ARC
(4,16),0.110822 # DEPENDENCYPART_ARC
(5,2),-2.79239 # DEPENDENCYPART_ARC
