# _root_ La iniciativa , que dependrà de les condicions meteorològiques , forma_part dels actes de celebració del cinquantè aniversari de l' entitat .
#goldHeads=2,11,5,5,2,5,8,6,8,5,0,11,12,13,14,13,18,16,18,21,19,11,
#predictedHeads=2,11,5,5,2,5,8,6,8,5,0,11,12,13,14,13,18,16,18,21,19,11,
(0,1),-8.13354 # DEPENDENCYPART_ARC
(0,2),-6.12811 # DEPENDENCYPART_ARC
(0,3),-7.26237 # DEPENDENCYPART_ARC
(0,4),-6.7255 # DEPENDENCYPART_ARC
(0,5),-2.88802 # DEPENDENCYPART_ARC
(0,6),-7.36291 # DEPENDENCYPART_ARC
(0,7),-9.30403 # DEPENDENCYPART_ARC
(0,8),-7.81177 # DEPENDENCYPART_ARC
(0,9),-7.78947 # DEPENDENCYPART_ARC
(0,10),-7.95171 # DEPENDENCYPART_ARC
(0,11),-0.700121 # DEPENDENCYPART_ARC
(0,12),-7.89344 # DEPENDENCYPART_ARC
(0,13),-7.77766 # DEPENDENCYPART_ARC
(0,14),-8.41181 # DEPENDENCYPART_ARC
(0,15),-7.5369 # DEPENDENCYPART_ARC
(0,16),-8.9116 # DEPENDENCYPART_ARC
(0,17),-8.42024 # DEPENDENCYPART_ARC
(0,18),-7.7887 # DEPENDENCYPART_ARC
(0,19),-9.30267 # DEPENDENCYPART_ARC
(0,20),-10.2578 # DEPENDENCYPART_ARC
(0,21),-7.19367 # DEPENDENCYPART_ARC
(0,22),-8.99687 # DEPENDENCYPART_ARC
(1,2),0.241511 # DEPENDENCYPART_ARC
(1,3),-1.68945 # DEPENDENCYPART_ARC
(1,4),-2.70431 # DEPENDENCYPART_ARC
(1,5),-2.3135 # DEPENDENCYPART_ARC
(1,6),-2.23888 # DEPENDENCYPART_ARC
(1,7),-1.30789 # DEPENDENCYPART_ARC
(1,8),-3.79359 # DEPENDENCYPART_ARC
(1,9),-4.0952 # DEPENDENCYPART_ARC
(1,10),-3.26038 # DEPENDENCYPART_ARC
(1,11),-3.8922 # DEPENDENCYPART_ARC
(1,12),-3.03459 # DEPENDENCYPART_ARC
(1,13),-4.78908 # DEPENDENCYPART_ARC
(1,14),-3.62386 # DEPENDENCYPART_ARC
(1,15),-3.89637 # DEPENDENCYPART_ARC
(1,16),-4.58404 # DEPENDENCYPART_ARC
(1,17),-5.20293 # DEPENDENCYPART_ARC
(1,18),-4.99489 # DEPENDENCYPART_ARC
(1,19),-5.08327 # DEPENDENCYPART_ARC
(1,20),-3.71527 # DEPENDENCYPART_ARC
(1,21),-5.34918 # DEPENDENCYPART_ARC
(1,22),-4.87476 # DEPENDENCYPART_ARC
(2,1),5.34832 # DEPENDENCYPART_ARC
(2,3),0.598701 # DEPENDENCYPART_ARC
(2,4),-0.560371 # DEPENDENCYPART_ARC
(2,5),3.29794 # DEPENDENCYPART_ARC
(2,6),0.87963 # DEPENDENCYPART_ARC
(2,7),-1.1004 # DEPENDENCYPART_ARC
(2,8),0.374868 # DEPENDENCYPART_ARC
(2,9),-0.0509144 # DEPENDENCYPART_ARC
(2,10),0.21233 # DEPENDENCYPART_ARC
(2,11),0.983046 # DEPENDENCYPART_ARC
(2,12),-0.733063 # DEPENDENCYPART_ARC
(2,13),-0.938259 # DEPENDENCYPART_ARC
(2,14),-0.30195 # DEPENDENCYPART_ARC
(2,15),-0.824273 # DEPENDENCYPART_ARC
(2,16),-0.941641 # DEPENDENCYPART_ARC
(2,17),-2.09781 # DEPENDENCYPART_ARC
(2,18),-1.05207 # DEPENDENCYPART_ARC
(2,19),-1.68173 # DEPENDENCYPART_ARC
(2,20),-2.02385 # DEPENDENCYPART_ARC
(2,21),-0.830989 # DEPENDENCYPART_ARC
(2,22),1.38157 # DEPENDENCYPART_ARC
(3,1),-0.730693 # DEPENDENCYPART_ARC
(3,2),-1.00582 # DEPENDENCYPART_ARC
(3,4),0.386613 # DEPENDENCYPART_ARC
(3,5),-0.0665836 # DEPENDENCYPART_ARC
(3,6),-0.772339 # DEPENDENCYPART_ARC
(3,7),-1.39863 # DEPENDENCYPART_ARC
(3,8),-1.00166 # DEPENDENCYPART_ARC
(3,9),-1.03029 # DEPENDENCYPART_ARC
(3,10),-0.517014 # DEPENDENCYPART_ARC
(3,11),-0.875452 # DEPENDENCYPART_ARC
(3,12),-1.11834 # DEPENDENCYPART_ARC
(3,13),-1.28562 # DEPENDENCYPART_ARC
(3,14),-1.15566 # DEPENDENCYPART_ARC
(3,15),-1.3851 # DEPENDENCYPART_ARC
(3,16),-1.19057 # DEPENDENCYPART_ARC
(3,17),-1.31263 # DEPENDENCYPART_ARC
(3,18),-1.5261 # DEPENDENCYPART_ARC
(3,19),-1.231 # DEPENDENCYPART_ARC
(3,20),-1.84063 # DEPENDENCYPART_ARC
(3,21),-1.64609 # DEPENDENCYPART_ARC
(3,22),-1.03918 # DEPENDENCYPART_ARC
(4,1),-2.06085 # DEPENDENCYPART_ARC
(4,2),-2.74054 # DEPENDENCYPART_ARC
(4,3),-0.483665 # DEPENDENCYPART_ARC
(4,5),-0.163504 # DEPENDENCYPART_ARC
(4,6),-0.477952 # DEPENDENCYPART_ARC
(4,7),-1.39721 # DEPENDENCYPART_ARC
(4,8),-1.10931 # DEPENDENCYPART_ARC
(4,9),-0.223493 # DEPENDENCYPART_ARC
(4,10),-0.672836 # DEPENDENCYPART_ARC
(4,11),-1.40862 # DEPENDENCYPART_ARC
(4,12),-1.15206 # DEPENDENCYPART_ARC
(4,13),-2.11348 # DEPENDENCYPART_ARC
(4,14),-1.95848 # DEPENDENCYPART_ARC
(4,15),-2.86494 # DEPENDENCYPART_ARC
(4,16),-2.7342 # DEPENDENCYPART_ARC
(4,17),-2.89597 # DEPENDENCYPART_ARC
(4,18),-3.42938 # DEPENDENCYPART_ARC
(4,19),-2.37626 # DEPENDENCYPART_ARC
(4,20),-3.24956 # DEPENDENCYPART_ARC
(4,21),-2.94595 # DEPENDENCYPART_ARC
(4,22),-0.758937 # DEPENDENCYPART_ARC
(5,1),-0.0764601 # DEPENDENCYPART_ARC
(5,2),1.09857 # DEPENDENCYPART_ARC
(5,3),2.1061 # DEPENDENCYPART_ARC
(5,4),5.28055 # DEPENDENCYPART_ARC
(5,6),2.33545 # DEPENDENCYPART_ARC
(5,7),-1.25408 # DEPENDENCYPART_ARC
(5,8),2.61934 # DEPENDENCYPART_ARC
(5,9),0.660148 # DEPENDENCYPART_ARC
(5,10),1.89092 # DEPENDENCYPART_ARC
(5,11),1.24856 # DEPENDENCYPART_ARC
(5,12),-0.618789 # DEPENDENCYPART_ARC
(5,13),-0.100486 # DEPENDENCYPART_ARC
(5,14),-0.456842 # DEPENDENCYPART_ARC
(5,15),0.0816497 # DEPENDENCYPART_ARC
(5,16),-1.22379 # DEPENDENCYPART_ARC
(5,17),-1.59427 # DEPENDENCYPART_ARC
(5,18),0.512868 # DEPENDENCYPART_ARC
(5,19),-1.05162 # DEPENDENCYPART_ARC
(5,20),-2.17045 # DEPENDENCYPART_ARC
(5,21),0.615452 # DEPENDENCYPART_ARC
(5,22),3.38778 # DEPENDENCYPART_ARC
(6,1),-0.814096 # DEPENDENCYPART_ARC
(6,2),-2.40471 # DEPENDENCYPART_ARC
(6,3),-1.47378 # DEPENDENCYPART_ARC
(6,4),-0.571176 # DEPENDENCYPART_ARC
(6,5),-0.21759 # DEPENDENCYPART_ARC
(6,7),0.610725 # DEPENDENCYPART_ARC
(6,8),5.27408 # DEPENDENCYPART_ARC
(6,9),1.32486 # DEPENDENCYPART_ARC
(6,10),0.377313 # DEPENDENCYPART_ARC
(6,11),-0.387471 # DEPENDENCYPART_ARC
(6,12),-0.175792 # DEPENDENCYPART_ARC
(6,13),-0.251816 # DEPENDENCYPART_ARC
(6,14),-0.496275 # DEPENDENCYPART_ARC
(6,15),-1.39402 # DEPENDENCYPART_ARC
(6,16),-1.33327 # DEPENDENCYPART_ARC
(6,17),-2.03673 # DEPENDENCYPART_ARC
(6,18),-2.33228 # DEPENDENCYPART_ARC
(6,19),-0.66737 # DEPENDENCYPART_ARC
(6,20),-1.78198 # DEPENDENCYPART_ARC
(6,21),-4.02202 # DEPENDENCYPART_ARC
(6,22),-0.0484386 # DEPENDENCYPART_ARC
(7,1),-1.37649 # DEPENDENCYPART_ARC
(7,2),-2.16525 # DEPENDENCYPART_ARC
(7,3),-1.28165 # DEPENDENCYPART_ARC
(7,4),-1.47718 # DEPENDENCYPART_ARC
(7,5),-0.0536218 # DEPENDENCYPART_ARC
(7,6),0.191398 # DEPENDENCYPART_ARC
(7,8),0.921913 # DEPENDENCYPART_ARC
(7,9),0.258548 # DEPENDENCYPART_ARC
(7,10),-1.31652 # DEPENDENCYPART_ARC
(7,11),-2.02971 # DEPENDENCYPART_ARC
(7,12),-2.01238 # DEPENDENCYPART_ARC
(7,13),-2.7478 # DEPENDENCYPART_ARC
(7,14),-2.80617 # DEPENDENCYPART_ARC
(7,15),-2.88645 # DEPENDENCYPART_ARC
(7,16),-4.45203 # DEPENDENCYPART_ARC
(7,17),-4.87542 # DEPENDENCYPART_ARC
(7,18),-3.7749 # DEPENDENCYPART_ARC
(7,19),-4.35798 # DEPENDENCYPART_ARC
(7,20),-4.07524 # DEPENDENCYPART_ARC
(7,21),-4.2916 # DEPENDENCYPART_ARC
(7,22),-3.41901 # DEPENDENCYPART_ARC
(8,1),-1.33538 # DEPENDENCYPART_ARC
(8,2),-2.61376 # DEPENDENCYPART_ARC
(8,3),-1.3386 # DEPENDENCYPART_ARC
(8,4),0.115567 # DEPENDENCYPART_ARC
(8,5),-0.615759 # DEPENDENCYPART_ARC
(8,6),0.655708 # DEPENDENCYPART_ARC
(8,7),5.00419 # DEPENDENCYPART_ARC
(8,9),4.66965 # DEPENDENCYPART_ARC
