# _root_ Mentre viu a sota de les branques o de les pedres dels jardins públics , com passa al Palau_de_Pedralbes de Barcelona , no hi ha tantes queixes : " Els problemes comencen a aparèixer quan s' acosten a les cases " .
#goldHeads=2,25,2,3,4,7,5,5,5,11,9,5,12,13,17,17,2,17,18,19,20,2,25,25,0,27,25,34,34,31,34,34,34,25,37,37,34,37,40,38,34,25,
#predictedHeads=2,0,2,3,4,7,5,5,5,11,9,11,12,13,17,17,2,17,18,19,20,17,25,25,17,27,25,34,34,31,34,34,34,17,37,37,34,37,40,38,37,34,
(0,1),-6.93712 # DEPENDENCYPART_ARC
(0,2),-4.60376 # DEPENDENCYPART_ARC
(0,3),-7.28086 # DEPENDENCYPART_ARC
(0,4),-7.90817 # DEPENDENCYPART_ARC
(0,5),-7.27736 # DEPENDENCYPART_ARC
(0,6),-9.26575 # DEPENDENCYPART_ARC
(0,7),-7.14948 # DEPENDENCYPART_ARC
(0,8),-7.72232 # DEPENDENCYPART_ARC
(0,9),-7.53291 # DEPENDENCYPART_ARC
(0,10),-9.28657 # DEPENDENCYPART_ARC
(0,11),-7.45987 # DEPENDENCYPART_ARC
(0,12),-8.24388 # DEPENDENCYPART_ARC
(0,13),-7.42469 # DEPENDENCYPART_ARC
(0,14),-7.77447 # DEPENDENCYPART_ARC
(0,15),-8.21055 # DEPENDENCYPART_ARC
(0,16),-7.28692 # DEPENDENCYPART_ARC
(0,17),-6.58053 # DEPENDENCYPART_ARC
(0,18),-8.58579 # DEPENDENCYPART_ARC
(0,19),-7.83288 # DEPENDENCYPART_ARC
(0,20),-8.66496 # DEPENDENCYPART_ARC
(0,21),-7.17234 # DEPENDENCYPART_ARC
(0,22),-8.84443 # DEPENDENCYPART_ARC
(0,23),-8.31165 # DEPENDENCYPART_ARC
(0,24),-6.44788 # DEPENDENCYPART_ARC
(0,25),-6.57023 # DEPENDENCYPART_ARC
(0,26),-9.91283 # DEPENDENCYPART_ARC
(0,27),-7.22178 # DEPENDENCYPART_ARC
(0,28),-8.85272 # DEPENDENCYPART_ARC
(0,29),-8.94569 # DEPENDENCYPART_ARC
(0,30),-10.1423 # DEPENDENCYPART_ARC
(0,31),-7.77346 # DEPENDENCYPART_ARC
(0,32),-5.6739 # DEPENDENCYPART_ARC
(0,33),-9.2529 # DEPENDENCYPART_ARC
(0,34),-6.26119 # DEPENDENCYPART_ARC
(0,35),-8.71562 # DEPENDENCYPART_ARC
(0,36),-7.20513 # DEPENDENCYPART_ARC
(0,37),-7.07794 # DEPENDENCYPART_ARC
(0,38),-9.58766 # DEPENDENCYPART_ARC
(0,39),-10.5624 # DEPENDENCYPART_ARC
