# _root_ I ahir , per no deixar en evidència el_seu amic , Zenden també va fallar un altre penal .
#goldHeads=15,15,2,15,6,4,6,7,10,6,4,15,15,15,0,18,16,15,15,
#predictedHeads=2,15,4,15,6,4,6,7,10,6,12,15,15,15,0,18,16,15,15,
(0,1),-6.54536 # DEPENDENCYPART_ARC
(0,2),-6.00857 # DEPENDENCYPART_ARC
(0,3),-6.41029 # DEPENDENCYPART_ARC
(0,4),-5.56957 # DEPENDENCYPART_ARC
(0,5),-6.45274 # DEPENDENCYPART_ARC
(0,6),-5.78553 # DEPENDENCYPART_ARC
(0,7),-6.04099 # DEPENDENCYPART_ARC
(0,8),-5.4547 # DEPENDENCYPART_ARC
(0,9),-8.80946 # DEPENDENCYPART_ARC
(0,10),-5.64959 # DEPENDENCYPART_ARC
(0,11),-7.19918 # DEPENDENCYPART_ARC
(0,12),-5.99638 # DEPENDENCYPART_ARC
(0,13),-7.31144 # DEPENDENCYPART_ARC
(0,14),-2.77798 # DEPENDENCYPART_ARC
(0,15),-3.3197 # DEPENDENCYPART_ARC
(0,16),-9.35015 # DEPENDENCYPART_ARC
(0,17),-9.31104 # DEPENDENCYPART_ARC
(0,18),-6.22676 # DEPENDENCYPART_ARC
(0,19),-7.95375 # DEPENDENCYPART_ARC
(1,2),-0.932651 # DEPENDENCYPART_ARC
(1,3),0.0983544 # DEPENDENCYPART_ARC
(1,4),-1.65888 # DEPENDENCYPART_ARC
(1,5),-2.28287 # DEPENDENCYPART_ARC
(1,6),-1.38049 # DEPENDENCYPART_ARC
(1,7),-2.33907 # DEPENDENCYPART_ARC
(1,8),-2.84062 # DEPENDENCYPART_ARC
(1,9),-3.52346 # DEPENDENCYPART_ARC
(1,10),-3.39984 # DEPENDENCYPART_ARC
(1,11),-0.749729 # DEPENDENCYPART_ARC
(1,12),-3.89733 # DEPENDENCYPART_ARC
(1,13),-3.18475 # DEPENDENCYPART_ARC
(1,14),-3.25482 # DEPENDENCYPART_ARC
(1,15),-3.53161 # DEPENDENCYPART_ARC
(1,16),-3.84028 # DEPENDENCYPART_ARC
(1,17),-3.80371 # DEPENDENCYPART_ARC
