# _root_ La crisi de la companyia es va produir després que Dynegy anunciés , dimecres passat , que renunciava a adquirir l' empresa .
#goldHeads=2,8,2,5,3,8,8,0,8,12,12,9,14,12,14,14,18,12,18,19,22,20,8,
#predictedHeads=2,8,2,5,3,8,8,0,8,12,12,9,14,12,14,18,18,12,18,19,22,20,8,
(0,1),-8.13354 # DEPENDENCYPART_ARC
(0,2),-6.88012 # DEPENDENCYPART_ARC
(0,3),-7.49734 # DEPENDENCYPART_ARC
(0,4),-9.14859 # DEPENDENCYPART_ARC
(0,5),-6.71542 # DEPENDENCYPART_ARC
(0,6),-6.61386 # DEPENDENCYPART_ARC
(0,7),-3.58254 # DEPENDENCYPART_ARC
(0,8),-2.90147 # DEPENDENCYPART_ARC
(0,9),-8.23698 # DEPENDENCYPART_ARC
(0,10),-7.58296 # DEPENDENCYPART_ARC
(0,11),-8.04066 # DEPENDENCYPART_ARC
(0,12),-5.10957 # DEPENDENCYPART_ARC
(0,13),-8.12713 # DEPENDENCYPART_ARC
(0,14),-8.08026 # DEPENDENCYPART_ARC
(0,15),-9.12792 # DEPENDENCYPART_ARC
(0,16),-8.2609 # DEPENDENCYPART_ARC
(0,17),-7.68275 # DEPENDENCYPART_ARC
(0,18),-5.05707 # DEPENDENCYPART_ARC
(0,19),-7.79184 # DEPENDENCYPART_ARC
(0,20),-5.59356 # DEPENDENCYPART_ARC
(0,21),-10.2622 # DEPENDENCYPART_ARC
(0,22),-7.43087 # DEPENDENCYPART_ARC
(0,23),-8.88023 # DEPENDENCYPART_ARC
(1,2),1.96955 # DEPENDENCYPART_ARC
(1,3),0.731785 # DEPENDENCYPART_ARC
(1,4),1.21725 # DEPENDENCYPART_ARC
(1,5),-1.35037 # DEPENDENCYPART_ARC
(1,6),-1.45417 # DEPENDENCYPART_ARC
(1,7),-2.38413 # DEPENDENCYPART_ARC
(1,8),-2.30685 # DEPENDENCYPART_ARC
(1,9),-2.4165 # DEPENDENCYPART_ARC
(1,10),-2.14166 # DEPENDENCYPART_ARC
(1,11),-3.0926 # DEPENDENCYPART_ARC
(1,12),-3.07932 # DEPENDENCYPART_ARC
(1,13),-3.00192 # DEPENDENCYPART_ARC
(1,14),-2.50819 # DEPENDENCYPART_ARC
(1,15),-5.18749 # DEPENDENCYPART_ARC
(1,16),-3.09843 # DEPENDENCYPART_ARC
(1,17),-2.96508 # DEPENDENCYPART_ARC
(1,18),-3.62908 # DEPENDENCYPART_ARC
(1,19),-4.77558 # DEPENDENCYPART_ARC
(1,20),-3.15524 # DEPENDENCYPART_ARC
(1,21),-3.20744 # DEPENDENCYPART_ARC
(1,22),-4.10907 # DEPENDENCYPART_ARC
(1,23),-3.40526 # DEPENDENCYPART_ARC
(2,1),5.07308 # DEPENDENCYPART_ARC
(2,3),3.54677 # DEPENDENCYPART_ARC
(2,4),0.264779 # DEPENDENCYPART_ARC
(2,5),1.6619 # DEPENDENCYPART_ARC
(2,6),0.764042 # DEPENDENCYPART_ARC
(2,7),2.00302 # DEPENDENCYPART_ARC
(2,8),1.41715 # DEPENDENCYPART_ARC
(2,9),-0.198599 # DEPENDENCYPART_ARC
(2,10),-1.2131 # DEPENDENCYPART_ARC
(2,11),-0.702287 # DEPENDENCYPART_ARC
(2,12),-0.99447 # DEPENDENCYPART_ARC
(2,13),-0.385798 # DEPENDENCYPART_ARC
(2,14),-0.473338 # DEPENDENCYPART_ARC
(2,15),-2.27625 # DEPENDENCYPART_ARC
(2,16),-0.0472115 # DEPENDENCYPART_ARC
(2,17),-3.06791 # DEPENDENCYPART_ARC
(2,18),-3.07085 # DEPENDENCYPART_ARC
(2,19),-2.0503 # DEPENDENCYPART_ARC
(2,20),-3.36075 # DEPENDENCYPART_ARC
(2,21),-2.20454 # DEPENDENCYPART_ARC
(2,22),-2.8348 # DEPENDENCYPART_ARC
(2,23),1.7018 # DEPENDENCYPART_ARC
(3,1),1.06989 # DEPENDENCYPART_ARC
