# _root_ Segons ell , aquestes polèmiques tenen un altre objectiu , " amagar el protagonisme del PP " .
#goldHeads=6,1,1,5,6,0,9,7,6,12,12,9,14,12,14,15,12,6,
#predictedHeads=6,1,1,5,6,0,9,7,6,6,12,6,14,12,14,15,12,12,
(0,1),-7.14685 # DEPENDENCYPART_ARC
(0,2),-6.4035 # DEPENDENCYPART_ARC
(0,5),-6.43882 # DEPENDENCYPART_ARC
(0,6),-1.85121 # DEPENDENCYPART_ARC
(0,9),-6.54627 # DEPENDENCYPART_ARC
(0,12),-4.50263 # DEPENDENCYPART_ARC
(0,14),-7.43441 # DEPENDENCYPART_ARC
(0,15),-8.89614 # DEPENDENCYPART_ARC
(0,16),-7.1685 # DEPENDENCYPART_ARC
(1,2),3.7057 # DEPENDENCYPART_ARC
(1,3),3.20342 # DEPENDENCYPART_ARC
(1,5),-0.414082 # DEPENDENCYPART_ARC
(1,6),0.51006 # DEPENDENCYPART_ARC
(1,7),-3.10316 # DEPENDENCYPART_ARC
(1,8),-2.76873 # DEPENDENCYPART_ARC
(1,9),-5.3376 # DEPENDENCYPART_ARC
(1,10),-0.148858 # DEPENDENCYPART_ARC
(1,11),-1.98165 # DEPENDENCYPART_ARC
(1,12),-0.512945 # DEPENDENCYPART_ARC
(1,13),-3.09837 # DEPENDENCYPART_ARC
(1,14),-9.1864 # DEPENDENCYPART_ARC
(1,15),-3.18581 # DEPENDENCYPART_ARC
(1,16),-9.99028 # DEPENDENCYPART_ARC
(1,17),-3.80735 # DEPENDENCYPART_ARC
(1,18),-1.08244 # DEPENDENCYPART_ARC
(2,1),0.996954 # DEPENDENCYPART_ARC
(2,3),-0.0827625 # DEPENDENCYPART_ARC
(2,5),0.590932 # DEPENDENCYPART_ARC
(2,6),-0.0926368 # DEPENDENCYPART_ARC
(2,7),-0.419918 # DEPENDENCYPART_ARC
(2,8),-0.544619 # DEPENDENCYPART_ARC
(2,9),-1.56231 # DEPENDENCYPART_ARC
(2,10),-1.14399 # DEPENDENCYPART_ARC
(2,11),-0.643035 # DEPENDENCYPART_ARC
(2,12),-1.25546 # DEPENDENCYPART_ARC
(2,14),-2.66953 # DEPENDENCYPART_ARC
(2,15),-3.59654 # DEPENDENCYPART_ARC
(2,16),-1.53707 # DEPENDENCYPART_ARC
(2,17),-1.38916 # DEPENDENCYPART_ARC
(2,18),-0.0771247 # DEPENDENCYPART_ARC
(3,5),-1.01412 # DEPENDENCYPART_ARC
(3,9),-2.12433 # DEPENDENCYPART_ARC
(3,10),-1.32897 # DEPENDENCYPART_ARC
(3,14),-2.2941 # DEPENDENCYPART_ARC
(4,7),-3.21128 # DEPENDENCYPART_ARC
(4,8),-1.97001 # DEPENDENCYPART_ARC
(5,1),-0.15081 # DEPENDENCYPART_ARC
(5,2),-1.57974 # DEPENDENCYPART_ARC
(5,3),0.203997 # DEPENDENCYPART_ARC
(5,4),4.46315 # DEPENDENCYPART_ARC
(5,6),0.949546 # DEPENDENCYPART_ARC
(5,7),-2.91972 # DEPENDENCYPART_ARC
(5,8),-3.45348 # DEPENDENCYPART_ARC
(5,9),-1.76556 # DEPENDENCYPART_ARC
(5,10),-2.00912 # DEPENDENCYPART_ARC
(5,11),-1.85271 # DEPENDENCYPART_ARC
(5,12),-2.3168 # DEPENDENCYPART_ARC
(5,13),-4.52519 # DEPENDENCYPART_ARC
(5,14),-2.48993 # DEPENDENCYPART_ARC
(5,15),-2.16977 # DEPENDENCYPART_ARC
(5,16),-2.33868 # DEPENDENCYPART_ARC
(5,17),-2.49077 # DEPENDENCYPART_ARC
(5,18),-1.75022 # DEPENDENCYPART_ARC
(6,1),4.05653 # DEPENDENCYPART_ARC
(6,2),-0.707712 # DEPENDENCYPART_ARC
(6,3),1.12147 # DEPENDENCYPART_ARC
(6,4),1.4861 # DEPENDENCYPART_ARC
(6,5),3.55975 # DEPENDENCYPART_ARC
(6,9),2.01329 # DEPENDENCYPART_ARC
(6,10),1.79235 # DEPENDENCYPART_ARC
(6,11),1.93863 # DEPENDENCYPART_ARC
(6,12),1.46775 # DEPENDENCYPART_ARC
(6,13),-3.61561 # DEPENDENCYPART_ARC
(6,14),0.211459 # DEPENDENCYPART_ARC
(6,15),-1.41312 # DEPENDENCYPART_ARC
(6,16),-0.210947 # DEPENDENCYPART_ARC
(6,17),0.152155 # DEPENDENCYPART_ARC
(6,18),3.12743 # DEPENDENCYPART_ARC
(7,1),-2.21664 # DEPENDENCYPART_ARC
(7,5),-2.26018 # DEPENDENCYPART_ARC
(7,8),6.64853 # DEPENDENCYPART_ARC
(7,9),1.13747 # DEPENDENCYPART_ARC
(7,11),-0.0261425 # DEPENDENCYPART_ARC
(7,14),-1.53933 # DEPENDENCYPART_ARC
(7,15),-2.34557 # DEPENDENCYPART_ARC
(7,17),-1.58808 # DEPENDENCYPART_ARC
(8,1),-1.78095 # DEPENDENCYPART_ARC
(8,5),-1.91324 # DEPENDENCYPART_ARC
(8,7),2.39967 # DEPENDENCYPART_ARC
(8,9),-0.153877 # DEPENDENCYPART_ARC
(8,11),-1.37185 # DEPENDENCYPART_ARC
(8,14),-3.17419 # DEPENDENCYPART_ARC
(8,15),-3.13417 # DEPENDENCYPART_ARC
(8,17),-2.67802 # DEPENDENCYPART_ARC
(9,1),-0.127903 # DEPENDENCYPART_ARC
(9,2),-1.08759 # DEPENDENCYPART_ARC
(9,3),0.0439887 # DEPENDENCYPART_ARC
(9,4),-1.26803 # DEPENDENCYPART_ARC
(9,5),-1.5887 # DEPENDENCYPART_ARC
(9,6),-0.772434 # DEPENDENCYPART_ARC
(9,7),3.20204 # DEPENDENCYPART_ARC
(9,8),2.9662 # DEPENDENCYPART_ARC
(9,10),0.0362211 # DEPENDENCYPART_ARC
(9,11),-0.173357 # DEPENDENCYPART_ARC
(9,12),0.843253 # DEPENDENCYPART_ARC
(9,13),-1.95072 # DEPENDENCYPART_ARC
(9,14),-0.839435 # DEPENDENCYPART_ARC
(9,15),-0.268274 # DEPENDENCYPART_ARC
(9,16),-1.1284 # DEPENDENCYPART_ARC
(9,17),-1.06177 # DEPENDENCYPART_ARC
(9,18),0.222664 # DEPENDENCYPART_ARC
(10,3),-1.66278 # DEPENDENCYPART_ARC
(10,5),-2.92767 # DEPENDENCYPART_ARC
(10,9),-1.21107 # DEPENDENCYPART_ARC
(10,14),-1.25402 # DEPENDENCYPART_ARC
(12,1),2.61261 # DEPENDENCYPART_ARC
(12,2),-1.54351 # DEPENDENCYPART_ARC
(12,3),-1.14901 # DEPENDENCYPART_ARC
(12,4),-0.900977 # DEPENDENCYPART_ARC
(12,5),0.472986 # DEPENDENCYPART_ARC
(12,6),0.849622 # DEPENDENCYPART_ARC
(12,9),0.735589 # DEPENDENCYPART_ARC
(12,10),-0.130313 # DEPENDENCYPART_ARC
(12,11),2.03658 # DEPENDENCYPART_ARC
(12,13),-0.679121 # DEPENDENCYPART_ARC
(12,14),3.84398 # DEPENDENCYPART_ARC
(12,15),1.47263 # DEPENDENCYPART_ARC
(12,16),1.17313 # DEPENDENCYPART_ARC
(12,17),2.12176 # DEPENDENCYPART_ARC
(12,18),3.13902 # DEPENDENCYPART_ARC
(13,1),-3.5055 # DEPENDENCYPART_ARC
(13,4),-4.04343 # DEPENDENCYPART_ARC
(13,5),-4.01659 # DEPENDENCYPART_ARC
(13,7),-2.51388 # DEPENDENCYPART_ARC
(13,8),-2.11639 # DEPENDENCYPART_ARC
(13,9),-2.86134 # DEPENDENCYPART_ARC
(13,11),-1.24553 # DEPENDENCYPART_ARC
(13,14),1.6503 # DEPENDENCYPART_ARC
(13,15),-0.0547728 # DEPENDENCYPART_ARC
(13,16),-2.09715 # DEPENDENCYPART_ARC
(13,17),-1.41203 # DEPENDENCYPART_ARC
(14,1),-1.54286 # DEPENDENCYPART_ARC
(14,2),-2.11588 # DEPENDENCYPART_ARC
(14,3),-1.19008 # DEPENDENCYPART_ARC
(14,4),-4.04709 # DEPENDENCYPART_ARC
(14,5),-2.69523 # DEPENDENCYPART_ARC
(14,6),-2.58884 # DEPENDENCYPART_ARC
(14,7),-1.88734 # DEPENDENCYPART_ARC
(14,8),-2.40911 # DEPENDENCYPART_ARC
(14,9),-1.93364 # DEPENDENCYPART_ARC
(14,10),-0.34879 # DEPENDENCYPART_ARC
