# _root_ Un_cop llicenciat , es va dedicar durant molts anys a l' ensenyament de la llengua i la literatura a Barcelona , Vila-real -Fpa- Plana_Baixa -Fpt- i Terrassa .
#goldHeads=2,6,2,6,6,0,6,9,7,6,12,10,12,15,13,15,18,15,6,19,20,20,24,22,24,20,20,6,
#predictedHeads=2,6,6,6,6,0,6,9,7,6,12,10,12,15,13,15,18,15,18,19,22,12,24,12,24,15,20,6,
(0,1),-6.29277 # DEPENDENCYPART_ARC
(0,2),-7.7094 # DEPENDENCYPART_ARC
(0,3),-6.85747 # DEPENDENCYPART_ARC
(0,4),-6.43397 # DEPENDENCYPART_ARC
(0,5),-3.35171 # DEPENDENCYPART_ARC
(0,6),-3.23906 # DEPENDENCYPART_ARC
(0,7),-6.20631 # DEPENDENCYPART_ARC
(0,8),-9.1046 # DEPENDENCYPART_ARC
(0,9),-7.01823 # DEPENDENCYPART_ARC
(0,10),-7.36485 # DEPENDENCYPART_ARC
(0,11),-9.45504 # DEPENDENCYPART_ARC
(0,12),-7.13678 # DEPENDENCYPART_ARC
(0,13),-7.8532 # DEPENDENCYPART_ARC
(0,14),-9.60148 # DEPENDENCYPART_ARC
(0,15),-7.1697 # DEPENDENCYPART_ARC
(0,16),-7.60818 # DEPENDENCYPART_ARC
(0,17),-9.47648 # DEPENDENCYPART_ARC
(0,18),-7.71858 # DEPENDENCYPART_ARC
(0,19),-8.305 # DEPENDENCYPART_ARC
(0,20),-7.44336 # DEPENDENCYPART_ARC
(0,21),-8.4095 # DEPENDENCYPART_ARC
(0,22),-7.09271 # DEPENDENCYPART_ARC
(0,23),-8.15736 # DEPENDENCYPART_ARC
(0,24),-7.12644 # DEPENDENCYPART_ARC
(0,25),-8.28925 # DEPENDENCYPART_ARC
(0,26),-7.93999 # DEPENDENCYPART_ARC
(0,27),-7.30546 # DEPENDENCYPART_ARC
(0,28),-8.85485 # DEPENDENCYPART_ARC
(1,2),1.21583 # DEPENDENCYPART_ARC
(1,3),1.49434 # DEPENDENCYPART_ARC
(1,4),-0.102636 # DEPENDENCYPART_ARC
(1,5),0.533832 # DEPENDENCYPART_ARC
(1,6),-0.379612 # DEPENDENCYPART_ARC
(1,7),-1.51449 # DEPENDENCYPART_ARC
(1,8),-1.35568 # DEPENDENCYPART_ARC
(1,9),-1.53585 # DEPENDENCYPART_ARC
(1,10),-2.0251 # DEPENDENCYPART_ARC
(1,11),-1.48967 # DEPENDENCYPART_ARC
(1,12),-1.92702 # DEPENDENCYPART_ARC
(1,13),-2.67999 # DEPENDENCYPART_ARC
(1,14),-1.65856 # DEPENDENCYPART_ARC
(1,15),-2.0076 # DEPENDENCYPART_ARC
(1,16),-0.581635 # DEPENDENCYPART_ARC
(1,17),-1.66195 # DEPENDENCYPART_ARC
(1,18),-1.9868 # DEPENDENCYPART_ARC
(1,19),-2.30393 # DEPENDENCYPART_ARC
(1,20),-1.73528 # DEPENDENCYPART_ARC
(1,21),-1.00979 # DEPENDENCYPART_ARC
(1,22),-2.02814 # DEPENDENCYPART_ARC
(1,23),-1.49498 # DEPENDENCYPART_ARC
(1,24),-2.17258 # DEPENDENCYPART_ARC
(1,25),-2.90451 # DEPENDENCYPART_ARC
(1,26),-0.967928 # DEPENDENCYPART_ARC
(1,27),-2.06457 # DEPENDENCYPART_ARC
(1,28),-0.0569687 # DEPENDENCYPART_ARC
(2,1),3.60664 # DEPENDENCYPART_ARC
(2,3),2.13258 # DEPENDENCYPART_ARC
(2,4),1.03316 # DEPENDENCYPART_ARC
(2,5),1.80075 # DEPENDENCYPART_ARC
(2,6),0.936603 # DEPENDENCYPART_ARC
(2,7),0.363466 # DEPENDENCYPART_ARC
(2,8),-2.05464 # DEPENDENCYPART_ARC
(2,9),0.208632 # DEPENDENCYPART_ARC
(2,10),0.40322 # DEPENDENCYPART_ARC
(2,11),-2.14866 # DEPENDENCYPART_ARC
