# _root_ " Si parla així , és només per intentar fer_front a les enormes pressions internacionals de què és objecte " , va assegurar el ministre palestí Hassan_Asfur .
#goldHeads=6,3,6,3,3,23,6,6,8,9,10,14,14,11,14,19,16,14,18,6,6,23,0,25,23,25,25,23,
#predictedHeads=6,3,6,3,3,23,6,6,8,9,10,14,14,11,14,14,16,14,18,6,6,23,0,25,23,25,25,6,
(0,1),-6.52218 # DEPENDENCYPART_ARC
(0,2),-6.64329 # DEPENDENCYPART_ARC
(0,3),-3.69135 # DEPENDENCYPART_ARC
(0,4),-6.72509 # DEPENDENCYPART_ARC
(0,5),-7.32164 # DEPENDENCYPART_ARC
(0,6),-2.04278 # DEPENDENCYPART_ARC
(0,7),-7.21719 # DEPENDENCYPART_ARC
(0,8),-5.52669 # DEPENDENCYPART_ARC
(0,9),-4.08577 # DEPENDENCYPART_ARC
(0,10),-3.668 # DEPENDENCYPART_ARC
(0,11),-5.94808 # DEPENDENCYPART_ARC
(0,12),-8.88399 # DEPENDENCYPART_ARC
(0,13),-7.66172 # DEPENDENCYPART_ARC
(0,14),-5.99335 # DEPENDENCYPART_ARC
(0,15),-7.77734 # DEPENDENCYPART_ARC
(0,16),-6.77671 # DEPENDENCYPART_ARC
(0,17),-6.75327 # DEPENDENCYPART_ARC
(0,18),-3.14961 # DEPENDENCYPART_ARC
(0,19),-5.70045 # DEPENDENCYPART_ARC
(0,20),-7.80887 # DEPENDENCYPART_ARC
(0,21),-8.05858 # DEPENDENCYPART_ARC
(0,22),-1.85402 # DEPENDENCYPART_ARC
(0,23),-0.850595 # DEPENDENCYPART_ARC
(0,24),-9.89958 # DEPENDENCYPART_ARC
(0,25),-5.93027 # DEPENDENCYPART_ARC
(0,26),-8.55813 # DEPENDENCYPART_ARC
(0,27),-6.02042 # DEPENDENCYPART_ARC
(0,28),-8.80668 # DEPENDENCYPART_ARC
(1,2),-0.6828 # DEPENDENCYPART_ARC
(1,3),-1.15587 # DEPENDENCYPART_ARC
(1,4),-2.07643 # DEPENDENCYPART_ARC
(1,5),-1.62068 # DEPENDENCYPART_ARC
(1,6),-1.8795 # DEPENDENCYPART_ARC
(1,7),-2.28401 # DEPENDENCYPART_ARC
(1,8),-2.31548 # DEPENDENCYPART_ARC
(1,9),-2.00477 # DEPENDENCYPART_ARC
(1,10),-2.09429 # DEPENDENCYPART_ARC
(1,11),-2.40107 # DEPENDENCYPART_ARC
(1,12),-2.86974 # DEPENDENCYPART_ARC
(1,13),-2.47443 # DEPENDENCYPART_ARC
(1,14),-2.5216 # DEPENDENCYPART_ARC
(1,15),-2.50331 # DEPENDENCYPART_ARC
(1,16),-2.58949 # DEPENDENCYPART_ARC
(1,17),-2.68439 # DEPENDENCYPART_ARC
(1,18),-2.24941 # DEPENDENCYPART_ARC
(1,19),-2.75656 # DEPENDENCYPART_ARC
(1,20),-2.1358 # DEPENDENCYPART_ARC
(1,21),-2.30262 # DEPENDENCYPART_ARC
(1,22),-2.50071 # DEPENDENCYPART_ARC
(1,23),-2.5274 # DEPENDENCYPART_ARC
(1,24),-3.41433 # DEPENDENCYPART_ARC
(1,25),-2.94828 # DEPENDENCYPART_ARC
(1,26),-3.02852 # DEPENDENCYPART_ARC
(1,27),-3.00427 # DEPENDENCYPART_ARC
(1,28),-2.78956 # DEPENDENCYPART_ARC
(2,1),0.173375 # DEPENDENCYPART_ARC
(2,3),0.939096 # DEPENDENCYPART_ARC
(2,4),-1.037 # DEPENDENCYPART_ARC
(2,5),0.285986 # DEPENDENCYPART_ARC
(2,6),-0.690621 # DEPENDENCYPART_ARC
(2,7),-1.89101 # DEPENDENCYPART_ARC
(2,8),-1.46719 # DEPENDENCYPART_ARC
(2,9),-1.56133 # DEPENDENCYPART_ARC
(2,10),-1.79254 # DEPENDENCYPART_ARC
(2,11),-1.55539 # DEPENDENCYPART_ARC
(2,12),-2.77192 # DEPENDENCYPART_ARC
(2,13),-1.8556 # DEPENDENCYPART_ARC
(2,14),-2.25595 # DEPENDENCYPART_ARC
(2,15),-2.00579 # DEPENDENCYPART_ARC
(2,16),-2.04573 # DEPENDENCYPART_ARC
(2,17),-2.18207 # DEPENDENCYPART_ARC
(2,18),-1.92855 # DEPENDENCYPART_ARC
(2,19),-2.62589 # DEPENDENCYPART_ARC
(2,20),-1.28149 # DEPENDENCYPART_ARC
(2,21),-0.910149 # DEPENDENCYPART_ARC
(2,22),-2.62509 # DEPENDENCYPART_ARC
(2,23),-2.96221 # DEPENDENCYPART_ARC
(2,24),-3.27744 # DEPENDENCYPART_ARC
(2,25),-3.76594 # DEPENDENCYPART_ARC
(2,26),-2.54548 # DEPENDENCYPART_ARC
(2,27),-3.89647 # DEPENDENCYPART_ARC
(2,28),-0.621128 # DEPENDENCYPART_ARC
(3,1),3.39682 # DEPENDENCYPART_ARC
(3,2),3.89026 # DEPENDENCYPART_ARC
(3,4),3.23021 # DEPENDENCYPART_ARC
(3,5),2.24183 # DEPENDENCYPART_ARC
(3,6),2.80083 # DEPENDENCYPART_ARC
(3,7),0.788572 # DEPENDENCYPART_ARC
(3,8),1.45193 # DEPENDENCYPART_ARC
(3,9),0.401501 # DEPENDENCYPART_ARC
(3,10),0.725074 # DEPENDENCYPART_ARC
(3,11),0.593873 # DEPENDENCYPART_ARC
(3,12),-3.18681 # DEPENDENCYPART_ARC
(3,13),-0.847903 # DEPENDENCYPART_ARC
(3,14),0.301945 # DEPENDENCYPART_ARC
(3,15),-0.351306 # DEPENDENCYPART_ARC
(3,16),-2.58016 # DEPENDENCYPART_ARC
(3,17),-1.09781 # DEPENDENCYPART_ARC
(3,18),1.20887 # DEPENDENCYPART_ARC
(3,19),-0.0284675 # DEPENDENCYPART_ARC
(3,20),1.06471 # DEPENDENCYPART_ARC
(3,21),1.3234 # DEPENDENCYPART_ARC
(3,22),-1.08102 # DEPENDENCYPART_ARC
(3,23),-0.417319 # DEPENDENCYPART_ARC
(3,24),-3.94043 # DEPENDENCYPART_ARC
(3,25),-1.10161 # DEPENDENCYPART_ARC
(3,26),-1.62796 # DEPENDENCYPART_ARC
(3,27),-0.905134 # DEPENDENCYPART_ARC
(3,28),0.374794 # DEPENDENCYPART_ARC
(4,1),-1.34749 # DEPENDENCYPART_ARC
(4,2),-0.389197 # DEPENDENCYPART_ARC
(4,3),0.222416 # DEPENDENCYPART_ARC
(4,5),1.22628 # DEPENDENCYPART_ARC
(4,6),0.561546 # DEPENDENCYPART_ARC
(4,7),-0.397045 # DEPENDENCYPART_ARC
(4,8),-1.4714 # DEPENDENCYPART_ARC
(4,9),-0.689847 # DEPENDENCYPART_ARC
(4,10),-1.29107 # DEPENDENCYPART_ARC
(4,11),-1.69851 # DEPENDENCYPART_ARC
(4,12),-1.57905 # DEPENDENCYPART_ARC
(4,13),-1.37157 # DEPENDENCYPART_ARC
(4,14),-1.47286 # DEPENDENCYPART_ARC
(4,15),-1.46596 # DEPENDENCYPART_ARC
(4,16),-2.44757 # DEPENDENCYPART_ARC
(4,17),-1.39594 # DEPENDENCYPART_ARC
(4,18),-2.52974 # DEPENDENCYPART_ARC
(4,19),-1.43019 # DEPENDENCYPART_ARC
(4,20),-1.50036 # DEPENDENCYPART_ARC
(4,21),-1.76945 # DEPENDENCYPART_ARC
(4,22),-2.67404 # DEPENDENCYPART_ARC
(4,23),-3.12396 # DEPENDENCYPART_ARC
(4,24),-1.74944 # DEPENDENCYPART_ARC
(4,25),-2.13313 # DEPENDENCYPART_ARC
(4,26),-1.87014 # DEPENDENCYPART_ARC
(4,27),-1.87709 # DEPENDENCYPART_ARC
(4,28),-1.40495 # DEPENDENCYPART_ARC
(5,1),-2.12753 # DEPENDENCYPART_ARC
(5,2),-1.86324 # DEPENDENCYPART_ARC
