# _root_ Empúries ha editat en català els tres números anteriors , que portaven per títol ' Harry_Potter_i_la_pedra_filosofal ' , ' Harry_Potter_i_la_cambra_secreta ' i ' Harry_Potter_i_el_presoner_d'_Azkaban ' .
#goldHeads=3,3,0,3,4,8,6,3,8,12,12,8,12,13,16,12,16,16,20,16,20,16,24,16,24,3,
#predictedHeads=3,3,0,3,4,8,6,3,8,12,12,8,12,13,16,14,16,12,20,14,20,16,24,14,24,3,
(0,1),-6.18315 # DEPENDENCYPART_ARC
(0,2),-2.45862 # DEPENDENCYPART_ARC
(0,3),-3.00605 # DEPENDENCYPART_ARC
(0,4),-7.87831 # DEPENDENCYPART_ARC
(0,5),-7.30273 # DEPENDENCYPART_ARC
(0,8),-8.23488 # DEPENDENCYPART_ARC
(0,9),-8.54683 # DEPENDENCYPART_ARC
(0,12),-3.47837 # DEPENDENCYPART_ARC
(0,13),-8.32604 # DEPENDENCYPART_ARC
(0,14),-7.63799 # DEPENDENCYPART_ARC
(0,16),-7.66039 # DEPENDENCYPART_ARC
(0,20),-7.18863 # DEPENDENCYPART_ARC
(0,24),-6.97841 # DEPENDENCYPART_ARC
(1,2),0.234409 # DEPENDENCYPART_ARC
(1,3),-0.740217 # DEPENDENCYPART_ARC
(1,4),-1.30081 # DEPENDENCYPART_ARC
(1,5),-1.12133 # DEPENDENCYPART_ARC
(1,6),-1.95187 # DEPENDENCYPART_ARC
(1,7),-2.10914 # DEPENDENCYPART_ARC
(1,8),-1.01108 # DEPENDENCYPART_ARC
(1,9),-1.41862 # DEPENDENCYPART_ARC
(1,10),-1.38994 # DEPENDENCYPART_ARC
(1,11),-2.63889 # DEPENDENCYPART_ARC
(1,12),-1.90387 # DEPENDENCYPART_ARC
(1,13),-2.03934 # DEPENDENCYPART_ARC
(1,14),-1.85435 # DEPENDENCYPART_ARC
(1,15),-0.18367 # DEPENDENCYPART_ARC
(1,16),-1.32107 # DEPENDENCYPART_ARC
(1,17),-1.37451 # DEPENDENCYPART_ARC
(1,18),-1.89841 # DEPENDENCYPART_ARC
(1,19),-1.69581 # DEPENDENCYPART_ARC
(1,20),-1.3811 # DEPENDENCYPART_ARC
(1,21),-2.75474 # DEPENDENCYPART_ARC
(1,22),-1.3536 # DEPENDENCYPART_ARC
(1,23),-3.18185 # DEPENDENCYPART_ARC
(1,24),-1.20441 # DEPENDENCYPART_ARC
(1,25),-4.25455 # DEPENDENCYPART_ARC
(1,26),-0.755752 # DEPENDENCYPART_ARC
(2,1),0.0649362 # DEPENDENCYPART_ARC
(2,3),0.224977 # DEPENDENCYPART_ARC
(2,4),0.0212694 # DEPENDENCYPART_ARC
(2,5),-0.974276 # DEPENDENCYPART_ARC
(2,6),-5.04096 # DEPENDENCYPART_ARC
(2,8),-1.4142 # DEPENDENCYPART_ARC
(2,9),-1.95972 # DEPENDENCYPART_ARC
(2,10),-1.15194 # DEPENDENCYPART_ARC
(2,11),-3.87292 # DEPENDENCYPART_ARC
(2,12),-2.11722 # DEPENDENCYPART_ARC
(2,13),-2.70302 # DEPENDENCYPART_ARC
(2,14),-3.06959 # DEPENDENCYPART_ARC
(2,15),-1.22707 # DEPENDENCYPART_ARC
(2,16),-3.14378 # DEPENDENCYPART_ARC
(2,17),-1.2925 # DEPENDENCYPART_ARC
(2,18),-0.479829 # DEPENDENCYPART_ARC
(2,19),-2.75787 # DEPENDENCYPART_ARC
(2,20),-4.55743 # DEPENDENCYPART_ARC
(2,21),-3.69219 # DEPENDENCYPART_ARC
(2,22),-0.910187 # DEPENDENCYPART_ARC
(2,23),-5.58649 # DEPENDENCYPART_ARC
(2,24),-5.84121 # DEPENDENCYPART_ARC
(2,25),-5.01847 # DEPENDENCYPART_ARC
(2,26),1.97701 # DEPENDENCYPART_ARC
(3,1),2.66227 # DEPENDENCYPART_ARC
(3,2),6.07794 # DEPENDENCYPART_ARC
(3,4),3.85998 # DEPENDENCYPART_ARC
(3,5),2.4642 # DEPENDENCYPART_ARC
(3,6),-1.63687 # DEPENDENCYPART_ARC
(3,8),2.23564 # DEPENDENCYPART_ARC
(3,9),0.780646 # DEPENDENCYPART_ARC
(3,10),0.647486 # DEPENDENCYPART_ARC
(3,11),-1.59312 # DEPENDENCYPART_ARC
(3,12),1.51128 # DEPENDENCYPART_ARC
(3,13),0.532924 # DEPENDENCYPART_ARC
(3,14),-0.796293 # DEPENDENCYPART_ARC
(3,15),0.448707 # DEPENDENCYPART_ARC
(3,16),-0.712011 # DEPENDENCYPART_ARC
(3,17),0.577246 # DEPENDENCYPART_ARC
(3,18),0.92485 # DEPENDENCYPART_ARC
(3,19),-1.08367 # DEPENDENCYPART_ARC
(3,20),-1.74883 # DEPENDENCYPART_ARC
(3,21),-1.41654 # DEPENDENCYPART_ARC
(3,22),0.727648 # DEPENDENCYPART_ARC
(3,23),-3.71973 # DEPENDENCYPART_ARC
(3,24),-2.7777 # DEPENDENCYPART_ARC
(3,25),-2.84076 # DEPENDENCYPART_ARC
(3,26),3.92903 # DEPENDENCYPART_ARC
(4,1),-2.69374 # DEPENDENCYPART_ARC
(4,2),-1.30474 # DEPENDENCYPART_ARC
(4,3),-1.37771 # DEPENDENCYPART_ARC
(4,5),5.50285 # DEPENDENCYPART_ARC
(4,6),-1.38917 # DEPENDENCYPART_ARC
(4,7),-1.47921 # DEPENDENCYPART_ARC
(4,8),-0.897366 # DEPENDENCYPART_ARC
(4,9),-1.58779 # DEPENDENCYPART_ARC
(4,10),-0.755414 # DEPENDENCYPART_ARC
(4,11),-2.89695 # DEPENDENCYPART_ARC
(4,12),-1.29342 # DEPENDENCYPART_ARC
(4,13),-2.80609 # DEPENDENCYPART_ARC
(4,14),-5.83074 # DEPENDENCYPART_ARC
(4,15),-2.21654 # DEPENDENCYPART_ARC
(4,16),-8.8947 # DEPENDENCYPART_ARC
(4,17),-3.0314 # DEPENDENCYPART_ARC
(4,18),-2.37708 # DEPENDENCYPART_ARC
(4,19),-4.83434 # DEPENDENCYPART_ARC
(4,20),-12.922 # DEPENDENCYPART_ARC
(4,21),-5.68723 # DEPENDENCYPART_ARC
(4,22),-2.13091 # DEPENDENCYPART_ARC
(4,23),-6.89211 # DEPENDENCYPART_ARC
(4,24),-16.791 # DEPENDENCYPART_ARC
(4,25),-7.38322 # DEPENDENCYPART_ARC
(4,26),-3.5816 # DEPENDENCYPART_ARC
(5,1),-3.22789 # DEPENDENCYPART_ARC
(5,2),-3.55835 # DEPENDENCYPART_ARC
(5,3),-3.3168 # DEPENDENCYPART_ARC
(5,4),-0.431722 # DEPENDENCYPART_ARC
(5,6),-0.370305 # DEPENDENCYPART_ARC
(5,7),-1.68179 # DEPENDENCYPART_ARC
(5,8),-0.603753 # DEPENDENCYPART_ARC
(5,9),-0.995924 # DEPENDENCYPART_ARC
(5,10),-1.01486 # DEPENDENCYPART_ARC
(5,11),-3.49407 # DEPENDENCYPART_ARC
(5,12),0.0990165 # DEPENDENCYPART_ARC
(5,13),-1.91393 # DEPENDENCYPART_ARC
(5,14),-1.57129 # DEPENDENCYPART_ARC
(5,15),-0.22653 # DEPENDENCYPART_ARC
(5,16),-1.27026 # DEPENDENCYPART_ARC
(5,17),-1.86042 # DEPENDENCYPART_ARC
(5,18),-1.83568 # DEPENDENCYPART_ARC
(5,19),-1.68613 # DEPENDENCYPART_ARC
(5,20),-1.31295 # DEPENDENCYPART_ARC
(5,21),-2.96945 # DEPENDENCYPART_ARC
(5,22),-0.299885 # DEPENDENCYPART_ARC
(5,23),-2.69367 # DEPENDENCYPART_ARC
(5,24),-0.981001 # DEPENDENCYPART_ARC
(5,25),-4.11244 # DEPENDENCYPART_ARC
(5,26),-2.12458 # DEPENDENCYPART_ARC
(6,1),-2.47459 # DEPENDENCYPART_ARC
(6,4),-1.16282 # DEPENDENCYPART_ARC
(6,5),-0.491523 # DEPENDENCYPART_ARC
(6,7),6.47506 # DEPENDENCYPART_ARC
(6,8),-0.0398178 # DEPENDENCYPART_ARC
(6,9),-0.0274601 # DEPENDENCYPART_ARC
(6,11),-1.72732 # DEPENDENCYPART_ARC
(6,13),-1.97657 # DEPENDENCYPART_ARC
(6,14),-3.15425 # DEPENDENCYPART_ARC
(6,16),-2.82191 # DEPENDENCYPART_ARC
(6,20),-3.301 # DEPENDENCYPART_ARC
(6,22),-1.98883 # DEPENDENCYPART_ARC
(6,24),-3.53668 # DEPENDENCYPART_ARC
(7,3),-0.607789 # DEPENDENCYPART_ARC
(7,4),0.240327 # DEPENDENCYPART_ARC
(7,5),0.247726 # DEPENDENCYPART_ARC
(7,8),-0.325717 # DEPENDENCYPART_ARC
(7,9),-0.141384 # DEPENDENCYPART_ARC
(7,12),-0.919106 # DEPENDENCYPART_ARC
(7,13),-3.21748 # DEPENDENCYPART_ARC
(7,14),-4.34223 # DEPENDENCYPART_ARC
(7,22),-2.56843 # DEPENDENCYPART_ARC
(8,1),-1.50947 # DEPENDENCYPART_ARC
(8,2),-0.424119 # DEPENDENCYPART_ARC
(8,3),-1.68451 # DEPENDENCYPART_ARC
(8,4),0.548499 # DEPENDENCYPART_ARC
(8,5),-0.470592 # DEPENDENCYPART_ARC
(8,6),3.80385 # DEPENDENCYPART_ARC
(8,7),2.92682 # DEPENDENCYPART_ARC
(8,9),4.35437 # DEPENDENCYPART_ARC
(8,10),0.774192 # DEPENDENCYPART_ARC
(8,11),-0.637854 # DEPENDENCYPART_ARC
(8,12),3.21581 # DEPENDENCYPART_ARC
(8,13),-0.268238 # DEPENDENCYPART_ARC
(8,14),-0.265584 # DEPENDENCYPART_ARC
(8,15),0.858688 # DEPENDENCYPART_ARC
(8,16),0.510259 # DEPENDENCYPART_ARC
(8,17),0.0915218 # DEPENDENCYPART_ARC
(8,18),0.0784268 # DEPENDENCYPART_ARC
(8,19),-0.543664 # DEPENDENCYPART_ARC
(8,20),0.467027 # DEPENDENCYPART_ARC
(8,21),-0.664781 # DEPENDENCYPART_ARC
(8,22),1.20619 # DEPENDENCYPART_ARC
(8,23),-1.37097 # DEPENDENCYPART_ARC
(8,24),0.888291 # DEPENDENCYPART_ARC
(8,25),-1.69806 # DEPENDENCYPART_ARC
(8,26),0.782179 # DEPENDENCYPART_ARC
(9,1),-2.78204 # DEPENDENCYPART_ARC
(9,2),-2.46288 # DEPENDENCYPART_ARC
(9,3),-2.97561 # DEPENDENCYPART_ARC
(9,4),0.421266 # DEPENDENCYPART_ARC
(9,5),-1.67474 # DEPENDENCYPART_ARC
(9,6),-0.0386901 # DEPENDENCYPART_ARC
(9,7),0.0141069 # DEPENDENCYPART_ARC
(9,8),0.186388 # DEPENDENCYPART_ARC
(9,10),-0.100941 # DEPENDENCYPART_ARC
(9,11),-1.44858 # DEPENDENCYPART_ARC
(9,12),0.102625 # DEPENDENCYPART_ARC
(9,13),-0.973944 # DEPENDENCYPART_ARC
(9,14),-0.885016 # DEPENDENCYPART_ARC
(9,15),-0.863824 # DEPENDENCYPART_ARC
(9,16),-1.29932 # DEPENDENCYPART_ARC
(9,17),-1.53553 # DEPENDENCYPART_ARC
(9,18),-1.53285 # DEPENDENCYPART_ARC
(9,19),-2.0053 # DEPENDENCYPART_ARC
(9,20),-2.05357 # DEPENDENCYPART_ARC
(9,21),-2.99192 # DEPENDENCYPART_ARC
(9,22),-0.359154 # DEPENDENCYPART_ARC
(9,23),-3.04591 # DEPENDENCYPART_ARC
(9,24),-2.79328 # DEPENDENCYPART_ARC
