# _root_ El príncep Haakon_de_Noruega i la_seva nòvia , Mette-Marit_Tjessem , van anunciar ahir que es casaran el 25_d'_agost vinent .
#goldHeads=2,11,2,2,6,2,8,6,8,11,0,11,15,15,11,17,15,17,11,
#predictedHeads=2,11,2,2,6,2,8,6,8,11,0,11,15,15,11,17,15,17,11,
(0,2),-6.86723 # DEPENDENCYPART_ARC
(0,3),-7.56889 # DEPENDENCYPART_ARC
(0,6),-7.73621 # DEPENDENCYPART_ARC
(0,8),-7.66263 # DEPENDENCYPART_ARC
(0,10),-2.44955 # DEPENDENCYPART_ARC
(0,11),-1.8221 # DEPENDENCYPART_ARC
(0,12),-8.45554 # DEPENDENCYPART_ARC
(0,13),-7.5644 # DEPENDENCYPART_ARC
(0,15),-4.11903 # DEPENDENCYPART_ARC
(0,17),-8.3892 # DEPENDENCYPART_ARC
(0,18),-8.90803 # DEPENDENCYPART_ARC
(1,2),-0.0463363 # DEPENDENCYPART_ARC
(1,3),-1.11063 # DEPENDENCYPART_ARC
(1,4),-1.63047 # DEPENDENCYPART_ARC
(1,5),-0.985439 # DEPENDENCYPART_ARC
(1,6),-3.01781 # DEPENDENCYPART_ARC
(1,8),-3.92349 # DEPENDENCYPART_ARC
(1,12),-3.22552 # DEPENDENCYPART_ARC
(1,16),-5.78718 # DEPENDENCYPART_ARC
(1,17),-3.28796 # DEPENDENCYPART_ARC
(1,18),-4.01102 # DEPENDENCYPART_ARC
(2,1),4.06983 # DEPENDENCYPART_ARC
(2,3),3.78257 # DEPENDENCYPART_ARC
(2,4),2.85916 # DEPENDENCYPART_ARC
(2,5),1.09073 # DEPENDENCYPART_ARC
(2,6),2.2084 # DEPENDENCYPART_ARC
(2,7),1.24468 # DEPENDENCYPART_ARC
(2,8),2.20738 # DEPENDENCYPART_ARC
(2,9),1.11541 # DEPENDENCYPART_ARC
(2,10),0.0823395 # DEPENDENCYPART_ARC
(2,11),0.37982 # DEPENDENCYPART_ARC
(2,12),-0.127283 # DEPENDENCYPART_ARC
(2,13),-2.37701 # DEPENDENCYPART_ARC
(2,15),-1.17103 # DEPENDENCYPART_ARC
(2,16),-1.82199 # DEPENDENCYPART_ARC
(2,17),-0.979821 # DEPENDENCYPART_ARC
(2,18),-0.78085 # DEPENDENCYPART_ARC
(2,19),2.3165 # DEPENDENCYPART_ARC
