# _root_ Mentrestant , a l' interior del que ha de ser el pou d' extracció més modern amb què compta Iberpotash , tot està a punt per a rebre la maquinària de tecnologia alemanya .
#goldHeads=23,3,23,5,3,5,10,10,10,6,12,10,12,13,16,12,19,17,12,19,3,23,0,23,24,23,26,27,30,28,30,31,32,23,
#predictedHeads=10,1,23,5,3,5,10,10,10,6,12,10,12,13,16,12,19,17,12,19,23,23,0,23,24,23,26,27,30,28,30,31,32,19,
(0,1),-6.25145 # DEPENDENCYPART_ARC
(0,3),-6.18807 # DEPENDENCYPART_ARC
(0,5),-6.63884 # DEPENDENCYPART_ARC
(0,6),-7.67119 # DEPENDENCYPART_ARC
(0,8),-3.36564 # DEPENDENCYPART_ARC
(0,9),-7.19578 # DEPENDENCYPART_ARC
(0,10),-4.5391 # DEPENDENCYPART_ARC
(0,12),-7.03224 # DEPENDENCYPART_ARC
(0,13),-7.77434 # DEPENDENCYPART_ARC
(0,14),-6.56971 # DEPENDENCYPART_ARC
(0,15),-8.33908 # DEPENDENCYPART_ARC
(0,16),-8.53985 # DEPENDENCYPART_ARC
(0,17),-7.33938 # DEPENDENCYPART_ARC
(0,19),-3.41639 # DEPENDENCYPART_ARC
(0,20),-6.47966 # DEPENDENCYPART_ARC
(0,22),-7.30937 # DEPENDENCYPART_ARC
(0,23),-3.74109 # DEPENDENCYPART_ARC
(0,24),-8.19325 # DEPENDENCYPART_ARC
(0,25),-6.73934 # DEPENDENCYPART_ARC
(0,26),-8.40493 # DEPENDENCYPART_ARC
(0,27),-8.64353 # DEPENDENCYPART_ARC
(0,28),-4.36269 # DEPENDENCYPART_ARC
(0,30),-6.67913 # DEPENDENCYPART_ARC
(0,31),-9.96031 # DEPENDENCYPART_ARC
(0,32),-6.60723 # DEPENDENCYPART_ARC
(0,33),-9.06309 # DEPENDENCYPART_ARC
(1,2),3.25003 # DEPENDENCYPART_ARC
(1,3),-0.237791 # DEPENDENCYPART_ARC
(1,4),-0.608889 # DEPENDENCYPART_ARC
(1,5),-0.905199 # DEPENDENCYPART_ARC
(1,6),0.00827292 # DEPENDENCYPART_ARC
(1,8),-0.308683 # DEPENDENCYPART_ARC
(1,9),-1.74382 # DEPENDENCYPART_ARC
(1,10),-1.23492 # DEPENDENCYPART_ARC
(1,11),-1.69828 # DEPENDENCYPART_ARC
(1,12),-2.02651 # DEPENDENCYPART_ARC
(1,13),-2.2409 # DEPENDENCYPART_ARC
(1,14),-1.85893 # DEPENDENCYPART_ARC
(1,15),-1.25771 # DEPENDENCYPART_ARC
(1,16),-1.54597 # DEPENDENCYPART_ARC
(1,17),-1.74179 # DEPENDENCYPART_ARC
(1,19),-2.27815 # DEPENDENCYPART_ARC
(1,20),-2.11734 # DEPENDENCYPART_ARC
(1,21),-0.436153 # DEPENDENCYPART_ARC
(1,22),-1.44464 # DEPENDENCYPART_ARC
(1,23),-2.71349 # DEPENDENCYPART_ARC
(1,24),-3.14181 # DEPENDENCYPART_ARC
(1,25),-2.72718 # DEPENDENCYPART_ARC
(1,26),-3.68929 # DEPENDENCYPART_ARC
(1,27),-3.29412 # DEPENDENCYPART_ARC
(1,28),-3.78786 # DEPENDENCYPART_ARC
(1,29),-2.49134 # DEPENDENCYPART_ARC
(1,30),-3.13768 # DEPENDENCYPART_ARC
(1,31),-5.30672 # DEPENDENCYPART_ARC
(1,32),-2.88988 # DEPENDENCYPART_ARC
(1,33),-2.22571 # DEPENDENCYPART_ARC
(1,34),-1.88934 # DEPENDENCYPART_ARC
(2,5),-1.10536 # DEPENDENCYPART_ARC
(2,12),-1.98872 # DEPENDENCYPART_ARC
(2,14),-2.01329 # DEPENDENCYPART_ARC
(2,16),-1.97579 # DEPENDENCYPART_ARC
(2,21),-1.63061 # DEPENDENCYPART_ARC
(2,25),-2.29305 # DEPENDENCYPART_ARC
(2,30),-2.58926 # DEPENDENCYPART_ARC
(2,32),-2.56987 # DEPENDENCYPART_ARC
(2,33),-2.70802 # DEPENDENCYPART_ARC
(3,1),0.400415 # DEPENDENCYPART_ARC
(3,2),1.50269 # DEPENDENCYPART_ARC
(3,4),0.611966 # DEPENDENCYPART_ARC
(3,5),4.25474 # DEPENDENCYPART_ARC
(3,6),-0.243227 # DEPENDENCYPART_ARC
(3,7),0.838285 # DEPENDENCYPART_ARC
(3,8),0.549171 # DEPENDENCYPART_ARC
(3,9),-1.11642 # DEPENDENCYPART_ARC
(3,10),0.0886562 # DEPENDENCYPART_ARC
(3,11),-2.73285 # DEPENDENCYPART_ARC
(3,12),-1.30476 # DEPENDENCYPART_ARC
(3,13),-1.32587 # DEPENDENCYPART_ARC
(3,14),-2.53186 # DEPENDENCYPART_ARC
(3,15),-2.30724 # DEPENDENCYPART_ARC
(3,16),-2.05415 # DEPENDENCYPART_ARC
(3,17),-1.55614 # DEPENDENCYPART_ARC
(3,18),-1.13891 # DEPENDENCYPART_ARC
