# _root_ Segons va explicar , les peces intervingudes tenen imatges d' inspiració mironiana , però " no reprodueixen dibuixos del pintor " .
#goldHeads=3,3,8,3,6,8,6,0,8,9,10,11,9,8,17,17,8,17,18,19,17,8,
#predictedHeads=3,3,0,3,6,3,6,6,8,9,10,11,8,8,17,17,8,17,18,19,17,3,
(0,1),-6.70917 # DEPENDENCYPART_ARC
(0,2),-4.61298 # DEPENDENCYPART_ARC
(0,3),-3.97679 # DEPENDENCYPART_ARC
(0,4),-7.62907 # DEPENDENCYPART_ARC
(0,5),-9.13628 # DEPENDENCYPART_ARC
(0,6),-7.39389 # DEPENDENCYPART_ARC
(0,7),-8.38304 # DEPENDENCYPART_ARC
(0,8),-2.61618 # DEPENDENCYPART_ARC
(0,9),-7.35868 # DEPENDENCYPART_ARC
(0,10),-7.88952 # DEPENDENCYPART_ARC
(0,11),-7.04225 # DEPENDENCYPART_ARC
(0,12),-8.31946 # DEPENDENCYPART_ARC
(0,13),-8.20486 # DEPENDENCYPART_ARC
(0,14),-7.89607 # DEPENDENCYPART_ARC
(0,15),-7.84295 # DEPENDENCYPART_ARC
(0,16),-7.19868 # DEPENDENCYPART_ARC
(0,17),-2.98485 # DEPENDENCYPART_ARC
(0,18),-7.01179 # DEPENDENCYPART_ARC
(0,19),-7.9073 # DEPENDENCYPART_ARC
(0,20),-6.33999 # DEPENDENCYPART_ARC
(0,21),-8.21285 # DEPENDENCYPART_ARC
(0,22),-8.56489 # DEPENDENCYPART_ARC
(1,2),0.810449 # DEPENDENCYPART_ARC
(1,3),-0.551073 # DEPENDENCYPART_ARC
(1,4),-0.189619 # DEPENDENCYPART_ARC
(1,5),-2.32305 # DEPENDENCYPART_ARC
(1,6),-1.87773 # DEPENDENCYPART_ARC
(1,7),-1.49475 # DEPENDENCYPART_ARC
(1,8),-1.34752 # DEPENDENCYPART_ARC
(1,9),-2.75405 # DEPENDENCYPART_ARC
(1,10),-1.91883 # DEPENDENCYPART_ARC
(1,11),-2.89368 # DEPENDENCYPART_ARC
(1,12),-1.55495 # DEPENDENCYPART_ARC
(1,13),-1.03235 # DEPENDENCYPART_ARC
(1,14),-1.66379 # DEPENDENCYPART_ARC
(1,15),-1.75064 # DEPENDENCYPART_ARC
(1,16),-1.5295 # DEPENDENCYPART_ARC
(1,17),-1.74557 # DEPENDENCYPART_ARC
(1,18),-3.94593 # DEPENDENCYPART_ARC
(1,19),-2.62036 # DEPENDENCYPART_ARC
(1,20),-4.16044 # DEPENDENCYPART_ARC
(1,21),-2.23444 # DEPENDENCYPART_ARC
(1,22),-0.577662 # DEPENDENCYPART_ARC
(2,1),2.35047 # DEPENDENCYPART_ARC
